f30daf93d72c7ca6881da6953a8bf592e66fac92ff3aa324f58e7a396f1b2763,aa0337d6cd3ba388e6a963fb0d2872b372e8125eb0542aa74e2294938723bb35,4915b19cf6a36a9219ecb51461e4044516b31a065c53d47b76b8e4a58e550a52,0b4b3c614f8473dc98f53ad444e406320ebb7f7e46dc8ace6e3001cc02d9e035,b3a03d618be8f5eeff2fd57b2cec2ce8810de1d71ee82b6067b1542bb505d90d,e6c81665c03ad37060faf17a0ed4cfd0335a17b55cf7271b8525618cee9119c1,6c88ae496f6e73f1fa7d9d950d7890b87bbb3af914f6e6d4fe0f4c18b41818ea,439f5e74f2959c05c79c1c53d30539bcd81892458419f50fa13db7fc6649ae9d,b294d656d81f947d18fed42b1dd7e4ba12f2775d287dba78e7d4d91f47f78ff1,3486bb3185cb46b44aafe1bf957d9d676937f97b857d55f015249eab41fd61f3,057a2873751e54609e474e676e92a01d96f8191fb29d0d685f2bbe3d17a6e11b,9fff0688b05015654296fa142ca27f9413c04161b0d1d054dc2c4fa035b36d76,3fa7782270f8c3832f448cd9ec01a73d74022c1ee34dedc00e6b716154048184,fe7dfce41f07b726c99ced56c06728c09e8dfcbd1d161f7ccb29b2aebc4725e3,89a4cdfaaa8b28cb304d7b8d9d412dadb23d568ce807c9c4488605ae3b057774,d9ee9be5640f243dc676a79e45fdd27058c038ae5424fc95b173336e192098cb,1c35d68ea452ed08fae725f11200ebe29b1668406423343e1e69acdfd710a835,d04d0301336353625804fba92eea3cb0f47974aab46d2861608630070360dd0b,02d455e88d7f7e9c1eaa9856b5d2a6889f48e439f8b550d197ab72cfacfaa0af
"10","12","32006","140001","94002","4","500000","5","500","90008","1","2","1","4","140000","2","1","2","90005"
"1","12","32006","140001","94002","2","500000","10","200","91002","1","2","1","4","21951","2","1","8","25001"
"5","12","32006","140001","94002","4","750000","15","700","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32006","25001","0","4","0","20","300","91002","2","1","2","2","140001","12","1","8","94002"
"5","12","32006","140001","94002","4","750000","25","700","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32006","25001","0","4","0","30","500","91002","3","1","2","2","140001","12","1","8","94002"
"5","12","32006","140001","94002","4","1000000","35","1000","90008","3","2","1","4","140000","2","1","2","90005"
"1000000","0","32006","25001","0","4","0","40","1000","90008","4","1","2","2","140001","12","1","2","94002"
"5","12","32006","140001","94002","4","2000000","45","1250","90008","4","2","1","4","140000","2","1","2","90005"
"2000000","0","32006","25001","0","4","0","50","1500","90008","4","1","2","2","140001","12","1","2","94002"
"500000","0","32007","90005","0","4","0","5","500","90008","1","10","15","2","140001","12","1","2","94002"
"1","12","32007","140001","94002","2","500000","10","100","91002","1","5","1","4","21951","2","1","8","25001"
"750000","0","32007","90005","0","4","0","15","1000","90008","2","5","15","2","140001","12","1","2","94002"
"750000","0","32007","25001","0","4","0","20","150","91002","2","1","5","2","140001","12","1","8","94002"
"750000","0","32007","90005","0","4","0","25","1500","90008","2","5","15","2","140001","12","1","2","94002"
"1","12","32007","140001","94002","2","750000","30","250","91002","3","5","3000","4","90008","2","1","8","25001"
"1000000","0","32007","90005","0","4","0","35","3500","90008","3","5","15","2","140001","12","1","2","94002"
"1000000","0","32007","25001","0","4","0","40","4000","90008","4","1","5","2","140001","12","1","2","94002"
"2000000","0","32007","90005","0","4","0","45","4500","90008","4","5","15","2","140001","12","1","2","94002"
"2000000","0","32007","25001","0","4","0","50","5000","90008","4","1","5","2","140001","12","1","2","94002"
"500000","0","32008","90005","0","4","0","5","500","90008","1","10","15","2","140001","12","1","2","94002"
"1","12","32008","140001","94002","2","500000","10","100","91002","1","5","1","4","21951","2","1","8","25001"
"750000","0","32008","90005","0","4","0","15","1000","90008","2","5","15","2","140001","12","1","2","94002"
"750000","0","32008","25001","0","4","0","20","150","91002","2","1","5","2","140001","12","1","8","94002"
"750000","0","32008","90005","0","4","0","25","1500","90008","2","5","15","2","140001","12","1","2","94002"
"1","12","32008","140001","94002","2","750000","30","250","91002","3","5","3000","4","90008","2","1","8","25001"
"1000000","0","32008","90005","0","4","0","35","3500","90008","3","5","15","2","140001","12","1","2","94002"
"1000000","0","32008","25001","0","4","0","40","4000","90008","4","1","5","2","140001","12","1","2","94002"
"2000000","0","32008","90005","0","4","0","45","4500","90008","4","5","15","2","140001","12","1","2","94002"
"2000000","0","32008","25001","0","4","0","50","5000","90008","4","1","5","2","140001","12","1","2","94002"
"500000","0","32009","90005","0","4","0","5","500","90008","1","10","15","2","140001","12","1","2","94002"
"1","12","32009","140001","94002","2","500000","10","100","91002","1","5","1","4","21951","2","1","8","25001"
"750000","0","32009","90005","0","4","0","15","1000","90008","2","5","15","2","140001","12","1","2","94002"
"750000","0","32009","25001","0","4","0","20","150","91002","2","1","5","2","140001","12","1","8","94002"
"750000","0","32009","90005","0","4","0","25","1500","90008","2","5","15","2","140001","12","1","2","94002"
"1","12","32009","140001","94002","2","750000","30","250","91002","3","5","3000","4","90008","2","1","8","25001"
"1000000","0","32009","90005","0","4","0","35","3500","90008","3","5","15","2","140001","12","1","2","94002"
"1000000","0","32009","25001","0","4","0","40","4000","90008","4","1","5","2","140001","12","1","2","94002"
"2000000","0","32009","90005","0","4","0","45","4500","90008","4","5","15","2","140001","12","1","2","94002"
"2000000","0","32009","25001","0","4","0","50","5000","90008","4","1","5","2","140001","12","1","2","94002"
"500000","0","32010","90005","0","4","0","5","500","90008","1","10","15","2","140001","12","1","2","94002"
"1","12","32010","140001","94002","2","500000","10","100","91002","1","5","1","4","21951","2","1","8","25001"
"750000","0","32010","90005","0","4","0","15","1000","90008","2","5","15","2","140001","12","1","2","94002"
"750000","0","32010","25001","0","4","0","20","150","91002","2","1","5","2","140001","12","1","8","94002"
"750000","0","32010","90005","0","4","0","25","1500","90008","2","5","15","2","140001","12","1","2","94002"
"1","12","32010","140001","94002","2","750000","30","250","91002","3","5","3000","4","90008","2","1","8","25001"
"5","12","32010","140001","94002","2","1000000","35","1","4101401","3","15","3500","4","90008","2","1","18","90005"
"1000000","0","32010","25001","0","4","0","40","4000","90008","4","1","5","2","140001","12","1","2","94002"
"5","12","32010","140001","94002","2","2000000","45","1","4109401","4","15","4500","4","90008","2","1","18","90005"
"2000000","0","32010","25001","0","4","0","50","5000","90008","4","1","5","2","140001","12","1","2","94002"
"500000","0","32011","90005","0","4","0","5","500","90008","1","10","15","2","140001","12","1","2","94002"
"1","12","32011","140001","94002","2","500000","10","100","91002","1","5","1","4","21951","2","1","8","25001"
"750000","0","32011","90005","0","4","0","15","1000","90008","2","5","15","2","140001","12","1","2","94002"
"750000","0","32011","25001","0","4","0","20","150","91002","2","1","5","2","140001","12","1","8","94002"
"750000","0","32011","90005","0","4","0","25","1500","90008","2","5","15","2","140001","12","1","2","94002"
"1","12","32011","140001","94002","2","750000","30","250","91002","3","5","3000","4","90008","2","1","8","25001"
"5","12","32011","140001","94002","2","1000000","35","1","4301401","3","15","3500","4","90008","2","1","18","90005"
"1000000","0","32011","25001","0","4","0","40","4000","90008","4","1","5","2","140001","12","1","2","94002"
"5","12","32011","140001","94002","2","2000000","45","1","4303401","4","15","4500","4","90008","2","1","18","90005"
"2000000","0","32011","25001","0","4","0","50","5000","90008","4","1","5","2","140001","12","1","2","94002"
"500000","0","32012","90005","0","4","0","5","500","90008","1","10","15","2","140001","12","1","2","94002"
"1","12","32012","140001","94002","2","500000","10","100","91002","1","5","1","4","21951","2","1","8","25001"
"750000","0","32012","90005","0","4","0","15","1000","90008","2","5","15","2","140001","12","1","2","94002"
"750000","0","32012","25001","0","4","0","20","150","91002","2","1","5","2","140001","12","1","8","94002"
"750000","0","32012","90005","0","4","0","25","1500","90008","2","5","15","2","140001","12","1","2","94002"
"1","12","32012","140001","94002","2","750000","30","250","91002","3","5","3000","4","90008","2","1","8","25001"
"5","12","32012","140001","94002","2","1000000","35","1","4201401","3","15","3500","4","90008","2","1","18","90005"
"1000000","0","32012","25001","0","4","0","40","4000","90008","4","1","5","2","140001","12","1","2","94002"
"5","12","32012","140001","94002","2","2000000","45","1","4204401","4","15","4500","4","90008","2","1","18","90005"
"2000000","0","32012","25001","0","4","0","50","5000","90008","4","1","5","2","140001","12","1","2","94002"
"500000","0","32013","90005","0","4","0","5","500","90008","1","10","15","2","140001","12","1","2","94002"
"1","12","32013","140001","94002","2","500000","10","100","91002","1","5","1","4","21951","2","1","8","25001"
"750000","0","32013","90005","0","4","0","15","1000","90008","2","5","15","2","140001","12","1","2","94002"
"750000","0","32013","25001","0","4","0","20","150","91002","2","1","5","2","140001","12","1","8","94002"
"750000","0","32013","90005","0","4","0","25","1500","90008","2","5","15","2","140001","12","1","2","94002"
"1","12","32013","140001","94002","2","750000","30","250","91002","3","5","3000","4","90008","2","1","8","25001"
"5","12","32013","140001","94002","2","1000000","35","1","4110401","3","15","3500","4","90008","2","1","18","90005"
"1000000","0","32013","25001","0","4","0","40","4000","90008","4","1","5","2","140001","12","1","2","94002"
"5","12","32013","140001","94002","2","2000000","45","1","4102401","4","15","4500","4","90008","2","1","18","90005"
"2000000","0","32013","25001","0","4","0","50","5000","90008","4","1","5","2","140001","12","1","2","94002"
"500000","0","32014","90005","0","4","0","5","500","90008","1","10","15","2","140001","12","1","2","94002"
"1","12","32014","140001","94002","2","500000","10","100","91002","1","5","1","4","21951","2","1","8","25001"
"750000","0","32014","90005","0","4","0","15","1000","90008","2","5","15","2","140001","12","1","2","94002"
"750000","0","32014","25001","0","4","0","20","150","91002","2","1","5","2","140001","12","1","8","94002"
"750000","0","32014","90005","0","4","0","25","1500","90008","2","5","15","2","140001","12","1","2","94002"
"1","12","32014","140001","94002","2","750000","30","250","91002","3","5","3000","4","90008","2","1","8","25001"
"5","12","32014","140001","94002","2","1000000","35","1","4203401","3","15","3500","4","90008","2","1","18","90005"
"1000000","0","32014","25001","0","4","0","40","4000","90008","4","1","5","2","140001","12","1","2","94002"
"5","12","32014","140001","94002","2","2000000","45","1","4202401","4","15","4500","4","90008","2","1","18","90005"
"2000000","0","32014","25001","0","4","0","50","5000","90008","4","1","5","2","140001","12","1","2","94002"
"500000","0","32015","90005","0","4","0","5","500","90008","1","10","15","2","140001","12","1","2","94002"
"1","12","32015","140001","94002","2","500000","10","100","91002","1","5","1","4","21951","2","1","8","25001"
"750000","0","32015","90005","0","4","0","15","1000","90008","2","5","15","2","140001","12","1","2","94002"
"750000","0","32015","25001","0","4","0","20","150","91002","2","1","5","2","140001","12","1","8","94002"
"750000","0","32015","90005","0","4","0","25","1500","90008","2","5","15","2","140001","12","1","2","94002"
"1","12","32015","140001","94002","2","750000","30","1","4107401","3","5","3000","4","90008","2","1","18","25001"
"5","12","32015","140001","94002","2","1000000","35","250","91002","3","15","3500","4","90008","2","1","8","90005"
"1","12","32015","140001","94002","2","1000000","40","1","4105401","4","5","4000","4","90008","2","1","18","25001"
"2000000","0","32015","90005","0","4","0","45","4500","90008","4","5","15","2","140001","12","1","2","94002"
"1","12","32015","140001","94002","2","2000000","50","1","4106401","4","5","5000","4","90008","2","1","18","25001"
