e41e30ee55887ae92adfce8135d6c0fac0b4a05796bf6a23b9ce64250e9ad924,6f006244f1857f87343f7fbbcb7305bd350cc034814a65fb28bee934a1e53c66,6ebbf469e1931292b0c11552e55061a58d3ff5ddd89a09877464534f224eb162,f351a7694dccaebefcbee56993c838547641fa3acf003c6a2559cf85a1987cfe,34377befb80a20e229384f01bdee5ab4c6ca37a86bb63920c5ba82904cae0789,0a34e32c05757de7a4d7a57dc22fb3e410d25f151064df1490c61399ce654367
"0","105","300418","102","803100261","2146028"
"1","202","300419","113","803100261","2146029"
"1","202","300420","113","803100261","2146030"
"1","202","300421","113","803100262","2146031"
"1","203","300422","114","803100262","2146032"
"0","105","300423","102","803100262","2146033"
"1","208","300424","112","803100262","2146034"
"1","212","300425","110","803100262","2146035"
"1","202","300426","113","803100262","2146036"
"1","202","300427","113","803100262","2146037"
"0","105","300428","102","803100262","2146038"
"0","104","300501","100","803100264","2146051"
"0","104","300502","100","803100264","2146052"
"0","104","300503","100","803100264","2146053"
"0","104","300504","100","803100264","2146054"
"0","105","300505","102","803100264","2146055"
"0","106","300506","103","803100264","2146056"
"0","104","300507","100","803100264","2146057"
"0","104","300508","100","803100264","2146058"
"0","105","300509","102","803100264","2146059"
"0","106","300510","103","803100264","2146060"
"0","104","300511","100","803100265","2146061"
"0","104","300512","100","803100265","2146062"
"0","104","300513","100","803100265","2146063"
"0","104","300514","100","803100265","2146064"
"0","105","300515","102","803100265","2146065"
"0","106","300516","103","803100265","2146066"
"0","104","300517","100","803100265","2146067"
"0","104","300518","100","803100265","2146068"
"0","105","300519","102","803100265","2146069"
"0","106","300520","103","803100265","2146070"
"0","104","300521","100","803100266","2146071"
"0","104","300522","100","803100266","2146072"
"1","202","300523","113","803100266","2146073"
"1","203","300524","114","803100266","2146074"
"0","104","300525","100","803100266","2146075"
"1","208","300526","112","803100266","2146076"
"1","212","300527","110","803100266","2146077"
"1","202","300528","113","803100266","2146078"
"1","203","300529","114","803100266","2146079"
"0","104","300530","100","803100266","2146080"
"1","203","300601","114","803100268","2146091"
"1","202","300602","113","803100268","2146092"
"0","105","300603","102","803100268","2146093"
"1","203","300604","114","803100268","2146094"
"0","106","300605","103","803100268","2146095"
"1","203","300606","114","803100268","2146096"
"1","204","300607","111","803100268","2146097"
"1","203","300608","114","803100268","2146098"
"1","202","300609","113","803100268","2146099"
"0","105","300610","102","803100268","2146100"
"1","203","300611","114","803100269","2147011"
"0","106","300612","103","803100269","2147012"
"1","203","300613","114","803100269","2147013"
"1","204","300614","111","803100269","2147014"
"1","212","300615","110","803100269","2147015"
"1","203","300616","114","803100269","2147016"
"0","105","300617","102","803100269","2147017"
"0","106","300618","103","803100269","2147018"
"1","204","300701","111","803100270","2147021"
"0","104","300702","100","803100270","2147022"
"0","107","300703","101","803100270","2147023"
"1","202","300704","113","803100270","2147024"
"1","203","300705","114","803100270","2147025"
"0","105","300706","102","803100270","2147026"
"1","205","300707","112","803100270","2147027"
"1","204","300708","111","803100270","2147028"
"0","104","300709","100","803100270","2147029"
"0","107","300710","101","803100270","2147030"
"1","202","300711","113","803100271","2147031"
"1","203","300712","114","803100271","2147032"
"0","105","300713","102","803100271","2147033"
"1","205","300714","112","803100271","2147034"
"0","110","300715","107","803100271","2147035"
"1","204","300716","111","803100271","2147036"
"0","104","300717","100","803100271","2147037"
"0","107","300718","101","803100271","2147038"
