185e20755eca61d7bfd0ea81db579fdc22dd92c9c11c784d3191c9e35adfcc3b,41faa269632b8a66bf5561ea3536bc25373155c37f0240e00613260ad90bbfcb,75c2ce01ebe97b9b4ac00ee9fe692e0f5e77d29bb54932de9c6a633b75e4e218,458042676d13e79d98af16df06e76a6a21733b363db6ba0dc1a9ccf3a88758d3,70e9dc0f89da03a4afda7f6a42b4b8c6855593f4836b1266df9793f8b12b3cf2,ebccd8d624a72a00c67fb5f2f28c3d26145814c240fc1105e4b4e88a3c71a6a9,8ece71231e770d490818df4bf1e9bd9896ea2ca5ebbbccaf10c256f4dfe30dd2,20d5efdf31d966ebd1a918a0999fdcf5d0332d33b33c060c1d448a268b9c0dea,e3a9a5a2395566be76cfde89b0f2eb7529de04431ff5c20b117ac92fdc360f34,5cdde249995dc8d86220719a891ee27e98940cea4b2bff1cb51392071a048066,23d9826736c9eb07dbc70c6eb9e8ae32a506105d2e05ad14426f21ab156c2d2d
"1","psy_miyako_fight_in","3","0.2","","0.2","1047","119931","0","psy_miyako_fight_loop","1"
"1","psy_item00_handsup","3","0.2","","0.2","1048","1","0","psy_item00_handsup_loop","1"
"","","93","","","","1049","1.5","","","1"
"","","91","","","","1050","1045","","","1"
"","0","22","","","","1051","0","","","1"
"-200","119931","1","1.7","psy_miyako_start","0","2001","1","100","-300","2"
"-220","106011","1","1.7","psy_walk","1","2002","1","100","300","2"
"1","11","31","1","","","2003","1","0","0","2"
"-200","1","5","1.7","psy_smoke_start","0","2004","1","101","-300","2"
"0","185","2","","","","2005","106011","-220","2","2"
"","","93","","","","2006","2","","","2"
"1","psy_kyaru_talk_arm_crossed","3","0.2","","0","2007","106011","0","psy_kyaru_talk_arm_crossed_loop","2"
"","vo_minigame_1008_drama_0305","21","","","","2008","vo_minigame_1008","0","0","2"
"0","喂，你，\n幫我隨便挑些適合\n帶給貪吃佩可的點心……","11","0","0.5","0","2009","106011","5","1","2"
"","","91","","","","2010","0","","","2"
"","vo_minigame_1008_drama_0306","21","","","","2011","vo_minigame_1008","0","0","2"
"","psy_talk_sad","3","0.2","","","2012","106011","1","","2"
"0","呃，居然不在。\n聽說那傢伙在這邊工作\n我才來的……話說根本沒人在嘛，\n真是粗心的店家呢。","11","0","0.5","0","2013","106011","7","1","2"
"","1","93","","","","2014","4","","","2"
"","psy_talk_sad","3","0.2","","","2015","106011","1","","2"
"","","91","","","","2016","2013","","","2"
"","psy_idle_sad","3","0.2","","","2017","106011","1","","2"
"1","psy_miyako_appear","3","0.2","","0.2","2018","119931","0","psy_miyako_thinking4","2"
"0","psy_smoke_appear","3","0","","0","2019","1","0","psy_smoke_start","2"
"","vo_minigame_1008_drama_0301","21","","","","2020","vo_minigame_1008","0","0","2"
"0","布丁……布丁……\n要製作究極的布丁好難喲……\n好想要能夠讓人靈光一閃的契機……","11","0","1","0","2021","119931","4","1","2"
"","1","93","","","","2022","1","","","2"
"1","psy_surprise","3","0.2","","0.2","2023","106011","0","psy_idle_surprise2","2"
"","","91","","","","2024","2021","","","2"
"","0","22","","","","2025","0","","","2"
"","psy_miyako_idle_thinking","3","0.2","","","2026","119931","1","","2"
"","psy_talk_surprise2","3","0.2","","","2027","106011","1","","2"
"","vo_minigame_1008_drama_0307","21","","","","2028","vo_minigame_1008","0","0","2"
"0","呀啊！？\n妳突然冒出來是幹什麼呀！","11","0","0.5","0","2029","106011","6","1","2"
"","","91","","","","2030","0","","","2"
"","psy_idle_surprise2","3","0.2","","","2031","106011","1","","2"
"","psy_miyako_anger1","3","0.2","","","2032","119931","1","","2"
"","vo_minigame_1008_drama_0302","21","","","","2033","vo_minigame_1008","0","0","2"
"0","擅自進來的人是妳喲，\n宮子沒有錯。\n不要妨礙宮子來的……嗯？\n妳……","11","0","1","0","2034","119931","4","1","2"
"","1","93","","","","2035","8","","","2"
"","psy_miyako_thinking2","3","0.2","","","2036","119931","1","","2"
"","","91","","","","2037","2034","","","2"
"","0","22","","","","2038","0","","","2"
"","psy_talk_sad","3","0.2","","","2039","106011","1","","2"
"","vo_minigame_1008_drama_0308","21","","","","2040","vo_minigame_1008","0","0","2"
"0","幹、幹什麼……","11","0","0.5","0","2041","106011","9","1","2"
"","","91","","","","2042","0","","","2"
"","psy_idle_sad","3","0.2","","","2043","106011","1","","2"
"","psy_miyako_run","3","0.2","","","2044","119931","1","","2"
"0","0","2","","","","2045","119931","-200","2","2"
"","","93","","","","2046","2","","","2"
"","psy_miyako_thinking2","3","0.2","","","2047","119931","1","","2"
"","vo_minigame_1008_drama_0303","21","","","","2048","vo_minigame_1008","0","0","2"
"0","嗯嗯嗯嗯嗯……\n總覺得妳很美味來的……","11","0","1","0","2049","119931","5","1","2"
"","","91","","","","2050","0","","","2"
"","0","22","","","","2051","0","","","2"
"","","93","","","","2052","0.5","","","2"
"","psy_talk_sad","3","0.2","","","2053","106011","1","","2"
"","vo_minigame_1008_drama_0309","21","","","","2054","vo_minigame_1008","0","0","2"
"0","啥？","11","0","0.5","0","2055","106011","4","1","2"
"","","91","","","","2056","0","","","2"
"","psy_idle_sad","3","0.2","","","2057","106011","1","","2"
"","vo_minigame_1008_drama_0304","21","","","","2058","vo_minigame_1008","0","0","2"
"0","人家要把妳變成布丁喲～～！！","11","0","0.5","0","2059","119931","5","1","2"
"","1","93","","","","2060","0.5","","","2"
"1","psy_miyako_attack_in","3","0.2","","0","2061","119931","0","psy_miyako_attack_loop","2"
"","1","93","","","","2062","0.2","","","2"
"1","psy_surprise","3","0.2","","0.2","2063","106011","0","psy_idle_surprise2","2"
"","","91","","","","2064","2059","","","2"
"","0","22","","","","2065","0","","","2"
"","psy_talk_surprise2","3","0.2","","","2066","106011","1","","2"
"","vo_minigame_1008_drama_0310","21","","","","2067","vo_minigame_1008","0","0","2"
"0","搞、搞什麼呀這間店～～！！","11","0","0.5","0","2068","106011","7","1","2"
"","","91","","","","2069","0","","","2"
"","0","4","","","","2070","106011","","","2"
"","psy_run_shy","3","0.2","","","2071","106011","1","","2"
"","psy_miyako_attack_loop_move","3","0.2","","","2072","119931","1","","2"
"0","1000","2","","","","2073","106011","-220","3","2"
"0","1000","2","","","","2074","119931","-220","5","2"
"","","93","","","","2075","3.5","","","2"
"","0","22","","","","2076","0","","","2"
"","","91","","","","2077","0","","","2"
"-150","119931","1","1.65","psy_miyako_gasagoso_B","1","3001","1","100","-250","3"
"-180","105511","1","1.7","psy_walk","1","3002","1","100","340","3"
"1","11","31","1","","","3003","1","0","0","3"
"-220","1","5","1.7","psy_smoke_start","0","3004","1","101","-300","3"
"0","225","2","","","","3005","105511","-180","2","3"
"","","93","","","","3006","2","","","3"
"","psy_talk_wish","3","0.2","","","3007","105511","1","","3"
"","vo_minigame_1008_drama_0203","21","","","","3008","vo_minigame_1008","0","0","3"
"0","這、這裡就是前輩工作的地方吧？","11","0","0.5","0","3009","105511","7","1","3"
"","","91","","","","3010","0","","","3"
"1","psy_ayumi_kyoro_in","3","0.2","","0","3011","105511","0","psy_ayumi_kyoro_loop","3"
"","","93","","","","3012","1.8","","","3"
"","psy_talk_joy1","3","0.2","","","3013","105511","1","","3"
"","vo_minigame_1008_drama_0204","21","","","","3014","vo_minigame_1008","0","0","3"
"0","哇～好多看起來很美味的甜點\n擺在那邊呢……前輩做的甜點\n是不是也在裡面呢？","11","0","0.5","0","3015","105511","6","1","3"
"","","91","","","","3016","0","","","3"
"","psy_talk_call","3","0.2","","","3017","105511","1","","3"
"","vo_minigame_1008_drama_0205","21","","","","3018","vo_minigame_1008","0","0","3"
"0","那個……請給我一份這個甜點。\n那個～不好意思～\n沒聽到我的聲音嗎？","11","0","0.5","0","3019","105511","7","1","3"
"","1","93","","","","3020","3","","","3"
"0","5","12","0","0","0","3021","119931","0.8","1","3"
"","0","4","","","","3022","119931","","","3"
"","psy_miyako_idle_thinking","3","0","","","3023","119931","1","","3"
"","1","93","","","","3024","1.5","","","3"
"","1","4","","","","3025","119931","","","3"
"","psy_miyako_gasagoso_B","3","0","","","3026","119931","1","","3"
"","1","93","","","","3027","0.5","","","3"
"","psy_talk_sad","3","0.2","","","3028","105511","1","","3"
"","","91","","","","3029","3019","","","3"
"","psy_talk_wish","3","0.2","","","3030","105511","1","","3"
"","vo_minigame_1008_drama_0206","21","","","","3031","vo_minigame_1008","0","0","3"
"0","總、總之我把錢放在這裡了，\n再見！","11","0","0.5","0","3032","105511","6","1","3"
"","1","93","","","","3033","2","","","3"
"","psy_gasagoso_B2","3","0.2","","","3034","105511","1","","3"
"","1","93","","","","3035","1","","","3"
"1","psy_pekori","3","0.2","","0.2","3036","105511","0","psy_idle_normal","3"
"","","91","","","","3037","3032","","","3"
"","0","4","","","","3038","105511","","","3"
"","psy_run","3","0.2","","","3039","105511","1","","3"
"0","1000","2","","","","3040","105511","-180","3","3"
"","","93","","","","3041","3","","","3"
"","","93","","","","3042","0.5","","","3"
"","psy_miyako_idle_thinking","3","0","","","3043","119931","1","","3"
"","","93","","","","3044","2","","","3"
"","0","4","","","","3045","119931","","","3"
"","psy_miyako_run","3","0.2","","","3046","119931","1","","3"
"0","0","2","","","","3047","119931","-165","2","3"
"","","93","","","","3048","2","","","3"
"","psy_miyako_thinking4","3","0.2","","","3049","119931","1","","3"
"","vo_minigame_1008_drama_0201","21","","","","3050","vo_minigame_1008","0","0","3"
"0","……？\n不知不覺出現了錢幣喲！\n剛才明明沒看到來的！\n好可怕！該不會有幽靈吧？","11","0","0.5","0","3051","119931","4","1","3"
"","1","93","","","","3052","4","","","3"
"","psy_miyako_panic1","3","0.2","","","3053","119931","1","","3"
"","","91","","","","3054","3051","","","3"
"","0","22","","","","3055","0","","","3"
"1","psy_miyako_surprise2_in","3","0.2","","0","3056","119931","0","psy_miyako_surprise2_loop","3"
"","vo_minigame_1008_drama_0202","21","","","","3057","vo_minigame_1008","0","0","3"
"0","……！\n突然想到了布丁的靈感喲！\n不過腦海中浮現出的臉，宮子沒有印象。\n這傢伙…………是誰來的？","11","0","1","0","3058","119931","4","1","3"
"","1","93","","","","3059","4","","","3"
"","psy_miyako_thinking4","3","0.2","","","3060","119931","1","","3"
"","","91","","","","3061","3058","","","3"
"","0","22","","","","3062","0","","","3"
"","","93","","","","3063","1","","","3"
"","","91","","","","3064","0","","","3"
"-200","119931","1","1.7","psy_miyako_start","0","4001","1","100","-300","4"
"-220","107131","1","1.7","psy_walk","1","4002","1","100","300","4"
"1","11","31","1","","","4003","1","0","0","4"
"-200","1","5","1.7","psy_smoke_start","0","4004","1","101","-300","4"
"0","185","2","","","","4005","107131","-220","2","4"
"","","93","","","","4006","2","","","4"
"1","psy_talk_doya","3","0.2","","0.2","4007","107131","0","psy_talk_doya_loop","4"
"","vo_minigame_1008_drama_0405","21","","","","4008","vo_minigame_1008","0","0","4"
"0","聽說這間店蔚為話題，\n克莉絲提娜我便來拜訪了唷☆","11","0","0.5","0","4009","107131","6","1","4"
"","","91","","","","4010","0","","","4"
"","psy_idle_doya","3","0.2","","","4011","107131","1","","4"
"","psy_talk_sad","3","0.2","","","4012","107131","1","","4"
"","vo_minigame_1008_drama_0406","21","","","","4013","vo_minigame_1008","0","0","4"
"0","……嗯？這不是沒人在嗎？\n難得我來替慈樂之音\n買點慰勞品。\n喂，有沒有人在啊？","11","0","0.5","0","4014","107131","6","1","4"
"","1","93","","","","4015","6","","","4"
"","psy_talk_call","3","0.2","","","4016","107131","1","","4"
"","","91","","","","4017","4014","","","4"
"","psy_idle_arm_crossed","3","0.2","","","4018","107131","1","","4"
"1","psy_miyako_appear","3","0","","0.2","4019","119931","0","psy_miyako_talk_joy1","4"
"0","psy_smoke_appear","3","0","","0","4020","1","0","psy_smoke_start","4"
"","vo_minigame_1008_drama_0401","21","","","","4021","vo_minigame_1008","0","0","4"
"0","啊！妳是！\n給人家巨大布丁的傢伙來的！\n又要送布丁給宮子了嗎？","11","0","0.5","0","4022","119931","5","1","4"
"","","91","","","","4023","0","","","4"
"","0","22","","","","4024","0","","","4"
"","psy_miyako_idle","3","0.2","","","4025","119931","1","","4"
"","psy_talk_normal","3","0.2","","","4026","107131","1","","4"
"","vo_minigame_1008_drama_0407","21","","","","4027","vo_minigame_1008","0","0","4"
"0","妳是……哦，之前\n在聖誕節有碰過面呢。\n今天我不是聖誕老人，\n而是作為客人過來的。","11","0","0.5","0","4028","107131","6","1","4"
"","","91","","","","4029","0","","","4"
"","psy_idle_normal","3","0.2","","","4030","107131","1","","4"
"","psy_miyako_sad1","3","0.2","","","4031","119931","1","","4"
"","vo_minigame_1008_drama_0402","21","","","","4032","vo_minigame_1008","0","0","4"
"0","人家沒空理不給布丁的人喲。\n老奶奶也不在家，\n快滾吧。","11","0","0.5","0","4033","119931","4","1","4"
"","1","93","","","","4034","5","","","4"
"","psy_miyako_talk4","3","0.2","","","4035","119931","1","","4"
"","","91","","","","4036","4033","","","4"
"","0","22","","","","4037","0","","","4"
"","psy_miyako_idle2","3","0.2","","","4038","119931","1","","4"
"1","psy_ahaha_in","3","0.2","","0.2","4039","107131","0","psy_ahaha_loop","4"
"","vo_minigame_1008_drama_0408","21","","","","4040","vo_minigame_1008","0","0","4"
"0","哈哈哈！\n對我克莉絲提娜竟然如此\n口無遮攔。真是有趣☆","11","0","0.5","0","4041","107131","5","1","4"
"","1","93","","","","4042","1.7","","","4"
"","psy_talk_joy1","3","0.2","","","4043","107131","1","","4"
"","","91","","","","4044","4041","","","4"
"1","psy_talk_doya","3","0.2","","0.2","4045","107131","0","psy_talk_doya_loop","4"
"","vo_minigame_1008_drama_0409","21","","","","4046","vo_minigame_1008","0","0","4"
"0","這下無論如何我都要\n買到妳的甜點了。","11","0","0.5","0","4047","107131","6","1","4"
"","","91","","","","4048","0","","","4"
"","psy_idle_wish","3","0.2","","","4049","107131","1","","4"
"","psy_miyako_panic1","3","0.2","","","4050","119931","1","","4"
"","vo_minigame_1008_drama_0403","21","","","","4051","vo_minigame_1008","0","0","4"
"0","為什麼會變成這樣！？\n趕快回去來的！","11","0","0.5","0","4052","119931","5","1","4"
"","","91","","","","4053","0","","","4"
"","0","22","","","","4054","0","","","4"
"","psy_miyako_idle_panic","3","0.2","","","4055","119931","1","","4"
"1","psy_cris_approach_in","3","0.2","","0","4056","107131","0","psy_cris_approach_loop","4"
"","vo_minigame_1008_drama_0410","21","","","","4057","vo_minigame_1008","0","0","4"
"0","哦？這不是有\n做到一半的布丁嗎？\n嗯……親手製作的慰勞品\n應該也蠻讓人高興的吧。","11","0","0.5","0","4058","107131","7","1","4"
"","1","93","","","","4059","4","","","4"
"1","psy_talk_arm_crossed","3","0.2","","0","4060","107131","0","psy_talk_arm_crossed_loop","4"
"","","91","","","","4061","4058","","","4"
"","psy_talk_joy1","3","0.2","","","4062","107131","1","","4"
"","vo_minigame_1008_drama_0411","21","","","","4063","vo_minigame_1008","0","0","4"
"0","好！我就來做布丁吧！\n妳也來幫忙，\n還我聖誕節的人情吧。","11","0","0.5","0","4064","107131","5","1","4"
"","","91","","","","4065","0","","","4"
"","psy_idle_joy1","3","0.2","","","4066","107131","1","","4"
"","psy_miyako_anger2","3","0.2","","","4067","119931","1","","4"
"","vo_minigame_1008_drama_0404","21","","","","4068","vo_minigame_1008","0","0","4"
"0","為、為什麼會變成那樣──！？","11","0","0.5","0","4069","119931","6","1","4"
"","","93","","","","4070","4","","","4"
"","","91","","","","4071","0","","","4"
"-200","119931","1","1.7","psy_miyako_start","0","5001","1","100","-300","5"
"-220","104931","1","1.7","psy_walk","1","5002","1","100","300","5"
"1","11","31","1","","","5003","1","0","0","5"
"-200","1","5","1.7","psy_smoke_start","0","5004","1","101","-300","5"
"0","185","2","","","","5005","104931","-220","2","5"
"","","93","","","","5006","2","","","5"
"","psy_talk_wish","3","0.2","","","5007","104931","1","","5"
"","vo_minigame_1008_drama_0504","21","","","","5008","vo_minigame_1008","0","0","5"
"0","弟弟和璃乃\n就是在這間甜點店幫忙吧！\n弟弟！姐姐來找你了唷！！","11","0","0.5","0","5009","104931","5","1","5"
"","1","93","","","","5010","4.3","","","5"
"","psy_talk_joy1","3","0.2","","","5011","104931","1","","5"
"","","91","","","","5012","5009","","","5"
"","psy_idle_joy1","3","0.2","","","5013","104931","1","","5"
"1","psy_miyako_appear","3","0","","0.2","5014","119931","0","psy_miyako_talk3","5"
"0","psy_smoke_appear","3","0","","0","5015","1","0","psy_smoke_start","5"
"","vo_minigame_1008_drama_0501","21","","","","5016","vo_minigame_1008","0","0","5"
"0","吵死了喲。\n突然喊什麼喊啊？","11","0","0.5","0","5017","119931","5","1","5"
"","","91","","","","5018","0","","","5"
"","0","22","","","","5019","0","","","5"
"","psy_miyako_idle","3","0.2","","","5020","119931","1","","5"
"","psy_talk_joy1","3","0.2","","","5021","104931","1","","5"
"","vo_minigame_1008_drama_0505","21","","","","5022","vo_minigame_1008","0","0","5"
"0","啊！妳就是宮子吧？\n我有聽璃乃提過妳！\n初次見面，我是弟弟的姐姐唷！","11","0","0.5","0","5023","104931","6","1","5"
"","","93","","","","5024","4","","","5"
"","psy_talk_wish","3","0.2","","","5025","104931","1","","5"
"","","91","","","","5026","5023","","","5"
"","","91","","","","5027","0","","","5"
"","psy_idle_wish","3","0.2","","","5028","104931","1","","5"
"","psy_miyako_anger3","3","0.2","","","5029","119931","1","","5"
"","vo_minigame_1008_drama_0502","21","","","","5030","vo_minigame_1008","0","0","5"
"0","妳是不是那傢伙的姐姐\n都與人家無關喲。\n宮子正在忙著做布丁喲。","11","0","0.5","0","5031","119931","4","1","5"
"","1","93","","","","5032","5","","","5"
"1]","psy_miyako_arm_crossed_in","3","0.2","","0","5033","119931","0","psy_miyako_arm_crossed_loop","5"
"","","91","","","","5034","5031","","","5"
"","0","22","","","","5035","0","","","5"
"","psy_miyako_arm_crossed_idle","3","0.2","","","5036","119931","1","","5"
"","psy_talk_wish","3","0.2","","","5037","104931","1","","5"
"","vo_minigame_1008_drama_0506","21","","","","5038","vo_minigame_1008","0","0","5"
"0","第一次遇到這種無所謂的反應，\n姐姐還是有點受傷的！\n畢竟愛的相反\n聽說就是漠不關心呢！","11","0","0.5","0","5039","104931","7","1","5"
"","","91","","","","5040","0","","","5"
"","psy_talk_joy2","3","0.2","","","5041","104931","1","","5"
"","vo_minigame_1008_drama_0507","21","","","","5042","vo_minigame_1008","0","0","5"
"0","好～！\n我現在馬上來向宮子獻上\n關於弟弟與姐姐，\n愛與命運交織的故事吧！","11","0","0.5","0","5043","104931","7","1","5"
"","","91","","","","5044","0","","","5"
"","psy_talk_memory","3","0.2","","","5045","104931","1","","5"
"","vo_minigame_1008_drama_0508","21","","","","5046","vo_minigame_1008","0","0","5"
"0","首先從命運的相遇聽我娓娓道來……","11","0","0.5","0","5047","104931","8","1","5"
"","","91","","","","5048","0","","","5"
"","psy_idle_memory","3","0.2","","","5049","104931","1","","5"
"","psy_miyako_sad1","3","0.2","","","5050","119931","1","","5"
"","vo_minigame_1008_drama_0503","21","","","","5051","vo_minigame_1008","0","0","5"
"0","（好像有什麼開始了……\n因為很麻煩宮子要消失……）","11","0","0.5","0","5052","119931","5","1","5"
"","","91","","","","5053","0","","","5"
"","0","22","","","","5054","0","","","5"
"","psy_miyako_hide","3","0.2","","","5055","119931","0","","5"
"0","psy_smoke_hide","3","0","","0","5056","1","0","psy_smoke_start","5"
"","","93","","","","5057","2","","","5"
"","","91","","","","5058","0","","","5"
"-200","119931","1","1.7","psy_miyako_idle_thinking","1","6001","1","100","-300","6"
"-220","103131","1","1.7","psy_walk","1","6002","1","100","300","6"
"1","11","31","1","","","6003","1","0","0","6"
"0","17","12","0","0","0","6004","119931","2","0","6"
"0","185","2","","","","6005","103131","-220","2","6"
"","","93","","","","6006","2","","","6"
"","psy_talk_wish","3","0.2","","","6007","103131","1","","6"
"","vo_minigame_1008_drama_0605","21","","","","6008","vo_minigame_1008","0","0","6"
"0","午安，\n我聽說宮子在甜點店幫忙，\n就過來看看了。","11","0","0.5","0","6009","103131","4","1","6"
"","","91","","","","6010","0","","","6"
"","psy_idle_wish","3","0.2","","","6011","103131","1","","6"
"","0","4","","","","6012","119931","","","6"
"1","psy_miyako_surprise2_in","3","0.2","","0.2","6013","119931","0","psy_miyako_talk_joy2","6"
"","","93","","","","6014","1","","","6"
"","vo_minigame_1008_drama_0601","21","","","","6015","vo_minigame_1008","0","0","6"
"0","忍！妳來得正好！\n宮子現在遇到了一點麻煩喲！","11","0","0.5","0","6016","119931","5","1","6"
"","1","93","","","","6017","3","","","6"
"","psy_miyako_talk2","3","0.2","","","6018","119931","1","","6"
"","","91","","","","6019","6016","","","6"
"","0","22","","","","6020","0","","","6"
"","psy_miyako_idle_sad","3","0.2","","","6021","119931","1","","6"
"","psy_talk_sad","3","0.2","","","6022","103131","1","","6"
"","vo_minigame_1008_drama_0606","21","","","","6023","vo_minigame_1008","0","0","6"
"0","怎麼了嗎？\n啊，難道妳把要賣的布丁\n不小心吃掉了嗎？\n那麼我們一起道歉吧。","11","0","0.5","0","6024","103131","6","1","6"
"","","91","","","","6025","0","","","6"
"","psy_idle_sad","3","0.2","","","6026","103131","1","","6"
"","psy_miyako_panic3","3","0.2","","","6027","119931","1","","6"
"","vo_minigame_1008_drama_0602","21","","","","6028","vo_minigame_1008","0","0","6"
"0","不是啦！宮子現在打算做出\n究極的布丁喲！\n不過，想不到什麼\n好點子……","11","0","0.5","0","6029","119931","3","1","6"
"","1","93","","","","6030","5.5","","","6"
"","psy_miyako_sad2","3","0.2","","","6031","119931","1","","6"
"","","91","","","","6032","6029","","","6"
"","0","22","","","","6033","0","","","6"
"","psy_miyako_idle_sad","3","0.2","","","6034","119931","1","","6"
"1","psy_surprise","3","0.2","","0.2","6035","103131","0","psy_talk_surprise1","6"
"","vo_minigame_1008_drama_0607","21","","","","6036","vo_minigame_1008","0","0","6"
"0","宮子……自己……\n做布丁……","11","0","0.5","0","6037","103131","6","1","6"
"","","91","","","","6038","0","","","6"
"","psy_idle_surprise1","3","0.2","","","6039","103131","1","","6"
"","psy_miyako_talk2","3","0.2","","","6040","119931","1","","6"
"","vo_minigame_1008_drama_0603","21","","","","6041","vo_minigame_1008","0","0","6"
"0","妳怎麼了？","11","0","0.5","0","6042","119931","5","1","6"
"","","91","","","","6043","0","","","6"
"","0","22","","","","6044","0","","","6"
"","psy_miyako_idle","3","0.2","","","6045","119931","1","","6"
"","psy_talk_joy1","3","0.2","","","6046","103131","1","","6"
"","vo_minigame_1008_drama_0608","21","","","","6047","vo_minigame_1008","0","0","6"
"0","呵呵，不，沒事。\n雖然不知道我能不能派上用場，\n我會盡全力幫忙的。","11","0","0.5","0","6048","103131","5","1","6"
"","1","93","","","","6049","4","","","6"
"","psy_talk_wish","3","0.2","","","6050","103131","1","","6"
"","","91","","","","6051","6048","","","6"
"","psy_idle_wish","3","0.2","","","6052","103131","1","","6"
"","psy_miyako_joy1","3","0.2","","","6053","119931","1","","6"
"","vo_minigame_1008_drama_0604","21","","","","6054","vo_minigame_1008","0","0","6"
"0","謝謝妳喲！\n只要忍跟宮子一起就是最強的！\n絕對能夠做出\n好吃的布丁喲！","11","0","0.5","0","6055","119931","5","1","6"
"","1","93","","","","6056","5","","","6"
"1","psy_miyako_guts1_in","3","0.2","","0","6057","119931","0","psy_miyako_guts1_loop","6"
"","","91","","","","6058","6055","","","6"
"","0","22","","","","6059","0","","","6"
"","","93","","","","6060","1.5","","","6"
"","","91","","","","6061","0","","","6"
"-200","119931","1","1.7","psy_miyako_idle","0","7001","1","100","-200","7"
"-220","1","5","1.7","psy_fairy_idle","0","7002","1","100","125","7"
"1","11","31","1","","","7003","1","0","0","7"
"","","93","","","","7004","2","","","7"
"","psy_fairy_talk","3","0.2","","","7005","1","1","","7"
"","vo_minigame_1008_drama_9902","21","","","","7006","vo_minigame_1008","0","0","7"
