d2da11d13e59b4d45a8a06fe7cfa7aca2d3b735e750988af7b0edd74b6e08cb2,977abeb6513e56ea7f9553245093020bba6abd770d92c41d60fce3cfe45d4f7c,516337381c10d52fc65543e666d4e37a63f35c8f59ddf83e5e79121be872de72,4f206b1ed39349de360f37daca21e02a99cbecdd1ce6e06f01c667b8f872d5c0,ec354d4a163dd9e51fe87331b01d0ed00ab3202e6d4d5be9f669a19b58307f34,81c17fbe28e35560f2fe8cde70e3d73868fdd1d85454b953d098651ca47e7ef0,e6bdb62bfe7265e8df9454c1279658dc5b52e2f7e686891dc17dfd8674a7dbad,6175ccc32172e4630984e5874d6fb0ea2b9bb633a2011af98e8cfc41a86ad9b5,5c9596a01fed5a2e743758e71bc818482d1e2f1bb41e4e5e120def08084e2908,cb37eac7ea54e2eeacbe8b08fecc798f6b11f71782037e6a43e0e4ad1b542a05,2e93d57779e5a43891468c837ea88014e7f58945680bce15ced5003efdf991a3,e2e222509b1f7dbfc920d0ec2e1cda8e09f455b8296f6d6b75f01169e90b17d6,cd4a79aac44089825e6c9177ebe072c6309330ab2f61ba2f670360cfe89a6dd4,5c2fb17b8df43f2a84072d3e53e30f9ff519d0f1830adba64f32d1cbcb0de8de
"0","0","2020/07/31 12:00:00","24011","192501","1","10046","贏了！","2030/12/17 14:59:59","1","502","24","0",""
"0","0","2020/07/31 12:00:00","24012","192501","1","10046","感覺不錯！","2030/12/17 14:59:59","1","503","24","0",""
"5.33","0","2020/07/31 12:00:00","24013","113501","6","10046","哎呀～該不會我\n不小心贏了嗎？\n可能是因為我有\n看著大家練習吧～","2030/12/17 14:59:59","2","111","24","0","美里"
"6.85","0","2020/07/31 12:00:00","24014","113501","1","10046","老師想幫上大家的忙，\n所以也努力試試看了～！\n看來似乎有順利丟出去，\n太好了～！","2030/12/17 14:59:59","2","112","24","0","美里"
"3","0","2020/07/31 12:00:00","24015","113501","1","10046","練習辛苦了～！\n老師也很高興\n能夠幫上忙喔～♪\n接下來也一起努力加油吧～！","2030/12/17 14:59:59","2","113","24","0","美里"
"6.11","0","2020/07/31 12:00:00","24016","192401","1","10046","看來練習得還不夠啊，\n我甚至沒有\n拿出真本事投呢，\n再練一次！","2030/12/17 14:59:59","2","611","24","0","大地"
"6.75","0","2020/07/31 12:00:00","24017","192401","1","10046","哼，這是理所當然的結果。\n我的球才不會讓任何人打到！\n要是還想繼續打，\n我就奉陪到底！","2030/12/17 14:59:59","2","612","24","0","大地"
"0","0","2020/07/31 12:00:00","24018","192401","2","10046","很好！\n就以這股氣勢，朝全國前進吧！\n看我用三振解決掉所有對手！","2030/12/17 14:59:59","2","613","24","0","大地"
"4.52","0","2020/07/31 12:00:00","24019","113401","2","10046","閃亮亮☆\n初音大勝利喲～！\n為了讓大家能更加進步，\n我也會繼續努力下去的！","2030/12/17 14:59:59","1","211","24","0","初音"
"3.89","0","2020/07/31 12:00:00","24020","113401","2","10046","好耶！我贏了！\n不管是啦啦隊還是投手，\n都交給我初音吧！","2030/12/17 14:59:59","1","212","24","0","初音"
"13.49","0","2020/07/31 12:00:00","24021","113401","1","10046","很好～就像這樣繼續\n努力吧……雖然是這麼想，\n但因為用了超能力……\n我開始想睡了……呼嚕……","2030/12/17 14:59:59","2","213","24","0","初音"
"3.17","0","2020/07/31 12:00:00","24022","106501","1","10046","真是場好比賽！\n我太熱血沸騰，\n不小心就用全力丟球了。","2030/12/17 14:59:59","2","311","24","0","嘉夜"
"4.42","0","2020/07/31 12:00:00","24023","106501","1","10046","如何？\n老娘的球很熾熱吧！\n不過，你們的鬥志\n也是挺不錯的喔。","2030/12/17 14:59:59","2","312","24","0","嘉夜"
"2.89","0","2020/07/31 12:00:00","24024","106501","6","10046","什麼嘛，就這點程度而已嗎？\n我還完全沒投個夠呢，\n再繼續比下去吧！","2030/12/17 14:59:59","1","313","24","0","嘉夜"
"3.71","0","2020/07/31 12:00:00","24025","102301","4","10046","差一點點了說～！\n下次我一定會跟噗吉一起\n贏給你們看的！","2030/12/17 14:59:59","3","421","24","0","綾音"
"5.1","0","2020/07/31 12:00:00","24026","192201","2","10046","真是一場好比賽呢！\n不過果然還是好不甘心……\n我會再多做練習，\n下次絕對會是我贏！","2030/12/17 14:59:59","1","721","24","0","旭"
"4.34","0","2020/07/31 12:00:00","24027","192301","1","10046","嘖……還差一步啊。\n下次我一定會贏的，\n做好心理準備吧。","2030/12/17 14:59:59","3","821","24","0","社員3"
"0","0","2020/07/31 12:00:00","24028","192501","1","10046","真是一場好比賽，\n下次再比一次吧。","2030/12/17 14:59:59","1","521","24","0",""
"5.62","-360","2020/07/31 12:00:00","24029","113501","1","10046","做得非常好喔～♪\n看你這麼努力，老師很開心，\n今後也為了比賽，\n一起繼續練習下去吧～","2030/12/17 14:59:59","2","101","24","0","美里"
"9.58","-360","2020/07/31 12:00:00","24030","113501","1","10046","這是你努力的成果呢～！\n照這樣繼續練習下去，\n應該會獲得更棒的成績吧。\n我很期待喔～！","2030/12/17 14:59:59","2","102","24","0","美里"
"0","-360","2020/07/31 12:00:00","24031","113501","2","10046","好孩子，好孩子～♪\n你這麼認真努力，\n我要好～好誇獎一番。","2030/12/17 14:59:59","2","103","24","0","美里"
"9.13","-360","2020/07/31 12:00:00","24032","113501","2","10046","朝著夢想前進了一步呢。\n照這個步調，一起實現夢想吧。\n目標是全國大賽～！","2030/12/17 14:59:59","1","104","24","0","美里"
"8.27","-360","2020/07/31 12:00:00","24033","113501","1","10046","狀態很好呢～♪\n你比賽時一定也會\n大有活躍的。\n我很期待喔～！","2030/12/17 14:59:59","2","105","24","0","美里"
