1da543f715b151f597be375a9fed3f74b579ee4a31bb5285ea390b200e2ee94d,80e1ef3ea5bf8616b9294d4ccf1c23ff7c34ea242d219bec4b842d73b92dc4b3,ec6b9d3f7dd0f32ad1574e4ca877e338c9e062f8dbe657f6edd62dc57f48e9c8,5ea2ab1e53152ab5a2904962d5ece1c1fc609e22e7d50015384c757bdd72c278,4b2237032e88becd3b9eb1c102dcdcbcdd32f477a6b8501782401a4503d10eae,5a8f705173f8afd57f975b7ef0d1ded04cf7a9dd5b95368f0e4cb16edf38d3eb,4d46a6bf4f85b669c55a00756241534e5dd850007b1b5a61fbcd088ad0a87bb1,041c3845be4aac8ab7ae8e1ac823059bb8632bcf6d22d24bea6ff6308e2ae141,859c5bda9e902eb409b6391dc48b0039d46bd35afe623ab96b40da7129b09559,b6b2b9c83175af20424a1e64bd6a1b107cd52d5adcf82a30a7418478fa5c64e3,829dfbc9b0efce1016360f16f623299f36a04435c1a946f6ea36df8a88c37ba0
"2","4","","101","11010045","1","","","","",""
"2","3","nyx_101_chieru_loop","101","11010046","nyx_101_chieru_02","","0.2","0","","1"
"110931","3","nyx_101_chieru_loop","101","11010047","nyx_101_chieru_02","","0.2","0","","1"
"104831","3","","101","11010048","nyx_idle_sad","","0.2","1","",""
"104631","3","","101","11010049","nyx_talk_sad","","0.2","1","",""
"104631","11","","101","11010050","聽起來好像在說什麼\n切嚕切嚕的喵……\n好恐怖喵……","","","10","",""
"0","91","","101","11010051","","","","","",""
"104631","3","","101","11010052","nyx_idle_sad","","0.2","1","",""
"103431","3","","101","11010053","nyx_talk_sad","","0.2","1","",""
"103431","11","","101","11010054","該不會是學校的七大\n不可思議之類的吧……\n好、好想回家……","","","10","",""
"0","91","","101","11010055","","","","","",""
"103431","3","","101","11010056","nyx_idle_sad","","0.2","1","",""
"103231","3","","101","11010057","nyx_talk_joy2","","0.2","1","",""
"103231","11","","101","11010058","還真是有趣呢！\n對於待會會出現什麼\n我感到非常期待呢！","","","10","",""
"0","91","","101","11010059","","","","","",""
"0.4","93","","101","11010060","","","","","",""
"110931","4","","101","11010061","0","","","","",""
"2","4","","101","11010062","0","","","","",""
"110931","3","nyx_101_chieru_loop","101","11010063","nyx_101_chieru_01","","0.2","0","","1"
"2","3","nyx_101_chieru_loop","101","11010064","nyx_101_chieru_01","","0.2","0","","1"
"104831","12","","101","11010065","1","","","1","",""
"104831","3","nyx_idle_sad","101","11010066","nyx_talk_sad","","0.2","0","0.2","1"
"0.4","93","","101","11010067","","","","","",""
"3","32","","101","11010068","0","","","","",""
"3","32","","101","11010069","1","","","","",""
"1.6","93","","101","11010070","","","","","",""
"104631","12","","101","11010071","15","","","1","",""
"104631","3","nyx_idle_sad","101","11010072","nyx_talk_sad","","0.2","0","0.2","1"
"3","93","","101","11010073","","","","","",""
"110931","4","","101","11010074","1","","","","",""
"2","4","","101","11010075","1","","","","",""
"110931","3","nyx_101_chieru_loop","101","11010076","nyx_101_chieru_02","","0.2","0","","1"
"2","3","nyx_101_chieru_loop","101","11010077","nyx_101_chieru_02","","0.2","0","","1"
"103231","12","","101","11010078","10","","","1","",""
"103231","3","nyx_idle_joy1","101","11010079","nyx_talk_joy1","","0.2","0","0.2","1"
"2","93","","101","11010080","","","","","",""
"103431","12","","101","11010081","2","","","1","",""
"103431","3","nyx_idle_sad","101","11010082","nyx_talk_sad","","0.2","0","0.2","1"
"2.5","93","","101","11010083","","","","","",""
"11010060","101","","101","11010084","","","","","",""
"1","1","-362","102","11020001","110831","nyx_102_chloe_01","1.35","110","1","-209.3"
"1","1","90","102","11020002","104831","nyx_102_mifuyu_01","1.35","110","0","-182.5"
"1","1","220","102","11020003","104631","nyx_idle_normal","1.35","110","0","-182.5"
"1","1","336","102","11020004","103231","nyx_talk_normal","1.35","110","1","-182.5"
"1","1","457","102","11020005","103431","nyx_idle_normal","1.35","110","1","-182.5"
"1","31","0","102","11020006","1","","1","0","","1"
"2","5","-362","102","11020007","2","NoItem","1.35","120","0","-209.3"
"bgm_M347","25","","102","11020008","bgm_M347","","","","",""
"2","93","","102","11020009","","","","","",""
"110831","3","","102","11020010","nyx_102_chloe_02","","0.2","1","",""
"110831","11","","102","11020011","再來輪到我了啊……\n呃，接在琪愛兒後面\n總有種不利的感覺？","","","10","",""
"0","91","","102","11020012","1","","","","",""
"110831","3","","102","11020013","nyx_idle_sad","","0.2","1","",""
"110831","11","","102","11020014","那傢伙絕對一見面\n就切嚕切嚕地喊\n把整個氣氛搞冷……","","","10","",""
"0","91","","102","11020015","1","","","","",""
"110831","3","nyx_102_chloe_02","102","11020016","cmn_pose02_def_N","","0.2","0","0.2","1"
"110831","11","","102","11020017","不過算了，怎樣都好\n……話說裡面的那些人\n應該沒事吧？","","","10","",""
"3","93","","102","11020018","","","","","",""
"103231","3","","102","11020019","nyx_idle_normal","","0.2","1","",""
"104631","3","","102","11020020","nyx_talk_sad","","0.2","1","",""
"110831","4","","102","11020021","0","","","","",""
"11020016","91","","102","11020022","","","","","",""
"1","93","","102","11020023","","","","","",""
"110831","3","","102","11020024","nyx_102_chloe_01","","0.2","1","",""
"110831","11","","102","11020025","像是被那股切嚕之氣\n嚇到而變得不正常……\n……不，應該不至於吧","","","10","",""
"2.5","93","","102","11020026","","","","","",""
"110831","3","nyx_102_chloe_03_loop","102","11020027","nyx_102_chloe_03","","0.2","0","","1"
"2","3","nyx_102_chloe_03_loop","102","11020028","nyx_102_chloe_03","","0.2","0","","1"
"11020025","91","","102","11020029","","","","","",""
"1","93","","102","11020030","","","","","",""
"104831","11","","102","11020031","切嚕……切嚕……","","","10","",""
"1.5","93","","102","11020032","","","","","",""
"104631","4","","102","11020033","1","","","0","",""
"104631","3","nyx_idle_surprise2","102","11020034","cmn_shock_def_N","","0.2","0","0.2","1"
"103431","3","nyx_idle_surprise2","102","11020035","cmn_shock_def_N","","0.2","0","0.2","1"
"103231","3","nyx_idle_surprise1","102","11020036","nyx_surprise","","0.2","0","0.2","1"
"1.5","93","","102","11020037","","","","","",""
"104631","3","","102","11020038","nyx_talk_surprise2","","0.2","1","0.2","1"
"103431","3","","102","11020039","nyx_102_yukari_01","","0.2","1","",""
"103431","11","","102","11020040","美冬！\n振作一點切嚕！\n沒那麼嚴重切嚕！","","","10","",""
"0","91","","102","11020041","1","","","","",""
"103431","3","nyx_102_tamaki_01_loop","102","11020042","cmn_shock_def_N","","0.2","0","0.2","1"
"103231","4","","102","11020043","0","","","0","",""
"104631","4","","102","11020044","0","","","0","",""
"0","91","","102","11020045","","","","","",""
"104631","11","","102","11020046","不行了喵……\n美冬和優花梨都\n為時已晚切……喵！","","","10","",""
"2.6","93","","102","11020047","","","","","",""
"104631","3","nyx_102_tamaki_01_loop","102","11020048","nyx_102_tamaki_01","","0.2","0","0.2","1"
"0.1","93","","102","11020049","","","","","",""
"103231","4","","102","11020050","1","","","0","",""
"1.5","93","","102","11020051","","","","","",""
"103231","11","","102","11020052","實在是損傷慘重呢……\n只能祈禱下一位\n能夠普通一點了……","","","10","",""
"0","91","","102","11020053","","","","","",""
"1","93","","102","11020054","","","","","",""
"110831","3","nyx_102_chloe_03_loop","102","11020055","nyx_102_chloe_04","","0.2","0","","1"
"2","3","nyx_102_chloe_03_loop","102","11020056","nyx_102_chloe_04","","0.2","0","","1"
"1.5","93","","102","11020057","","","","","",""
"110831","12","","102","11020058","12","","","1","",""
"1","93","","102","11020059","","","","","",""
"103431","12","","102","11020060","1","","","1","",""
"103431","3","nyx_cmn_03","102","11020061","nyx_cmn_01","","0.2","0","0.2","1"
"104631","3","","102","11020062","nyx_idle_worry","","0.2","1","0.2","1"
"2","93","","102","11020063","","","","","",""
"104831","12","","102","11020064","12","","","1","",""
"2","93","","102","11020065","","","","","",""
"103231","12","","102","11020066","10","","","1","",""
"103231","3","nyx_idle_normal","102","11020067","nyx_talk_normal","","0.2","0","0.2","1"
"2","93","","102","11020068","","","","","",""
"104631","12","","102","11020069","2","","","1","",""
"104631","3","nyx_idle_worry","102","11020070","nyx_talk_sad","","0.2","0","0.2","1"
"4","93","","102","11020071","","","","","",""
"11020055","101","","102","11020072","1","","","","",""
"1","1","-421","103","11030001","111031","nyx_103_yuni_01","1.35","110","0","-209.3"
"1","1","121.8","103","11030002","104831","nyx_idle_normal","1.35","110","0","-182.5"
"2","5","121.8","103","11030003","2","NoItem","1.35","120","0","-182.5"
"1","1","227.7","103","11030004","104631","nyx_idle_normal","1.35","110","0","-182.5"
"2","5","227.7","103","11030005","2","NoItem","1.35","120","0","-182.5"
"1","1","340.3","103","11030006","103231","nyx_idle_normal","1.35","110","1","-182.5"
"1","1","449.6","103","11030007","103431","nyx_cmn_03","1.35","110","1","-182.5"
"2","5","449.6","103","11030008","2","NoItem","1.35","120","1","-182.5"
"1","31","0","103","11030009","1","","1","0","","1"
"bgm_M347","25","","103","11030010","bgm_M347","","","","",""
"2","93","","103","11030011","","","","","",""
"103431","3","","103","11030012","nyx_talk_sad","","0.2","1","",""
"103431","11","","103","11030013","簡報是\n一件這麼\n累人的事情嗎…？","","","10","",""
"0","91","","103","11030014","","","","","",""
"103431","3","","103","11030015","nyx_cmn_03","","0.2","1","",""
"104831","3","","103","11030016","nyx_cmn_05","","0.2","1","",""
"104831","11","","103","11030017","接下來一定沒問題的\n一定會是認真的學生\n……我說的沒錯吧？","","","10","",""
"0","91","","103","11030018","","","","","",""
"104831","3","","103","11030019","nyx_cmn_04","","0.2","1","",""
"103231","3","","103","11030020","nyx_talk_normal","","0.2","1","",""
"103231","11","","103","11030021","哎呀？\n下一位好像也是\n好朋友社的成員呢？","","","10","",""
"0","91","","103","11030022","","","","","",""
"103231","3","","103","11030023","nyx_idle_normal","","0.2","1","",""
"104631","3","","103","11030024","nyx_talk_sad","","0.2","1","",""
"104631","11","","103","11030025","……要是鬆懈下來\n就會被幹掉喵\n做好覺悟吧喵","","","10","",""
"2.6","93","","103","11030026","","","","","",""
"111031","3","","103","11030027","nyx_102_chloe_01","","0.2","1","",""
"11030025","91","","103","11030028","","","","","",""
"104631","3","nyx_idle_sad","103","11030029","nyx_cmn_02","","0.2","0","0.3","1"
"2","3","","103","11030030","nyx_cmn_02","","0.2","0","",""
"103431","3","nyx_cmn_03","103","11030031","nyx_cmn_02","","0.2","0","0.3","1"
"2","3","","103","11030032","nyx_cmn_02","","0.2","0","",""
"104831","3","nyx_idle_normal","103","11030033","nyx_cmn_02","","0.2","0","0.2","1"
"2","3","","103","11030034","nyx_cmn_02","","0.2","0","",""
"1.5","93","","103","11030035","","","","","",""
"111031","3","","103","11030036","nyx_303_yuni_01","","0.2","1","",""
"111031","11","","103","11030037","嗯，接下來是我呢\n這就是所謂的\n壓軸登場吧","","","10","",""
"2.8","93","","103","11030038","","","","","",""
"104831","12","","103","11030039","13","","","1","",""
"104831","3","","103","11030040","nyx_talk_normal","","0.2","1","",""
"11030037","91","","103","11030041","","","","","",""
"111031","11","","103","11030042","琪愛兒、克蘿依\n妳們的遺憾就由我來\n替妳們雪恥吧","","","10","",""
"0","91","","103","11030043","","","","","",""
"111031","3","","103","11030044","nyx_103_yuni_02","","0.2","1","",""
"111031","11","","103","11030045","是時候完成我身為\n高年級生的職責了","","","10","",""
"1.5","93","","103","11030046","","","","","",""
"103231","12","","103","11030047","17","","","1","",""
"104831","3","","103","11030048","nyx_idle_normal","","0.2","1","",""
"103231","3","","103","11030049","nyx_cmn_05","","0.2","1","",""
"11030045","91","","103","11030050","","","","","",""
"111031","3","nyx_103_yuni_04","103","11030051","nyx_103_yuni_03","","0.3","0","0.6","0"
"111031","11","","103","11030052","賭上優妮們\n之名……！","","","10","",""
"0","91","","103","11030053","","","","","",""
"103231","3","","103","11030054","nyx_idle_normal","","0.2","1","",""
"0.6","93","","103","11030055","","","","","",""
"111031","12","","103","11030056","12","","0.2","1","",""
"111031","3","nyx_idle_normal","103","11030057","cmn_pose02_def_N","","0.2","0","0.2","1"
"1.5","93","","103","11030058","","","","","",""
"104631","12","","103","11030059","15","","","1","",""
"104631","3","nyx_idle_worry","103","11030060","nyx_talk_sad","","0.2","0","0.2","1"
"2","93","","103","11030061","","","","","",""
"103231","12","","103","11030062","10","","","1","",""
"103231","3","nyx_idle_normal","103","11030063","nyx_talk_joy1","","0.2","0","0.2","1"
"111031","3","nyx_idle_normal","103","11030064","nyx_103_yuni_01","","0.2","0","0.2","1"
"2.5","93","","103","11030065","","","","","",""
"103431","12","","103","11030066","1","","","1","",""
"103431","3","nyx_cmn_03","103","11030067","nyx_cmn_01","","0.2","0","0.3","1"
"2","93","","103","11030068","","","","","",""
"104831","12","","103","11030069","12","","","1","",""
"104831","3","","103","11030070","nyx_talk_bitter","","0.2","1","",""
"2","93","","103","11030071","","","","","",""
"104831","3","","103","11030072","nyx_idle_bitter","","0.2","1","",""
"1","93","","103","11030073","","","","","",""
"11030056","101","","103","11030074","","","","","",""
"1","1","-235.4","201","12010001","103231","nyx_201_akino_01","1.2","110","1","-294.7"
"2","5","-235.4","201","12010002","2","nyx_201_akino_01","1.2","120","1","-294.7"
"1","1","-357","201","12010003","104631","nyx_idle_normal","1.2","110","0","-281.6"
"1","1","310.5","201","12010004","103431","nyx_idle_normal","1.2","110","1","-281.6"
"1","1","-453.3","201","12010005","104831","nyx_idle_normal","1.2","110","0","-281.6"
"2","31","0","201","12010006","1","","1","0","","1"
"11","31","0","201","12010007","2","","1","0","","1"
"bgm_M347","25","","201","12010008","bgm_M347","","","","",""
"2","93","","201","12010009","","","","","",""
"103231","11","","201","12010010","珠希，\n這零件就麻煩妳\n進行組裝囉！","","","10","",""
"0","91","","201","12010011","","","","","",""
"104631","3","nyx_idle_surprise1","201","12010012","nyx_surprise","","0.3","0","0.3","1"
"104631","11","","201","12010013","我、我知道了喵！\n……設計圖上有\n這東西嗎喵……？","","","10","",""
"0","91","","201","12010014","","","","","",""
"103231","4","","201","12010015","0","","","0","",""
"2","4","","201","12010016","0","","","","",""
"104631","3","","201","12010017","nyx_idle_bitter2","","0.3","1","0.3",""
"103231","3","","201","12010018","nyx_201_akino_02","","0.3","1","0.3",""
"2","3","","201","12010019","nyx_201_akino_02","","0.3","1","0.3",""
"103231","2","2.2","201","12010020","199","","","-294.7","",""
"2","2","2.2","201","12010021","199","","","-294.7","",""
"2.2","93","","201","12010022","","","","","",""
"103231","3","","201","12010023","nyx_201_akino_01","","0.3","1","0.3",""
"2","3","","201","12010024","nyx_201_akino_01","","0.3","1","0.3",""
"103231","11","","201","12010025","優花梨！\n麻煩妳立刻去\n訂購這款迴路！","","","10","",""
"0","91","","201","12010026","","","","","",""
"103431","3","","201","12010027","nyx_cmn_01","","0.3","1","0.3",""
"103431","11","","201","12010028","咦？　咦？\n等等啊秋乃\n這要拿來做什麼！？","","","10","",""
"0","91","","201","12010029","","","","","",""
"103431","3","","201","12010030","nyx_idle_bitter2","","0.3","1","0.3",""
"103231","4","","201","12010031","1","","","","",""
"2","4","","201","12010032","1","","","","",""
"103231","3","","201","12010033","nyx_201_akino_02","","0.3","1","0.3",""
"2","3","","201","12010034","nyx_201_akino_02","","0.3","1","0.3",""
"103231","2","2.2","201","12010035","-235.4","","","-294.7","",""
"2","2","2.2","201","12010036","-235.4","","","-294.7","",""
"2.2","93","","201","12010037","","","","","",""
"103231","3","","201","12010038","nyx_201_akino_01","","0.3","1","0.3",""
"2","3","","201","12010039","nyx_201_akino_01","","0.3","1","0.3",""
"103231","11","","201","12010040","美冬，\n麻煩妳仔細地\n檢查動作囉！","","","10","",""
"0","91","","201","12010041","","","","","",""
"104831","3","nyx_idle_surprise1","201","12010042","nyx_surprise","","0.3","0","0.3","1"
"104831","11","","201","12010043","好、好的！\n……秋乃整個人都\n熱血起來了呢…","","0","10","",""
"0","91","","201","12010044","","","","","",""
"104831","3","","201","12010045","nyx_talk_sad","","0.3","1","0.3",""
"104831","11","","201","12010046","但不知道為什麼\n我好不安啊……\n只有滿滿的不安……","","0","10","",""
"0","91","","201","12010047","","","","","",""
"104831","3","","201","12010048","nyx_idle_bitter2","","0.3","1","0.3",""
"0","91","","201","12010049","","","","","",""
"0.4","93","","201","12010050","","","","","",""
"103231","4","","201","12010051","0","","","0","",""
"2","4","","201","12010052","0","","","","",""
"103231","3","","201","12010053","nyx_201_akino_02","","0.2","1","0.2",""
"2","3","","201","12010054","nyx_201_akino_02","","0.2","1","0.2",""
"103231","2","2.2","201","12010055","199","","","-294.7","",""
"2","2","2.2","201","12010056","199","","","-294.7","",""
"103431","3","","201","12010057","nyx_cmn_03","","0.2","1","0.2",""
"2.2","93","","201","12010058","","","","","",""
"103231","12","","201","12010059","10","","","1","",""
"103231","3","","201","12010060","nyx_201_akino_01","","0.2","1","0.2",""
"2","3","","201","12010061","nyx_201_akino_01","","0.2","1","0.2",""
"0","91","","201","12010062","","","","","",""
"103431","3","","201","12010063","nyx_idle_surprise1","","0.2","1","0.2",""
"0","91","","201","12010064","","","","","",""
"103431","3","","201","12010065","nyx_102_chloe_02","","0.2","1","0.2",""
"103231","4","","201","12010066","1","","","","",""
"2","4","","201","12010067","1","","","","",""
"103231","3","","201","12010068","nyx_201_akino_02","","0.2","1","0.2",""
"2","3","","201","12010069","nyx_201_akino_02","","0.2","1","0.2",""
"103231","2","2.2","201","12010070","-235.4","","","-294.7","",""
"2","2","2.2","201","12010071","-235.4","","","-294.7","",""
"2.2","93","","201","12010072","","","","","",""
"103231","12","","201","12010073","10","","","1","",""
"103231","3","","201","12010074","nyx_201_akino_01","","0.2","1","0.2",""
"2","3","","201","12010075","nyx_201_akino_01","","","1","0.2",""
"3","93","","201","12010076","","","","","",""
"104631","3","nyx_idle_normal","201","12010077","cmn_nod_def_N","","0.2","0","0.2","1"
"0.8","93","","201","12010078","","","","","",""
"104831","12","","201","12010079","3","","","1","",""
"104831","3","nyx_idle_sad","201","12010080","nyx_talk_worry","","0.2","0","0.2","1"
"1","93","","201","12010081","","","","","",""
"12010051","101","","201","12010082","","","","","",""
"1","5","-136","202","12020001","3","nyx_202_tamaki_03_loop","1.2","100","0","-255"
"1","1","183.7","202","12020002","103231","nyx_idle_joy1","1.2","110","1","-286.1"
"2","5","312.6","202","12020003","5","nyx_202_yukari_01","1.2","120","1","-286.1"
"1","1","312.6","202","12020004","103431","nyx_202_yukari_01","1.2","110","1","-286.1"
"1","1","-269.8","202","12020005","104831","nyx_idle_normal","1.2","120","0","-286.1"
"2","31","0","202","12020006","1","","1","0","","1"
"12","31","34","202","12020007","2","","1","0","","1"
"16","31","130","202","12020008","7","","0","-74","","1"
"3","5","-208","202","12020009","4","nyx_yagura_idle","1","110","0","-255"
"2","5","-269.8","202","12020010","6","NoItem","1.2","120","0","-286.1"
"bgm_M347","25","","202","12020011","bgm_M347","","","","",""
"2","93","","202","12020012","","","","","",""
"3","11","","202","12020013","總覺得開發作業\n好像也變得開心\n起來了喵～！","","","10","",""
"0","91","","202","12020014","","","","","",""
"3","11","","202","12020015","事到如今我一定要\n讓它成為世界第一\n的鯛魚燒機喵！","","","10","",""
"0","91","","202","12020016","","","","","",""
"3","11","","202","12020017","看我把我的一切\n全部灌注進去\n喵～～！","","","10","",""
"0.4","93","","202","12020018","","","","","",""
"3","3","nyx_202_tamaki_loop","202","12020019","nyx_202_tamaki_03_puton","","0.2","0","","1"
"12020017","91","","202","12020020","","","","","",""
"3","3","nyx_202_tamaki_01","202","12020021","nyx_202_tamaki_up","","0.2","0","","1"
"4","3","nyx_yagura_up_idle","202","12020022","nyx_yagura_up","","","0","","1"
"2.4","93","","202","12020023","","","","","",""
"7","32","","202","12020024","1","","","","",""
"103231","3","","202","12020025","nyx_202_akino_01_loop","","0.2","1","",""
"103231","11","","202","12020026","喔～呵呵呵！\n真是美妙的\n抱負呢，珠希","","","10","",""
"0","91","","202","12020027","","","","","",""
"104831","3","","202","12020028","nyx_talk_anger2","","0.2","1","",""
"104831","11","","202","12020029","設計圖上可是\n沒有寫到什麼\n鯛魚燒哦！？","","","10","",""
"0","91","","202","12020030","","","","","",""
"103431","3","","202","12020031","nyx_idle_anger2","","0.2","1","",""
"103431","3","","202","12020032","nyx_202_yukari_01","","0.2","1","",""
"103431","11","","202","12020033","美冬……\n交給珠希去做就\n不會有問題啦……嗝","","","10","",""
"0","91","","202","12020034","","","","","",""
"104831","3","nyx_cmn_04","202","12020035","nyx_cmn_05","","0.2","0","0.2",""
"104831","11","","202","12020036","優花梨？\n妳在喝什麼？\n……妳被收買了對吧？","","0","10","",""
"0","91","","202","12020037","","","","","",""
"103431","3","","202","12020038","nyx_202_yukari_01","","0.2","1","",""
"103431","11","","202","12020039","咦～？\n尼在說什麼～？\n……嗯呵呵～♪","","","10","",""
"0","91","","202","12020040","","","","","",""
"2","93","","202","12020041","","","","","",""
"103231","12","","202","12020042","13","","","1","",""
"103231","3","nyx_202_akino_01_loop","202","12020043","nyx_talk_joy2","","0.2","0","0.2","1"
"2.5","93","","202","12020044","","","","","",""
"104831","12","","202","12020045","3","","","1","",""
"104831","3","","202","12020046","nyx_talk_anger2","","0.2","1","",""
"2","93","","202","12020047","","","","","",""
"104831","3","","202","12020048","nyx_cmn_02","","0.2","0","",""
"6","3","NoItem","202","12020049","nyx_cmn_02","","0.2","0","","1"
"1","93","","202","12020050","","","","","",""
"104831","3","nyx_cmn_04","202","12020051","nyx_cmn_05","","0.2","0","0.2","1"
"2","93","","202","12020052","","","","","",""
"103431","12","","202","12020053","5","","","1","",""
"5","3","nyx_202_yukari_01","202","12020054","nyx_203_yukari_01","","0.2","0","0.2","1"
"103431","3","nyx_202_yukari_01","202","12020055","nyx_203_yukari_01","","0.2","0","0.2","1"
"1.2","93","","202","12020056","","","","","",""
"3","12","","202","12020057","11","","","1","",""
"0.8","93","","202","12020058","","","","","",""
"12020041","101","","202","12020059","","","","","",""
"1","1","-300","203","12030001","104831","nyx_idle_normal","1.2","130","0","-286"
"1","1","316","203","12030002","104631","nyx_idle_normal","1.2","100","1","-286"
"1","1","110","203","12030003","103231","nyx_idle_normal","1.2","100","1","-286"
"1","1","-200","203","12030004","103431","nyx_203_yukari_01","1.2","100","0","-10"
"2","31","0","203","12030005","1","","1","0","","1"
"13","31","34","203","12030006","2","","1","-80","","1"
"2","5","-200","203","12030007","3","nyx_203_yukari_01","1.2","110","0","-10"
"3","5","-250","203","12030008","4","nyx_yagura_up_harf","1","120","0","-255"
"bgm_M347","25","","203","12030009","bgm_M347","","","","",""
"2","93","","203","12030010","","","","","",""
"103431","11","","203","12030011","奇怪～？\n這裡是哪裡～？\n我又是誰～？","","","10","",""
"0.6","93","","203","12030012","","","","","",""
"103231","3","nyx_lookup_loop2","203","12030013","nyx_lookup","","0.2","0","0.2","1"
"12030011","91","","203","12030014","","","","","",""
"103431","11","","203","12030015","嗯～？\n這勾大大的\n東西是什麼～","","","10","",""
"0.6","93","","203","12030016","","","","","",""
"104631","3","nyx_lookup_loop2","203","12030017","nyx_lookup","","0.2","0","0.2","1"
"12030015","91","","203","12030018","","","","","",""
"3","3","nyx_203_yukari_05","203","12030019","nyx_203_yukari_02","","0.2","0","","1"
"103431","3","nyx_203_yukari_05","203","12030020","nyx_203_yukari_02","","0.2","0","","1"
"103431","11","","203","12030021","你要不要也來一起\n喝麥酒～？\n很～好喝的哦～？","","","10","",""
"0.4","93","","203","12030022","","","","","",""
"104831","3","nyx_lookup_loop2","203","12030023","nyx_lookup","","0.2","0","0.2","1"
"12030021","91","","203","12030024","","","","","",""
"0.2","93","","203","12030025","","","","","",""
"104831","3","nyx_idle_sad","203","12030026","nyx_cmn_02","","0.2","0","0.2","1"
"104831","11","","203","12030027","優花梨\n在做什麼啊…","","0","10","",""
"0.1","93","","203","12030028","","","","","",""
"103231","3","nyx_cmn_04","203","12030029","nyx_cmn_02","","0.2","0","0.2","1"
"103231","11","","203","12030030","優花梨\n在做什麼呢…","","","10","",""
"0.1","93","","203","12030031","","","","","",""
"104631","3","nyx_idle_sad","203","12030032","nyx_cmn_02","","0.2","0","0.2","1"
