0a7e70e4ae3a3b2abd7027161be5ac9c05acb3be555fbf787ca2d104b825ce92,e47e0136caa922db41d049886bc3b2cce09fdbcc454342e6e7f796ff2f2d407c,38e3ee307ab45b199e8dcdc9a3b2fc8ae348c4ee6d0852bdc79804ef22df9716,26dcd56ff1d4e332b4aedb4cc4523d45a8c7302f7086722d62264291f5afba25,cd2ac85af2908c39743fa12bfc1847330563d1870be08d5fdf91a2f67d1238ab,97668855af98555f1f66e56b7fc8913bef95aa5a7983dfe9b807946d5314bc80,83f44b81dedfdbde4160af2a679473cd5037fca782e879a0cb1ed7b6890b4e6e,63cd5e2c14150896206ee8818c6b5537e56b8937cdc5488270553f5cdd0035f3,150a846cca92dfb2aa5e10e642df90af21d6ef614a1134688a2b97da3456fa5c,085686cb808c5ba7aa39e482c761afadecab9cef0a016db3ff3f37df83940b92,74339a0b47d9f22f50f6923e9ff6c87dca93f51fb4d5ef4b8450e2d87172e45e
"1102010001","50","empty","10201","0.9","1","2","5","-325","0","-205"
"1102010002","58","empty","10201","0.9","2","102000","5","-325","0","-205"
"1102010003","54","idle_single","10201","0.6","100","100","5","-263","0","1500"
"1102010004","0","","10201","0","0","102000","31","1","","0"
"1102010005","1500","","10201","0","1","102001","31","1","","-263"
"1102010006","0","","10201","0","2","102002","31","1","","0"
"1102010007","-132","","10201","0","3","102003","31","1","","-136"
"1102010008","0","","10201","0","4","102004","31","1","","0"
"1102010009","0","","10201","0","10","1","31","1","","0"
"1102010010","0","","10201","0","20","2","31","1","","0"
"1102010011","0","","10201","0","30","3","31","1","","0"
"1102010012","","","10201","","0","0","91","","",""
"1102010013","","","10201","","1","0","32","","",""
"1102010014","","","10201","","1","10","32","","",""
"1102010015","0","","10201","","se_caravan_dice_get_intro","se_caravan","23","","",""
"1102010016","1","","10201","0","getDice_idle","1","3","","",""
"1102010017","0","","10201","0","run_getDice","100","3","1","0","eat_loop"
"1102010018","","","10201","","1","1","32","","",""
"1102010019","-263","","10201","","344","100","2","11","","2"
"1102010020","-263","","10201","","344","1","33","11","","2"
"1102010021","","","10201","","1","2","32","","",""
"1102010022","","","10201","","0","1.7","93","","",""
"1102010023","1","","10201","0.2","getDice_curious","1","3","","0",""
"1102010024","0","","10201","","vo_caravan_event_002_000","vo_caravan","21","","","0"
"1102010025","","","10201","","0","1.5","93","","",""
"1102010026","0","","10201","","se_caravan_dice_get_outro_1","se_caravan","23","","",""
"1102010027","0","","10201","","vo_caravan_event_002_001","vo_caravan","21","","","0.1"
"1102010028","0","","10201","0.1","spit_in","100","3","","",""
"1102010029","0","","10201","0","getDice_1","2","3","","",""
"1102010030","0","","10201","0.1","getDice_panic_1","1","3","","",""
"1102010031","","","10201","","0","0.5","93","","",""
"1102010032","0","","10201","0","spit_out","100","3","1","0","idle_single"
"1102010033","","","10201","","0","1.4","93","","",""
"1102010034","0","","10201","0.2","joy_single","100","3","1","0","idle_single"
"1102010035","","","10201","","0","0.1","93","","",""
"1102010036","","","10201","","1","3","32","","",""
"1102010037","","","10201","","0","0.5","93","","",""
"1102010038","0","","10201","","vo_caravan_event_002_002","vo_caravan","21","","","0"
"1102010039","","","10201","","0","1.3","93","","",""
"1102010040","","","10201","","0","1102010041","101","","",""
"1102010041","","","10201","","1","4","35","","",""
"1102010042","","","10201","","1","4","32","","",""
"1102010043","","","10201","","1","20","32","","",""
"1102010044","","","10201","","0","1","32","","",""
"1102010045","","","10201","","0","0.4","93","","",""
"1102010046","","","10201","","","","92","","",""
"1102010047","","","10201","","1","30","35","","",""
"1102010048","","","10201","","1","30","32","","",""
"1102010049","","","10201","","0","0.2","93","","",""
"1102010050","1","","10201","0","1","1","6","0","0","1"
"1102010051","1","","10201","0","1","2","6","0","0","1"
"1102010052","1","","10201","0","1","100","6","0","0","1"
"1102010053","","","10201","","0","0","32","","",""
"1102010054","","","10201","","0","2","32","","",""
"1102010055","","","10201","","0","3","32","","",""
"1102010056","","","10201","","0","4","32","","",""
"1102010057","","","10201","","0","10","32","","",""
"1102010058","","","10201","","0","0.3","93","","",""
"1102020001","50","empty","10202","0.9","1","2","5","-325","0","-205"
"1102020002","58","empty","10202","0.9","2","102000","5","-325","0","-205"
"1102020003","54","idle_single","10202","0.6","100","100","5","-263","0","1500"
"1102020004","0","","10202","0","0","102000","31","1","","0"
"1102020005","1500","","10202","0","1","102001","31","1","","-263"
"1102020006","0","","10202","0","2","102002","31","1","","0"
"1102020007","-132","","10202","0","3","102003","31","1","","-136"
"1102020008","0","","10202","0","4","102005","31","1","","0"
"1102020009","0","","10202","0","10","1","31","1","","0"
"1102020010","0","","10202","0","20","2","31","1","","0"
"1102020011","0","","10202","0","30","3","31","1","","0"
"1102020012","","","10202","","0","0","91","","",""
"1102020013","","","10202","","1","0","32","","",""
"1102020014","","","10202","","1","10","32","","",""
"1102020015","0","","10202","","se_caravan_dice_get_intro","se_caravan","23","","",""
"1102020016","1","","10202","0","getDice_idle","1","3","","",""
"1102020017","0","","10202","0","run_getDice","100","3","1","0","eat_loop"
"1102020018","","","10202","","1","1","32","","",""
"1102020019","-263","","10202","","344","100","2","11","","2"
"1102020020","-263","","10202","","344","1","33","11","","2"
"1102020021","","","10202","","1","2","32","","",""
"1102020022","","","10202","","0","1.7","93","","",""
"1102020023","1","","10202","0.2","getDice_curious","1","3","","0",""
"1102020024","0","","10202","","vo_caravan_event_003_000","vo_caravan","21","","","0"
"1102020025","","","10202","","0","1.5","93","","",""
"1102020026","0","","10202","","se_caravan_dice_get_outro_2","se_caravan","23","","",""
"1102020027","0","","10202","","vo_caravan_event_003_001","vo_caravan","21","","","0"
"1102020028","0","","10202","0.1","spit_in","100","3","1","0","idle_single"
"1102020029","0","","10202","0","getDice_2","2","3","","",""
"1102020030","0","","10202","0.1","getDice_panic_2","1","3","","",""
"1102020031","","","10202","","0","2.5","93","","",""
"1102020032","0","","10202","0.2","joy_single","100","3","1","0","idle_single"
"1102020033","","","10202","","0","0.5","93","","",""
"1102020034","0","","10202","","vo_caravan_event_003_002","vo_caravan","21","","","0.1"
"1102020035","","","10202","","0","0.1","93","","",""
"1102020036","","","10202","","1","3","32","","",""
"1102020037","","","10202","","0","1.6","93","","",""
"1102020038","","","10202","","0","1102020039","101","","",""
"1102020039","","","10202","","1","4","35","","",""
"1102020040","","","10202","","1","4","32","","",""
"1102020041","","","10202","","1","20","32","","",""
"1102020042","","","10202","","0","1","32","","",""
"1102020043","","","10202","","0","0.4","93","","",""
"1102020044","","","10202","","","","92","","",""
"1102020045","","","10202","","1","30","35","","",""
"1102020046","","","10202","","1","30","32","","",""
"1102020047","","","10202","","0","0.2","93","","",""
"1102020048","1","","10202","0","1","1","6","0","0","1"
"1102020049","1","","10202","0","1","2","6","0","0","1"
"1102020050","1","","10202","0","1","100","6","0","0","1"
"1102020051","","","10202","","0","0","32","","",""
"1102020052","","","10202","","0","2","32","","",""
"1102020053","","","10202","","0","3","32","","",""
"1102020054","","","10202","","0","4","32","","",""
"1102020055","","","10202","","0","10","32","","",""
"1102020056","","","10202","","0","20","32","","",""
"1102020057","","","10202","","0","0.3","93","","",""
"1103010001","20","magicitem_1","10301","1","1","1","5","0","0","0"
"1103010002","19","magicitem_2","10301","1","2","2","5","0","0","0"
"1103010003","18","magicitem_3","10301","1","3","3","5","0","0","0"
"1103010004","21","magicitem_kyaru","10301","1","4","103000","5","0","0","0"
"1103010005","0","","10301","0","10","103000","31","1","","0"
"1103010006","0","","10301","0","11","103001","31","1","","0"
"1103010007","0","","10301","0","12","103002","31","1","","0"
"1103010008","0","","10301","0","13","103003","31","1","","0"
"1103010009","0","","10301","0","14","103007","31","1","","0"
"1103010010","0","","10301","0","19","103011","31","1","","0"
"1103010011","0","","10301","1","15","1","31","1","","0"
"1103010012","0","","10301","0","16","2","31","1","","0"
"1103010013","0","","10301","0","17","3","31","1","","0"
"1103010014","0","","10301","0","18","4","31","1","","0"
"1103010015","0","","10301","1","0","18","35","1","","0"
"1103010016","","","10301","","1","18","32","","",""
"1103010017","","","10301","","0","0","91","","",""
"1103010018","","","10301","","1","10","32","","",""
"1103010019","","","10301","","1","11","32","","",""
"1103010020","","","10301","","1","12","32","","",""
"1103010021","","","10301","","1","13","32","","",""
"1103010022","","","10301","","1","19","32","","",""
"1103010023","0","","10301","0","magicitem_1","1","3","","",""
"1103010024","0","","10301","0","magicitem_2","2","3","","",""
"1103010025","0","","10301","0","magicitem_3","3","3","","",""
"1103010026","0","","10301","0","magicitem_kyaru","4","3","","",""
"1103010027","0","","10301","","vo_caravan_event_004_000","vo_caravan","21","","","2.17"
"1103010028","1","","10301","","vo_caravan_event_004_001","vo_caravan","21","","","3.2"
"1103010029","2","","10301","","vo_caravan_event_004_002","vo_caravan","21","","","4.9"
"1103010030","","","10301","","0","7","93","","",""
"1103010031","","","10301","","0","18","32","","",""
"1103010032","","","10301","","0","0.67","93","","",""
"1103010033","","","10301","","1","1103010034","101","","",""
"1103010034","","","10301","","1","14","35","","",""
"1103010035","","","10301","","1","14","32","","",""
"1103010036","","","10301","","1","16","32","","",""
"1103010037","","","10301","","0","19","32","","",""
"1103010038","","","10301","","1","18","35","","",""
"1103010039","","","10301","","0","0.4","93","","",""
"1103010040","","","10301","","","","92","","",""
"1103010041","","","10301","","1","17","35","","",""
"1103010042","","","10301","","1","17","32","","",""
"1103010043","","","10301","","0","0.2","93","","",""
"1103010044","0","","10301","0.01","0","1","6","0","0","0"
"1103010045","0","","10301","0.01","0","2","6","0","0","0"
"1103010046","0","","10301","0.01","0","3","6","0","0","0"
"1103010047","0","","10301","0.01","0","4","6","0","0","0"
"1103010048","","","10301","","0","10","32","","",""
"1103010049","","","10301","","0","11","32","","",""
"1103010050","","","10301","","0","12","32","","",""
"1103010051","","","10301","","0","13","32","","",""
"1103010052","","","10301","","0","14","32","","",""
"1103010053","","","10301","","0","15","32","","",""
"1103010054","","","10301","","0","16","32","","",""
"1103010055","","","10301","","0","18","32","","",""
"1103010056","","","10301","","0","0.3","93","","",""
"1103020001","20","magicitem_1","10302","1","1","4","5","0","0","0"
"1103020002","19","magicitem_2","10302","1","2","3","5","0","0","0"
"1103020003","18","magicitem_3","10302","1","3","1","5","0","0","0"
"1103020004","21","magicitem_pekorine","10302","1","4","103000","5","0","0","0"
"1103020005","0","","10302","0","10","103000","31","1","","0"
"1103020006","0","","10302","0","11","103001","31","1","","0"
"1103020007","0","","10302","0","12","103002","31","1","","0"
"1103020008","-25","","10302","0","13","103004","31","1","","9"
"1103020009","0","","10302","0","14","103008","31","1","","0"
"1103020010","0","","10302","0","19","103011","31","1","","0"
"1103020011","0","","10302","1","15","1","31","1","","0"
"1103020012","0","","10302","0","16","2","31","1","","0"
"1103020013","0","","10302","0","17","3","31","1","","0"
"1103020014","0","","10302","0","18","4","31","1","","0"
"1103020015","0","","10302","1","0","18","35","1","","0"
"1103020016","","","10302","","1","18","32","","",""
"1103020017","","","10302","","0","0","91","","",""
"1103020018","","","10302","","1","10","32","","",""
"1103020019","","","10302","","1","11","32","","",""
"1103020020","","","10302","","1","12","32","","",""
"1103020021","","","10302","","1","13","32","","",""
"1103020022","","","10302","","1","19","32","","",""
"1103020023","0","","10302","0","magicitem_1","1","3","","",""
"1103020024","0","","10302","0","magicitem_2","2","3","","",""
"1103020025","0","","10302","0","magicitem_3","3","3","","",""
"1103020026","0","","10302","0","magicitem_pekorine","4","3","","",""
"1103020027","0","","10302","","vo_caravan_event_006_000","vo_caravan","21","","","2.17"
"1103020028","1","","10302","","vo_caravan_event_006_001","vo_caravan","21","","","3.2"
"1103020029","2","","10302","","vo_caravan_event_006_002","vo_caravan","21","","","4.9"
"1103020030","","","10302","","0","7","93","","",""
"1103020031","","","10302","","0","18","32","","",""
"1103020032","","","10302","","0","0.67","93","","",""
"1103020033","","","10302","","1","1103020034","101","","",""
"1103020034","","","10302","","1","14","35","","",""
"1103020035","","","10302","","1","14","32","","",""
"1103020036","","","10302","","1","16","32","","",""
"1103020037","","","10302","","0","19","32","","",""
"1103020038","","","10302","","1","18","35","","",""
"1103020039","","","10302","","0","0.4","93","","",""
"1103020040","","","10302","","","","92","","",""
"1103020041","","","10302","","1","17","35","","",""
"1103020042","","","10302","","1","17","32","","",""
"1103020043","","","10302","","0","0.2","93","","",""
"1103020044","0","","10302","0.01","0","1","6","0","0","0"
"1103020045","0","","10302","0.01","0","2","6","0","0","0"
"1103020046","0","","10302","0.01","0","3","6","0","0","0"
"1103020047","0","","10302","0.01","0","4","6","0","0","0"
"1103020048","","","10302","","0","10","32","","",""
"1103020049","","","10302","","0","11","32","","",""
"1103020050","","","10302","","0","12","32","","",""
"1103020051","","","10302","","0","13","32","","",""
"1103020052","","","10302","","0","14","32","","",""
"1103020053","","","10302","","0","15","32","","",""
"1103020054","","","10302","","0","16","32","","",""
"1103020055","","","10302","","0","18","32","","",""
"1103020056","","","10302","","0","0.3","93","","",""
"1103030001","20","magicitem_1","10303","1","1","3","5","0","0","0"
"1103030002","19","magicitem_2","10303","1","2","1","5","0","0","0"
"1103030003","18","magicitem_3","10303","1","3","2","5","0","0","0"
"1103030004","21","magicitem_kokkoro","10303","1","4","103000","5","0","0","0"
"1103030005","0","","10303","0","10","103000","31","1","","0"
"1103030006","0","","10303","0","11","103001","31","1","","0"
"1103030007","0","","10303","0","12","103002","31","1","","0"
"1103030008","8","","10303","0","13","103005","31","1","","-35"
"1103030009","0","","10303","0","14","103009","31","1","","0"
"1103030010","0","","10303","0","19","103012","31","1","","0"
"1103030011","0","","10303","1","15","1","31","1","","0"
"1103030012","0","","10303","0","16","2","31","1","","0"
"1103030013","0","","10303","0","17","3","31","1","","0"
"1103030014","0","","10303","0","18","4","31","1","","0"
"1103030015","0","","10303","1","0","18","35","1","","0"
"1103030016","","","10303","","1","18","32","","",""
"1103030017","","","10303","","0","0","91","","",""
"1103030018","","","10303","","1","10","32","","",""
"1103030019","","","10303","","1","11","32","","",""
"1103030020","","","10303","","1","12","32","","",""
"1103030021","","","10303","","1","13","32","","",""
"1103030022","","","10303","","1","19","32","","",""
"1103030023","0","","10303","0","magicitem_1","1","3","","",""
"1103030024","0","","10303","0","magicitem_2","2","3","","",""
"1103030025","0","","10303","0","magicitem_3","3","3","","",""
"1103030026","0","","10303","0","magicitem_kokkoro","4","3","","",""
"1103030027","0","","10303","","vo_caravan_event_005_000","vo_caravan","21","","","2.17"
"1103030028","1","","10303","","vo_caravan_event_005_001","vo_caravan","21","","","3.2"
"1103030029","2","","10303","","vo_caravan_event_005_002","vo_caravan","21","","","4.9"
"1103030030","","","10303","","0","7","93","","",""
"1103030031","","","10303","","0","18","32","","",""
"1103030032","","","10303","","0","0.67","93","","",""
"1103030033","","","10303","","1","1103030034","101","","",""
"1103030034","","","10303","","1","14","35","","",""
"1103030035","","","10303","","1","14","32","","",""
"1103030036","","","10303","","1","16","32","","",""
"1103030037","","","10303","","0","19","32","","",""
"1103030038","","","10303","","1","18","35","","",""
"1103030039","","","10303","","0","0.4","93","","",""
"1103030040","","","10303","","","","92","","",""
"1103030041","","","10303","","1","17","35","","",""
"1103030042","","","10303","","1","17","32","","",""
"1103030043","","","10303","","0","0.2","93","","",""
"1103030044","0","","10303","0.01","0","1","6","0","0","0"
"1103030045","0","","10303","0.01","0","2","6","0","0","0"
"1103030046","0","","10303","0.01","0","3","6","0","0","0"
"1103030047","0","","10303","0.01","0","4","6","0","0","0"
"1103030048","","","10303","","0","10","32","","",""
"1103030049","","","10303","","0","11","32","","",""
"1103030050","","","10303","","0","12","32","","",""
"1103030051","","","10303","","0","13","32","","",""
"1103030052","","","10303","","0","14","32","","",""
"1103030053","","","10303","","0","15","32","","",""
"1103030054","","","10303","","0","16","32","","",""
"1103030055","","","10303","","0","18","32","","",""
"1103030056","","","10303","","0","0.3","93","","",""
"1103040001","20","magicitem_1","10304","1","1","1","5","0","0","0"
"1103040002","19","magicitem_2","10304","1","2","2","5","0","0","0"
"1103040003","18","magicitem_3","10304","1","3","4","5","0","0","0"
"1103040004","21","magicitem_kyaru","10304","1","4","103000","5","0","0","0"
"1103040005","0","","10304","0","10","103000","31","1","","0"
"1103040006","0","","10304","0","11","103001","31","1","","0"
"1103040007","0","","10304","0","12","103002","31","1","","0"
"1103040008","0","","10304","0","13","103006","31","1","","0"
"1103040009","0","","10304","0","14","103010","31","1","","0"
"1103040010","0","","10304","0","19","103011","31","1","","0"
"1103040011","0","","10304","1","15","1","31","1","","0"
"1103040012","0","","10304","0","16","2","31","1","","0"
"1103040013","0","","10304","0","17","3","31","1","","0"
"1103040014","0","","10304","0","18","4","31","1","","0"
"1103040015","0","","10304","1","0","18","35","1","","0"
"1103040016","","","10304","","1","18","32","","",""
"1103040017","","","10304","","0","0","91","","",""
"1103040018","","","10304","","1","10","32","","",""
"1103040019","","","10304","","1","11","32","","",""
"1103040020","","","10304","","1","12","32","","",""
"1103040021","","","10304","","1","13","32","","",""
"1103040022","","","10304","","1","19","32","","",""
"1103040023","0","","10304","0","magicitem_1","1","3","","",""
"1103040024","0","","10304","0","magicitem_2","2","3","","",""
"1103040025","0","","10304","0","magicitem_3","3","3","","",""
"1103040026","0","","10304","0","magicitem_kyaru2","4","3","","",""
"1103040027","0","","10304","","vo_caravan_event_007_000","vo_caravan","21","","","2.17"
"1103040028","1","","10304","","vo_caravan_event_007_001","vo_caravan","21","","","3.2"
"1103040029","2","","10304","","vo_caravan_event_007_002","vo_caravan","21","","","4.9"
"1103040030","","","10304","","0","7","93","","",""
"1103040031","","","10304","","0","18","32","","",""
"1103040032","","","10304","","0","0.67","93","","",""
"1103040033","","","10304","","1","1103040034","101","","",""
"1103040034","","","10304","","1","14","35","","",""
"1103040035","","","10304","","1","14","32","","",""
"1103040036","","","10304","","1","16","32","","",""
"1103040037","","","10304","","0","19","32","","",""
"1103040038","","","10304","","1","18","35","","",""
"1103040039","","","10304","","0","0.4","93","","",""
"1103040040","","","10304","","","","92","","",""
"1103040041","","","10304","","1","17","35","","",""
"1103040042","","","10304","","1","17","32","","",""
"1103040043","","","10304","","0","0.2","93","","",""
"1103040044","0","","10304","0.01","0","1","6","0","0","0"
"1103040045","0","","10304","0.01","0","2","6","0","0","0"
"1103040046","0","","10304","0.01","0","3","6","0","0","0"
"1103040047","0","","10304","0.01","0","4","6","0","0","0"
"1103040048","","","10304","","0","10","32","","",""
"1103040049","","","10304","","0","11","32","","",""
"1103040050","","","10304","","0","12","32","","",""
"1103040051","","","10304","","0","13","32","","",""
"1103040052","","","10304","","0","14","32","","",""
"1103040053","","","10304","","0","15","32","","",""
"1103040054","","","10304","","0","16","32","","",""
"1103040055","","","10304","","0","18","32","","",""
"1103040056","","","10304","","0","0.3","93","","",""
"1104010001","55","empty","10401","0.95","1","3","5","-270","0","-250"
"1104010002","57","empty","10401","0.95","2","104000","5","-270","0","-250"
"1104010003","50","empty","10401","0.95","3","5","5","-260","0","150"
"1104010004","52","empty","10401","0.95","4","5","5","-260","0","150"
"1104010005","220","","10401","0","0","104000","31","1","","0"
"1104010006","0","","10401","0","1","104001","31","1","","0"
"1104010007","-225","","10401","0","2","104002","31","1","","-235"
"1104010008","0","","10401","0","3","104003","31","1","","0"
"1104010009","0","","10401","0","4","104004","31","1","","0"
"1104010010","400","","10401","0","6","104006","31","1","","0"
"1104010011","0","","10401","0","10","1","31","1","","0"
"1104010012","0","","10401","0","20","2","31","1","","0"
"1104010013","0","","10401","0","30","3","31","1","","0"
"1104010014","0","","10401","0","50","5","31","1","","0"
"1104010015","","","10401","","0","0","91","","",""
"1104010016","","","10401","","1","50","32","","",""
"1104010017","","","10401","","1","0","32","","",""
"1104010018","","","10401","","1","10","32","","",""
"1104010019","","","10401","","0","0.5","93","","",""
"1104010020","0","","10401","","se_caravan_event_kyaru_A","se_caravan","23","","",""
"1104010021","0","","10401","","vo_caravan_event_98011_000","vo_caravan","21","","","0.2"
"1104010022","","","10401","","1","6","32","","",""
"1104010023","0","","10401","0","turnSkip_1_karin","3","3","","0",""
"1104010024","0","","10401","0","turnSkip_1_pen","4","3","","0",""
"1104010025","0","","10401","0","turnSkip_1","1","3","","0",""
"1104010026","0","","10401","0","turnSkip_1","2","3","","0",""
"1104010027","0","","10401","","0","0","33","8","","0.7"
"1104010028","-260","","10401","","-250","3","2","8","","0.7"
"1104010029","-260","","10401","","-250","4","2","8","","0.7"
"1104010030","0","","10401","","0","6","33","8","","0.7"
"1104010031","","","10401","","0","4.3","93","","",""
"1104010032","0","","10401","","se_caravan_event_kyaru_1turn_B","se_caravan","23","","",""
"1104010033","0","","10401","","vo_caravan_event_98011_001","vo_caravan","21","","","0.533"
"1104010034","","","10401","","0","0.833","93","","",""
"1104010035","","","10401","","1","3","32","","",""
"1104010036","","","10401","","0","0.3003","93","","",""
"1104010037","","","10401","","1","1","32","","",""
"1104010038","","","10401","","0","1.0337","93","","",""
"1104010039","0","","10401","","vo_caravan_event_98011_002","vo_caravan","21","","",""
"1104010040","","","10401","","1","2","32","","",""
"1104010041","","","10401","","0","0.833","93","","",""
"1104010042","","","10401","","0","1104010043","101","","",""
"1104010043","","","10401","","1","4","35","","",""
"1104010044","","","10401","","1","4","32","","",""
"1104010045","","","10401","","1","20","32","","",""
"1104010046","","","10401","","0","0.4","93","","",""
"1104010047","","","10401","","","","92","","",""
"1104010048","","","10401","","1","30","35","","",""
"1104010049","","","10401","","1","30","32","","",""
"1104010050","","","10401","","0","0.2","93","","",""
"1104010051","1","","10401","0","1","1","6","0","0","1"
"1104010052","1","","10401","0","1","2","6","0","0","1"
"1104010053","1","","10401","0","1","3","6","0","0","1"
"1104010054","1","","10401","0","1","4","6","0","0","1"
"1104010055","","","10401","","0","0","32","","",""
"1104010056","","","10401","","0","1","32","","",""
"1104010057","","","10401","","0","2","32","","",""
"1104010058","","","10401","","0","3","32","","",""
"1104010059","","","10401","","0","4","32","","",""
"1104010060","","","10401","","0","6","32","","",""
"1104010061","","","10401","","0","10","32","","",""
"1104010062","","","10401","","0","20","32","","",""
"1104010063","","","10401","","0","50","32","","",""
"1104010064","","","10401","","0","0.3","93","","",""
"1104020001","55","empty","10402","0.95","1","3","5","-270","0","-250"
"1104020002","57","empty","10402","0.95","2","104000","5","-270","0","-250"
"1104020003","50","empty","10402","0.95","3","5","5","-260","0","100"
"1104020004","52","empty","10402","0.95","4","5","5","-260","0","100"
"1104020005","220","","10402","0","0","104000","31","1","","0"
"1104020006","0","","10402","0","1","104001","31","1","","0"
"1104020007","-205","","10402","0","2","104002","31","1","","-245"
"1104020008","0","","10402","0","3","104003","31","1","","0"
"1104020009","0","","10402","0","5","104005","31","1","","0"
"1104020010","265","","10402","0","6","104006","31","1","","0"
"1104020011","0","","10402","0","10","1","31","1","","0"
"1104020012","0","","10402","0","20","2","31","1","","0"
"1104020013","0","","10402","0","30","3","31","1","","0"
"1104020014","0","","10402","0","50","5","31","1","","0"
"1104020015","","","10402","","0","0","91","","",""
"1104020016","","","10402","","1","50","32","","",""
"1104020017","","","10402","","1","0","32","","",""
"1104020018","","","10402","","1","10","32","","",""
"1104020019","","","10402","","0","0.5","93","","",""
"1104020020","0","","10402","","se_caravan_event_kyaru_A","se_caravan","23","","",""
"1104020021","0","","10402","","vo_caravan_event_98012_000","vo_caravan","21","","","0.2"
"1104020022","","","10402","","1","6","32","","",""
"1104020023","0","","10402","0","turnSkip_2_karin","3","3","","0",""
"1104020024","0","","10402","0","turnSkip_2_pen","4","3","","0",""
"1104020025","0","","10402","0","turnSkip_2","1","3","","0",""
"1104020026","0","","10402","0","turnSkip_2","2","3","","0",""
"1104020027","0","","10402","","0","0","33","8","","0.7"
"1104020028","-260","","10402","","-250","3","2","8","","0.7"
"1104020029","-260","","10402","","-250","4","2","8","","0.7"
"1104020030","0","","10402","","0","6","33","8","","0.7"
"1104020031","","","10402","","0","4.3","93","","",""
"1104020032","0","","10402","","se_caravan_event_kyaru_2turn_B","se_caravan","23","","",""
"1104020033","0","","10402","","vo_caravan_event_98012_001","vo_caravan","21","","","0.63"
"1104020034","0","","10402","","vo_caravan_event_98012_002","vo_caravan","21","","","2.2"
"1104020035","","","10402","","0","2.5","93","","",""
"1104020036","","","10402","","1","3","32","","",""
"1104020037","","","10402","","0","0.3","93","","",""
"1104020038","","","10402","","1","1","32","","",""
"1104020039","","","10402","","0","1.067","93","","",""
"1104020040","0","","10402","","vo_caravan_event_98012_003","vo_caravan","21","","",""
"1104020041","","","10402","","1","2","32","","",""
"1104020042","","","10402","","0","0.933","93","","",""
"1104020043","","","10402","","0","1104020044","101","","",""
"1104020044","","","10402","","1","5","35","","",""
"1104020045","","","10402","","1","5","32","","",""
"1104020046","","","10402","","1","20","32","","",""
"1104020047","","","10402","","0","0.4","93","","",""
"1104020048","","","10402","","","","92","","",""
