100968a720be9ed38d52d978871b1ad00dd15d24732a71bd58615f05e2400c26,cd13bde8a9cfe39fd6e61053c539a585c8174ebad74f911692963ed328fcc707,f5e6b209c43c67b6b45f4e49b9500c42fb69aeb7e03519574d5aa7d7afa6eed5,7a19db8afad87a0e4cc107e42b697629142cee76b29bb9a43e46c23c3b9bc676,55123b125372bd7c7c80cb42f4dd438481ac582886d186e16281d242fa2bb1b1,99c02525eb4e62cf8d39da81ca6470d553af57fe7d270cf158905af944e43dcc,57350195adc3f3e215fb89d3908bfdd23f3e1d3cca520feb851f51fbdf79d895,fff09555d4f9893522104f3327c0693e08139aa80895af7a257a929265858018,96f5875a6336f223cc248d28454f36f5efdf8fbe7f6818b835d9de39e133491a,5045484b10b17bae432486e2ed6d78fce7f31ea4c12ad34590ce53862ee83d45
"0","","1020001","vo_10011600_0201","2","0","1","2","0","vo_10011600"
"0","　一想到要用「日安」向別人打招呼，","1020002","0","1","8","2","2","0","0"
"2.375","","1020003","0","4","0","3","2","1","0"
"0","我孤單的心靈就會緊張到怦怦狂跳。\n","1020004","0","1","8","4","2","0","0"
"4","","1020005","0","4","0","5","2","1","0"
"0","","1020006","vo_10011600_0202","2","0","6","2","0","vo_10011600"
"0","不過，","1020007","0","1","8","7","2","0","0"
"1.125","","1020008","0","4","0","8","2","1","0"
"0","此時BB團團長卻突然現身！","1020009","0","1","8","9","2","0","0"
"3.75","","1020010","0","4","0","10","2","1","0"
"0","","1020011","vo_10011600_0203","2","0","11","2","0","vo_10011600"
"0","　BB團的羈絆","1020012","0","1","8","12","2","0","0"
"1.875","","1020013","0","4","0","13","2","1","0"
"0","不管走到哪裡都不會改變呢！\n","1020014","0","1","8","14","2","0","0"
"3.75","","1020015","0","4","0","15","2","1","0"
"0","","1020016","vo_10011600_0204","2","0","16","2","0","vo_10011600"
"0","然後，","1020017","0","1","8","17","2","0","0"
"1","","1020018","0","4","0","18","2","1","0"
"0","我認識了和那個人一起來到","1020019","0","1","8","19","2","0","0"
"2","","1020020","0","4","0","20","2","1","0"
"0","聖德蕾莎女學院","1020021","0","1","8","21","2","0","0"
"1.125","","1020022","0","4","0","22","2","1","0"
"0","（好朋友社）的成員們。","1020023","0","1","8","23","2","0","0"
"3.5","","1020024","0","4","0","24","2","1","0"
"0","","1020025","vo_10011600_0205","2","0","25","2","0","vo_10011600"
"0","　大家似乎都是很有個性的人，","1020026","0","1","8","26","2","0","0"
"3","","1020027","0","4","0","27","2","1","0"
"0","我很擔心自己是否能和他們融洽相處……","1020028","0","1","6","28","2","0","0"
"2.83333333333333","","1020029","0","4","0","29","2","1","0"
"0","","1030001","vo_10011600_0301","2","0","1","3","0","vo_10011600"
"0","　我搞砸了。","1030002","0","1","8","2","3","0","0"
"3","","1030003","0","4","0","3","3","1","0"
"0","","1030004","vo_10011600_0302","2","0","4","3","0","vo_10011600"
"0","　自我介紹對孤單的人來說就像眼前的巨大障礙。","1030005","0","1","8","5","3","0","0"
"5.125","","1030006","0","4","0","6","3","1","0"
"0","","1030007","vo_10011600_0303","2","0","7","3","0","vo_10011600"
"0","　我明明已經在腦海中做過很多次假想訓練，","1030008","0","1","8","8","3","0","0"
"2.625","","1030009","0","4","0","9","3","1","0"
"0","卻還是失敗了。","1030010","0","1","8","10","3","0","0"
"2.75","","1030011","0","4","0","11","3","1","0"
"0","","1030012","vo_10011600_0304","2","0","12","3","0","vo_10011600"
"0","　當所有同學盯著我看的那一瞬間，","1030013","0","1","8","13","3","0","0"
"3.5","","1030014","0","4","0","14","3","1","0"
"0","我的腦中變得一片空白，","1030015","0","1","8","15","3","0","0"
"2","","1030016","0","4","0","16","3","1","0"
"0","然後又開始脫口說出奇怪的話。\n","1030017","0","1","10","17","3","0","0"
"4.5","","1030018","0","4","0","18","3","1","0"
"0","","1030019","vo_10011600_0305","2","0","19","3","0","vo_10011600"
"0","雖然大家笑得很開心，","1030020","0","1","8","20","3","0","0"
"3","","1030021","0","4","0","21","3","1","0"
"0","不過我還是對未來感到不安……","1030022","0","1","8","22","3","0","0"
"2.25","","1030023","0","4","0","23","3","1","0"
"0","","1040001","vo_10011600_0401","2","0","1","4","0","vo_10011600"
"0","　優妮看起來","1040002","0","1","8","2","4","0","0"
"1.75","","1040003","0","4","0","3","4","1","0"
"0","是個很聰明的人。","1040004","0","1","8","4","4","0","0"
"2.625","","1040005","0","4","0","5","4","1","0"
"0","","1040006","vo_10011600_0402","2","0","6","4","0","vo_10011600"
"0","　她的用字譴詞十分艱澀，","1040007","0","1","8","7","4","0","0"
"3.75","","1040008","0","4","0","8","4","1","0"
"0","有些單字常常讓我聽不懂，","1040009","0","1","8","9","4","0","0"
"3.125","","1040010","0","4","0","10","4","1","0"
"0","以後我是不是應該隨身攜帶字典呢？\n","1040011","0","1","8","11","4","0","0"
"4","","1040012","0","4","0","12","4","1","0"
"0","","1040013","vo_10011600_0403","2","0","13","4","0","vo_10011600"
"0","　總是關在象牙之塔裡埋頭研究，","1040014","0","1","8","14","4","0","0"
"3.75","","1040015","0","4","0","15","4","1","0"
"0","平常不會從那裡踏出一步，","1040016","0","1","8","16","4","0","0"
"3.25","","1040017","0","4","0","17","4","1","0"
"0","散發出和我一樣的孤獨氣息。","1040018","0","1","8","18","4","0","0"
"3.375","","1040019","0","4","0","19","4","1","0"
"0","","1040020","vo_10011600_0404","2","0","20","4","0","vo_10011600"
"0","　「孤獨會召喚孤獨」，","1040021","0","1","8","21","4","0","0"
"2.5","","1040022","0","4","0","22","4","1","0"
"0","我","1040023","0","1","8","23","4","0","0"
"1.125","","1040024","0","4","0","24","4","1","0"
"0","不記得是誰說過這句話，","1040025","0","1","8","25","4","0","0"
"2.75","","1040026","0","4","0","26","4","1","0"
"0","但是說不定……\n","1040027","0","1","8","27","4","0","0"
"2","","1040028","0","4","0","28","4","1","0"
"0","","1040029","vo_10011600_0405","2","0","29","4","0","vo_10011600"
"0","擁有相同宿命的同伴，","1040030","0","1","8","30","4","0","0"
"2.375","","1040031","0","4","0","31","4","1","0"
"0","彼此可以成為好朋友？","1040032","0","1","8","32","4","0","0"
"2.125","","1040033","0","4","0","33","4","1","0"
"0","","1050001","vo_10011600_0501","2","0","1","5","0","vo_10011600"
"0","　克蘿依和我一樣都是","1050002","0","1","8","2","5","0","0"
"1.875","","1050003","0","4","0","3","5","1","0"
"0","精靈，","1050004","0","1","8","4","5","0","0"
"1.5","","1050005","0","4","0","5","5","1","0"
"0","可是……","1050006","0","1","8","6","5","0","0"
"1.625","","1050007","0","4","0","7","5","1","0"
"0","她給人的感覺，","1050008","0","1","8","8","5","0","0"
"1.375","","1050009","0","4","0","9","5","1","0"
"0","有點不太一樣。","1050010","0","1","8","10","5","0","0"
"2.625","","1050011","0","4","0","11","5","1","0"
"0","","1050012","vo_10011600_0502","2","0","12","5","0","vo_10011600"
"0","說不定擁有相同宿命的同伴，彼此可以成為好朋友？","1050013","0","1","8","13","5","0","0"
"3.625","","1050014","0","4","0","14","5","1","0"
"0","我曾經抱持這樣的想法，","1050015","0","1","8","15","5","0","0"
"2.125","","1050016","0","4","0","16","5","1","0"
"0","但是我根本不敢向她搭話！","1050017","0","1","8","17","5","0","0"
"3.125","","1050018","0","4","0","18","5","1","0"
"0","","1050019","vo_10011600_0503","2","0","19","5","0","vo_10011600"
"0","按照那個人的說法，","1050020","0","1","8","20","5","0","0"
"1.65","","1050021","0","4","0","21","5","1","0"
"0","她好像是個熱心助人，","1050022","0","1","8","22","5","0","0"
"1.625","","1050023","0","4","0","23","5","1","0"
"0","而且個性溫柔的好人……\n","1050024","0","1","8","24","5","0","0"
"3.125","","1050025","0","4","0","25","5","1","0"
"0","","1050026","vo_10011600_0504","2","0","26","5","0","vo_10011600"
"0","這麼說來，","1050027","0","1","8","27","5","0","0"
"2","","1050028","0","4","0","28","5","1","0"
"0","噗……","1050029","0","1","8","29","5","0","0"
"1.5","","1050030","0","4","0","30","5","1","0"
"0","那個聲音其實是歎息聲（？）、","1050031","0","1","8","31","5","0","0"
"2.375","","1050032","0","4","0","32","5","1","0"
"0","","1050033","vo_10011600_0505","2","0","33","5","0","vo_10011600"
"0","雖然說不出口……\n","1050034","0","1","8","34","5","0","0"
"2.375","","1050035","0","4","0","35","5","1","0"
"0","但是聽起來好可愛啊！","1050036","0","1","8","36","5","0","0"
"1.375","","1050037","0","4","0","37","5","1","0"
"0","我不禁在心裡這麼想。","1050038","0","1","8","38","5","0","0"
"1","","1050039","0","4","0","39","5","1","0"
"0","","1060001","vo_10011600_0601","2","0","1","6","0","vo_10011600"
"0","　琪愛兒則是個現充。","1060002","0","1","8","2","6","0","0"
"2.375","","1060003","0","4","0","3","6","1","0"
"0","這一點是毋庸置疑的。\n","1060004","0","1","8","4","6","0","0"
"2.5","","1060005","0","4","0","5","6","1","0"
"0","","1060006","vo_10011600_0602","2","0","6","6","0","vo_10011600"
"0","長得很可愛，擁有很多朋友。","1060007","0","1","8","7","6","0","0"
"2.5","","1060008","0","4","0","8","6","1","0"
"0","和我這種邊緣人完全相反。","1060009","0","1","8","9","6","0","0"
"2.875","","1060010","0","4","0","10","6","1","0"
"0","","1060011","vo_10011600_0603","2","0","11","6","0","vo_10011600"
"0","身上散發出令人難以直視的耀眼光芒。\n","1060012","0","1","8","12","6","0","0"
"3.25","","1060013","0","4","0","13","6","1","0"
"0","","1060014","vo_10011600_0604","2","0","14","6","0","vo_10011600"
"0","如果和她面對面說話，","1060015","0","1","8","15","6","0","0"
"3.5","","1060016","0","4","0","16","6","1","0"
"0","我的空虛心靈一定會裂成碎片，","1060017","0","1","8","17","6","0","0"
"2.5","","1060018","0","4","0","18","6","1","0"
"0","掉落滿地。\n","1060019","0","1","8","19","6","0","0"
"3.875","","1060020","0","4","0","20","6","1","0"
"0","","1060021","vo_10011600_0605","2","0","21","6","0","vo_10011600"
"0","「切嚕～」，","1060022","0","1","8","22","6","0","0"
"1.75","","1060023","0","4","0","23","6","1","0"
"0","那種問候語…","1060024","0","1","8","24","6","0","0"
"1.625","","1060025","0","4","0","25","6","1","0"
"0","如果要我說出來，我一定會當場昏倒，","1060026","0","1","8","26","6","0","0"
"2.75","","1060027","0","4","0","27","6","1","0"
"0","直接蒙主寵召……","1060028","0","1","8","28","6","0","0"
"3.125","","1060029","0","4","0","29","6","1","0"
"0","","1070001","vo_10011600_0701","2","0","1","7","0","vo_10011600"
"0","　今天真的是每件事情","1070002","0","1","8","2","7","0","0"
"2.375","","1070003","0","4","0","3","7","1","0"
"0","都受到優妮的照顧。\n","1070004","0","1","7","4","7","0","0"
"3.28571428571429","","1070005","0","4","0","5","7","1","0"
"0","","1070006","vo_10011600_0702","2","0","6","7","0","vo_10011600"
"0","和喜歡調侃人的克蘿依與琪愛兒完全不同，","1070007","0","1","8","7","7","0","0"
"4.625","","1070008","0","4","0","8","7","1","0"
"0","我從她身上看見了充滿知性，","1070009","0","1","8","9","7","0","0"
"1.5","","1070010","0","4","0","10","7","1","0"
"0","值得信賴的一面。","1070011","0","1","10","11","7","0","0"
"2.4","","1070012","0","4","0","12","7","1","0"
"0","","1070013","vo_10011600_0703","2","0","13","7","0","vo_10011600"
"0","俐落下達明確指示的模樣，","1070014","0","1","8","14","7","0","0"
"2.375","","1070015","0","4","0","15","7","1","0"
"0","充分展現出她身為公會長的威嚴。","1070016","0","1","8","16","7","0","0"
"3.5","","1070017","0","4","0","17","7","1","0"
"0","","1070018","vo_10011600_0704","2","0","18","7","0","vo_10011600"
"0","我相信優妮一定","1070019","0","1","8","19","7","0","0"
"2.25","","1070020","0","4","0","20","7","1","0"
"0","可以將優妮們的威名傳播到全世界。\n\n","1070021","0","1","8","21","7","0","0"
"6.625","","1070022","0","4","0","22","7","1","0"
"0","","1070023","vo_10011600_0705","2","0","23","7","0","vo_10011600"
"0","咦？","1070024","0","1","8","24","7","0","0"
"1.125","","1070025","0","4","0","25","7","1","0"
"0","　公會名是這樣嗎？","1070026","0","1","8","26","7","0","0"
"2.75","","1070027","0","4","0","27","7","1","0"
"0","","1080001","vo_10011600_0801","2","0","1","8","0","vo_10011600"
"0","　初次見面時，","1080002","0","1","8","2","8","0","0"
"1.75","","1080003","0","4","0","3","8","1","0"
"0","因為太害怕而遲遲不敢跟克蘿依說話。","1080004","0","1","8","4","8","0","0"
"4.125","","1080005","0","4","0","5","8","1","0"
"0","","1080006","vo_10011600_0802","2","0","6","8","0","vo_10011600"
"0","不過後來我漸漸明白她其實是個很溫柔的人，","1080007","0","1","8","7","8","0","0"
"2.75","","1080008","0","4","0","8","8","1","0"
"0","而且時常關心我的事情。\n","1080009","0","1","8","9","8","0","0"
"5.875","","1080010","0","4","0","10","8","1","0"
"0","","1080011","vo_10011600_0803","2","0","11","8","0","vo_10011600"
"0","托克蘿依的福，雖然只有一點點…","1080012","0","1","8","12","8","0","0"
"3.25","","1080013","0","4","0","13","8","1","0"
"0","不過\n我總算比較能融入班上。\n","1080014","0","1","8","14","8","0","0"
"4.25","","1080015","0","4","0","15","8","1","0"
"0","","1080016","vo_10011600_0804","2","0","16","8","0","vo_10011600"
"0","克蘿依似乎有很多兄弟姊妹。","1080017","0","1","8","17","8","0","0"
"4.125","","1080018","0","4","0","18","8","1","0"
"0","","1080019","vo_10011600_0805","2","0","19","8","0","vo_10011600"
"0","的確，","1080020","0","1","8","20","8","0","0"
"1.625","","1080021","0","4","0","21","8","1","0"
"0","今天的克蘿依差點讓我脫口喊她姊姊！","1080022","0","1","8","22","8","0","0"
"4.625","","1080023","0","4","0","23","8","1","0"
"0","","1090001","vo_10011600_0901","2","0","1","9","0","vo_10011600"
"0","　切嚕～","1090002","0","1","8","2","9","0","0"
"3.875","","1090003","0","4","0","3","9","1","0"
"0","","1090004","vo_10011600_0902","2","0","4","9","0","vo_10011600"
"0","如果可以學會說出這句問候語，","1090005","0","1","8","5","9","0","0"
"2.75","","1090006","0","4","0","6","9","1","0"
"0","我是不是就能像琪愛兒一樣","1090007","0","1","8","7","9","0","0"
"2.375","","1090008","0","4","0","8","9","1","0"
"0","開朗有自信，擁有許多朋友，","1090009","0","1","8","9","9","0","0"
"2.75","","1090010","0","4","0","10","9","1","0"
"0","變身為自己理想中的女性呢？\n","1090011","0","1","8","11","9","0","0"
"4.375","","1090012","0","4","0","12","9","1","0"
"0","","1090013","vo_10011600_0903","2","0","13","9","0","vo_10011600"
"0","不過","1090014","0","1","8","14","9","0","0"
"1.25","","1090015","0","4","0","15","9","1","0"
"0","這句問候語對我而言還太困難，","1090016","0","1","8","16","9","0","0"
"2.875","","1090017","0","4","0","17","9","1","0"
"0","今天暫且寫下來就好。\n","1090018","0","1","8","18","9","0","0"
"4.125","","1090019","0","4","0","19","9","1","0"
"0","","1090020","vo_10011600_0904","2","0","20","9","0","vo_10011600"
"0","切嚕～切嚕～切嚕～切嚕～切嚕～","1090021","0","1","8","21","9","0","0"
"4.125","","1090022","0","4","0","22","9","1","0"
"0","","1090023","vo_10011600_0905","2","0","23","9","0","vo_10011600"
"0","切嚕～切嚕～切嚕～切嚕～切嚕～","1090024","0","1","8","24","9","0","0"
"4.125","","1090025","0","4","0","25","9","1","0"
"0","","1090026","vo_10011600_0906","2","0","26","9","0","vo_10011600"
"0","切嚕～切嚕～切嚕～切嚕～切嚕～\n","1090027","0","1","8","27","9","0","0"
"4.125","","1090028","0","4","0","28","9","1","0"
"0","","1090029","vo_10011600_0907","2","0","29","9","0","vo_10011600"
"0","切嚕～切嚕～切嚕～","1090030","0","1","8","30","9","0","0"
"2.875","","1090031","0","4","0","31","9","1","0"
"0","","1100001","vo_10011600_1001","2","0","1","10","0","vo_10011600"
"0","　忘記了忘記了忘記了！\n","1100002","0","1","8","2","10","0","0"
"2.75","","1100003","0","4","0","3","10","1","0"
"0","特別講座到底該怎麼辦啦！","1100004","0","1","8","4","10","0","0"
"2.25","","1100005","0","4","0","5","10","1","0"
"0","","1100006","vo_10011600_1002","2","0","6","10","0","vo_10011600"
"0","從精靈之森帶來的曼德拉草逃跑了，","1100007","0","1","8","7","10","0","0"
"3.625","","1100008","0","4","0","8","10","1","0"
"0","我完全沒有任何準備！\n","1100009","0","1","8","9","10","0","0"
"2.375","","1100010","0","4","0","10","10","1","0"
"0","","1100011","vo_10011600_1003","2","0","11","10","0","vo_10011600"
"0","……精靈之森嗎","1100012","0","1","8","12","10","0","0"
"2","","1100013","0","4","0","13","10","1","0"
"0","似乎在呼喚我……","1100014","0","1","8","14","10","0","0"
"2.25","","1100015","0","4","0","15","10","1","0"
"0","","1100016","vo_10011600_1004","2","0","16","10","0","vo_10011600"
"0","不對，不行不行，","1100017","0","1","8","17","10","0","0"
"1.875","","1100018","0","4","0","18","10","1","0"
"0","我不能背叛美里老師的期待！\n","1100019","0","1","8","19","10","0","0"
"4.125","","1100020","0","4","0","20","10","1","0"
"0","","1100021","vo_10011600_1005","2","0","21","10","0","vo_10011600"
"0","但是我該如何是好？","1100022","0","1","8","22","10","0","0"
"3.125","","1100023","0","4","0","23","10","1","0"
"0","","1100024","vo_10011600_1006","2","0","24","10","0","vo_10011600"
"0","既然如此，","1100025","0","1","8","25","10","0","0"
"1.75","","1100026","0","4","0","26","10","1","0"
"0","乾脆將「如何度過孤獨人生」的要點整理出來","1100027","0","1","8","27","10","0","0"
"3.375","","1100028","0","4","0","28","10","1","0"
"0","並且對外發表吧……？","1100029","0","1","8","29","10","0","0"
"2.5","","1100030","0","4","0","30","10","1","0"
"0","","1110001","vo_10011600_1101","2","0","1","11","0","vo_10011600"
"0","　特別講座","1110002","0","1","8","2","11","0","0"
"1.75","","1110003","0","4","0","3","11","1","0"
"0","結束！\n","1110004","0","1","8","4","11","0","0"
"2.625","","1110005","0","4","0","5","11","1","0"
"0","","1110006","vo_10011600_1102","2","0","6","11","0","vo_10011600"
"0","結果……","1110007","0","1","8","7","11","0","0"
"1.625","","1110008","0","4","0","8","11","1","0"
"0","成功","1110009","0","1","8","9","11","0","0"
"1.375","","1110010","0","4","0","10","11","1","0"
"0","…應該吧。","1110011","0","1","8","11","11","0","0"
"3.125","","1110012","0","4","0","12","11","1","0"
"0","","1110013","vo_10011600_1103","2","0","13","11","0","vo_10011600"
"0","　這一切都要感謝","1110014","0","1","8","14","11","0","0"
"2.5","","1110015","0","4","0","15","11","1","0"
"0","從旁協助的那個人，","1110016","0","1","8","16","11","0","0"
"1.875","","1110017","0","4","0","17","11","1","0"
"0","以及","1110018","0","1","8","18","11","0","0"
"0.875","","1110019","0","4","0","19","11","1","0"
"0","好朋友社的各位。\n","1110020","0","1","8","20","11","0","0"
"3","","1110021","0","4","0","21","11","1","0"
"0","","1110022","vo_10011600_1104","2","0","22","11","0","vo_10011600"
"0","講座結束之後，","1110023","0","1","8","23","11","0","0"
"2.125","","1110024","0","4","0","24","11","1","0"
"0","許多人圍在我身邊，讓我感到很害怕。","1110025","0","1","8","25","11","0","0"
"3","","1110026","0","4","0","26","11","1","0"
"0","","1110027","vo_10011600_1105","2","0","27","11","0","vo_10011600"
"0","可是我…","1110028","0","1","8","28","11","0","0"
"1.5","","1110029","0","4","0","29","11","1","0"
"0","沒有像往常一樣逃跑！\n","1110030","0","1","8","30","11","0","0"
"3.125","","1110031","0","4","0","31","11","1","0"
"0","","1110032","vo_10011600_1106","2","0","32","11","0","vo_10011600"
"0","我是否也有稍微……","1110033","0","1","8","33","11","0","0"
"2","","1110034","0","4","0","34","11","1","0"
"0","雖然只有一點點……","1110035","0","1","8","35","11","0","0"
"2.625","","1110036","0","4","0","36","11","1","0"
"0","成長……","1110037","0","1","8","37","11","0","0"
"1.5","","1110038","0","4","0","38","11","1","0"
"0","了呢？","1110039","0","1","8","39","11","0","0"
"1.875","","1110040","0","4","0","40","11","1","0"
"0","","1120001","vo_10011600_1201","2","0","1","12","0","vo_10011600"
"0","　沒想到我居然可以自然而然地融入聖德蕾莎女學院，","1120002","0","1","8","2","12","0","0"
"4.25","","1120003","0","4","0","3","12","1","0"
"0","那個人果然好厲害啊！\n","1120004","0","1","8","4","12","0","0"
"3.5","","1120005","0","4","0","5","12","1","0"
"0","","1120006","vo_10011600_1202","2","0","6","12","0","vo_10011600"
"0","　走在走廊時，","1120007","0","1","8","7","12","0","0"
"2.125","","1120008","0","4","0","8","12","1","0"
"0","其他學生看見那個人後紛紛露出驚訝的表情，","1120009","0","1","8","9","12","0","0"
"3.375","","1120010","0","4","0","10","12","1","0"
"0","不過那個人還是微笑著向大家打招呼！\n","1120011","0","1","8","11","12","0","0"
"3.125","","1120012","0","4","0","12","12","1","0"
"0","","1120013","vo_10011600_1203","2","0","13","12","0","vo_10011600"
"0","即使有人","1120014","0","1","8","14","12","0","0"
"1.375","","1120015","0","4","0","15","12","1","0"
"0","朝著他尖叫，","1120016","0","1","8","16","12","0","0"
"1.25","","1120017","0","4","0","17","12","1","0"
"0","他依舊一臉蠻不在乎地揮手以對！","1120018","0","1","8","18","12","0","0"
"2.5","","1120019","0","4","0","19","12","1","0"
"0","","1120020","vo_10011600_1204","2","0","20","12","0","vo_10011600"
"0","　和不懂得打招呼的我完全不同！\n\n","1120021","0","1","8","21","12","0","0"
"4.625","","1120022","0","4","0","22","12","1","0"
"0","","1120023","vo_10011600_1205","2","0","23","12","0","vo_10011600"
"0","我也好想盡快","1120024","0","1","8","24","12","0","0"
"1.25","","1120025","0","4","0","25","12","1","0"
"0","變成那樣的人……","1120026","0","1","8","26","12","0","0"
"2.5","","1120027","0","4","0","27","12","1","0"
"0","","1130001","vo_10011600_1301","2","0","1","13","0","vo_10011600"
"0","　我帶來的曼德拉草惹出大麻煩……","1130002","0","1","8","2","13","0","0"
"4.875","","1130003","0","4","0","3","13","1","0"
"0","","1130004","vo_10011600_1302","2","0","4","13","0","vo_10011600"
"0","可是，","1130005","0","1","8","5","13","0","0"
"1.25","","1130006","0","4","0","6","13","1","0"
"0","多虧那個人和好朋友社出手相助，","1130007","0","1","8","7","13","0","0"
"4","","1130008","0","4","0","8","13","1","0"
"0","最後終於趕在釀成重大災情前及時阻止了牠。","1130009","0","1","8","9","13","0","0"
"5","","1130010","0","4","0","10","13","1","0"
"0","","1130011","vo_10011600_1303","2","0","11","13","0","vo_10011600"
"0","　雖然大家","1130012","0","1","8","12","13","0","0"
"1.45","","1130013","0","4","0","13","13","1","0"
"0","口口聲聲說自己別有所圖，","1130014","0","1","8","14","13","0","0"
"2.75","","1130015","0","4","0","15","13","1","0"
"0","但是我相信事情一定不是那樣的。\n","1130016","0","1","8","16","13","0","0"
"3.25","","1130017","0","4","0","17","13","1","0"
"0","","1130018","vo_10011600_1304","2","0","18","13","0","vo_10011600"
"0","能夠像這樣和大家並肩作戰，","1130019","0","1","8","19","13","0","0"
"2.75","","1130020","0","4","0","20","13","1","0"
"0","我真的很高興。\n","1130021","0","1","8","21","13","0","0"
"2.5","","1130022","0","4","0","22","13","1","0"
"0","","1130023","vo_10011600_1305","2","0","23","13","0","vo_10011600"
"0","感覺就像……","1130024","0","1","8","24","13","0","0"
"1.75","","1130025","0","4","0","25","13","1","0"
"0","和大家…","1130026","0","1","8","26","13","0","0"
"1.375","","1130027","0","4","0","27","13","1","0"
"0","變成了同伴。","1130028","0","1","8","28","13","0","0"
"2.125","","1130029","0","4","0","29","13","1","0"
"0","","1140001","vo_10011600_1401","2","0","1","14","0","vo_10011600"
"0","　今天是","1140002","0","1","8","2","14","0","0"
"1.5","","1140003","0","4","0","3","14","1","0"
"0","在聖德蕾莎女學院上課的","1140004","0","1","7","4","14","0","0"
"3.60714285714286","","1140005","0","4","0","5","14","1","0"
"0","……最後一天。\n","1140006","0","1","8","6","14","0","0"
"3.25","","1140007","0","4","0","7","14","1","0"
"0","","1140008","vo_10011600_1402","2","0","8","14","0","vo_10011600"
"0","一開始聽見美里老師提出這項要求時，","1140009","0","1","8","9","14","0","0"
"3.375","","1140010","0","4","0","10","14","1","0"
"0","我認為自己一定無法辦到。","1140011","0","1","8","11","14","0","0"
"3.125","","1140012","0","4","0","12","14","1","0"
"0","","1140013","vo_10011600_1403","2","0","13","14","0","vo_10011600"
"0","　但是現在心中卻十分不捨，","1140014","0","1","8","14","14","0","0"
"2.625","","1140015","0","4","0","15","14","1","0"
"0","於是像這樣靠著寫日記紀錄一切。\n","1140016","0","1","8","16","14","0","0"
"3.375","","1140017","0","4","0","17","14","1","0"
"0","","1140018","vo_10011600_1404","2","0","18","14","0","vo_10011600"
"0","　閉上眼睛，","1140019","0","1","8","19","14","0","0"
"2","","1140020","0","4","0","20","14","1","0"
"0","那個人和","1140021","0","1","8","21","14","0","0"
"1.5","","1140022","0","4","0","22","14","1","0"
"0","好朋友社的各位、","1140023","0","1","8","23","14","0","0"
"2.125","","1140024","0","4","0","24","14","1","0"
"0","以及所有對我親切友好的同學們。\n\n","1140025","0","1","8","25","14","0","0"
"6.375","","1140026","0","4","0","26","14","1","0"
"0","","1140027","vo_10011600_1405","2","0","27","14","0","vo_10011600"
