6ba95d95593b195746f3135e38f9d2e5ab0971cdf422ba011428dc575d118686,ee2a78e27b00df0f97b85c941cbaee802b672785bb51d1737579b4edde0c1c01,9dc5f0385dd9c4b314f0c3b6d6068db615e26e66a5f70520ab980ec3dc2ee25b,d6fb1eda551fc3285565016690ff31acdeef9d3d34acab57addaa1e79b8ebd46,21b6903b70e5984049801e0e215b4012dff2bad68489a80ca499c7aa0734e14a,06c9f222fbe78bcffe3d14886e4beee86858415c411b91daf469017dea336bb5,945f015ccd95b5ec066110930ffdb9995261edb301527c689a83d9c7b16b2a60,0e164d8097439d606510666e0232562ab1f71387fe95458af63140f72417d540,8bbcca69014e2c44ce022dccb0adda99cdb543b76d85849f911337e52c808a8e,32bbab0e58df49f1ccc255124f7159de316df526ff2f765672f4772a8bc61b9d,8031798c6a1001398cbfb711ffbba61a0bbdfdca32d9538f1fbe6bda2c944daa
"2","1007501","2022/01/26 16:00:00","5048","也可以從額外劇情中\n查看特別的劇情。","活動特別章節","2022/01/31 15:59:59","0","前往劇情","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","10075"
"3","1007502","2022/01/26 16:00:00","5048","也可以從額外劇情中\n查看特別的劇情。","活動特別章節","2022/01/31 15:59:59","0","前往劇情","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","10075"
"5","1008201","2022/05/16 16:00:00","1004","","追加大合照","2022/05/20 15:59:59","5082601","前往活動","已於「眾人同樂的年菜派對」\n追加大合照。","10082"
"4","1008301","2022/05/18 16:00:00","5056","也可以從額外劇情中\n查看特別的劇情。","活動特別章節","2022/05/24 15:59:59","5056601","前往劇情","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","10083"
"3","1008901","2022/07/19 16:00:00","5061","可以從額外劇情中\n查看特別的劇情。","活動特別章節","2022/07/28 15:59:59","5061601","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","10089"
"5","1008902","2022/07/26 16:00:00","10089","","活動特別章節","2022/07/28 15:59:59","5061602","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","10089"
"3","1008903","2022/07/28 16:00:00","5061","可以從額外劇情中\n查看特別的劇情。","活動特別章節","2022/07/31 15:59:59","5061601","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","10089"
"5","1009201","2022/09/15 16:00:00","10092","","活動特別章節","2022/09/19 15:59:59","5092601","前往劇情","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。","10092"
"5","1010001","2023/01/16 16:00:00","10100","","活動特別章節","2023/01/20 15:59:59","5100601","前往劇情","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。","10100"
"5","1010901","2023/05/26 16:00:00","1004","","追加大合照","2023/05/28 15:59:59","5082601","前往活動","已於「眾人同樂的年菜派對」\n追加大合照。","10109"
"5","1011901","2023/09/25 16:00:00","10119","","活動特別章節","2023/09/28 15:59:59","5092601","前往劇情","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。","10119"
"5","1012701","2024/01/24 16:00:00","10127","","活動特別章節","2024/01/27 15:59:59","5100601","前往劇情","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。","10127"
"4","2003201","2022/05/18 16:00:00","5056","也可以從額外劇情中\n查看特別的劇情。","活動特別章節","2022/05/24 15:59:59","5056601","前往劇情","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","20032"
