8ad0caf068f702efe3f46eefee007d095a4b0de5ac279b28127fbe8ad4f5e9ec,4e0f7a16b4009d48f5be6f61c9d3bf4b1f1560690c979f6d33d84ed96aa6fb77,3bd68a4b9047a29cc70e558103d85e9f66a60b4e74f98a9bd30b10df4e25137a,3ca9df59171e668f577119f077aafcd64072669c874bc659c192d73316b35eb2,a800b7dfdc25b464ced337efb0435e1444f1ac96f9256d14d5b0424e5dca92e5,4a71086678e98313159e382d445bac9466b0ff4c67b7d6a54dcdbaafe6739313,720b0ee6ee6640d961be8059d71cf80642dcb8be494f59bfc5ccd207d466c89c,3c43a088934c64236860fade2755700cbcf3254e3ebeaf4da7fd279fd8f5d420,77bfb6f0661783184da95347cb2a2b9589e813d059cda036c3fbbddadaf86af8,b46c01dafdb7433ba964fdc3b696a86230327e55dfa5c88f8e0ce2fa951e834d,0fa0dea3381b79792d30977799af0edf5902d4c768c53c5734919e76682da2bf
"6","0","","0","3","1060004","0","0","11","8","可別因為這是練習，\n就讓我看見你們\n散漫的樣子啊！"
"6","","","","3","1060005","","","93","",""
"6","pkb_idle_guts_l","","0.2","3","1060006","1","","3","0","pkb_talk_guts_l"
"6","","","","1060004","1060007","","","91","",""
"6","","","0.2","3","1060008","","","3","1","pkb_idle_normal_l"
"7","64","1","1.65","1","1070001","-175","pkb_idle_normal","1","100","113411"
"7","pkb_talk_joy1","0.2","0.2","113411","1070002","1","","3","0","pkb_talk_fun"
"7","0","","","vo_minigame_1006","1070003","","","21","0","vo_minigame_1006_top_201"
"7","0","0","0","113411","1070004","0","0","11","8","加油～加油～！\n今天也要努力加油喔！\n打起精神上吧～！"
"7","","","","3.4","1070005","","","93","",""
"7","pkb_idle_normal","0.2","0.2","113411","1070006","1","","3","0","pkb_talk_handsup"
"7","","","","1070004","1070007","","","91","",""
"7","","","0.2","113411","1070008","","","3","1","pkb_idle_normal"
"8","64","1","1.65","1","1080001","-175","pkb_idle_normal","1","100","113411"
"8","","","0.2","113411","1080002","","","3","1","pkb_talk_joy2"
"8","0","","","vo_minigame_1006","1080003","","","21","0","vo_minigame_1006_top_202"
"8","0","0","0","113411","1080004","0","-1","11","8","初音也要一起\n幫忙練習～！\n閃亮亮～☆"
"8","","","","3.6","1080005","","","93","",""
"8","","","0.2","113411","1080006","","","3","0","pkb_hatsune_kiran"
"8","","","","1080004","1080007","","","91","",""
"8","","","0.2","113411","1080008","","","3","1","pkb_idle_normal"
"9","64","1","1.65","1","1090001","-175","pkb_idle_normal","1","100","113411"
"9","","","0.2","113411","1090002","","","3","1","pkb_talk_joy2"
"9","0","","","vo_minigame_1006","1090003","","","21","0","vo_minigame_1006_top_203"
"9","0","0","0","113411","1090004","0","0","11","6","我也想試著投投看！\n我要用超能……不對，\n是用魔法，來投出\n很強力的球！"
"9","","","","3","1090005","","","93","",""
"9","pkb_idle_surprise1","0.2","0.2","113411","1090006","1","","3","0","pkb_surprise"
"9","","","","1","1090007","","","93","",""
"9","","","0.2","113411","1090008","","","3","1","pkb_talk_joy3"
"9","","","","1090004","1090009","","","91","",""
"9","","","0.2","113411","1090010","","","3","1","pkb_idle_normal"
"10","64","1","1.65","1","1100001","-175","pkb_idle_normal","1","100","106531"
"10","pkb_idle_arm_crossed","","0.2","106531","1100002","1","","3","0","pkb_talk_arm_crossed"
"10","0","","","vo_minigame_1006","1100003","","","21","0","vo_minigame_1006_top_301"
"10","0","0","0","106531","1100004","0","0","11","8","欸，趕快開始練習吧，\n我已經按捺不住，\n好想趕快投球啊！"
"10","","","","2.8","1100005","","","93","",""
"10","","","0.2","106531","1100006","","","3","1","pkb_talk_joy1"
"10","","","","1100004","1100007","","","91","",""
"10","","","0.2","106531","1100008","","","3","1","pkb_idle_normal"
"11","64","1","1.65","1","1110001","-175","pkb_idle_normal","1","100","106531"
"11","","","0.2","106531","1110002","","","3","1","pkb_talk_normal"
"11","0","","","vo_minigame_1006","1110003","","","21","0","vo_minigame_1006_top_302"
"11","0","0","0","106531","1110004","0","0","11","8","老娘的特訓可不是\n鬧著玩的，做好\n心理準備了吧？"
"11","","","","3.2","1110005","","","93","",""
"11","pkb_idle_arm_crossed","0.2","0.2","106531","1110006","1","","3","0","pkb_talk_arm_crossed"
"11","","","","1110004","1110007","","","91","",""
"11","","","0.2","106531","1110008","","","3","1","pkb_idle_normal"
"12","64","1","1.65","1","1120001","-175","pkb_idle_normal","1","100","106531"
"12","pkb_idle_arm_crossed","0.2","0.2","106531","1120002","1","","3","0","pkb_talk_arm_crossed"
"12","0","","","vo_minigame_1006","1120003","","","21","0","vo_minigame_1006_top_303"
"12","0","0","0","106531","1120004","0","0.5","11","8","你們的氣勢可不是\n只有嘴上功夫吧？\n展現給我看看！"
"12","","","","3.2","1120005","","","93","",""
"12","pkb_idle_doya","","0.2","106531","1120006","1","","3","0","pkb_talk_doya"
"12","","","","1120004","1120007","","","91","",""
"12","","","0.2","106531","1120008","","","3","1","pkb_idle_normal"
"13","64","1","1.65","1","1130001","-175","pkb_idle_normal","1","100","102311"
"13","pkb_talk_joy1","0.4","0.2","102311","1130002","1","","3","0","pkb_talk_fun"
"13","0","","","vo_minigame_1006","1130003","","","21","0","vo_minigame_1006_top_401"
"13","0","0","0","102311","1130004","0","0","11","8","今天也要打很多球！\n一起加油吧，\n噗吉！"
"13","","","","1130004","1130005","","","91","",""
"13","","","0.2","102311","1130006","","","3","1","pkb_idle_normal"
"14","64","1","1.65","1","1140001","-175","pkb_idle_normal","1","100","102311"
"14","","","0.2","102311","1140002","","","3","1","pkb_talk_joy1"
"14","0","","","vo_minigame_1006","1140003","","","21","0","vo_minigame_1006_top_402"
"14","0","0","0","102311","1140004","0","0","11","8","只要全部都打出\n全壘打就好了是吧？\n這點程度很簡單啦！"
"14","","","","3","1140005","","","93","",""
"14","pkb_idle_doya","","0.2","102311","1140006","1","","3","0","pkb_talk_doya"
"14","","","","1140004","1140007","","","91","",""
"14","","","0.2","102311","1140008","","","3","1","pkb_idle_normal"
"15","64","1","1.65","1","1150001","-175","pkb_idle_normal","1","100","102311"
"15","","","0.2","102311","1150002","","","3","1","pkb_talk_wish"
"15","0","","","vo_minigame_1006","1150003","","","21","0","vo_minigame_1006_top_403"
"15","0","0","0","102311","1150004","0","-0.5","11","8","為了可以成為哥哥\n他們的榜樣，\n我會努力打很多球的！"
"15","","","","2.4","1150005","","","93","",""
"15","pkb_talk_joy1","0.4","0.2","102311","1150006","1","","3","0","pkb_talk_fun"
"15","","","","1150004","1150007","","","91","",""
"15","","","0.2","102311","1150008","","","3","1","pkb_idle_normal"
"16","64","1","57","1","1160001","-155","pkb_idle_normal_l","5","100","1"
"16","pkb_idle_arm_crossed_l","0.2","0.2","1","1160002","1","","3","0","pkb_talk_arm_crossed_l"
"16","0","","","vo_minigame_1006","1160003","","","21","0","vo_minigame_1006_top_701"
"16","0","0","0","1","1160004","0","0","11","8","以全國大賽為目標，\n今天也來努力練習吧！"
"16","","","","2.6","1160005","","","93","",""
"16","pkb_idle_doya_l","0.2","0.2","1","1160006","1","","3","0","pkb_talk_doya_l"
"16","","","","1160004","1160007","","","91","",""
"16","","","0.2","1","1160008","","","3","1","pkb_idle_normal_l"
"17","64","1","57","1","1170001","-155","pkb_idle_normal_l","5","100","1"
"17","pkb_idle_guts_l","","0.2","1","1170002","1","","3","0","pkb_talk_guts_l"
"17","0","","","vo_minigame_1006","1170003","","","21","0","vo_minigame_1006_top_702"
"17","0","0","0","1","1170004","0","0","11","8","為了實現夢想，\n大家來盡全力\n練習吧！"
"17","","","","0","1170005","","","91","",""
"17","","","0.2","1","1170006","","","3","1","pkb_idle_normal_l"
"18","64","1","57","1","1180001","-155","pkb_idle_normal_l","5","100","1"
"18","pkb_idle_arm_crossed_l","0.2","0.2","1","1180002","1","","3","0","pkb_talk_arm_crossed_l"
"18","0","","","vo_minigame_1006","1180003","","","21","0","vo_minigame_1006_top_703"
"18","0","0","0","1","1180004","0","0","11","8","社員們也都\n進步了好多……\n我可不能落後了！"
"18","","","","2.9","1180005","","","93","",""
"18","pkb_idle_guts_l","","0.2","1","1180006","1","","3","0","pkb_talk_guts_l"
"18","","","","1180004","1180007","","","91","",""
"18","","","0.2","1","1180008","","","3","1","pkb_idle_normal_l"
"19","64","1","57","2","1190001","-155","pkb_idle_normal_l","5","100","2"
"19","pkb_idle_arm_crossed_l","0.2","0.2","2","1190002","1","","3","0","pkb_talk_arm_crossed_l"
"19","0","","","vo_minigame_1006","1190003","","","21","0","vo_minigame_1006_top_801"
"19","0","0","0","2","1190004","0","0","11","8","我會把我的進步\n展現出來，畢竟\n我也是選手啊。"
"19","","","","3.8","1190005","","","93","",""
"19","pkb_idle_guts_l","","0.2","2","1190006","1","","3","0","pkb_talk_guts_l"
"19","","","","1190004","1190007","","","91","",""
"19","","","0.2","2","1190008","","","3","1","pkb_idle_normal_l"
"20","64","1","57","2","1200001","-155","pkb_idle_normal_l","5","100","2"
"20","pkb_idle_guts_l","","0.2","2","1200002","1","","3","0","pkb_talk_guts_l"
"20","0","","","vo_minigame_1006","1200003","","","21","0","vo_minigame_1006_top_802"
"20","0","0","0","2","1200004","0","0","11","8","今天我也要把球打飛！\n不用客氣，\n對我使出全力吧。"
"20","","","","3.2","1200005","","","93","",""
"20","pkb_idle_doya_l","","0.2","2","1200006","1","","3","0","pkb_talk_doya_l"
"20","","","","1200004","1200007","","","91","",""
"20","","","0.2","2","1200008","","","3","1","pkb_idle_normal_l"
"21","64","1","57","2","1210001","-155","pkb_idle_normal_l","5","100","2"
"21","pkb_idle_arm_crossed_l","0.2","0.2","2","1210002","1","","3","0","pkb_talk_arm_crossed_l"
"21","0","","","vo_minigame_1006","1210003","","","21","0","vo_minigame_1006_top_803"
"21","0","0","0","2","1210004","0","0","11","8","既然目標是全國大賽，\n不再多練習一點\n是不夠的吧。"
"21","","","","0","1210005","","","91","",""
"21","","","0.2","2","1210006","","","3","1","pkb_idle_normal_l"
"22","-20","0","1.6","1","1220001","-150","pkb_idle_normal","1","100","113511"
"22","170","1","1.6","1","1220002","-150","pkb_idle_normal","1","100","113411"
"22","","","0.2","113511","1220003","","","3","1","pkb_talk_joy1"
"22","0","","","vo_minigame_1006","1220004","","","21","0","vo_minigame_1006_top_talk_1_101"
"22","0","0","0","113511","1220005","0","-0.5","11","6","呵呵，\n大家都幹勁十足呢，\n可能是因為有初音幫忙\n加油打氣吧♪"
"22","","","","0","1220006","","","91","",""
"22","","","0.2","113511","1220007","","","3","1","pkb_idle_normal"
"22","","","0.2","113411","1220008","","","3","1","pkb_talk_joy1"
"22","0","","","vo_minigame_1006","1220009","","","21","0","vo_minigame_1006_top_talk_1_202"
"22","0","0","0","113411","1220010","0","-0.5","11","6","是這樣嗎～？\n那我就要更努力\n幫大家加油囉～！"
"22","","","","4","1220011","","","93","",""
"22","pkb_idle_normal","0","0.2","113411","1220012","1","","3","0","pkb_talk_handsup"
"22","","","","1220010","1220013","","","91","",""
"22","","","0.2","113411","1220014","","","3","1","pkb_idle_normal"
"23","170","1","1.6","1","1230001","-150","pkb_idle_normal","1","100","113411"
"23","-20","0","1.6","1","1230002","-150","pkb_idle_normal","1","100","113511"
"23","","","0.2","113411","1230003","","","3","1","pkb_talk_normal"
"23","0","","","vo_minigame_1006","1230004","","","21","0","vo_minigame_1006_top_talk_2_201"
"23","0","0","0","113411","1230005","0","-1.5","11","8","美里老師也來一起\n幫忙加油嘛！"
"23","","","","0","1230006","","","91","",""
"23","","","0.2","113411","1230007","","","3","1","pkb_idle_normal"
"23","","","0.2","113511","1230008","","","3","1","pkb_talk_normal"
"23","0","","","vo_minigame_1006","1230009","","","21","0","vo_minigame_1006_top_talk_2_102"
"23","0","0","0","113511","1230010","0","3","11","5","哎呀哎呀，\n感覺很好玩呢～♪\n加油～加油～！"
"23","","","","4","1230011","","","93","",""
"23","pkb_talk_fun","0.2","0.2","113511","1230012","0","","3","0","pkb_talk_fun"
"23","","","","2.7","1230013","","","93","",""
"23","pkb_talk_joy1","0.2","0.2","113511","1230014","1","","3","0","pkb_idle_normal"
"23","","","","1230010","1230015","","","91","",""
"23","","","0.2","113511","1230016","","","3","1","pkb_idle_normal"
"24","170","1","1.6","1","1240001","-150","pkb_idle_normal","1","100","113511"
"24","-20","0","55","3","1240002","-130","pkb_idle_normal","5","100","3"
"24","","","0.2","113511","1240003","","","3","1","pkb_talk_joy3"
"24","0","","","vo_minigame_1006","1240004","","","21","0","vo_minigame_1006_top_talk_3_101"
"24","0","0","0","113511","1240005","0","-1","11","6","大地你還真是\n幹勁十足呢～！\n可是，不可以太過\n勉強自己喔～"
"24","","","","4","1240006","","","93","",""
"24","","","0.2","113511","1240007","","","3","1","pkb_talk_wish"
"24","","","","1240005","1240008","","","91","",""
"24","","","0.2","113511","1240009","","","3","1","pkb_idle_normal"
"24","","","0.2","3","1240010","","","3","1","pkb_talk_normal"
"24","0","","","vo_minigame_1006","1240011","","","21","0","vo_minigame_1006_top_talk_3_602"
"24","0","0","0","3","1240012","0","-1","11","6","我知道啦，\n可是因為沙灘棒球\n實在太好玩了，\n這也沒辦法啊！"
"24","","","","2","1240013","","","93","",""
"24","pkb_idle_doya","","0.2","3","1240014","1","","3","0","pkb_talk_doya"
"24","","","","1240012","1240015","","","91","",""
"24","","","0.2","3","1240016","","","3","1","pkb_idle_normal"
"25","-20","0","55","3","1250001","-130","pkb_idle_normal","5","100","3"
"25","170","1","1.6","1","1250002","-150","pkb_idle_normal","1","100","113511"
"25","pkb_idle_arm_crossed","0.2","0.2","3","1250003","1","","3","0","pkb_talk_arm_crossed"
"25","0","","","vo_minigame_1006","1250004","","","21","0","vo_minigame_1006_top_talk_4_601"
"25","0","0","0","3","1250005","0","-0.5","11","8","現在的我們有實力\n參加全國大賽！\n我們一定要\n實現夢想！"
"25","","","","3","1250006","","","93","",""
"25","pkb_idle_guts","","0.2","3","1250007","1","","3","0","pkb_talk_guts"
"25","","","","1250005","1250008","","","91","",""
"25","","","0.2","3","1250009","","","3","1","pkb_idle_normal"
"25","","","0.2","113511","1250010","","","3","1","pkb_talk_wish"
"25","0","","","vo_minigame_1006","1250011","","","21","0","vo_minigame_1006_top_talk_4_102"
"25","0","0","0","113511","1250012","0","1","11","6","是啊，我相信\n你們一定可以的，\n大家一起加油吧～♪"
"25","","","","5.6","1250013","","","93","",""
"25","pkb_idle_normal","0.2","0.2","113511","1250014","1","","3","0","pkb_talk_handsup"
"25","","","","0","1250015","","","91","",""
"25","","","0.2","113511","1250016","","","3","1","pkb_idle_normal"
"26","170","1","1.6","1","1260001","-150","pkb_idle_normal","1","100","113511"
"26","-20","0","55","1","1260002","-130","pkb_idle_normal","5","100","1"
"26","","","0.2","113511","1260003","","","3","1","pkb_talk_joy3"
"26","0","","","vo_minigame_1006","1260004","","","21","0","vo_minigame_1006_top_talk_5_101"
"26","0","0","0","113511","1260005","0","0","11","6","呵呵，老師也會\n一起協助你們練習的～"
"26","","","","0","1260006","","","91","",""
"26","","","0.2","113511","1260007","","","3","1","pkb_idle_normal"
"26","pkb_idle_guts","0.2","0.2","1","1260008","1","","3","0","pkb_talk_guts"
"26","0","","","vo_minigame_1006","1260009","","","21","0","vo_minigame_1006_top_talk_5_702"
"26","0","0","0","1","1260010","0","-1","11","8","老師，真是感激不盡！\n我也會提起精神，\n努力加油的！"
"26","","","","0","1260011","","","91","",""
"26","","","0.2","1","1260012","","","3","1","pkb_idle_normal"
"27","-20","0","55","1","1270001","-130","pkb_idle_normal","5","100","1"
"27","170","1","1.6","1","1270002","-150","pkb_idle_normal","1","100","113511"
"27","pkb_idle_arm_crossed","0.2","0.2","1","1270003","1","","3","0","pkb_talk_arm_crossed"
"27","0","","","vo_minigame_1006","1270004","","","21","0","vo_minigame_1006_top_talk_6_701"
"27","0","0","0","1","1270005","0","-0.5","11","8","今天的球也\n乾淨得閃閃發亮…\n一定是因為老師幫我們\n好好擦過了……！"
"27","","","","2.6","1270006","","","93","",""
"27","pkb_idle_guts","0.2","0.2","1","1270007","1","","3","0","pkb_talk_guts"
"27","","","","1270005","1270008","","","91","",""
"27","","","0.2","1","1270009","","","3","1","pkb_idle_normal"
"27","","","0.2","113511","1270010","","","3","1","pkb_talk_joy3"
"27","0","","","vo_minigame_1006","1270011","","","21","0","vo_minigame_1006_top_talk_6_102"
"27","0","0","0","113511","1270012","0","0.5","11","6","我只是做了我能\n幫上忙的事而已啦～\n這樣大家就可以\n更愉快地練習了吧♪"
"27","","","","4","1270013","","","93","",""
"27","","","0.2","113511","1270014","","","3","1","pkb_talk_wish"
"27","","","","1270012","1270015","","","91","",""
"27","","","0.2","113511","1270016","","","3","1","pkb_idle_normal"
"28","170","1","1.6","1","1280001","-150","pkb_idle_normal","1","100","113411"
"28","-20","0","55","3","1280002","-130","pkb_idle_normal","5","100","3"
"28","pkb_talk_joy1","0.2","0.2","113411","1280003","1","","3","0","pkb_talk_yell"
"28","0","","","vo_minigame_1006","1280004","","","21","0","vo_minigame_1006_top_talk_7_201"
"28","0","0","0","113411","1280005","0","-0.5","11","8","大家加油～♪\n期待看到大家\n帥氣的表現喔──！\n加油加油～！"
"28","","","","4.6","1280006","","","93","",""
"28","pkb_idle_normal","0.2","0.2","113411","1280007","1","","3","0","pkb_talk_fun"
"28","","","","1280005","1280008","","","91","",""
"28","","","0.2","113411","1280009","","","3","1","pkb_idle_normal"
"28","pkb_idle_guts","","0.2","3","1280010","1","","3","0","pkb_talk_guts"
"28","0","","","vo_minigame_1006","1280011","","","21","0","vo_minigame_1006_top_talk_7_602"
"28","0","0","0","3","1280012","0","0","11","8","這加油聲真是動人……\n我要好好表現\n給小初音看！\n嗚喔喔喔喔！！"
"28","","","","5","1280013","","","93","",""
"28","pkb_idle_normal","","0.2","3","1280014","1","","3","0","pkb_talk_handsup"
"28","","","","1280012","1280015","","","91","",""
"28","","","0.2","3","1280016","","","3","1","pkb_idle_normal"
"29","-20","0","55","3","1290001","-130","pkb_idle_normal","5","100","3"
"29","170","1","1.6","1","1290002","-150","pkb_idle_normal","1","100","113411"
"29","pkb_idle_arm_crossed","0.2","0.2","3","1290003","1","","3","0","pkb_talk_arm_crossed"
"29","0","","","vo_minigame_1006","1290004","","","21","0","vo_minigame_1006_top_talk_8_601"
"29","0","0","0","3","1290005","0","-1","11","8","我們的練習過程\n可能會很煎熬，\n就拜託妳加油打氣\n讓大家鼓起精神啦！"
"29","","","","2.8","1290006","","","93","",""
"29","pkb_idle_guts","","0.2","3","1290007","1","","3","0","pkb_talk_guts"
"29","","","","1290005","1290008","","","91","",""
"29","","","0.2","3","1290009","","","3","1","pkb_idle_normal"
"29","","","0.2","113411","1290010","","","3","1","pkb_talk_joy1"
"29","0","","","vo_minigame_1006","1290011","","","21","0","vo_minigame_1006_top_talk_8_202"
"29","0","0","0","113411","1290012","0","-0.5","11","8","包在我身上！\n我會比平常還要\n更努力加油打氣的～！"
"29","","","","2.2","1290013","","","93","",""
"29","pkb_smile","0.4","0.2","113411","1290014","0","","3","0","pkb_talk_fun"
"29","","","","2.2","1290015","","","93","",""
"29","","","0.2","113411","1290016","","","3","1","pkb_idle_normal"
"29","","","","1290012","1290017","","","91","",""
"29","","","0.2","113411","1290018","","","3","1","pkb_idle_normal"
"30","170","1","1.6","1","1300001","-150","pkb_idle_normal","1","100","113411"
"30","-20","0","55","1","1300002","-130","pkb_idle_normal","5","100","1"
"30","","","0.2","113411","1300003","","","3","1","pkb_talk_joy1"
"30","0","","","vo_minigame_1006","1300004","","","21","0","vo_minigame_1006_top_talk_9_201"
"30","0","0","0","113411","1300005","0","1","11","8","我會努力幫大家打氣，\n今天的練習\n也要加油喔！\n目標是全國大賽～！"
"30","","","","5","1300006","","","93","",""
"30","pkb_idle_normal","","0.2","113411","1300007","1","","3","0","pkb_talk_handsup"
"30","","","","1300005","1300008","","","91","",""
"30","","","0.2","113411","1300009","","","3","1","pkb_idle_normal"
"30","","","0.2","1","1300010","","","3","1","pkb_talk_normal"
"30","0","","","vo_minigame_1006","1300011","","","21","0","vo_minigame_1006_top_talk_9_702"
"30","0","0","0","1","1300012","0","-1","11","8","小初音的聲援\n帶給我們\n很多力量喔，\n謝謝妳總是幫忙加油！"
"30","","","","3.3","1300013","","","93","",""
"30","pkb_idle_guts","","0.2","1","1300014","1","","3","0","pkb_talk_guts"
"30","","","","1300012","1300015","","","91","",""
"30","","","0.2","1","1300016","","","3","1","pkb_idle_normal"
"31","-20","0","55","1","1310001","-130","pkb_idle_normal","5","100","1"
"31","170","1","1.6","1","1310002","-150","pkb_idle_normal","1","100","113411"
"31","pkb_idle_arm_crossed","0.2","0.2","1","1310003","1","","3","0","pkb_talk_arm_crossed"
"31","0","","","vo_minigame_1006","1310004","","","21","0","vo_minigame_1006_top_talk_10_701"
"31","0","0","0","1","1310005","0","-1.5","11","8","身為隊長，\n我要更加進步，\n才能夠帶領大家前進！"
"31","","","","3.6","1310006","","","93","",""
"31","pkb_idle_doya","","0.2","1","1310007","1","","3","0","pkb_talk_doya"
"31","","","","1310005","1310008","","","91","",""
"31","","","0.2","1","1310009","","","3","1","pkb_idle_normal"
"31","","","0.2","113411","1310010","","","3","1","pkb_talk_joy1"
"31","0","","","vo_minigame_1006","1310011","","","21","0","vo_minigame_1006_top_talk_10_202"
"31","0","0","0","113411","1310012","0","-0.5","11","8","哦，旭！\n你很有幹勁嘛！\n就是要有這股氣勢～！\n加油加油～☆"
"31","","","","3.6","1310013","","","93","",""
"31","pkb_talk_fun","","0.2","113411","1310014","0","","3","0","pkb_talk_fun"
"31","","","","3","1310015","","","93","",""
"31","","","0.2","113411","1310016","","","3","1","pkb_idle_normal"
"31","","","","1310012","1310017","","","91","",""
"32","-20","0","55","2","1320001","-130","pkb_idle_normal","5","100","2"
"32","170","1","1.6","1","1320002","-150","pkb_idle_normal","1","100","113411"
"32","pkb_idle_guts","","0.2","2","1320003","1","","3","0","pkb_talk_guts"
"32","0","","","vo_minigame_1006","1320004","","","21","0","vo_minigame_1006_top_talk_11_801"
"32","0","0","0","2","1320005","0","0","11","8","小初音……\n我跟妳保證一定\n會打出全壘打的，\n妳可要看好喔。"
"32","","","","5","1320006","","","93","",""
"32","pkb_idle_doya","","0.2","2","1320007","1","","3","0","pkb_talk_doya"
"32","","","","1320005","1320008","","","91","",""
"32","","","0.2","2","1320009","","","3","1","pkb_idle_normal"
"32","","","0.2","113411","1320010","","","3","1","pkb_talk_joy2"
"32","0","","","vo_minigame_1006","1320011","","","21","0","vo_minigame_1006_top_talk_11_202"
"32","0","0","0","113411","1320012","0","0","11","8","嗯，我知道了！\n就拜託你打出\n特大全壘打囉～！\n我很期待喔～！"
"32","","","","4.6","1320013","","","93","",""
"32","pkb_idle_normal","0.2","0.2","113411","1320014","1","","3","0","pkb_hatsune_kiran"
"32","","","","1320012","1320015","","","91","",""
"32","","","0.2","113411","1320016","","","3","1","pkb_idle_normal"
"33","170","1","1.6","1","1330001","-150","pkb_idle_normal","1","100","102311"
"33","-20","0","55","2","1330002","-130","pkb_idle_normal","5","100","2"
"33","","","0.2","102311","1330003","","","3","1","pkb_talk_normal"
"33","0","","","vo_minigame_1006","1330004","","","21","0","vo_minigame_1006_top_talk_12_401"
"33","0","0","0","102311","1330005","0","-0.5","11","8","來做大喊練習嘛！\n把「噗吉全力揮擊」\n大喊一百次～！"
"33","","","","1.6","1330006","","","93","",""
"33","pkb_talk_joy1","0.2","0.2","102311","1330007","1","","3","0","pkb_talk_yell"
"33","","","","1330005","1330008","","","91","",""
"33","","","0.2","102311","1330009","","","3","1","pkb_idle_normal"
"33","0","","","vo_minigame_1006","1330010","","","21","0","vo_minigame_1006_top_talk_12_802"
"33","0","0","0","2","1330011","0","0","11","8","噗、噗吉\n全力揮擊──！！\n……這種練習\n也是挺累人的呢。"
"33","","","","0.5","1330012","","","93","",""
"33","","","0.2","2","1330013","","","3","0","pkb_talk_yell"
"33","","","","3","1330014","","","93","",""
