f21425bb22acd6a71f915873cd0efcad8df13a500e8aeb2eb0cbd508180f971b,ef2e2e9a1563a6fa8e84c541a70147e1577b005c546f0d686384df600a6fb1fb,4b734279abc02e4c97b4ad134a96f9c6e875bd316bd567aad203676f268c7013,d0f693392bf385844575d0f117b62a9000909568c88336a97a6221452e78b0fd,f5a71c19fde054bf73c536be18d15bc110ed8411fd6297276434045389b3baed,d46ad4e23fc96590f2299d828d792e1b548b22e9fa72ea626c89f2911cb33255,236173fefa85131064d1da7d78fbcea023cecad250ad369e90fb44a82e1a3db1,0ae11b1fab47aabb6b7c483032748c9419cdc492a74306748cbe0a5b51b27649,984d55e30692de160ae3ded1519eabb0fa69988a82624e8390d525b51b3eb862,b50035af24f4490ffc2ce6ec323767526dc1c85b624dfa7d66a3a4d8b27e9c68,594f832bc71eb0ebba630637b31000f2826f49fb9b8f6887aedda3b6de1d693f
"1","10","0","1030102","156","10301","0","1","章魚燒","100","3"
"2","9","0","1030200","320","10302","0","1","章魚燒","100","3"
"2","10","0","1030201","291","10302","0","1","章魚燒","100","3"
"2","11","0","1030202","267","10302","0","1","章魚燒","100","3"
"3","10","0","1030300","512","10303","0","1","章魚燒","100","3"
"3","11","0","1030301","475","10303","0","1","章魚燒","100","3"
"3","12","0","1030302","444","10303","0","1","章魚燒","100","3"
"1","9","0","1040100","225","10401","0","1","飯糰","115","4"
"1","10","0","1040101","200","10401","0","1","飯糰","115","4"
"1","11","0","1040102","180","10401","0","1","飯糰","115","4"
"2","10","0","1040200","360","10402","0","1","飯糰","115","4"
"2","11","0","1040201","330","10402","0","1","飯糰","115","4"
"2","12","0","1040202","305","10402","0","1","飯糰","115","4"
"3","11","0","1040300","576","10403","0","1","飯糰","115","4"
"3","12","0","1040301","538","10403","0","1","飯糰","115","4"
"3","13","0","1040302","504","10403","0","1","飯糰","115","4"
"1","10","0","1050100","300","10501","0","1","沙威瑪","150","5"
"1","11","0","1050101","273","10501","0","1","沙威瑪","150","5"
"1","12","0","1050102","250","10501","0","1","沙威瑪","150","5"
"2","11","0","1050200","480","10502","0","1","沙威瑪","150","5"
"2","12","0","1050201","446","10502","0","1","沙威瑪","150","5"
"2","13","0","1050202","416","10502","0","1","沙威瑪","150","5"
"3","12","0","1050300","768","10503","0","1","沙威瑪","150","5"
"3","13","0","1050301","723","10503","0","1","沙威瑪","150","5"
"3","14","0","1050302","683","10503","0","1","沙威瑪","150","5"
"1","0","0","2010100","160","20101","0","2","輪胎（特大）","60","1"
"2","0","0","2010200","256","20102","0","2","輪胎（特大）","60","1"
"3","0","0","2010300","410","20103","0","2","輪胎（特大）","60","1"
"1","0","0","2020100","145","20201","0","2","輪胎（大）","45","2"
"2","0","0","2020200","232","20202","0","2","輪胎（大）","45","2"
"3","0","0","2020300","371","20203","0","2","輪胎（大）","45","2"
"1","0","0","2030100","120","20301","0","2","輪胎（中）","30","3"
"2","0","0","2030200","192","20302","0","2","輪胎（中）","30","3"
"3","0","0","2030300","307","20303","0","2","輪胎（中）","30","3"
"1","0","0","2040100","100","20401","0","2","輪胎（小）","15","4"
"2","0","0","2040200","160","20402","0","2","輪胎（小）","15","4"
"3","0","0","2040300","256","20403","0","2","輪胎（小）","15","4"
"1","0","4","3010100","0","30101","125","3","加農砲","1","1"
"1","0","5","3010101","0","30101","195","3","加農砲","1","1"
"1","0","6","3010102","0","30101","234","3","加農砲","1","1"
"2","0","4","3010200","0","30102","200","3","加農砲","1","1"
"2","0","5","3010201","0","30102","313","3","加農砲","1","1"
"2","0","6","3010202","0","30102","375","3","加農砲","1","1"
"3","0","4","3010300","0","30103","320","3","加農砲","1","1"
"3","0","5","3010301","0","30103","500","3","加農砲","1","1"
"3","0","6","3010302","0","30103","600","3","加農砲","1","1"
"1","0","6","3020100","0","30201","75","3","刨刀","1","2"
"1","0","7","3020101","0","30201","112","3","刨刀","1","2"
"1","0","8","3020102","0","30201","135","3","刨刀","1","2"
"2","0","6","3020200","0","30202","120","3","刨刀","1","2"
"2","0","7","3020201","0","30202","180","3","刨刀","1","2"
"2","0","8","3020202","0","30202","216","3","刨刀","1","2"
"3","0","6","3020300","0","30203","192","3","刨刀","1","2"
"3","0","7","3020301","0","30203","288","3","刨刀","1","2"
"3","0","8","3020302","0","30203","345","3","刨刀","1","2"
"1","0","5","3030100","0","30301","72","3","鑽頭","1","3"
"1","0","6","3030101","0","30301","108","3","鑽頭","1","3"
"1","0","7","3030102","0","30301","129","3","鑽頭","1","3"
"2","0","5","3030200","0","30302","115","3","鑽頭","1","3"
"2","0","6","3030201","0","30302","172","3","鑽頭","1","3"
"2","0","7","3030202","0","30302","207","3","鑽頭","1","3"
"3","0","5","3030300","0","30303","184","3","鑽頭","1","3"
"3","0","6","3030301","0","30303","276","3","鑽頭","1","3"
"3","0","7","3030302","0","30303","331","3","鑽頭","1","3"
"1","0","6","3040100","0","30401","101","3","槌子","1","4"
"1","0","7","3040101","0","30401","139","3","槌子","1","4"
"1","0","8","3040102","0","30401","177","3","槌子","1","4"
"2","0","6","3040200","0","30402","162","3","槌子","1","4"
"2","0","7","3040201","0","30402","222","3","槌子","1","4"
"2","0","8","3040202","0","30402","283","3","槌子","1","4"
"3","0","6","3040300","0","30403","259","3","槌子","1","4"
"3","0","7","3040301","0","30403","356","3","槌子","1","4"
"3","0","8","3040302","0","30403","453","3","槌子","1","4"
"1","0","5","3050100","0","30501","157","3","霰彈槍","1","5"
"1","0","6","3050101","0","30501","216","3","霰彈槍","1","5"
"1","0","7","3050102","0","30501","275","3","霰彈槍","1","5"
"2","0","5","3050200","0","30502","252","3","霰彈槍","1","5"
"2","0","6","3050201","0","30502","346","3","霰彈槍","1","5"
"2","0","7","3050202","0","30502","441","3","霰彈槍","1","5"
"3","0","5","3050300","0","30503","403","3","霰彈槍","1","5"
"3","0","6","3050301","0","30503","554","3","霰彈槍","1","5"
"3","0","7","3050302","0","30503","705","3","霰彈槍","1","5"
"1","0","3","4010100","100","40101","0","4","升降機","1","1"
"1","0","4","4010101","125","40101","0","4","升降機","1","1"
"1","0","5","4010102","150","40101","0","4","升降機","1","1"
"2","0","3","4010200","160","40102","0","4","升降機","1","1"
"2","0","4","4010201","200","40102","0","4","升降機","1","1"
"2","0","5","4010202","240","40102","0","4","升降機","1","1"
"3","0","3","4010300","256","40103","0","4","升降機","1","1"
"3","0","4","4010301","320","40103","0","4","升降機","1","1"
"3","0","5","4010302","384","40103","0","4","升降機","1","1"
"1","0","2","4020100","125","40201","0","4","鉤子","1","2"
"1","0","3","4020101","156","40201","0","4","鉤子","1","2"
"1","0","4","4020102","188","40201","0","4","鉤子","1","2"
"2","0","2","4020200","200","40202","0","4","鉤子","1","2"
"2","0","3","4020201","250","40202","0","4","鉤子","1","2"
"2","0","4","4020202","300","40202","0","4","鉤子","1","2"
"3","0","2","4020300","320","40203","0","4","鉤子","1","2"
"3","0","3","4020301","400","40203","0","4","鉤子","1","2"
"3","0","4","4020302","480","40203","0","4","鉤子","1","2"
"1","0","1","4030100","150","40301","0","4","推進器","1","3"
"1","0","2","4030101","188","40301","0","4","推進器","1","3"
"1","0","3","4030102","225","40301","0","4","推進器","1","3"
"2","0","1","4030200","240","40302","0","4","推進器","1","3"
"2","0","2","4030201","300","40302","0","4","推進器","1","3"
"2","0","3","4030202","360","40302","0","4","推進器","1","3"
"3","0","1","4030300","384","40303","0","4","推進器","1","3"
"3","0","2","4030301","480","40303","0","4","推進器","1","3"
"3","0","3","4030302","576","40303","0","4","推進器","1","3"
