f8cd5a077c95424a65dca7d1952cb519558d228720d0252c621cf6eb90329aac,f2dd62053423b744d6e3641d52607d81c7decdb8ef148ae52dba1eb9fbe38eb8,a780f8df808ffb5ab399d3b9adfa06b158ad6f97e7a3808862b488e8ad6af269,5371de2dba3ae15c182b353acea8761a67138c982dd392ce5547655fa2777df1,9a587daf319125163c14351b6aab953fadc5e90b35e729e535b54efc18fff8ba,dd438de9cb9055175474d34026c31a44b66ea201efe34ad9be541a828b9f08a3,254dc7ed1e6426f66703be4d473ef13922008b49ed389913b38bc0102a0ac400
"180011143","35","200","18001004","180011142","180011141","-1"
"180010153","36","1","18001005","180010152","180010151","59"
"180010253","37","60","18001005","180010252","180010251","99"
"180010353","38","100","18001005","180010352","180010351","119"
"180010453","39","120","18001005","180010452","180010451","139"
"180010553","40","140","18001005","180010552","180010551","149"
"180010653","41","150","18001005","180010652","180010651","159"
"180010753","42","160","18001005","180010752","180010751","169"
"180010853","43","170","18001005","180010852","180010851","179"
"180010953","44","180","18001005","180010952","180010951","189"
"180011053","45","190","18001005","180011052","180011051","199"
"180011153","46","200","18001005","180011152","180011151","209"
"180011253","47","210","18001005","180011252","180011251","219"
"180011353","48","220","18001005","180011352","180011351","229"
"180011453","49","230","18001005","180011452","180011451","239"
"180011553","50","240","18001005","180011552","180011551","-1"
"180010163","51","1","18001006","180010162","180010161","59"
"180010263","52","60","18001006","180010262","180010261","99"
"180010363","53","100","18001006","180010362","180010361","119"
"180010463","54","120","18001006","180010462","180010461","139"
"180010563","55","140","18001006","180010562","180010561","149"
"180010663","56","150","18001006","180010662","180010661","159"
"180010763","57","160","18001006","180010762","180010761","169"
"180010863","58","170","18001006","180010862","180010861","179"
"180010963","59","180","18001006","180010962","180010961","189"
"180011063","60","190","18001006","180011062","180011061","199"
"180011163","61","200","18001006","180011162","180011161","209"
"180011263","62","210","18001006","180011262","180011261","219"
"180011363","63","220","18001006","180011362","180011361","229"
"180011463","64","230","18001006","180011462","180011461","239"
"180011563","65","240","18001006","180011562","180011561","249"
"180011663","66","250","18001006","180011662","180011661","259"
"180011763","67","260","18001006","180011762","180011761","-1"
"180010173","68","1","18001007","180010172","180010171","59"
"180010273","69","60","18001007","180010272","180010271","99"
"180010373","70","100","18001007","180010372","180010371","119"
"180010473","71","120","18001007","180010472","180010471","139"
"180010573","72","140","18001007","180010572","180010571","149"
"180010673","73","150","18001007","180010672","180010671","159"
"180010773","74","160","18001007","180010772","180010771","169"
"180010873","75","170","18001007","180010872","180010871","179"
"180010973","76","180","18001007","180010972","180010971","189"
"180011073","77","190","18001007","180011072","180011071","199"
"180011173","78","200","18001007","180011172","180011171","209"
"180011273","79","210","18001007","180011272","180011271","219"
"180011373","80","220","18001007","180011372","180011371","229"
"180011473","81","230","18001007","180011472","180011471","239"
"180011573","82","240","18001007","180011572","180011571","249"
"180011673","83","250","18001007","180011672","180011671","259"
"180011773","84","260","18001007","180011772","180011771","269"
"180011873","85","270","18001007","180011872","180011871","279"
"180011973","86","280","18001007","180011972","180011971","-1"
"180010183","87","1","18001008","180010182","180010181","59"
"180010283","88","60","18001008","180010282","180010281","99"
"180010383","89","100","18001008","180010382","180010381","119"
"180010483","90","120","18001008","180010482","180010481","139"
"180010583","91","140","18001008","180010582","180010581","149"
"180010683","92","150","18001008","180010682","180010681","159"
"180010783","93","160","18001008","180010782","180010781","169"
"180010883","94","170","18001008","180010882","180010881","179"
"180010983","95","180","18001008","180010982","180010981","189"
"180011083","96","190","18001008","180011082","180011081","199"
"180011183","97","200","18001008","180011182","180011181","209"
"180011283","98","210","18001008","180011282","180011281","219"
"180011383","99","220","18001008","180011382","180011381","229"
"180011483","100","230","18001008","180011482","180011481","239"
"180011583","101","240","18001008","180011582","180011581","249"
"180011683","102","250","18001008","180011682","180011681","259"
"180011783","103","260","18001008","180011782","180011781","269"
"180011883","104","270","18001008","180011882","180011881","279"
"180011983","105","280","18001008","180011982","180011981","289"
"180012083","106","290","18001008","180012082","180012081","-1"
"190010113","1001","1","19001001","190010112","190010111","59"
"190010213","1002","60","19001001","190010212","190010211","99"
"190010313","1003","100","19001001","190010312","190010311","119"
"190010413","1004","120","19001001","190010412","190010411","139"
"190010513","1005","140","19001001","190010512","190010511","149"
"190010613","1006","150","19001001","190010612","190010611","159"
"190010713","1007","160","19001001","190010712","190010711","169"
"190010813","1008","170","19001001","190010812","190010811","-1"
"190010123","1009","1","19001002","190010122","190010121","59"
"190010223","1010","60","19001002","190010222","190010221","99"
"190010323","1011","100","19001002","190010322","190010321","119"
"190010423","1012","120","19001002","190010422","190010421","139"
"190010523","1013","140","19001002","190010522","190010521","149"
"190010623","1014","150","19001002","190010622","190010621","159"
"190010723","1015","160","19001002","190010722","190010721","169"
"190010823","1016","170","19001002","190010822","190010821","-1"
"190010133","1017","1","19001003","190010132","190010131","59"
"190010233","1018","60","19001003","190010232","190010231","99"
"190010333","1019","100","19001003","190010332","190010331","119"
"190010433","1020","120","19001003","190010432","190010431","139"
"190010533","1021","140","19001003","190010532","190010531","149"
"190010633","1022","150","19001003","190010632","190010631","159"
"190010733","1023","160","19001003","190010732","190010731","169"
"190010833","1024","170","19001003","190010832","190010831","179"
"190010933","1025","180","19001003","190010932","190010931","189"
"190011033","1026","190","19001003","190011032","190011031","199"
"190011133","1027","200","19001003","190011132","190011131","209"
"190011233","1028","210","19001003","190011232","190011231","219"
"190011333","1029","220","19001003","190011332","190011331","229"
"190011433","1030","230","19001003","190011432","190011431","239"
"190011533","1031","240","19001003","190011532","190011531","249"
"190011633","1032","250","19001003","190011632","190011631","259"
"190011733","1033","260","19001003","190011732","190011731","269"
"190011833","1034","270","19001003","190011832","190011831","279"
"190011933","1035","280","19001003","190011932","190011931","289"
"190012033","1036","290","19001003","190012032","190012031","299"
"190012133","1037","300","19001003","190012132","190012131","309"
"190012233","1038","310","19001003","190012232","190012231","-1"
