3a0d6c61a8f55d3b17abcaaa300dd2ea96963447ee70dbb15f1c187ce36cdecf,3504823a7090fccd32debe235799a379b6f0dae8aea9c58eedbb862e4030401d,12b7e96884d1b95f71f0a3c656fd1b3cbc2c2adf45bfcef0718adab617d50cba,7e9371e52420212926d86b5db34c1964ab61bf3064c16f9118d87802efbdb0c2,0de81cbcc44a4e70da4bddf7e588e3dd2050d546429cc3cedbd2eb1887c0ea00,ca08975f55e4dda0f9e1bf6f7e6a80ac706f7cc10b5b3971ee907ce8a0b40478,899ed7fd4d3eb82ca610cfb8abac36da1046afcd6165494117791ce59312ad16
"6","11","12","6","0","2","1"
"7","11","4","1","0","1","1"
"8","11","0","11","0","1","1"
"9","11","0","6","0","1","1"
"10","11","10","1","0","2","1"
"11","11","11","6","0","1","1"
"12","11","12","1","0","2","1"
"13","11","6","5","0","2","1"
"14","11","7","10","0","1","1"
"15","11","7","4","0","2","1"
"1","12","4","11","0","2","1"
"2","12","5","1","0","1","1"
"3","12","10","6","0","2","1"
"4","12","10","5","0","2","1"
"5","12","0","11","0","1","1"
"6","12","0","6","0","2","1"
"7","12","17","12","0","2","1"
"8","12","1","5","0","1","1"
"9","12","2","1","0","1","1"
"10","12","10","6","0","2","1"
"11","12","10","4","0","2","1"
"12","12","0","1","0","1","1"
"13","12","13","5","0","1","1"
"14","12","8","11","0","2","1"
"15","12","10","8","0","1","1"
"1","13","10","11","0","1","1"
"2","13","8","11","0","3","1"
"3","13","0","6","0","2","1"
"4","13","10","11","0","1","1"
"5","13","7","11","0","2","1"
"6","13","6","2","0","3","1"
"7","13","0","1","1500","3","1"
"8","13","5","11","0","1","3"
"9","13","10","5","0","3","1"
"10","13","4","1","0","2","1"
"11","13","4","1","0","1","1"
"12","13","6","6","0","3","1"
"13","13","6","4","0","1","1"
"14","13","10","9","0","1","3"
"15","13","10","8","0","3","1"
"16","13","6","4","0","1","1"
"17","13","0","1","0","3","1"
"18","13","8","8","0","2","1"
"1","14","0","11","0","1","1"
"2","14","13","2","0","1","2"
"3","14","10","11","0","3","1"
"4","14","10","1","0","1","1"
"5","14","10","4","0","1","2"
"6","14","0","11","0","2","1"
"7","14","0","1","0","2","1"
"8","14","10","1","0","1","1"
"9","14","12","12","0","3","1"
"10","14","12","12","0","3","1"
"11","14","0","5","0","3","1"
"12","14","12","5","0","1","1"
"13","14","6","10","0","1","2"
"14","14","10","11","0","1","1"
"15","14","6","10","0","1","3"
"16","14","10","11","0","1","1"
"17","14","6","2","0","1","3"
"18","14","6","10","0","1","2"
"19","14","4","11","0","1","1"
"20","14","10","8","0","2","1"
"21","14","4","8","0","1","3"
"1","15","10","12","0","2","1"
"2","15","12","12","0","1","1"
"3","15","12","11","0","3","1"
"4","15","6","11","0","1","1"
"5","15","12","12","0","2","1"
"6","15","0","5","0","2","1"
"7","15","12","11","0","1","1"
"8","15","0","1","0","1","1"
"9","15","0","5","0","1","1"
"10","15","12","12","0","1","2"
"11","15","0","11","0","3","1"
"12","15","11","12","0","3","1"
"13","15","9","1","0","2","1"
"14","15","12","1","0","1","1"
"15","15","0","12","0","1","1"
"16","15","9","12","0","1","1"
"17","15","4","11","0","2","1"
"18","15","4","11","0","1","3"
"19","15","12","5","0","2","1"
"20","15","0","12","0","2","1"
"21","15","7","12","0","2","1"
"22","15","12","12","0","1","3"
"23","15","7","1","0","1","3"
"24","15","0","4","0","3","1"
"25","15","10","4","0","1","3"
"26","15","0","8","0","2","1"
"27","15","0","11","0","1","1"
"28","15","0","11","0","2","1"
"1","16","0","6","0","1","1"
"2","16","10","11","0","2","1"
"3","16","0","12","0","3","1"
"4","16","0","4","0","2","1"
"5","16","12","6","0","1","1"
"6","16","0","6","0","1","1"
"7","16","4","4","0","2","1"
"8","16","4","5","0","3","1"
"9","16","0","1","0","3","1"
"10","16","17","12","0","1","1"
"11","16","0","11","0","2","1"
"12","16","10","1","0","3","1"
"13","16","11","11","0","2","1"
"14","16","0","11","0","3","1"
"15","16","12","12","0","1","1"
"16","16","10","11","0","1","1"
"17","16","10","11","0","1","1"
"18","16","6","6","0","1","1"
"19","16","6","11","0","2","1"
"20","16","8","1","0","3","1"
"21","16","8","5","0","3","1"
"22","16","9","4","0","1","1"
"23","16","10","11","0","1","1"
"1","17","4","11","0","1","1"
"2","17","10","4","0","1","3"
"3","17","4","11","0","1","1"
"4","17","0","1","0","1","1"
"5","17","10","1","0","1","2"
"6","17","4","11","0","2","1"
"7","17","10","1","0","1","2"
"8","17","4","11","0","2","1"
"9","17","0","1","0","3","1"
"10","17","10","8","0","1","2"
"11","17","12","12","0","1","1"
"12","17","4","11","0","3","1"
"13","17","4","1","0","1","3"
"14","17","10","11","0","1","1"
"15","17","0","1","0","1","2"
"16","17","4","11","0","1","2"
"17","17","7","8","0","1","2"
"18","17","0","11","0","1","1"
"19","17","6","2","0","1","3"
"20","17","10","10","0","1","1"
"21","17","10","11","0","2","1"
"22","17","7","8","0","3","1"
"1","18","4","11","0","1","1"
"2","18","13","5","0","1","2"
"3","18","10","4","0","1","1"
"4","18","10","4","0","2","1"
"5","18","10","11","0","3","1"
"6","18","7","5","0","1","3"
"7","18","10","11","0","1","1"
"8","18","10","4","0","3","1"
"9","18","10","11","0","2","1"
"10","18","6","5","0","1","3"
"11","18","10","11","0","1","1"
"12","18","10","11","0","2","1"
"13","18","10","4","0","3","1"
"14","18","8","5","0","1","2"
"15","18","6","6","0","1","2"
"16","18","0","10","0","3","1"
"17","18","0","10","0","2","1"
"18","18","0","10","0","1","1"
"19","18","7","10","0","1","2"
"20","18","10","8","0","1","1"
"21","18","10","11","0","1","1"
"22","18","9","2","0","1","2"
"1","19","0","13","0","1","2"
"2","19","8","4","0","1","2"
"3","19","0","8","0","1","2"
"1","20","10","14","0","1","2"
"2","20","0","8","0","1","2"
"1","21","13","15","0","1","2"
"1","22","0","15","0","1","2"
"2","22","0","13","0","1","2"
"1","23","0","42","0","1","2"
"2","23","0","72","0","1","2"
"1","24","0","43","0","1","2"
"1","25","0","44","0","1","2"
"1","26","0","45","0","1","2"
"1","27","0","46","0","1","2"
"1","28","0","47","0","1","2"
"1","29","0","14","0","1","2"
"1","30","0","15","0","1","1"
"2","30","0","8","0","2","1"
"3","30","13","10","0","1","1"
"4","30","13","10","0","2","1"
"5","30","9","12","0","2","1"
"6","30","6","72","0","1","1"
"7","30","8","2","0","1","2"
"8","30","0","13","0","1","2"
"1","31","8","4","0","1","1"
"2","31","0","1","0","2","1"
"3","31","6","10","0","1","1"
"4","31","0","4","0","2","1"
"5","31","7","9","0","1","1"
"6","31","0","1","0","2","1"
"1","32","6","10","0","1","1"
"2","32","13","10","0","2","1"
"3","32","0","1","0","3","1"
"4","32","11","2","0","2","1"
"5","32","8","2","0","1","1"
"6","32","0","1","0","3","1"
"7","32","7","72","0","3","1"
"1","33","0","6","0","3","1"
"2","33","13","10","0","1","3"
"3","33","3","3","0","3","1"
"4","33","0","72","0","1","3"
"5","33","2","12","0","3","1"
"1","34","6","4","0","1","2"
"2","34","7","5","0","1","1"
"3","34","0","1","0","2","1"
"4","34","8","12","0","2","1"
"5","34","0","1","0","1","1"
"6","34","0","15","0","1","2"
"1","35","0","8","0","1","2"
"2","35","10","72","0","1","2"
"3","35","0","13","0","1","2"
"1","36","0","4","0","1","2"
"2","36","6","6","0","1","1"
"3","36","0","1","0","1","1"
"4","36","10","72","0","2","1"
"5","36","0","9","0","2","1"
"6","36","7","2","0","2","2"
"1","37","7","8","0","1","2"
"2","37","0","4","0","1","1"
"3","37","0","5","0","2","1"
"4","37","6","13","0","1","2"
"1","38","10","13","0","1","2"
"2","38","8","5","0","1","1"
"3","38","7","6","0","2","1"
"4","38","0","1","0","1","1"
"5","38","7","9","0","2","1"
"6","38","13","15","0","2","1"
"7","38","0","8","0","1","2"
"1","39","6","4","0","1","2"
"2","39","13","6","0","1","1"
"3","39","10","72","0","2","1"
"4","39","6","13","0","1","2"
