1ddc9885c1ad9f545a9383c2d2cd3ada9077bd36d4699d4bc0f09a24c81472de,f6da76faf41a97c97cf5208a57122108ede45ac8b3a4782911dee10735ed4237,f16ce828dd1c37de70b9d7f0069baa46942c2f9287281ddd1e88c3499b6ab01a,a382bd53b4393cb44353d9ac95baff4408b7db5a22e048dfb734061885b09032,1752ca013273bb63356ade978d5f5315cd0b8ccb0582a5862ae022745fefc281,54116bf625ac8d356caf0dac6fbeb5b07b0d99385f7bf5fa970301cb0316c44b,152b6d7407c3a03b7ad1f444e180cb43c7c9fc202377808350c7c0745742d893,f92cae71ac231bb98e17b547d074bc42675a9d090d439d8e40a82f50781895dc
"100519","36000","降低物理攻擊90秒","1005","2849000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100519"
"100520","36000","降低物理攻擊90秒","1005","2618000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100520"
"100521","36000","降低物理攻擊90秒","1005","2387000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100521"
"100522","36000","降低物理攻擊90秒","1005","2079000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100522"
"100523","36000","降低物理防禦90秒","1005","1848000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100523"
"100524","36000","降低魔法防禦90秒","1005","1617000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100524"
"100525","36000","降低物理攻擊90秒","1005","1386000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100525"
"100526","36000","TP提升150","1005","1078000000000","1","戰鬥開始時，我方的TP提升150。","100526"
"100527","36000","無敵10秒","1005","847000000000","1","戰鬥開始10秒內，我方進入無敵狀態。","100527"
"100528","36000","降低物理攻擊90秒","1005","616000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100528"
"100529","36000","降低物理防禦90秒","1005","308000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100529"
"100530","36000","降低魔法防禦90秒","1005","77000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100530"
"100601","36000","提升魔法攻擊90秒","1006","12028000000000","1","戰鬥開始90秒內，使我方的魔法攻擊力提升。","100601"
"100602","36000","提升物理攻擊90秒","1006","11532000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100602"
"100603","36000","降低物理防禦90秒","1006","11160000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100603"
"100604","36000","降低魔法防禦90秒","1006","10788000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100604"
"100605","36000","提升魔法攻擊90秒","1006","10416000000000","1","戰鬥開始90秒內，使我方的魔法攻擊力提升。","100605"
"100606","36000","提升物理攻擊90秒","1006","9920000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100606"
"100607","36000","每秒HP恢復90秒","1006","9548000000000","1","戰鬥開始90秒內，每秒恢復我方的HP。","100607"
"100608","36000","提升物理攻擊90秒","1006","9176000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100608"
"100609","36000","提升物理攻擊90秒","1006","8680000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100609"
"100610","36000","降低魔法防禦90秒","1006","8308000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100610"
"100611","36000","提升魔法攻擊90秒","1006","7936000000000","1","戰鬥開始90秒內，使我方的魔法攻擊力提升。","100611"
"100612","36000","提升物理攻擊90秒","1006","7440000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100612"
"100613","36000","降低物理防禦90秒","1006","7068000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100613"
"100614","36000","降低魔法防禦90秒","1006","6696000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100614"
"100615","36000","提升魔法攻擊90秒","1006","6324000000000","1","戰鬥開始90秒內，使我方的魔法攻擊力提升。","100615"
"100616","36000","提升物理攻擊90秒","1006","5828000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100616"
"100617","36000","每秒HP恢復90秒","1006","5456000000000","1","戰鬥開始90秒內，每秒恢復我方的HP。","100617"
"100618","36000","提升物理攻擊90秒","1006","5084000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100618"
"100619","36000","提升物理攻擊90秒","1006","4588000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100619"
"100620","36000","降低魔法防禦90秒","1006","4216000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100620"
"100621","36000","降低物理防禦90秒","1006","3844000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100621"
"100622","36000","提升魔法攻擊90秒","1006","3348000000000","1","戰鬥開始90秒內，使我方的魔法攻擊力提升。","100622"
"100623","36000","提升物理攻擊90秒","1006","2976000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100623"
"100624","36000","每秒HP恢復90秒","1006","2604000000000","1","戰鬥開始90秒內，每秒恢復我方的HP。","100624"
"100625","36000","降低魔法防禦90秒","1006","2232000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100625"
"100626","36000","TP提升150","1006","1736000000000","1","戰鬥開始時，我方的TP提升150。","100626"
"100627","36000","無敵10秒","1006","1364000000000","1","戰鬥開始10秒內，我方進入無敵狀態。","100627"
"100628","36000","提升魔法攻擊90秒","1006","992000000000","1","戰鬥開始90秒內，使我方的魔法攻擊力提升。","100628"
"100629","36000","提升物理攻擊90秒","1006","496000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100629"
"100630","36000","降低魔法防禦90秒","1006","124000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100630"
"100701","36000","每秒TP提升90秒","1007","7469000000000","1","戰鬥開始90秒內，每秒提升我方的TP。","100701"
"100702","36000","TP提升50","1007","7161000000000","1","戰鬥開始時，我方的TP提升50。","100702"
"100703","36000","火傷傷害10秒","1007","6930000000000","1","戰鬥開始10秒內，敵人陷入火傷狀態。","100703"
"100704","36000","降低物理防禦90秒","1007","6699000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100704"
"100705","36000","降低物理防禦90秒","1007","6468000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100705"
"100706","36000","提升物理攻擊90秒","1007","6160000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100706"
"100707","36000","提升魔法攻擊90秒","1007","5929000000000","1","戰鬥開始90秒內，使我方的魔法攻擊力提升。","100707"
"100708","36000","火傷傷害10秒","1007","5698000000000","1","戰鬥開始10秒內，敵人陷入火傷狀態。","100708"
"100709","36000","降低物理防禦90秒","1007","5390000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100709"
"100710","36000","提升物理攻擊90秒","1007","5159000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100710"
"100711","36000","每秒TP提升90秒","1007","4928000000000","1","戰鬥開始90秒內，每秒提升我方的TP。","100711"
"100712","36000","火傷傷害10秒","1007","4620000000000","1","戰鬥開始10秒內，敵人陷入火傷狀態。","100712"
"100713","36000","降低物理防禦90秒","1007","4389000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100713"
"100714","36000","降低魔法防禦90秒","1007","4158000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100714"
"100715","36000","提升魔法攻擊90秒","1007","3927000000000","1","戰鬥開始90秒內，使我方的魔法攻擊力提升。","100715"
"100716","36000","提升物理攻擊90秒","1007","3619000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100716"
"100717","36000","TP提升100","1007","3388000000000","1","戰鬥開始時，我方的TP提升100。","100717"
"100718","36000","降低物理防禦90秒","1007","3157000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100718"
"100719","36000","降低魔法防禦90秒","1007","2849000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100719"
"100720","36000","提升物理攻擊90秒","1007","2618000000000","1","戰鬥開始90秒內，使我方的物理攻擊力提升。","100720"
"100721","36000","每秒TP提升90秒","1007","2387000000000","1","戰鬥開始90秒內，每秒提升我方的TP。","100721"
"100722","36000","TP提升150","1007","2079000000000","1","戰鬥開始時，我方的TP提升150。","100722"
"100723","36000","火傷傷害10秒","1007","1848000000000","1","戰鬥開始10秒內，敵人陷入火傷狀態。","100723"
"100724","36000","降低物理防禦90秒","1007","1617000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100724"
"100725","36000","降低魔法防禦90秒","1007","1386000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100725"
"100726","36000","TP提升150","1007","1078000000000","1","戰鬥開始時，我方的TP提升150。","100726"
"100727","36000","無敵10秒","1007","847000000000","1","戰鬥開始10秒內，我方進入無敵狀態。","100727"
"100728","36000","火傷傷害10秒","1007","616000000000","1","戰鬥開始10秒內，敵人陷入火傷狀態。","100728"
"100729","36000","降低物理防禦90秒","1007","308000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100729"
"100730","36000","降低魔法防禦90秒","1007","77000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100730"
"100801","36000","毒傷害10秒","1008","12028000000000","1","戰鬥開始10秒內，敵人陷入中毒狀態。","100801"
"100802","36000","降低物理攻擊90秒","1008","11532000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100802"
"100803","36000","降低物理攻擊90秒","1008","11160000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100803"
"100804","36000","降低物理防禦90秒","1008","10788000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100804"
"100805","36000","降低物理防禦90秒","1008","10416000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100805"
"100806","36000","降低物理攻擊90秒","1008","9920000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100806"
"100807","36000","降低物理攻擊90秒","1008","9548000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100807"
"100808","36000","降低物理防禦90秒","1008","9176000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100808"
"100809","36000","降低物理防禦90秒","1008","8680000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100809"
"100810","36000","降低魔法攻擊90秒","1008","8308000000000","1","戰鬥開始90秒內，使敵人的魔法攻擊力下降。","100810"
"100811","36000","毒傷害10秒","1008","7936000000000","1","戰鬥開始10秒內，敵人陷入中毒狀態。","100811"
"100812","36000","降低物理攻擊90秒","1008","7440000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100812"
"100813","36000","降低物理攻擊90秒","1008","7068000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100813"
"100814","36000","降低物理防禦90秒","1008","6696000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100814"
"100815","36000","降低魔法防禦90秒","1008","6324000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100815"
"100816","36000","降低物理攻擊90秒","1008","5828000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100816"
"100817","36000","降低物理攻擊90秒","1008","5456000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100817"
"100818","36000","降低物理防禦90秒","1008","5084000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100818"
"100819","36000","降低魔法防禦90秒","1008","4588000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100819"
"100820","36000","降低物理攻擊90秒","1008","4216000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100820"
"100821","36000","毒傷害10秒","1008","3844000000000","1","戰鬥開始10秒內，敵人陷入中毒狀態。","100821"
"100822","36000","降低物理攻擊90秒","1008","3348000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100822"
"100823","36000","降低物理攻擊90秒","1008","2976000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100823"
"100824","36000","降低物理防禦90秒","1008","2604000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100824"
"100825","36000","降低物理防禦90秒","1008","2232000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100825"
"100826","36000","TP提升150","1008","1736000000000","1","戰鬥開始時，我方的TP提升150。","100826"
"100827","36000","無敵10秒","1008","1364000000000","1","戰鬥開始10秒內，我方進入無敵狀態。","100827"
"100828","36000","降低物理防禦90秒","1008","992000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100828"
"100829","36000","降低魔法防禦90秒","1008","496000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100829"
"100830","36000","毒傷害10秒","1008","124000000000","1","戰鬥開始10秒內，敵人陷入中毒狀態。","100830"
