d79727cdf6a350d4c70d0d7aec2678bb9960e0cf7aa27e6aa51647001dd893ea,f9e5f48a97a7dc94b6c3f23267f2f49b04d0dd241cc55db262fa9c45739fe56a,90ed96559fdd5cd7afa024d6234174bfe9ab33aed44c72c8e6310bd7267fb711,aae86cf7bf6178fbe370646840d571e9c3b278e7b2d20f6eaaff2bb54a2190c0,afd388fdf2489d088336ea0f0b32bea4b3148ee99c4f8f108f589f8e2c7d1a87,93311ec5dfb31e9947c84765dd9b0f01fa4410431e45c0586f02ded1f51c8301,0f67de0d9dfac08a0e24f83329f70703c2097a234a1d3cc46f0dec2e9dfc012a,0b713e3a27f0e18d6d0db2f53d69c7a575c61317cb311d7af4bb2c7db62662b5,8c6c03731f69d8b99d03e50027defda37b2d74a45f155d877e5bc267a92cbc55,3d4ce48da7f2c8dc72baff5aebafe7fe10e9cf8a505d4c14eaad997127d203c4,fc7fc6923ab3a3239b16087e74b3a82a357e24a672793e5d81bfe79dbb0efacd
"129811","","1","","1","1019","0.2","3","","drama_idle",""
"1","167","100","-224","2","2001","1.65","1","1","129811","drama_idle"
"1","-49","100","-224","2","2002","1.65","1","0","129911","drama_idle"
"129911","","1","","2","2003","0.2","3","","drama_idle",""
"129811","drama_talk_admire_loop","0","1","2","2004","0.2","3","","drama_talk_admire_in",""
"vo_minigame_1013","0","0","","2","2005","","21","","vo_minigame_1013_top_talk_2_000",""
"129811","1","6","0","2","2006","0","11","0","像這樣將眾多士兵\n聚集起來真是壯觀呢。\n場面魄力十足，\n完全不像是訓練兵喔。","0.5"
"0","","","","2","2007","","91","","",""
"129811","","1","","2","2008","0.2","3","","drama_idle_admire",""
"129911","drama_talk_arm_crossed_loop","0","1","2","2009","0.2","3","","drama_talk_arm_crossed_in",""
"vo_minigame_1013","0","0","","2","2010","","21","","vo_minigame_1013_top_talk_2_001",""
"129911","1","4","0","2","2011","0","11","0","讓他們服從，\n教育他們的是我們……\n我們要回應期待，\n全力栽培他們吧。","0.3"
"0","","","","2","2012","","91","","",""
"129911","","1","","2","2013","0.2","3","","drama_idle_arm_crossed",""
"129811","drama_talk_guts2_loop","0","1","2","2014","0.2","3","","drama_talk_guts2_in",""
"vo_minigame_1013","0","0","","2","2015","","21","","vo_minigame_1013_top_talk_2_002",""
"129811","1","5","0","2","2016","0","11","0","惠理子確實也\n很有教官的架式了。\n好～\n我也不能輸啊！","0.3"
"0","","","","2","2017","","91","","",""
"129811","","1","","2","2018","0.2","3","","drama_idle",""
"129911","","1","","2","2019","0.2","3","","drama_idle",""
"1","167","100","-224","3","3001","1.65","1","1","129811","drama_idle"
"1","-49","100","-224","3","3002","1.65","1","0","129911","drama_idle"
"129811","","1","","3","3003","0.2","3","","drama_idle",""
"129911","","1","","3","3004","0.2","3","","drama_talk_thinking",""
"vo_minigame_1013","0","0","","3","3005","","21","","vo_minigame_1013_top_talk_3_000",""
"129911","1","5","0","3","3006","0","11","0","實際與魔物展開對峙，\n揮刀砍進對方的身體。\n正因為有這手感，\n才能算是訓練呢。","0.8"
"0","","","","3","3007","","91","","",""
"129911","","1","","3","3008","0.2","3","","drama_idle_thinking",""
"129811","drama_talk_sad_loop","0","1","3","3009","0.2","3","","drama_talk_sad_in",""
"vo_minigame_1013","0","0","","3","3010","","21","","vo_minigame_1013_top_talk_3_001",""
"129811","1","6","0","3","3011","0","11","0","妳的發言還是\n一樣危險……不過，\n比起理論更重視實踐\n也是一種指導方式吧。","0.5"
"0","","","","3","3012","","91","","",""
"129811","","1","","3","3013","0.2","3","","drama_idle_sad",""
"129911","drama_talk_arm_crossed_loop","0","1","3","3014","0.2","3","","drama_talk_arm_crossed_in",""
"vo_minigame_1013","0","0","","3","3015","","21","","vo_minigame_1013_top_talk_3_002",""
"129911","1","4","0","3","3016","0","11","0","那麼\n實踐教育的優點\n就讓新兵們\n親身體驗吧。","0.3"
"0","","","","3","3017","","91","","",""
"129811","","1","","3","3018","0.2","3","","drama_idle",""
"129911","","1","","3","3019","0.2","3","","drama_idle",""
"1","167","100","-224","4","4001","1.65","1","1","129811","drama_idle"
"1","-49","100","-224","4","4002","1.65","1","0","129911","drama_idle"
"129911","","1","","4","4003","0.2","3","","drama_idle",""
"129811","drama_talk_doya_loop_shy","0","1","4","4004","0.2","3","","drama_talk_doya_in_shy",""
"vo_minigame_1013","0","0","","4","4005","","21","","vo_minigame_1013_top_talk_4_000",""
"129811","1","5","0","4","4006","0","11","0","真要說的話，\n因為我也是個感覺派，\n所以有點不擅長\n教別人東西呢。","0.3"
"0","","","","4","4007","","91","","",""
"129811","","1","","4","4008","0.2","3","","drama_idle_doya_shy",""
"129911","drama_talk_wish_loop","0","1","4","4009","0.2","3","","drama_talk_wish_in",""
"vo_minigame_1013","0","0","","4","4010","","21","","vo_minigame_1013_top_talk_4_001",""
"129911","1","4","0","4","4011","0","11","0","只要彼此互相信賴，\n不用言語也能傳達。\n就像我\n與那位大人一樣……","0.5"
"0","","","","4","4012","","91","","",""
"129911","","1","","4","4013","0.2","3","","drama_idle_wish",""
"129811","","1","0","4","4014","0.2","3","","drama_idle_thinking_shy",""
"vo_minigame_1013","0","0","","4","4015","","21","","vo_minigame_1013_top_talk_4_002",""
"129811","1","7","0","4","4016","0","11","0","（原來如此，那樣的話\n我也能好好傳達\n給他……呃，我在\n胡思亂想什麼啊～！）","0"
"0","","","","4","4017","","91","","",""
"129911","","1","","4","4018","0.2","3","","drama_idle",""
"129811","","1","","4","4019","0.2","3","","drama_idle",""
"1","167","100","-224","5","5001","1.65","1","1","129811","drama_idle"
"1","-49","100","-224","5","5002","1.65","1","0","129911","drama_idle"
"129811","","1","","5","5003","0.2","3","","drama_idle",""
"129911","","1","","5","5004","0.2","3","","drama_talk_thinking",""
"vo_minigame_1013","0","0","","5","5005","","21","","vo_minigame_1013_top_talk_5_000",""
"129911","1","5","0","5","5006","0","11","0","只要透過訓練交出成果\n勳章也會大大\n增添光彩……\n真是太棒了。","0.8"
"0","","","","5","5007","","91","","",""
"129911","","1","","5","5008","0.2","3","","drama_idle_thinking",""
"129811","drama_talk_wonder_loop","0","1","5","5009","0.2","3","","drama_talk_wonder_in",""
"vo_minigame_1013","0","0","","5","5010","","21","","vo_minigame_1013_top_talk_5_001",""
"129811","1","5","0","5","5011","0","11","0","雖然動機不單純，\n但妳作為教官\n果然很優秀呢～\n真不可思議啊。","0.3"
"0","","","","5","5012","","91","","",""
"129811","","1","","5","5013","0.2","3","","drama_idle_wonder",""
"129911","","1","","5","5014","0.2","3","","drama_talk_memory",""
"vo_minigame_1013","0","0","","5","5015","","21","","vo_minigame_1013_top_talk_5_002",""
"129911","1","4","0","5","5016","0","11","0","「不愧是惠理子呢！\n身為伴侶的我\n也感到非常自豪喔」\n這種話……嘻嘻嘻……","0.5"
"0","","","","5","5017","","91","","",""
"129811","","1","","5","5018","0.2","3","","drama_idle",""
"129911","","1","","5","5019","0.2","3","","drama_idle",""
"1","167","100","-224","6","6001","1.65","1","1","129811","drama_idle"
"1","-49","100","-224","6","6002","1.65","1","0","129911","drama_idle"
"129911","","1","","6","6003","0.2","3","","drama_idle",""
"129811","","1","","6","6004","0.2","3","","drama_talk_thinking_shy",""
"vo_minigame_1013","0","0","","6","6005","","21","","vo_minigame_1013_top_talk_6_000",""
"129811","1","6","0","6","6006","0","11","0","要是我也努力完成\n教官的工作，\n那傢伙也會\n感到高興嗎……","0.3"
"0","","","","6","6007","","91","","",""
"129811","","1","","6","6008","0.2","3","","drama_idle_thinking_shy",""
"129911","drama_talk_doubt_loop","0","1","6","6009","0.2","3","","drama_talk_doubt_in",""
"vo_minigame_1013","0","0","","6","6010","","21","","vo_minigame_1013_top_talk_6_001",""
"129911","1","4","0","6","6011","0","11","0","真琴？\n怎麼了嗎？\n我好像感覺到\n一股危險的氣息。","0.8"
"0","","","","6","6012","","91","","",""
"129911","","1","","6","6013","0.2","3","","drama_idle_doubt",""
"129811","drama_talk_surprise_loop_shy","0","1","6","6014","0.2","3","","drama_talk_surprise_in_shy",""
"vo_minigame_1013","0","0","","6","6015","","21","","vo_minigame_1013_top_talk_6_002",""
"129811","1","7","0","6","6016","0","11","0","沒、沒事，沒什麼！\n我才沒在思考\n奇怪的事情！\n重要的是訓練！","0.3"
"0","","","","6","6017","","91","","",""
"129911","","1","","6","6018","0.2","3","","drama_idle",""
"129811","","1","","6","6019","0.2","3","","drama_idle",""
"1","167","100","-224","7","7001","1.65","1","1","129811","drama_idle"
"1","-49","100","-224","7","7002","1.65","1","0","129911","drama_idle"
"129811","","1","","7","7003","0.2","3","","drama_idle",""
"129911","drama_talk_arm_crossed_loop","0","1","7","7004","0.2","3","","drama_talk_arm_crossed_in",""
"vo_minigame_1013","0","0","","7","7005","","21","","vo_minigame_1013_top_talk_7_000",""
"129911","1","5","0","7","7006","0","11","0","我班上的所有人\n看來也依舊勤奮地\n進行訓練呢。\n值得讚賞。","0.3"
"0","","","","7","7007","","91","","",""
"129911","","1","","7","7008","0.2","3","","drama_idle_arm_crossed",""
"129811","drama_talk_guts2_loop","0","1","7","7009","0.2","3","","drama_talk_guts2_in",""
"vo_minigame_1013","0","0","","7","7010","","21","","vo_minigame_1013_top_talk_7_001",""
"129811","1","5","0","7","7011","0","11","0","惠理子班的急遽成長\n在騎士團中也\n成了話題呢。\n真是群厲害的傢伙。","0"
"0","","","","7","7012","","91","","",""
"129811","","1","","7","7013","0.2","3","","drama_idle_guts2",""
"129911","","1","","7","7014","0.2","3","","drama_talk_thinking",""
"vo_minigame_1013","0","0","","7","7015","","21","","vo_minigame_1013_top_talk_7_002",""
"129911","1","5","0","7","7016","0","11","0","正因為他們順從於我，\n努力不懈，\n才有如此有所收穫……\n……得好好感謝他們。","0.5"
"0","","","","7","7017","","91","","",""
"129811","","1","","7","7018","0.2","3","","drama_idle",""
"129911","","1","","7","7019","0.2","3","","drama_idle",""
"1","167","100","-224","8","8001","1.65","1","1","129811","drama_idle"
"1","-49","100","-224","8","8002","1.65","1","0","129911","drama_idle"
"129911","","1","","8","8003","0.2","3","","drama_idle",""
"129811","drama_talk_doya_loop_smile","0","1","8","8004","0.2","3","","drama_talk_doya_in_smile",""
"vo_minigame_1013","0","0","","8","8005","","21","","vo_minigame_1013_top_talk_8_000",""
"129811","1","6","0","8","8006","0","11","0","真琴班的所有人\n似乎也很認真努力。\n我身為教官\n感到非常高興喔。","0.3"
"0","","","","8","8007","","91","","",""
"129811","","1","","8","8008","0.2","3","","drama_idle_doya_smile",""
"129911","drama_talk_arm_crossed_loop","0","1","8","8009","0.2","3","","drama_talk_arm_crossed_in",""
"vo_minigame_1013","0","0","","8","8010","","21","","vo_minigame_1013_top_talk_8_001",""
"129911","1","4","0","8","8011","0","11","0","訓練也順利完成，\n簡直是優等生呢。\n雖然你們的成績\n不如我的班就是了。","0.8"
"0","","","","8","8012","","91","","",""
"129911","","1","","8","8013","0.2","3","","drama_idle_arm_crossed",""
"129811","","1","","8","8014","0.2","3","","drama_talk_anger",""
"vo_minigame_1013","0","0","","8","8015","","21","","vo_minigame_1013_top_talk_8_002",""
"129811","1","7","0","8","8016","0","11","0","唔，被妳這麼一說，\n感覺真不甘心……！\n那麼，我就用這場\n行軍訓練逆轉戰局！","0.3"
"0","","","","8","8017","","91","","",""
"129811","","1","","8","8018","0.2","3","","drama_idle",""
"129911","","1","","8","8019","0.2","3","","drama_idle",""
"1","167","100","-224","30","30001","1.65","1","1","129811","drama_idle"
"1","-49","100","-224","30","30002","1.65","1","0","129911","drama_idle"
"129811","","1","","30","30003","0.2","3","","drama_idle",""
"129911","","1","","30","30004","0.2","3","","drama_idle",""
"0.5","","","","30","30005","","93","","0",""
"2","","","","30","30006","","26","","",""
"-80","1.2","1.2","0.9","30","30007","3","121","","10",""
"129911","","0","","30","30008","0.2","3","0.2","drama_joy_eriko",""
"1","","0","","30","30009","","140","","1",""
"1","167","100","-224","31","31001","1.65","1","1","129811","drama_idle"
"1","-49","100","-224","31","31002","1.65","1","0","129911","drama_idle"
"129811","","1","","31","31003","0.2","3","","drama_idle",""
"129911","","1","","31","31004","0.2","3","","drama_idle",""
"0.5","","","","31","31005","","93","","0",""
"2","","","","31","31006","","26","","",""
"-80","1.2","1.2","0.9","31","31007","3","121","","10",""
"129811","","0","","31","31008","0.2","3","0.2","drama_joy_makoto",""
"1","","0","","31","31009","","140","","2",""
"0","320","1","28","32","32001","0.28","5","1","1","drama_talk_1"
"0","228","0","28","32","32002","0.28","5","0","2","drama_talk_2"
"0","45","90","64","32","32003","0.26","5","1","3","drama_swing"
"0","-187","91","-23","32","32004","0.3","5","0","4","drama_streach"
"1","","","","32","32005","","93","","0",""
"1","","0","","32","32006","0.2","3","","drama_joy",""
"2","","0","","32","32007","0.2","3","","drama_joy",""
"3","","0","","32","32008","0.2","3","","drama_joy",""
"4","","0","","32","32009","0.2","3","","drama_joy",""
"1.5","","","","32","32010","","93","","0",""
"0","320","1","28","33","33001","0.28","5","1","1","drama_talk_1"
"0","228","0","28","33","33002","0.28","5","0","2","drama_talk_2"
"0","45","90","64","33","33003","0.26","5","1","3","drama_swing"
"0","-187","91","-23","33","33004","0.3","5","0","4","drama_streach"
