dd225e208eec5329698aa8f3f4f9ea59337e5b1cb824f9de16e98222f4360c7a,f9318ce7880a2e4cdff5e078a0cbf152aa4c8c13262151f6bff4993202e21cb4,b5b5f6b4601d4c567c9aa2e7cf8bc0497bf0abef7ff1e502a16f2722df96ed1d,aa88570c9f3e03b2a33e40a048acccbb7e27acab5fbc3865ca1026a4e79357dd,fe4066ac979e4ea6e92b16e58c0c3cd156e99f0c3f58f7a0966d112f6d17123e,5977c694cd36f05e8f07279ba693018e153d42748a4f4ea16fc85f68f49e5d62,cd052ea4c2a5277eb3235c2394ec98edcbeefe8ae7b17a3b3d529b293284a775,623695e1cf319c2f536d05e8e66633b512136f164ea8dc2c16beaef9ac358553,24db54b60da07ff1cd283629e973464eb0ccc83b21311ea3f3ff38c003a1ac6d,2ee9114c5c197043806172f96580d6fc74d6e0990e8d48619a15260253c89da2
"3","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","13","初音","1","1033","1","","101201"
"3","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","美空","1","1034","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","118201"
"1","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","6","矛依未","7","1035","0","","106101"
"2","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","5","忍","4","1036","0","","103101"
"1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","真陽","10001","1037","0","","103301"
"1","取得最大2000里程","","2","鏡華","10002","1038","0","","103601"
"1","取得{0}張抽獎券","","12","格蕾斯","1","1039","0","","133001"
"1","取得{0}個料理","","3","薇歐莉特","1","1040","0","","133101"
"2","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","8","拉比林斯達","0","1041","0","","106801"
"3","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","克莉絲提娜","1","1042","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","107101"
"1","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","6","似似花","7","1043","0","","107001"
"2","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","5","嘉夜","4","1044","0","","106501"
"1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","優妮","10001","1045","0","","111001"
"1","取得最大2000里程","","2","華音","10002","1046","0","","134901"
"1","取得{0}張抽獎券","","12","紡希","1","1047","0","","105401"
"1","取得{0}個料理","","3","鳳凰","1","1048","0","","134701"
"2","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","8","日和","0","1049","0","","100101"
"3","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","宮子","1","1050","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","100701"
"1","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","6","妮諾","7","1051","0","","103001"
"3","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","13","霞","2","1052","1","","101401"
"1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","剎鬼","10001","1053","0","","135901"
"1","取得最大2000里程","","2","鈴","10002","1054","0","","102601"
"1","取得{0}張抽獎券","","12","彩羽","1","1055","0","","132401"
"1","取得{0}個料理","","3","雪野","1","1056","0","","135801"
"2","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","8","怜","0","1057","0","","100301"
"3","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","帆稀","1","1058","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","106701"
"1","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","6","露易絲瑪莉","7","1059","0","","132301"
"3","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","13","莉瑪","1","1060","1","","105201"
"1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","依里","10001","1061","0","","102201"
"1","取得最大2000里程","","2","茜里","10002","1062","0","","100601"
"1","取得{0}張抽獎券","","12","拿娜","1","1063","0","","136201"
"1","取得{0}個料理","","3","琪愛兒","1","1064","0","","110901"
"2","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","5","栞","4","1065","0","","103801"
"3","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","美里","1","1066","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","101501"
"1","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","6","望","7","1067","0","","102901"
"3","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","13","香織","2","1068","1","","101701"
"1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","苑","10001","1069","0","","132501"
"1","取得最大2000里程","","2","千歌","10002","1070","0","","104201"
"1","取得{0}張抽獎券","","12","璃乃","1","1071","0","","101101"
"1","取得{0}個料理","","3","靜流","1","1072","0","","104901"
"2","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","8","真步","0","1073","0","","101001"
"3","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","志那都","1","1074","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","135601"
"1","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","6","埃拉","7","1075","0","","135501"
"3","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","13","步未","1","1076","1","","105501"
"1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","班比","10001","1077","0","","122301"
"1","取得最大2000里程","","2","梅杜莎","10002","1078","0","","133601"
"1","取得{0}張抽獎券","","12","胡桃","1","1079","0","","102101"
"1","取得{0}個料理","","3","綾音","1","1080","0","","102301"
