2908cd22b054dd163b7e440a42378cdfc94362d501b190db3f677ad45eb3f661,7d41dc6611e47dca88d8cc3ceea0585eb7b01992d2919d10953b3d50a95dacba,ff6ed6ad94d3ca13d623dca23a31b758693fd4b5570894827b4bf726600ea9f8,ae5ecb7472c70203c87d9aee586247182812eedbe39bad5b6d5e59e6f909c796,f6c26d31ca5afbdefc057577e15a8c145a55acbf897d9e3a18b7d92cd8d307a9,211d39ebc79ee63906487cf890eedeb4ca441739cbec6819b0144c9af700df61,012602ef585d28a818599bea90dc2f3deb1f421e7ec49b2efb448a685d7e68b1,216e025b189f65f0fce2e880b3844dfe713f9d324197868d4ddd428865fbc335,cf553b2927363a0bbe15e6365a948a96d897c9c8d9d95784974842bc511492e8
"","2880","","2","30","3","1","16","20003"
"","12600","","2","7","3","1","17","20004"
"","11400","","2","8","3","1","18","20004"
"","10200","","2","9","3","1","19","20004"
"","9300","","2","10","3","1","20","20004"
"","8700","","2","10","3","1","21","20004"
"","6600","","2","13","3","1","22","20004"
"","6300","","2","14","3","1","23","20004"
"","6000","","2","15","3","1","24","20004"
"","5700","","2","15","3","1","25","20004"
"","5400","","2","16","3","1","26","20004"
"","5100","","2","17","3","1","27","20004"
"","4860","","2","18","3","1","28","20004"
"","4620","","2","19","3","1","29","20004"
"","4440","","2","20","3","1","30","20004"
"","4260","","2","21","3","1","31","20004"
"","4080","","2","22","3","1","32","20004"
"","3960","","2","22","3","1","33","20004"
"","21600","","12","12000","4","3000","1","94002"
"","21600","","12","18000","4","4500","2","94002"
"","21600","","12","24000","4","6000","3","94002"
"","21600","","12","30000","4","7500","4","94002"
"","21600","","12","42000","4","10500","5","94002"
"","21600","","12","54000","4","13500","6","94002"
"","21600","","12","66000","4","16500","7","94002"
"","21600","","12","84000","4","21000","8","94002"
"","21600","","12","102000","4","25500","9","94002"
"","21600","","12","120000","4","30000","10","94002"
"","21600","","12","144000","4","36000","11","94002"
"","21600","","12","168000","4","42000","12","94002"
"","21600","","12","192000","4","48000","13","94002"
"","21600","","12","222000","4","55500","14","94002"
"","21600","","12","252000","4","63000","15","94002"
"","21600","","12","282000","4","70500","16","94002"
"","21600","","12","318000","4","79500","17","94002"
"","21600","","12","354000","4","88500","18","94002"
"","21600","","12","390000","4","97500","19","94002"
"","21600","","12","432000","4","108000","20","94002"
"","21600","","12","474000","4","118500","21","94002"
"","21600","","12","516000","4","129000","22","94002"
"","21600","","12","562000","4","140500","23","94002"
"","21600","","12","600000","4","150000","24","94002"
"","21600","","12","642000","4","160500","25","94002"
"","21600","","12","684000","4","171000","26","94002"
"","21600","","12","726000","4","181500","27","94002"
"","21600","","12","768000","4","192000","28","94002"
"","21600","","12","810000","4","202500","29","94002"
"","21600","","12","852000","4","213000","30","94002"
"","21600","","12","894000","4","223500","31","94002"
"","21600","","12","920000","4","230000","32","94002"
"","21600","","12","940000","4","235000","33","94002"
"","21600","","6","48","5","12","1","93001"
"","21600","","6","48","6","12","1","93001"
"","21600","","6","48","7","12","1","93001"
"","21600","","6","48","8","12","1","93001"
"","21600","","6","48","11","12","1","93001"
"","21600","","6","48","12","12","1","93001"
"","21600","","6","48","19","12","1","93001"
"4999999999","0","14999999999","0","0","23","1","0","0"
"","21600","","6","48","25","12","1","93001"
"","21600","","6","48","28","12","1","93001"
"","21600","","6","48","30","12","1","93001"
