be17ef11682e9911477d99fc7e130f994d36aee259f13b86d28769105d4e79d7,6b127410f07c269747b6fc6ef204aae08a5924b1747681e2054150224ed3ae88,3f0528ceb295b84fbf72d415a427d3eaa7319483fd72c96f1e0f67b69cf40721,6fd66e4002f49ee4d33b51fb388135255f96411d14b12901f8973badb7b5f3f2,e274ce938b75494ed4bf180085576780d13386b687e310029eb013b56c1dd2c0,4fb5d8a699687d7d588dc95a5b8cd72bc6af4aecc04ebe84ef648ac64e9b0826,05e10bb0eb03ba21d85523f3b9f4d7e55d5c7c05d497aa846b086df46d98c7e8,1fdee62d6fe38a189053e6844f96d55faa67e522014f8308634a11b7f0ca56cb,f364d7d6d6200430e256dd01d7c7be62b43335e8e0b5b3c7e69a04444db4f172,449d10b8e596430ad9e97e4ad837d3e8acd9459c984549e1afaa2c2e1c4e7de8,6c1131ddd4161b4b9662ba7f8d5726866571dc86e6fc109d81ac85e1ce943629,acde23cea0c517f044b3e890c767d3c857434ba9eaa8bde650144453b9338c96
"103","104","0","3","100","104","1","0","0","11001","10401","0"
"104","105","0","4","104","105","4","0","0","11041","10501","0"
"105","106","0","2","103","106","2","0","0","11031","10601","0"
"106","107","0","1","104","107","4","0","0","11041","10701","0"
"107","108","0","3","103","108","2","0","0","11031","10801","0"
"108","109","0","3","100","109","3","0","0","11001","10901","0"
"109","110","0","1","104","110","4","0","0","11041","11001","0"
"110","111","0","2","101","111","3","0","0","11011","11101","0"
"111","112","0","4","104","112","4","0","0","11041","11201","0"
"112","113","0","3","102","113","1","0","0","11021","11301","0"
"113","114","0","2","104","114","4","0","0","11041","11401","0"
"114","115","0","4","103","115","2","0","0","11031","11501","0"
"115","116","0","3","104","116","4","0","0","11041","11601","0"
"116","117","0","2","102","117","2","0","0","11021","11701","0"
"117","118","0","2","104","118","4","0","0","11041","11801","0"
"118","119","0","1","52","119","3","0","0","10521","11901","0"
"119","120","0","3","104","120","4","0","0","11041","12001","0"
"120","121","0","3","102","121","1","0","0","11021","12101","0"
"121","122","0","4","103","122","3","0","0","11031","12201","0"
"122","123","0","2","100","123","2","0","0","11001","12301","0"
"123","124","0","1","102","124","1","0","0","11021","12401","0"
"124","125","0","3","104","125","4","0","0","11041","12501","0"
"125","126","0","2","101","126","2","0","0","11011","12601","0"
