a1cec00c2d1959c60565f733f2f331da1862a4aa77a0ac6f0d5387d3ea09d4c0,8f94104f4632db695341255eec9369af6cf882bf57eb40f6fae4f54f9fb6682e,f2b3011b57ea881258cf7b9323c523a0836ab1ba5614912cdeb1c1caa5e32a16,201dbb9c2bfd0d14ea0723169ddc06b8f17e5f46b6fcc8655addd74efc32043f,1f3355007614d4c73c3fef49cc2b9ff85788d907bc1a4ee8e87dbb13c4fc023a,a5b47460178357091368a276525d2bf0c625556a8910603ee3e69f2f4337d8c6,9428dc618e1b6afe75520581972b940b85e9608b7b43bacd20cc4707ef34c30e,a3e6f3630ea8b8b34527c94466aa8ee8d4650fced70b03a2ac1decbcc82eb0f9
"96005","2","5","5","31253","1500","87","5"
"96005","2","5","5","31255","1500","88","5"
"96005","2","5","5","31256","1500","89","5"
"96005","2","5","5","90005","2500","90","10"
"96005","4","5","10","140001","2500","91","50"
"96005","2","5","10","25001","1000","92","10"
"96005","4","5","5","150003","500","93","30"
"96005","4","5","5","150004","650","94","30"
"96005","4","5","5","150005","750","95","30"
"96005","4","5","5","150006","900","96","30"
"96005","4","5","5","150007","1000","97","30"
"96005","4","5","5","150008","1150","98","30"
"96005","4","5","5","150009","1300","99","30"
"96005","2","5","5","20004","2500","100","500"
"96005","2","5","5","22003","1000","101","500"
"96005","2","5","0","20004","1000","102","100"
"96005","2","5","0","22003","400","103","100"
"96006","2","6","1","25101","20000","104","1"
"96006","2","6","1","21952","20000","105","1"
"96006","2","6","1","21905","10000","106","1"
"96006","2","6","2","41000","10000","107","1"
"96006","2","6","5","31262","1500","108","5"
"96006","2","6","5","31266","1500","109","5"
"96006","2","6","5","31269","1500","110","5"
"96006","2","6","5","31271","1500","111","5"
"96006","2","6","5","90005","2500","112","10"
"96006","4","6","10","140001","2500","113","50"
"96006","2","6","10","25001","1000","114","10"
"96006","4","6","5","150003","500","115","30"
"96006","4","6","5","150004","650","116","30"
"96006","4","6","5","150005","750","117","30"
"96006","4","6","5","150006","900","118","30"
"96006","4","6","5","150007","1000","119","30"
"96006","4","6","5","150008","1150","120","30"
"96006","4","6","5","150009","1300","121","30"
"96006","2","6","5","20004","2500","122","500"
"96006","2","6","5","22003","1000","123","500"
"96006","2","6","0","20004","1000","124","100"
"96006","2","6","0","22003","400","125","100"
"96007","2","7","1","25101","20000","126","1"
"96007","2","7","1","21952","20000","127","1"
"96007","2","7","1","21905","10000","128","1"
"96007","2","7","2","41000","10000","129","1"
"96007","2","7","5","31272","1500","130","5"
"96007","2","7","5","31808","2000","131","5"
"96007","2","7","5","31275","1500","132","5"
"96007","2","7","5","90005","2500","133","10"
"96007","4","7","10","140001","2500","134","50"
"96007","2","7","10","25001","1000","135","10"
"96007","4","7","5","150003","500","136","30"
"96007","4","7","5","150004","650","137","30"
"96007","4","7","5","150005","750","138","30"
"96007","4","7","5","150006","900","139","30"
"96007","4","7","5","150007","1000","140","30"
"96007","4","7","5","150008","1150","141","30"
"96007","4","7","5","150009","1300","142","30"
"96007","2","7","5","20004","2500","143","500"
"96007","2","7","5","22003","1000","144","500"
"96007","2","7","0","20004","1000","145","100"
"96007","2","7","0","22003","400","146","100"
"96008","2","8","1","25101","20000","147","1"
"96008","2","8","1","21952","20000","148","1"
"96008","2","8","1","21905","10000","149","1"
"96008","2","8","2","41000","10000","150","1"
"96008","2","8","5","31279","1500","151","5"
"96008","2","8","5","31809","2000","152","5"
"96008","2","8","5","31284","1500","153","5"
"96008","2","8","5","31285","1500","154","5"
"96008","2","8","5","31289","1500","155","5"
"96008","2","8","5","31287","1500","156","5"
"96008","2","8","5","31293","1500","157","5"
"96008","2","8","5","90005","2500","158","10"
"96008","4","8","10","140001","2500","159","50"
"96008","2","8","10","25001","1000","160","10"
"96008","4","8","5","150003","500","161","30"
"96008","4","8","5","150004","650","162","30"
"96008","4","8","5","150005","750","163","30"
"96008","4","8","5","150006","900","164","30"
"96008","4","8","5","150007","1000","165","30"
"96008","4","8","5","150008","1150","166","30"
"96008","4","8","5","150009","1300","167","30"
"96008","2","8","5","20004","2500","168","500"
"96008","2","8","5","22003","1000","169","500"
"96008","2","8","0","20004","1000","170","100"
"96008","2","8","0","22003","400","171","100"
"96009","2","9","1","25101","20000","172","1"
"96009","2","9","1","21952","20000","173","1"
"96009","2","9","1","21905","10000","174","1"
"96009","2","9","2","41000","10000","175","1"
"96009","2","9","5","31298","1500","176","5"
"96009","2","9","5","31181","2000","177","5"
"96009","2","9","5","31307","1500","178","5"
"96009","2","9","5","31310","1500","179","5"
"96009","2","9","5","90005","2500","180","10"
"96009","4","9","10","140001","2500","181","50"
"96009","2","9","10","25001","1000","182","10"
"96009","4","9","5","150003","500","183","30"
"96009","4","9","5","150004","650","184","30"
"96009","4","9","5","150005","750","185","30"
"96009","4","9","5","150006","900","186","30"
"96009","4","9","5","150007","1000","187","30"
"96009","4","9","5","150008","1150","188","30"
"96009","4","9","5","150009","1300","189","30"
"96009","2","9","5","20004","2500","190","500"
"96009","2","9","5","22003","1000","191","500"
"96009","2","9","0","20004","1000","192","100"
"96009","2","9","0","22003","400","193","100"
"96010","2","10","1","25101","20000","194","1"
"96010","2","10","1","21952","20000","195","1"
"96010","2","10","1","21905","10000","196","1"
"96010","2","10","2","41000","10000","197","1"
"96010","2","10","5","31182","2000","198","5"
"96010","2","10","5","31312","1500","199","5"
"96010","2","10","5","31316","1500","200","5"
"96010","2","10","5","31317","1500","201","5"
"96010","2","10","5","90005","2500","202","10"
"96010","4","10","10","140001","2500","203","50"
"96010","2","10","10","25001","1000","204","10"
"96010","4","10","5","150003","500","205","30"
"96010","4","10","5","150004","650","206","30"
"96010","4","10","5","150005","750","207","30"
"96010","4","10","5","150006","900","208","30"
"96010","4","10","5","150007","1000","209","30"
"96010","4","10","5","150008","1150","210","30"
"96010","4","10","5","150009","1300","211","30"
"96010","2","10","5","20004","2500","212","500"
"96010","2","10","5","22003","1000","213","500"
"96010","2","10","0","20004","1000","214","100"
"96010","2","10","0","22003","400","215","100"
"96011","2","11","1","25101","20000","216","1"
"96011","2","11","1","21952","20000","217","1"
"96011","2","11","1","21905","10000","218","1"
"96011","2","11","2","41000","10000","219","1"
"96011","2","11","5","31322","1500","220","5"
"96011","2","11","5","31300","1500","221","5"
"96011","2","11","5","31301","1500","222","5"
"96011","2","11","5","31302","1500","223","5"
"96011","2","11","5","90005","2500","224","10"
"96011","4","11","10","140001","2500","225","50"
"96011","2","11","10","25001","1000","226","10"
"96011","4","11","5","150003","500","227","30"
"96011","4","11","5","150004","650","228","30"
"96011","4","11","5","150005","750","229","30"
"96011","4","11","5","150006","900","230","30"
"96011","4","11","5","150007","1000","231","30"
"96011","4","11","5","150008","1150","232","30"
"96011","4","11","5","150009","1300","233","30"
"96011","2","11","5","20004","2500","234","500"
"96011","2","11","5","22003","1000","235","500"
"96011","2","11","0","20004","1000","236","100"
"96011","2","11","0","22003","400","237","100"
