b176707973a15806487d18818718606d2050fb9304234ec60fcda982e5edac45,a31b8bdc84c5b012077fbfa8d2a828592a5730ec3555af8795a85a91ee4ad009,fb6cb2f146b5fae8313b25e8de020da4e48eca4c67d61b00214eda33cf031685,e0fca1fe8aec3e3fedd3295f7c0d17838c5c97bd78f194dc5420b4e154a2ee5e,a00ffe296e46d6bd716773462232dc9462f722a02866b8631f6103800f9b5192,93f0870783ed5ebf4d7910756ca6464e53a8fb5458b0a48eef939e8ee71e0332,e9e01aa883790c223fae8d53d04b496772a8a918955b614a0d21fc75b7882e6e,e016f306b9a5248694cb203dbca8d10c3672d88820d54bb5e982cca954f3d1a3
"100606","戰鬥開始90秒內，使我方的物理攻擊力提升。","1006","9920000000000","提升物理攻擊90秒","36000","100606","1"
"100607","戰鬥開始90秒內，每秒恢復我方的HP。","1006","9548000000000","每秒HP恢復90秒","36000","100607","1"
"100608","戰鬥開始90秒內，使我方的物理攻擊力提升。","1006","9176000000000","提升物理攻擊90秒","36000","100608","1"
"100609","戰鬥開始90秒內，使我方的物理攻擊力提升。","1006","8680000000000","提升物理攻擊90秒","36000","100609","1"
"100610","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1006","8308000000000","降低魔法防禦90秒","36000","100610","1"
"100611","戰鬥開始90秒內，使我方的魔法攻擊力提升。","1006","7936000000000","提升魔法攻擊90秒","36000","100611","1"
"100612","戰鬥開始90秒內，使我方的物理攻擊力提升。","1006","7440000000000","提升物理攻擊90秒","36000","100612","1"
"100613","戰鬥開始90秒內，使敵人的物理防禦力下降。","1006","7068000000000","降低物理防禦90秒","36000","100613","1"
"100614","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1006","6696000000000","降低魔法防禦90秒","36000","100614","1"
"100615","戰鬥開始90秒內，使我方的魔法攻擊力提升。","1006","6324000000000","提升魔法攻擊90秒","36000","100615","1"
"100616","戰鬥開始90秒內，使我方的物理攻擊力提升。","1006","5828000000000","提升物理攻擊90秒","36000","100616","1"
"100617","戰鬥開始90秒內，每秒恢復我方的HP。","1006","5456000000000","每秒HP恢復90秒","36000","100617","1"
"100618","戰鬥開始90秒內，使我方的物理攻擊力提升。","1006","5084000000000","提升物理攻擊90秒","36000","100618","1"
"100619","戰鬥開始90秒內，使我方的物理攻擊力提升。","1006","4588000000000","提升物理攻擊90秒","36000","100619","1"
"100620","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1006","4216000000000","降低魔法防禦90秒","36000","100620","1"
"100621","戰鬥開始90秒內，使敵人的物理防禦力下降。","1006","3844000000000","降低物理防禦90秒","36000","100621","1"
"100622","戰鬥開始90秒內，使我方的魔法攻擊力提升。","1006","3348000000000","提升魔法攻擊90秒","36000","100622","1"
"100623","戰鬥開始90秒內，使我方的物理攻擊力提升。","1006","2976000000000","提升物理攻擊90秒","36000","100623","1"
"100624","戰鬥開始90秒內，每秒恢復我方的HP。","1006","2604000000000","每秒HP恢復90秒","36000","100624","1"
"100625","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1006","2232000000000","降低魔法防禦90秒","36000","100625","1"
"100626","戰鬥開始時，我方的TP提升150。","1006","1736000000000","TP提升150","36000","100626","1"
"100627","戰鬥開始10秒內，我方進入無敵狀態。","1006","1364000000000","無敵10秒","36000","100627","1"
"100628","戰鬥開始90秒內，使我方的魔法攻擊力提升。","1006","992000000000","提升魔法攻擊90秒","36000","100628","1"
"100629","戰鬥開始90秒內，使我方的物理攻擊力提升。","1006","496000000000","提升物理攻擊90秒","36000","100629","1"
"100630","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1006","124000000000","降低魔法防禦90秒","36000","100630","1"
"100701","戰鬥開始90秒內，每秒提升我方的TP。","1007","7469000000000","每秒TP提升90秒","36000","100701","1"
"100702","戰鬥開始時，我方的TP提升50。","1007","7161000000000","TP提升50","36000","100702","1"
"100703","戰鬥開始10秒內，敵人陷入火傷狀態。","1007","6930000000000","火傷傷害10秒","36000","100703","1"
"100704","戰鬥開始90秒內，使敵人的物理防禦力下降。","1007","6699000000000","降低物理防禦90秒","36000","100704","1"
"100705","戰鬥開始90秒內，使敵人的物理防禦力下降。","1007","6468000000000","降低物理防禦90秒","36000","100705","1"
"100706","戰鬥開始90秒內，使我方的物理攻擊力提升。","1007","6160000000000","提升物理攻擊90秒","36000","100706","1"
"100707","戰鬥開始90秒內，使我方的魔法攻擊力提升。","1007","5929000000000","提升魔法攻擊90秒","36000","100707","1"
"100708","戰鬥開始10秒內，敵人陷入火傷狀態。","1007","5698000000000","火傷傷害10秒","36000","100708","1"
"100709","戰鬥開始90秒內，使敵人的物理防禦力下降。","1007","5390000000000","降低物理防禦90秒","36000","100709","1"
"100710","戰鬥開始90秒內，使我方的物理攻擊力提升。","1007","5159000000000","提升物理攻擊90秒","36000","100710","1"
"100711","戰鬥開始90秒內，每秒提升我方的TP。","1007","4928000000000","每秒TP提升90秒","36000","100711","1"
"100712","戰鬥開始10秒內，敵人陷入火傷狀態。","1007","4620000000000","火傷傷害10秒","36000","100712","1"
"100713","戰鬥開始90秒內，使敵人的物理防禦力下降。","1007","4389000000000","降低物理防禦90秒","36000","100713","1"
"100714","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1007","4158000000000","降低魔法防禦90秒","36000","100714","1"
"100715","戰鬥開始90秒內，使我方的魔法攻擊力提升。","1007","3927000000000","提升魔法攻擊90秒","36000","100715","1"
"100716","戰鬥開始90秒內，使我方的物理攻擊力提升。","1007","3619000000000","提升物理攻擊90秒","36000","100716","1"
"100717","戰鬥開始時，我方的TP提升100。","1007","3388000000000","TP提升100","36000","100717","1"
"100718","戰鬥開始90秒內，使敵人的物理防禦力下降。","1007","3157000000000","降低物理防禦90秒","36000","100718","1"
"100719","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1007","2849000000000","降低魔法防禦90秒","36000","100719","1"
"100720","戰鬥開始90秒內，使我方的物理攻擊力提升。","1007","2618000000000","提升物理攻擊90秒","36000","100720","1"
"100721","戰鬥開始90秒內，每秒提升我方的TP。","1007","2387000000000","每秒TP提升90秒","36000","100721","1"
"100722","戰鬥開始時，我方的TP提升150。","1007","2079000000000","TP提升150","36000","100722","1"
"100723","戰鬥開始10秒內，敵人陷入火傷狀態。","1007","1848000000000","火傷傷害10秒","36000","100723","1"
"100724","戰鬥開始90秒內，使敵人的物理防禦力下降。","1007","1617000000000","降低物理防禦90秒","36000","100724","1"
"100725","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1007","1386000000000","降低魔法防禦90秒","36000","100725","1"
"100726","戰鬥開始時，我方的TP提升150。","1007","1078000000000","TP提升150","36000","100726","1"
"100727","戰鬥開始10秒內，我方進入無敵狀態。","1007","847000000000","無敵10秒","36000","100727","1"
"100728","戰鬥開始10秒內，敵人陷入火傷狀態。","1007","616000000000","火傷傷害10秒","36000","100728","1"
"100729","戰鬥開始90秒內，使敵人的物理防禦力下降。","1007","308000000000","降低物理防禦90秒","36000","100729","1"
"100730","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1007","77000000000","降低魔法防禦90秒","36000","100730","1"
"100801","戰鬥開始10秒內，敵人陷入中毒狀態。","1008","12028000000000","毒傷害10秒","36000","100801","1"
"100802","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1008","11532000000000","降低物理攻擊90秒","36000","100802","1"
"100803","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1008","11160000000000","降低物理攻擊90秒","36000","100803","1"
"100804","戰鬥開始90秒內，使敵人的物理防禦力下降。","1008","10788000000000","降低物理防禦90秒","36000","100804","1"
"100805","戰鬥開始90秒內，使敵人的物理防禦力下降。","1008","10416000000000","降低物理防禦90秒","36000","100805","1"
"100806","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1008","9920000000000","降低物理攻擊90秒","36000","100806","1"
"100807","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1008","9548000000000","降低物理攻擊90秒","36000","100807","1"
"100808","戰鬥開始90秒內，使敵人的物理防禦力下降。","1008","9176000000000","降低物理防禦90秒","36000","100808","1"
"100809","戰鬥開始90秒內，使敵人的物理防禦力下降。","1008","8680000000000","降低物理防禦90秒","36000","100809","1"
"100810","戰鬥開始90秒內，使敵人的魔法攻擊力下降。","1008","8308000000000","降低魔法攻擊90秒","36000","100810","1"
"100811","戰鬥開始10秒內，敵人陷入中毒狀態。","1008","7936000000000","毒傷害10秒","36000","100811","1"
"100812","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1008","7440000000000","降低物理攻擊90秒","36000","100812","1"
"100813","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1008","7068000000000","降低物理攻擊90秒","36000","100813","1"
"100814","戰鬥開始90秒內，使敵人的物理防禦力下降。","1008","6696000000000","降低物理防禦90秒","36000","100814","1"
"100815","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1008","6324000000000","降低魔法防禦90秒","36000","100815","1"
"100816","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1008","5828000000000","降低物理攻擊90秒","36000","100816","1"
"100817","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1008","5456000000000","降低物理攻擊90秒","36000","100817","1"
"100818","戰鬥開始90秒內，使敵人的物理防禦力下降。","1008","5084000000000","降低物理防禦90秒","36000","100818","1"
"100819","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1008","4588000000000","降低魔法防禦90秒","36000","100819","1"
"100820","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1008","4216000000000","降低物理攻擊90秒","36000","100820","1"
"100821","戰鬥開始10秒內，敵人陷入中毒狀態。","1008","3844000000000","毒傷害10秒","36000","100821","1"
"100822","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1008","3348000000000","降低物理攻擊90秒","36000","100822","1"
"100823","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1008","2976000000000","降低物理攻擊90秒","36000","100823","1"
"100824","戰鬥開始90秒內，使敵人的物理防禦力下降。","1008","2604000000000","降低物理防禦90秒","36000","100824","1"
"100825","戰鬥開始90秒內，使敵人的物理防禦力下降。","1008","2232000000000","降低物理防禦90秒","36000","100825","1"
"100826","戰鬥開始時，我方的TP提升150。","1008","1736000000000","TP提升150","36000","100826","1"
"100827","戰鬥開始10秒內，我方進入無敵狀態。","1008","1364000000000","無敵10秒","36000","100827","1"
"100828","戰鬥開始90秒內，使敵人的物理防禦力下降。","1008","992000000000","降低物理防禦90秒","36000","100828","1"
"100829","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1008","496000000000","降低魔法防禦90秒","36000","100829","1"
"100830","戰鬥開始10秒內，敵人陷入中毒狀態。","1008","124000000000","毒傷害10秒","36000","100830","1"
