3c9a50c3287be60ef346ab27ac9f02b16b12a7bb23ba6b004acb2145aec1a173,9e1c591573e11d21e5c79a97c648f9c45fe2402321f6ec0032a21b1d42215c6f,76dd6b9e0785e336333ef9cd1471980bfd34278ee5ada4e2447f7f58ed9cdfdb,1736c8c055f13bb54bb23fa21a6f262a35a36a3c331fce2c5209ccc36f018dcf,6f689909b749bf9f4994866b99924935498f705c2e5826345500db7d8533991a,a54c31d376bb8ee8e3baf8ad7b7c9541f57a191d54a874dc188f1bbf249b3f3a,e565e4250659f3d87b62be44eacf0e76f95a793b2bf6012cb0531a17e466c415,aaf3e477703e76964c25a449c31ee9f4290ca20f2826937c203082009c94930b,54b3a3add71c29f3488f94170517c78fc548882f2658fb8fb7ae500d4df521ba
"5","1001","在HARD難易度取得30000分","100719","1","30000","2","1007","100719"
"5","1001","在HARD難易度取得45000分","100720","1","45000","2","1007","100720"
"6","1002","在EXTRA1難易度戰鬥1次","100721","1","0","3","1007","100721"
"6","1003","在EXTRA2難易度戰鬥1次","100722","1","0","3","1007","100722"
"6","1004","在EXTRA3難易度戰鬥1次","100723","1","0","3","1007","100723"
"7","1001","在EXTRA難易度取得20000分","100724","1","20000","3","1007","100724"
"7","1001","在EXTRA難易度取得40000分","100725","1","40000","3","1007","100725"
"7","1001","在EXTRA難易度取得60000分","100726","1","60000","3","1007","100726"
"0","1001","全難易度合計取得10000分","100801","1","10000","0","1008","100801"
"0","1001","全難易度合計取得30000分","100802","1","30000","0","1008","100802"
"0","1001","全難易度合計取得50000分","100803","1","50000","0","1008","100803"
"0","1001","全難易度合計取得70000分","100804","1","70000","0","1008","100804"
"1","1001","全難易度合計取得90000分","100805","1","90000","0","1008","100805"
"1","1001","全難易度合計取得105000分","100806","1","105000","0","1008","100806"
"1","1001","全難易度合計取得120000分","100807","1","120000","0","1008","100807"
"1","1001","全難易度合計取得135000分","100808","1","135000","0","1008","100808"
"2","1002","在NORMAL1難易度戰鬥1次","100809","1","0","1","1008","100809"
"2","1003","在NORMAL2難易度戰鬥1次","100810","1","0","1","1008","100810"
"2","1004","在NORMAL3難易度戰鬥1次","100811","1","0","1","1008","100811"
"3","1001","在NORMAL難易度取得10000分","100812","1","10000","1","1008","100812"
"3","1001","在NORMAL難易度取得20000分","100813","1","20000","1","1008","100813"
"3","1001","在NORMAL難易度取得30000分","100814","1","30000","1","1008","100814"
"4","1002","在HARD1難易度戰鬥1次","100815","1","0","2","1008","100815"
"4","1003","在HARD2難易度戰鬥1次","100816","1","0","2","1008","100816"
"4","1004","在HARD3難易度戰鬥1次","100817","1","0","2","1008","100817"
"5","1001","在HARD難易度取得15000分","100818","1","15000","2","1008","100818"
"5","1001","在HARD難易度取得30000分","100819","1","30000","2","1008","100819"
"5","1001","在HARD難易度取得45000分","100820","1","45000","2","1008","100820"
"6","1002","在EXTRA1難易度戰鬥1次","100821","1","0","3","1008","100821"
"6","1003","在EXTRA2難易度戰鬥1次","100822","1","0","3","1008","100822"
"6","1004","在EXTRA3難易度戰鬥1次","100823","1","0","3","1008","100823"
"7","1001","在EXTRA難易度取得20000分","100824","1","20000","3","1008","100824"
"7","1001","在EXTRA難易度取得40000分","100825","1","40000","3","1008","100825"
"7","1001","在EXTRA難易度取得60000分","100826","1","60000","3","1008","100826"
"0","1001","全難易度合計取得10000分","100901","1","10000","0","1009","100901"
"0","1001","全難易度合計取得30000分","100902","1","30000","0","1009","100902"
"0","1001","全難易度合計取得50000分","100903","1","50000","0","1009","100903"
"0","1001","全難易度合計取得70000分","100904","1","70000","0","1009","100904"
"1","1001","全難易度合計取得90000分","100905","1","90000","0","1009","100905"
"1","1001","全難易度合計取得105000分","100906","1","105000","0","1009","100906"
"1","1001","全難易度合計取得120000分","100907","1","120000","0","1009","100907"
"1","1001","全難易度合計取得135000分","100908","1","135000","0","1009","100908"
"2","1002","在NORMAL1難易度戰鬥1次","100909","1","0","1","1009","100909"
"2","1003","在NORMAL2難易度戰鬥1次","100910","1","0","1","1009","100910"
"2","1004","在NORMAL3難易度戰鬥1次","100911","1","0","1","1009","100911"
"3","1001","在NORMAL難易度取得10000分","100912","1","10000","1","1009","100912"
"3","1001","在NORMAL難易度取得20000分","100913","1","20000","1","1009","100913"
"3","1001","在NORMAL難易度取得30000分","100914","1","30000","1","1009","100914"
"4","1002","在HARD1難易度戰鬥1次","100915","1","0","2","1009","100915"
"4","1003","在HARD2難易度戰鬥1次","100916","1","0","2","1009","100916"
"4","1004","在HARD3難易度戰鬥1次","100917","1","0","2","1009","100917"
"5","1001","在HARD難易度取得15000分","100918","1","15000","2","1009","100918"
"5","1001","在HARD難易度取得30000分","100919","1","30000","2","1009","100919"
"5","1001","在HARD難易度取得45000分","100920","1","45000","2","1009","100920"
"6","1002","在EXTRA1難易度戰鬥1次","100921","1","0","3","1009","100921"
"6","1003","在EXTRA2難易度戰鬥1次","100922","1","0","3","1009","100922"
"6","1004","在EXTRA3難易度戰鬥1次","100923","1","0","3","1009","100923"
"7","1001","在EXTRA難易度取得20000分","100924","1","20000","3","1009","100924"
"7","1001","在EXTRA難易度取得40000分","100925","1","40000","3","1009","100925"
"7","1001","在EXTRA難易度取得60000分","100926","1","60000","3","1009","100926"
