bdd5280b2fda127f0a98cdfb8a3ed0be7e4b1ac9230efb6ed68d24c87001cf43,12cda3b652e98faba888d662c70efb9692fedff213eff69cd99d8a5667e9ad1f,84d4d8113d5ad934ffde555d8057f05a08259c7e62415f49e2896a15928a05aa,d68430f31e530b4c6783de6ca5e97e581ae258d4db1cf990d60ed3593d032c58,a906406d695f996940382b8b4bf065d444f3baffc3fae29bf5770d95ddacaacc,0a97798ed9ca0e9706a5fd3ff475afcda0bc12a3a61e7b9c1c1d3f781bc4b512,3de4ef021495f141882ed5d9ae69441e74471c888ffb50606cb5c1d2b7ea25c8,d5a53a969e928e38c83ae9086e54a11e05b68a1295aa7ddb9b98c8ecf1c3f235,587e3b2acc97ac83fd2a0f42e937919e133134fc6d92d2c9a1dd226b799aaf85,258ac719b67443b7a163055ba546a297ba4b8527d864644ad3d2e37f065caa13,f5e27528355b9e90e868de7f6f386a5d91eb49c25c82f42f635356c472a6466f
"4","把所有人都\n變成好吃的布丁喲～♪","11","119931","1","0","0","0.5","1","0","1045"
"","1","93","4","1","","","","","","1046"
"0","psy_miyako_fight_in","3","119931","1","1","0.2","","psy_miyako_fight_loop","0.2","1047"
"0","psy_item00_handsup","3","1","1","1","0.2","","psy_item00_handsup_loop","0.2","1048"
"","","93","1.5","1","","","","","","1049"
"","","91","1045","1","","","","","","1050"
"","0","22","0","1","","","","","","1051"
"100","119931","1","1","2","-200","0","psy_miyako_start","-300","1.7","2001"
"100","106011","1","1","2","-220","1","psy_walk","300","1.7","2002"
"0","11","31","1","2","1","","","0","1","2003"
"101","1","5","1","2","-200","0","psy_smoke_start","-300","1.7","2004"
"-220","185","2","106011","2","0","","","2","","2005"
"","","93","2","2","","","","","","2006"
"0","psy_kyaru_talk_arm_crossed","3","106011","2","1","0","","psy_kyaru_talk_arm_crossed_loop","0.2","2007"
"0","vo_minigame_1008_drama_0305","21","vo_minigame_1008","2","","","","0","","2008"
"5","喂，你，\n幫我隨便挑些適合\n帶給貪吃佩可的點心……","11","106011","2","0","0","0.5","1","0","2009"
"","","91","0","2","","","","","","2010"
"0","vo_minigame_1008_drama_0306","21","vo_minigame_1008","2","","","","0","","2011"
"1","psy_talk_sad","3","106011","2","","","","","0.2","2012"
"7","呃，居然不在。\n聽說那傢伙在這邊工作\n我才來的……話說根本沒人在嘛，\n真是粗心的店家呢。","11","106011","2","0","0","0.5","1","0","2013"
"","1","93","4","2","","","","","","2014"
"1","psy_talk_sad","3","106011","2","","","","","0.2","2015"
"","","91","2013","2","","","","","","2016"
"1","psy_idle_sad","3","106011","2","","","","","0.2","2017"
"0","psy_miyako_appear","3","119931","2","1","0.2","","psy_miyako_thinking4","0.2","2018"
"0","psy_smoke_appear","3","1","2","0","0","","psy_smoke_start","0","2019"
"0","vo_minigame_1008_drama_0301","21","vo_minigame_1008","2","","","","0","","2020"
"4","布丁……布丁……\n要製作究極的布丁好難喲……\n好想要能夠讓人靈光一閃的契機……","11","119931","2","0","0","1","1","0","2021"
"","1","93","1","2","","","","","","2022"
"0","psy_surprise","3","106011","2","1","0.2","","psy_idle_surprise2","0.2","2023"
"","","91","2021","2","","","","","","2024"
"","0","22","0","2","","","","","","2025"
"1","psy_miyako_idle_thinking","3","119931","2","","","","","0.2","2026"
"1","psy_talk_surprise2","3","106011","2","","","","","0.2","2027"
"0","vo_minigame_1008_drama_0307","21","vo_minigame_1008","2","","","","0","","2028"
"6","呀啊！？\n妳突然冒出來是幹什麼呀！","11","106011","2","0","0","0.5","1","0","2029"
"","","91","0","2","","","","","","2030"
"1","psy_idle_surprise2","3","106011","2","","","","","0.2","2031"
"1","psy_miyako_anger1","3","119931","2","","","","","0.2","2032"
"0","vo_minigame_1008_drama_0302","21","vo_minigame_1008","2","","","","0","","2033"
"4","擅自進來的人是妳喲，\n宮子沒有錯。\n不要妨礙宮子來的……嗯？\n妳……","11","119931","2","0","0","1","1","0","2034"
"","1","93","8","2","","","","","","2035"
"1","psy_miyako_thinking2","3","119931","2","","","","","0.2","2036"
"","","91","2034","2","","","","","","2037"
"","0","22","0","2","","","","","","2038"
"1","psy_talk_sad","3","106011","2","","","","","0.2","2039"
"0","vo_minigame_1008_drama_0308","21","vo_minigame_1008","2","","","","0","","2040"
"9","幹、幹什麼……","11","106011","2","0","0","0.5","1","0","2041"
"","","91","0","2","","","","","","2042"
"1","psy_idle_sad","3","106011","2","","","","","0.2","2043"
"1","psy_miyako_run","3","119931","2","","","","","0.2","2044"
"-200","0","2","119931","2","0","","","2","","2045"
"","","93","2","2","","","","","","2046"
"1","psy_miyako_thinking2","3","119931","2","","","","","0.2","2047"
"0","vo_minigame_1008_drama_0303","21","vo_minigame_1008","2","","","","0","","2048"
"5","嗯嗯嗯嗯嗯……\n總覺得妳很美味來的……","11","119931","2","0","0","1","1","0","2049"
"","","91","0","2","","","","","","2050"
"","0","22","0","2","","","","","","2051"
"","","93","0.5","2","","","","","","2052"
"1","psy_talk_sad","3","106011","2","","","","","0.2","2053"
"0","vo_minigame_1008_drama_0309","21","vo_minigame_1008","2","","","","0","","2054"
"4","啥？","11","106011","2","0","0","0.5","1","0","2055"
"","","91","0","2","","","","","","2056"
"1","psy_idle_sad","3","106011","2","","","","","0.2","2057"
"0","vo_minigame_1008_drama_0304","21","vo_minigame_1008","2","","","","0","","2058"
"5","人家要把妳變成布丁喲～～！！","11","119931","2","0","0","0.5","1","0","2059"
"","1","93","0.5","2","","","","","","2060"
"0","psy_miyako_attack_in","3","119931","2","1","0","","psy_miyako_attack_loop","0.2","2061"
"","1","93","0.2","2","","","","","","2062"
"0","psy_surprise","3","106011","2","1","0.2","","psy_idle_surprise2","0.2","2063"
"","","91","2059","2","","","","","","2064"
"","0","22","0","2","","","","","","2065"
"1","psy_talk_surprise2","3","106011","2","","","","","0.2","2066"
"0","vo_minigame_1008_drama_0310","21","vo_minigame_1008","2","","","","0","","2067"
"7","搞、搞什麼呀這間店～～！！","11","106011","2","0","0","0.5","1","0","2068"
"","","91","0","2","","","","","","2069"
"","0","4","106011","2","","","","","","2070"
"1","psy_run_shy","3","106011","2","","","","","0.2","2071"
"1","psy_miyako_attack_loop_move","3","119931","2","","","","","0.2","2072"
"-220","1000","2","106011","2","0","","","3","","2073"
"-220","1000","2","119931","2","0","","","5","","2074"
"","","93","3.5","2","","","","","","2075"
"","0","22","0","2","","","","","","2076"
"","","91","0","2","","","","","","2077"
"100","119931","1","1","3","-150","1","psy_miyako_gasagoso_B","-250","1.65","3001"
"100","105511","1","1","3","-180","1","psy_walk","340","1.7","3002"
"0","11","31","1","3","1","","","0","1","3003"
"101","1","5","1","3","-220","0","psy_smoke_start","-300","1.7","3004"
"-180","225","2","105511","3","0","","","2","","3005"
"","","93","2","3","","","","","","3006"
"1","psy_talk_wish","3","105511","3","","","","","0.2","3007"
"0","vo_minigame_1008_drama_0203","21","vo_minigame_1008","3","","","","0","","3008"
"7","這、這裡就是前輩工作的地方吧？","11","105511","3","0","0","0.5","1","0","3009"
"","","91","0","3","","","","","","3010"
"0","psy_ayumi_kyoro_in","3","105511","3","1","0","","psy_ayumi_kyoro_loop","0.2","3011"
"","","93","1.8","3","","","","","","3012"
"1","psy_talk_joy1","3","105511","3","","","","","0.2","3013"
"0","vo_minigame_1008_drama_0204","21","vo_minigame_1008","3","","","","0","","3014"
"6","哇～好多看起來很美味的甜點\n擺在那邊呢……前輩做的甜點\n是不是也在裡面呢？","11","105511","3","0","0","0.5","1","0","3015"
"","","91","0","3","","","","","","3016"
"1","psy_talk_call","3","105511","3","","","","","0.2","3017"
"0","vo_minigame_1008_drama_0205","21","vo_minigame_1008","3","","","","0","","3018"
"7","那個……請給我一份這個甜點。\n那個～不好意思～\n沒聽到我的聲音嗎？","11","105511","3","0","0","0.5","1","0","3019"
"","1","93","3","3","","","","","","3020"
"0.8","5","12","119931","3","0","0","0","1","0","3021"
"","0","4","119931","3","","","","","","3022"
"1","psy_miyako_idle_thinking","3","119931","3","","","","","0","3023"
"","1","93","1.5","3","","","","","","3024"
"","1","4","119931","3","","","","","","3025"
"1","psy_miyako_gasagoso_B","3","119931","3","","","","","0","3026"
"","1","93","0.5","3","","","","","","3027"
"1","psy_talk_sad","3","105511","3","","","","","0.2","3028"
"","","91","3019","3","","","","","","3029"
"1","psy_talk_wish","3","105511","3","","","","","0.2","3030"
"0","vo_minigame_1008_drama_0206","21","vo_minigame_1008","3","","","","0","","3031"
"6","總、總之我把錢放在這裡了，\n再見！","11","105511","3","0","0","0.5","1","0","3032"
"","1","93","2","3","","","","","","3033"
"1","psy_gasagoso_B2","3","105511","3","","","","","0.2","3034"
"","1","93","1","3","","","","","","3035"
"0","psy_pekori","3","105511","3","1","0.2","","psy_idle_normal","0.2","3036"
"","","91","3032","3","","","","","","3037"
"","0","4","105511","3","","","","","","3038"
"1","psy_run","3","105511","3","","","","","0.2","3039"
"-180","1000","2","105511","3","0","","","3","","3040"
"","","93","3","3","","","","","","3041"
"","","93","0.5","3","","","","","","3042"
"1","psy_miyako_idle_thinking","3","119931","3","","","","","0","3043"
"","","93","2","3","","","","","","3044"
"","0","4","119931","3","","","","","","3045"
"1","psy_miyako_run","3","119931","3","","","","","0.2","3046"
"-165","0","2","119931","3","0","","","2","","3047"
"","","93","2","3","","","","","","3048"
"1","psy_miyako_thinking4","3","119931","3","","","","","0.2","3049"
"0","vo_minigame_1008_drama_0201","21","vo_minigame_1008","3","","","","0","","3050"
"4","……？\n不知不覺出現了錢幣喲！\n剛才明明沒看到來的！\n好可怕！該不會有幽靈吧？","11","119931","3","0","0","0.5","1","0","3051"
"","1","93","4","3","","","","","","3052"
"1","psy_miyako_panic1","3","119931","3","","","","","0.2","3053"
"","","91","3051","3","","","","","","3054"
"","0","22","0","3","","","","","","3055"
"0","psy_miyako_surprise2_in","3","119931","3","1","0","","psy_miyako_surprise2_loop","0.2","3056"
"0","vo_minigame_1008_drama_0202","21","vo_minigame_1008","3","","","","0","","3057"
"4","……！\n突然想到了布丁的靈感喲！\n不過腦海中浮現出的臉，宮子沒有印象。\n這傢伙…………是誰來的？","11","119931","3","0","0","1","1","0","3058"
"","1","93","4","3","","","","","","3059"
"1","psy_miyako_thinking4","3","119931","3","","","","","0.2","3060"
"","","91","3058","3","","","","","","3061"
"","0","22","0","3","","","","","","3062"
"","","93","1","3","","","","","","3063"
"","","91","0","3","","","","","","3064"
"100","119931","1","1","4","-200","0","psy_miyako_start","-300","1.7","4001"
"100","107131","1","1","4","-220","1","psy_walk","300","1.7","4002"
"0","11","31","1","4","1","","","0","1","4003"
"101","1","5","1","4","-200","0","psy_smoke_start","-300","1.7","4004"
"-220","185","2","107131","4","0","","","2","","4005"
"","","93","2","4","","","","","","4006"
"0","psy_talk_doya","3","107131","4","1","0.2","","psy_talk_doya_loop","0.2","4007"
"0","vo_minigame_1008_drama_0405","21","vo_minigame_1008","4","","","","0","","4008"
"6","聽說這間店蔚為話題，\n克莉絲提娜我便來拜訪了唷☆","11","107131","4","0","0","0.5","1","0","4009"
"","","91","0","4","","","","","","4010"
"1","psy_idle_doya","3","107131","4","","","","","0.2","4011"
"1","psy_talk_sad","3","107131","4","","","","","0.2","4012"
"0","vo_minigame_1008_drama_0406","21","vo_minigame_1008","4","","","","0","","4013"
"6","……嗯？這不是沒人在嗎？\n難得我來替慈樂之音\n買點慰勞品。\n喂，有沒有人在啊？","11","107131","4","0","0","0.5","1","0","4014"
"","1","93","6","4","","","","","","4015"
"1","psy_talk_call","3","107131","4","","","","","0.2","4016"
"","","91","4014","4","","","","","","4017"
"1","psy_idle_arm_crossed","3","107131","4","","","","","0.2","4018"
"0","psy_miyako_appear","3","119931","4","1","0.2","","psy_miyako_talk_joy1","0","4019"
"0","psy_smoke_appear","3","1","4","0","0","","psy_smoke_start","0","4020"
"0","vo_minigame_1008_drama_0401","21","vo_minigame_1008","4","","","","0","","4021"
"5","啊！妳是！\n給人家巨大布丁的傢伙來的！\n又要送布丁給宮子了嗎？","11","119931","4","0","0","0.5","1","0","4022"
"","","91","0","4","","","","","","4023"
"","0","22","0","4","","","","","","4024"
"1","psy_miyako_idle","3","119931","4","","","","","0.2","4025"
"1","psy_talk_normal","3","107131","4","","","","","0.2","4026"
"0","vo_minigame_1008_drama_0407","21","vo_minigame_1008","4","","","","0","","4027"
"6","妳是……哦，之前\n在聖誕節有碰過面呢。\n今天我不是聖誕老人，\n而是作為客人過來的。","11","107131","4","0","0","0.5","1","0","4028"
"","","91","0","4","","","","","","4029"
"1","psy_idle_normal","3","107131","4","","","","","0.2","4030"
"1","psy_miyako_sad1","3","119931","4","","","","","0.2","4031"
"0","vo_minigame_1008_drama_0402","21","vo_minigame_1008","4","","","","0","","4032"
"4","人家沒空理不給布丁的人喲。\n老奶奶也不在家，\n快滾吧。","11","119931","4","0","0","0.5","1","0","4033"
"","1","93","5","4","","","","","","4034"
"1","psy_miyako_talk4","3","119931","4","","","","","0.2","4035"
"","","91","4033","4","","","","","","4036"
"","0","22","0","4","","","","","","4037"
"1","psy_miyako_idle2","3","119931","4","","","","","0.2","4038"
"0","psy_ahaha_in","3","107131","4","1","0.2","","psy_ahaha_loop","0.2","4039"
"0","vo_minigame_1008_drama_0408","21","vo_minigame_1008","4","","","","0","","4040"
"5","哈哈哈！\n對我克莉絲提娜竟然如此\n口無遮攔。真是有趣☆","11","107131","4","0","0","0.5","1","0","4041"
"","1","93","1.7","4","","","","","","4042"
"1","psy_talk_joy1","3","107131","4","","","","","0.2","4043"
"","","91","4041","4","","","","","","4044"
"0","psy_talk_doya","3","107131","4","1","0.2","","psy_talk_doya_loop","0.2","4045"
"0","vo_minigame_1008_drama_0409","21","vo_minigame_1008","4","","","","0","","4046"
"6","這下無論如何我都要\n買到妳的甜點了。","11","107131","4","0","0","0.5","1","0","4047"
"","","91","0","4","","","","","","4048"
"1","psy_idle_wish","3","107131","4","","","","","0.2","4049"
"1","psy_miyako_panic1","3","119931","4","","","","","0.2","4050"
"0","vo_minigame_1008_drama_0403","21","vo_minigame_1008","4","","","","0","","4051"
"5","為什麼會變成這樣！？\n趕快回去來的！","11","119931","4","0","0","0.5","1","0","4052"
"","","91","0","4","","","","","","4053"
"","0","22","0","4","","","","","","4054"
"1","psy_miyako_idle_panic","3","119931","4","","","","","0.2","4055"
"0","psy_cris_approach_in","3","107131","4","1","0","","psy_cris_approach_loop","0.2","4056"
"0","vo_minigame_1008_drama_0410","21","vo_minigame_1008","4","","","","0","","4057"
"7","哦？這不是有\n做到一半的布丁嗎？\n嗯……親手製作的慰勞品\n應該也蠻讓人高興的吧。","11","107131","4","0","0","0.5","1","0","4058"
"","1","93","4","4","","","","","","4059"
"0","psy_talk_arm_crossed","3","107131","4","1","0","","psy_talk_arm_crossed_loop","0.2","4060"
"","","91","4058","4","","","","","","4061"
"1","psy_talk_joy1","3","107131","4","","","","","0.2","4062"
"0","vo_minigame_1008_drama_0411","21","vo_minigame_1008","4","","","","0","","4063"
"5","好！我就來做布丁吧！\n妳也來幫忙，\n還我聖誕節的人情吧。","11","107131","4","0","0","0.5","1","0","4064"
"","","91","0","4","","","","","","4065"
"1","psy_idle_joy1","3","107131","4","","","","","0.2","4066"
"1","psy_miyako_anger2","3","119931","4","","","","","0.2","4067"
"0","vo_minigame_1008_drama_0404","21","vo_minigame_1008","4","","","","0","","4068"
"6","為、為什麼會變成那樣──！？","11","119931","4","0","0","0.5","1","0","4069"
"","","93","4","4","","","","","","4070"
"","","91","0","4","","","","","","4071"
"100","119931","1","1","5","-200","0","psy_miyako_start","-300","1.7","5001"
"100","104931","1","1","5","-220","1","psy_walk","300","1.7","5002"
"0","11","31","1","5","1","","","0","1","5003"
"101","1","5","1","5","-200","0","psy_smoke_start","-300","1.7","5004"
"-220","185","2","104931","5","0","","","2","","5005"
"","","93","2","5","","","","","","5006"
"1","psy_talk_wish","3","104931","5","","","","","0.2","5007"
"0","vo_minigame_1008_drama_0504","21","vo_minigame_1008","5","","","","0","","5008"
"5","弟弟和璃乃\n就是在這間甜點店幫忙吧！\n弟弟！姐姐來找你了唷！！","11","104931","5","0","0","0.5","1","0","5009"
"","1","93","4.3","5","","","","","","5010"
"1","psy_talk_joy1","3","104931","5","","","","","0.2","5011"
"","","91","5009","5","","","","","","5012"
"1","psy_idle_joy1","3","104931","5","","","","","0.2","5013"
"0","psy_miyako_appear","3","119931","5","1","0.2","","psy_miyako_talk3","0","5014"
"0","psy_smoke_appear","3","1","5","0","0","","psy_smoke_start","0","5015"
"0","vo_minigame_1008_drama_0501","21","vo_minigame_1008","5","","","","0","","5016"
"5","吵死了喲。\n突然喊什麼喊啊？","11","119931","5","0","0","0.5","1","0","5017"
"","","91","0","5","","","","","","5018"
"","0","22","0","5","","","","","","5019"
"1","psy_miyako_idle","3","119931","5","","","","","0.2","5020"
"1","psy_talk_joy1","3","104931","5","","","","","0.2","5021"
"0","vo_minigame_1008_drama_0505","21","vo_minigame_1008","5","","","","0","","5022"
"6","啊！妳就是宮子吧？\n我有聽璃乃提過妳！\n初次見面，我是弟弟的姐姐唷！","11","104931","5","0","0","0.5","1","0","5023"
"","","93","4","5","","","","","","5024"
"1","psy_talk_wish","3","104931","5","","","","","0.2","5025"
"","","91","5023","5","","","","","","5026"
"","","91","0","5","","","","","","5027"
"1","psy_idle_wish","3","104931","5","","","","","0.2","5028"
"1","psy_miyako_anger3","3","119931","5","","","","","0.2","5029"
"0","vo_minigame_1008_drama_0502","21","vo_minigame_1008","5","","","","0","","5030"
"4","妳是不是那傢伙的姐姐\n都與人家無關喲。\n宮子正在忙著做布丁喲。","11","119931","5","0","0","0.5","1","0","5031"
"","1","93","5","5","","","","","","5032"
"0","psy_miyako_arm_crossed_in","3","119931","5","1]","0","","psy_miyako_arm_crossed_loop","0.2","5033"
"","","91","5031","5","","","","","","5034"
"","0","22","0","5","","","","","","5035"
"1","psy_miyako_arm_crossed_idle","3","119931","5","","","","","0.2","5036"
"1","psy_talk_wish","3","104931","5","","","","","0.2","5037"
"0","vo_minigame_1008_drama_0506","21","vo_minigame_1008","5","","","","0","","5038"
"7","第一次遇到這種無所謂的反應，\n姐姐還是有點受傷的！\n畢竟愛的相反\n聽說就是漠不關心呢！","11","104931","5","0","0","0.5","1","0","5039"
"","","91","0","5","","","","","","5040"
"1","psy_talk_joy2","3","104931","5","","","","","0.2","5041"
"0","vo_minigame_1008_drama_0507","21","vo_minigame_1008","5","","","","0","","5042"
"7","好～！\n我現在馬上來向宮子獻上\n關於弟弟與姐姐，\n愛與命運交織的故事吧！","11","104931","5","0","0","0.5","1","0","5043"
"","","91","0","5","","","","","","5044"
"1","psy_talk_memory","3","104931","5","","","","","0.2","5045"
"0","vo_minigame_1008_drama_0508","21","vo_minigame_1008","5","","","","0","","5046"
"8","首先從命運的相遇聽我娓娓道來……","11","104931","5","0","0","0.5","1","0","5047"
"","","91","0","5","","","","","","5048"
"1","psy_idle_memory","3","104931","5","","","","","0.2","5049"
"1","psy_miyako_sad1","3","119931","5","","","","","0.2","5050"
"0","vo_minigame_1008_drama_0503","21","vo_minigame_1008","5","","","","0","","5051"
"5","（好像有什麼開始了……\n因為很麻煩宮子要消失……）","11","119931","5","0","0","0.5","1","0","5052"
"","","91","0","5","","","","","","5053"
"","0","22","0","5","","","","","","5054"
"0","psy_miyako_hide","3","119931","5","","","","","0.2","5055"
"0","psy_smoke_hide","3","1","5","0","0","","psy_smoke_start","0","5056"
"","","93","2","5","","","","","","5057"
"","","91","0","5","","","","","","5058"
"100","119931","1","1","6","-200","1","psy_miyako_idle_thinking","-300","1.7","6001"
"100","103131","1","1","6","-220","1","psy_walk","300","1.7","6002"
"0","11","31","1","6","1","","","0","1","6003"
"2","17","12","119931","6","0","0","0","0","0","6004"
"-220","185","2","103131","6","0","","","2","","6005"
"","","93","2","6","","","","","","6006"
"1","psy_talk_wish","3","103131","6","","","","","0.2","6007"
"0","vo_minigame_1008_drama_0605","21","vo_minigame_1008","6","","","","0","","6008"
"4","午安，\n我聽說宮子在甜點店幫忙，\n就過來看看了。","11","103131","6","0","0","0.5","1","0","6009"
"","","91","0","6","","","","","","6010"
"1","psy_idle_wish","3","103131","6","","","","","0.2","6011"
"","0","4","119931","6","","","","","","6012"
"0","psy_miyako_surprise2_in","3","119931","6","1","0.2","","psy_miyako_talk_joy2","0.2","6013"
"","","93","1","6","","","","","","6014"
"0","vo_minigame_1008_drama_0601","21","vo_minigame_1008","6","","","","0","","6015"
"5","忍！妳來得正好！\n宮子現在遇到了一點麻煩喲！","11","119931","6","0","0","0.5","1","0","6016"
"","1","93","3","6","","","","","","6017"
"1","psy_miyako_talk2","3","119931","6","","","","","0.2","6018"
"","","91","6016","6","","","","","","6019"
"","0","22","0","6","","","","","","6020"
"1","psy_miyako_idle_sad","3","119931","6","","","","","0.2","6021"
"1","psy_talk_sad","3","103131","6","","","","","0.2","6022"
"0","vo_minigame_1008_drama_0606","21","vo_minigame_1008","6","","","","0","","6023"
"6","怎麼了嗎？\n啊，難道妳把要賣的布丁\n不小心吃掉了嗎？\n那麼我們一起道歉吧。","11","103131","6","0","0","0.5","1","0","6024"
"","","91","0","6","","","","","","6025"
"1","psy_idle_sad","3","103131","6","","","","","0.2","6026"
"1","psy_miyako_panic3","3","119931","6","","","","","0.2","6027"
"0","vo_minigame_1008_drama_0602","21","vo_minigame_1008","6","","","","0","","6028"
"3","不是啦！宮子現在打算做出\n究極的布丁喲！\n不過，想不到什麼\n好點子……","11","119931","6","0","0","0.5","1","0","6029"
"","1","93","5.5","6","","","","","","6030"
"1","psy_miyako_sad2","3","119931","6","","","","","0.2","6031"
"","","91","6029","6","","","","","","6032"
"","0","22","0","6","","","","","","6033"
"1","psy_miyako_idle_sad","3","119931","6","","","","","0.2","6034"
"0","psy_surprise","3","103131","6","1","0.2","","psy_talk_surprise1","0.2","6035"
"0","vo_minigame_1008_drama_0607","21","vo_minigame_1008","6","","","","0","","6036"
"6","宮子……自己……\n做布丁……","11","103131","6","0","0","0.5","1","0","6037"
"","","91","0","6","","","","","","6038"
"1","psy_idle_surprise1","3","103131","6","","","","","0.2","6039"
"1","psy_miyako_talk2","3","119931","6","","","","","0.2","6040"
"0","vo_minigame_1008_drama_0603","21","vo_minigame_1008","6","","","","0","","6041"
"5","妳怎麼了？","11","119931","6","0","0","0.5","1","0","6042"
"","","91","0","6","","","","","","6043"
"","0","22","0","6","","","","","","6044"
"1","psy_miyako_idle","3","119931","6","","","","","0.2","6045"
"1","psy_talk_joy1","3","103131","6","","","","","0.2","6046"
"0","vo_minigame_1008_drama_0608","21","vo_minigame_1008","6","","","","0","","6047"
"5","呵呵，不，沒事。\n雖然不知道我能不能派上用場，\n我會盡全力幫忙的。","11","103131","6","0","0","0.5","1","0","6048"
"","1","93","4","6","","","","","","6049"
"1","psy_talk_wish","3","103131","6","","","","","0.2","6050"
"","","91","6048","6","","","","","","6051"
"1","psy_idle_wish","3","103131","6","","","","","0.2","6052"
"1","psy_miyako_joy1","3","119931","6","","","","","0.2","6053"
"0","vo_minigame_1008_drama_0604","21","vo_minigame_1008","6","","","","0","","6054"
"5","謝謝妳喲！\n只要忍跟宮子一起就是最強的！\n絕對能夠做出\n好吃的布丁喲！","11","119931","6","0","0","0.5","1","0","6055"
"","1","93","5","6","","","","","","6056"
"0","psy_miyako_guts1_in","3","119931","6","1","0","","psy_miyako_guts1_loop","0.2","6057"
"","","91","6055","6","","","","","","6058"
"","0","22","0","6","","","","","","6059"
"","","93","1.5","6","","","","","","6060"
"","","91","0","6","","","","","","6061"
"100","119931","1","1","7","-200","0","psy_miyako_idle","-200","1.7","7001"
"100","1","5","1","7","-220","0","psy_fairy_idle","125","1.7","7002"
"0","11","31","1","7","1","","","0","1","7003"
"","","93","2","7","","","","","","7004"
"1","psy_fairy_talk","3","1","7","","","","","0.2","7005"
"0","vo_minigame_1008_drama_9902","21","vo_minigame_1008","7","","","","0","","7006"
"3","啾啾！","11","1","7","0","0","0.5","1","0","7007"
