194da19eb7f410061482e83bb03ed6d394d0ff0f2bd46a0ad48cff047cdabf30,2bfe9cf158884fe62f9177d675a290209db1f0f31c0349ae6698a2edbd5c449f,5f862ea1dcbf5c2c85c68b1a9f8b8d95e8d835fc2037baa95f889fac9f97ee08,5514b0c135fee233cc0ae349b00a25c8a505490c4d51e473b75b5bed6df06581,bb907b78af71c68b957488f006bb9dbec5a63c558584524b8e1aabdcd13b564e,67daafbee46522994b79584fe93662b864e362e66da6340f9024890df3fc7b05,6ed526ce7181f566613c725c0d7616230aecd0d288fd2a1fa796d40f15b70e38,6443c6857b1eb38ba304ff0361b3691a239f66f221eb157b9f94de76cbe00a62,43d33122d8722fe391dd8438b5bb7b2292c9838315ef9846b796e9910312e7a0,866d8bff7bed2cca0772b355d7b6c3873c5b6e3cba314f9495cf7e9b13621e39,395f515bc5ee215c7acec4484e14cc6dd0e4add177de9dc1d46c1ecb6c9fed7c,5451aa52b30f55e5d23c2d3be75d5fba1c57840030e556e5f7f7a889e20610d7,db80b1471317706a317bf7db00a8c085fa7e0dae47811ce45e577b7297cfc224,717920e103158c31530510f1f286c59bbb60c6d36ef6b9bfffd20622e7665ad1,84f7fe288ce241f460dbd1903a76c11d6e5bbffefde2193c55c2358852cd1708,1ef6e2412344011222a739c440ce7d119e78f890bf49aefc3db94a131b978a91,5d9c9488f501fd51c5ffd915d21142ed708e7eb0ce08c3aa39d80788b27014e7,b2c044610eafce2a67c6c75afa831d3c9093f55efe2ee0c1cc296adc3eca4457,18c0edaea3fa718f8d79df6fdc3978846dc6626f834a3bf0afc9d418d59a601d,1161667cb00d58e99dbb6d50798ec7130d1375745c65c0a0800c2c36449a7b4c
"1","不死鳥之終結","6","0","1","1018","6","19981","32066","32080","這個的名稱是什麼？","不死鳥之終結","「咲戀（★6）」的必殺技。","40165","1","27515","6","不死鳥終結","6","6"
"2","伊麗莎白聯合攻擊","6","0","1","1019","6","20234","32879","21512","這個的名稱是什麼？","伊麗莎白聯合攻擊","「真陽（★6）」的必殺技。","33678","1","40599","6","伊麗莎聯合","6","6"
"2","宇宙藍色行星","6","0","1","1020","6","23431","34892","26143","這個的名稱是什麼？","宇宙藍色行星","「鏡華（★6）」的必殺技。","34253","1","23449","6","宇宙藍行星","6","6"
"2","噗吉旋風全壘打","6","0","1","1021","6","22103","22744","25171","這個的名稱是什麼？","噗吉旋風全壘打","「綾音（★6）」的必殺技。","20840","1","21513","6","噗吉全壘打","6","6"
"1","天樓霸斷劍","6","0","1","1022","6","22825","26039","21133","這個的名稱是什麼？","","「矛依未」的必殺技。","38712","1","27155","6","天樓霸斷劍","6","6"
"1","切嚕切嚕☆大滅絕","6","0","1","1023","6","22165","28357","32085","這個的名稱是什麼？","切嚕切嚕☆大滅絕","「琪愛兒」的必殺技。","22823","1","20999","6","嚕切大滅絕","6","6"
"2","安全撤離路線","6","0","2","1067","6","20840","36335","32218","這個的名稱是什麼？","安全撤離路線","登山時，改變預定行程後用以下山的路徑。","38626","1","25764","6","全撤離路線","6","6"
"3","有金屬爪的鞋子","6","0","2","1068","6","37329","38795","23376","這是什麼？","有金屬爪的鞋子","請解釋「冰爪鞋套」","29226","1","23660","6","金屬爪鞋子","6","6"
"2","3000M以上的山","1","0","2","1070","1","51","48","77","這是什麼？","3000M以上的山","山岳分級，請解釋「高山」","48","1","48","1","3000M","2","1"
"2","進行中長距離的走路鍛鍊","6","0","2","1071","6","20013","38626","30340","這是什麼？","進行中長距離的走路鍛鍊","請解釋「遠足」","36317","1","38263","6","中長距離的","6","6"
"3","手臂在水中","6","0","2","1075","6","25163","27700","20013","這是什麼？","","划水是運用□□□□□的合理動作來產生推進速度的技能，是游泳的重點技術環節","22312","1","33218","6","手臂在水中","6","6"
"1","冰上西洋棋","6","0","2","1076","6","20912","27915","26827","這個的名稱是什麼？","","冰壺是一種冬季運動，因其高戰略性，也被稱為□□□□□","35199","1","19978","6","冰上西洋棋","6","6"
"1","110米跨欄⇒鐵餅⇒撐桿跳⇒標槍⇒1500米跑步","6","0","2","1077","6","25744","27161","27085","這個的名稱是什麼？","110米跨欄⇒鐵餅⇒撐桿跳⇒標槍⇒1500米跑步","男子十項全能第二天比賽順序為","36339","1","26751","6","撐桿跳標槍","6","6"
"1","投技、固技、當身技","6","0","2","1078","6","22266","36523","25216","這個的名稱是什麼？","投技、固技、當身技","柔道分為三種技巧","30070","1","25216","6","固技當身技","6","6"
"1","逆時針方向","6","0","2","1079","6","36870","26041","21521","這個的名稱是什麼？","","棒球的打擊手將球擊出後，採□□□□□，從本壘起跑。","37341","1","26178","6","逆時針方向","6","6"
"1","十名守門員","6","0","2","1080","6","21313","38272","21729","這個的名稱是什麼？","","在標準的足球比賽中，兩隊各派十一名球員參賽，裡面包括□□球員與一名□□□。","23432","1","21517","6","十名守門員","6","6"
"2","技術性犯規","6","0","2","1081","6","25216","29359","35215","這個的名稱是什麼？","","籃球犯規之一。某一方球員，用語言或動作挑逗對手、包括恐嚇、威脅對手會稱為：","24615","1","34899","6","技術性犯規","6","6"
"1","發球、接發球、舉球、扣球、攔網、防守","6","0","2","1082","6","25509","25876","32178","這個的名稱是什麼？","發球、接發球、舉球、扣球、攔網、防守","排球的六種技術","29699","1","30332","6","接發球攔網","6","6"
"1","運動員宣誓","6","0","2","1083","6","36939","23459","35475","這個的名稱是什麼？","","在運動會的開幕典禮上，會有選手代表出來宣讀承諾","21729","1","21205","6","運動員宣誓","6","6"
"1","蹲踞式起跑","6","0","2","1085","6","36466","36215","36305","這個的名稱是什麼？","","在陸上競技或游泳中，於起跑時以上身低伏的姿勢出發。","24335","1","36382","6","蹲踞式起跑","6","6"
"3","團體資格賽","6","0","2","1086","6","22296","26684","36093","這個的名稱是什麼？","","體操有分團體與個人資格賽，計分方式為6 – 5 – 4 的是屬於哪一種","36039","1","39636","6","團體資格賽","6","6"
"2","海豚式打腿","6","0","2","1095","6","28023","25171","33151","這個的名稱是什麼？","","游泳時腳不胡亂擺動，而是雙腳同時用力踢水。近似於某種動物的游泳方式。另一種說法為海豚踢","24335","1","35930","6","海豚式打腿","6","6"
"3","日和燃燒衝擊","6","1096","1","1096","6","21644","34909","25802","這個的名稱是什麼？","日和燃燒衝擊","「日和（★6）」的必殺技。","29138","1","29123","6","和燃燒衝擊","6","6"
"2","初音☆消失球","6","1099","1","1099","6","21021","22833","29699","這個的名稱是什麼？","初音☆消失球","小遊戲「 美里的全壘打訓練場」中投手「初音」所使用的消失的魔球。","28040","1","38899","6","初音消失球","6","6"
"2","昇龍終結球","6","1102","1","1100","6","26119","32080","29699","這個的名稱是什麼？","","小遊戲「 美里的全壘打訓練場」中投手「嘉夜」所使用的燃燒的魔球。","32066","1","40845","6","昇龍終結球","6","6"
"1","超人氣名模","6","0","1","1101","6","36229","21517","27169","這個的名稱是什麼？","","小遊戲「 美里的全壘打訓練場」中「鈴奈」受社員們愛戴的□□□超級□□。","27683","1","20154","6","超人氣名模","6","6"
"2","艾爾皮斯島","6","0","1","1102","6","33406","26031","23798","這個的名稱是什麼？","","小遊戲「 大激戰！龍人們的接龍競賽」是在哪一個島舉行？","30382","1","29246","6","艾爾皮斯島","6","6"
"3","西洋棋拳擊","6","0","2","1104","6","35199","25331","25802","這個的名稱是什麼？","","同時比拚精神與肉體強度的競技。交互進行西洋棋與某種運動。","26827","1","27915","6","西洋棋拳擊","6","6"
"2","發球局2分","6","0","2","1105","1","30332","50","20998","這個的名稱是什麼？","","網球一局比賽只有一名球員發球，稱為該球員的「□□□」，率先贏得至少 4 分並多出對手至少 □□ 的運動員贏得一局。","23616","1","29699","6","發球局2分","6","6"
"3","塑膠製薄板","6","0","2","1106","6","22609","34180","26495","這個的名稱是什麼？","","在美式足球的護目鏡裡，為了保護眼睛而裝在頭盔面罩上的一種材料。","35069","1","33184","6","塑膠製薄板","6","6"
"1","美式橄欖球","6","0","2","1107","6","32654","27414","29699","這個的名稱是什麼？","","美式足球的另一種名稱。","27204","1","24335","6","美式橄欖球","6","6"
"2","24231","1","0","2","1115","1","50","51","49","這個的名稱是什麼？","","籃球比賽中，每隊要在□□秒內進攻，投籃成功的話一般是□分，如果是在三分線以外投籃的話，就會得到□分，而在罰球情況下成功的會有□分。","50","1","52","1","24231","1","1"
"3","地圖指南針","6","0","2","1116","6","22320","21335","37341","這個的名稱是什麼？","地圖指南針","野外定向是利用□□與□□□，於限時內找出預設的控制點。","25351","1","22294","6","地圖指南針","6","6"
"3","501規則","1","0","2","1117","6","53","35215","21063","這個的名稱是什麼？","","現在飛鏢比賽最常見的規則，也是飛鏢世錦賽的規則","49","1","48","1","501規則","6","1"
"2","BOGEY","2","0","2","1120","2","66","69","89","這個的名稱是什麼？","","高爾夫的得分名稱，比標準桿多一桿。(請用英文回答)","71","1","79","2","BOGEY","2","2"
"2","提前結束比賽","6","0","2","1121","6","21069","27604","36093","這個的名稱是什麼？","提前結束比賽","意指棒球比賽因遭遇惡劣天候或比分差距過大等情況時，於中途提前結束。","26463","1","32080","6","前結束比賽","6","6"
"1","龍捲風式投法","6","0","2","1122","6","40845","24335","25237","這個的名稱是什麼？","龍捲風式投法","棒球的投球方式之一。大幅扭轉身體投球的動作令人聯想到龍捲風。","39080","1","25458","6","龍捲風式投","6","6"
"1","自由式滑雪","6","0","2","1123","6","33258","28369","38634","這個的名稱是什麼？","自由式滑雪","滑雪的一種。運動員使用滑雪板和雪杖於特定的雪場上做出指定和自選的動作","24335","1","30001","6","自由式滑雪","6","6"
"1","戰鬥競技場","6","0","1","1127","6","25136","25216","22580","這個的名稱是什麼？","戰鬥競技場","在《超異域公主連結Re:Dive》中，自己可以組成1支隊伍，與其他玩家設定好的1支隊伍進行戰鬥。於戰鬥中取勝後，可提升自己的排名","31478","1","39717","6","戰鬥競技場","6","6"
"1","公主競技場","6","0","1","1130","6","20844","25216","22580","這個的名稱是什麼？","公主競技場","在《超異域公主連結Re:Dive》中，自己可以組成3支隊伍，與其他玩家設定好的3支隊伍進行戰鬥。於戰鬥中取勝後，可提升自己的排名","31478","1","20027","6","公主競技場","6","6"
"2","TP上升(或下降)量","2","0","2","1131","6","84","21319","37327","這個的名稱是什麼？","TP上升(或下降)量","在《超異域公主連結Re:Dive》的戰鬥中，和「TP」有莫大關聯的能力。","19978","1","80","6","TP上升量","6","2"
"1","Table Tennis","3","0","2","1132","3","84","108","101","這個的名稱是什麼？","Table Tennis","「棒球」是「Baseball」。那麼「桌球」是？","98","1","97","3","Table","3","2"
"3","上旋球打法","6","0","2","1134","6","19978","25171","27861","這個的名稱是什麼？","","什麼樣的打法的桌球拍正反兩面都會使用反膠，比較容易打旋轉球","29699","1","26059","6","上旋球打法","6","6"
"1","大前鋒中鋒","6","0","2","1136","6","22823","20013","37586","這個的名稱是什麼？","","籃球位置有五個。控球後衛、得分後衛、小前鋒、□□□與□□","37586","1","21069","6","大前鋒中鋒","6","6"
"3","蛋頭、小平頭、中平頭","6","0","2","1138","6","34507","24179","38957","這個的名稱是什麼？","蛋頭、小平頭、中平頭","羽球球拍分為三種。","23567","1","38957","6","蛋頭小平頭","6","6"
"2","克莉絲提娜","6","0","1","1140","6","20811","25552","23068","這個的名稱是什麼？","克莉絲提娜","會使用必殺技「亂數聖域」的角色。","32114","1","33673","6","克莉絲提娜","6","6"
"2","最大心跳率","6","0","2","1141","6","26368","36339","29575","這個的名稱是什麼？","","在進行有氧運動時，心跳須達到□□□□□的65%到85%區間，持續至少20分鐘，才是有效的有氧運動。","24515","1","22823","6","最大心跳率","6","6"
"2","極度的呼吸與身體鍛鍊","6","0","2","1142","6","26997","36523","39636","這個的名稱是什麼？","極度的呼吸與身體鍛鍊","哈達瑜珈是最常見的瑜珈。它是以□□□呼吸與□□鍛鍊為主","30340","1","24230","6","極度的身體","6","6"
"1","阻力帶訓練","6","0","2","1146","6","38459","35347","32244","這個的名稱是什麼？","","使用阻力帶進行重量訓練稱為？","24118","1","21147","6","阻力帶訓練","6","6"
"2","尼泊爾廓爾喀彎刀","6","0","2","1151","6","23612","24398","20992","這個的名稱是什麼？","尼泊爾廓爾喀彎刀","世界歷史十大名刀排行第四。","29246","1","27850","6","尼泊爾彎刀","6","6"
"2","進攻方提前移動","6","0","2","1153","6","36914","25552","21069","這個的名稱是什麼？","進攻方提前移動","美式足球常見犯規之一。進攻隊伍的隊員在開球前移動。","26041","1","25915","6","進攻方提前","6","6"
"3","十一人制與九人制","6","0","2","1157","6","21313","20061","20154","這個的名稱是什麼？","十一人制與九人制","雙人跳水的評分裁判分為？","20154","1","19968","6","十一人九人","6","6"
"1","似似花（新年）","6","0","1","1164","6","20284","26032","24180","這個的名稱是什麼？","似似花（新年）","使用必殺技「新年稜鏡」的角色","33457","1","20284","6","似似花新年","6","6"
"3","咲戀（聖誕節）","6","0","1","1166","6","21682","35477","31680","這個的名稱是什麼？","咲戀（聖誕節）","使用必殺技「庭園之盾」的角色","32854","1","25088","6","咲戀聖誕節","6","6"
"2","噗吉全力揮擊","6","0","1","1168","6","21513","25582","25802","這個的名稱是什麼？","噗吉全力揮擊","在【美里的夏日聲援！追夢的盛夏棒球隊】的劇情裡，綾音每次進行打擊時會喊的口號是？","21147","1","20840","6","吉全力揮擊","6","6"
"1","BB槍=BB Guns","2","0","2","1170","3","66","117","110","這個的名稱是什麼？","BB槍=BB Guns","「BB槍」的英文稱呼。","71","1","66","2","BBGun","3","2"
"1","可可蘿（公主）","6","0","1","1171","6","21487","20844","20027","這個的名稱是什麼？","可可蘿（公主）","使用必殺技「極光聖界」的角色","34367","1","21487","6","可可蘿公主","6","6"
"2","挑釁=Provocative","3","1172","1","1172","3","80","118","111","這個的名稱是什麼？","挑釁=Provocative","在《超異域公主連結Re:Dive》的戰鬥中，此圖示所代表的狀態異常的名稱。（請用英文作答）","111","1","114","3","Provo","3","2"
"2","物理吸收護盾","6","1173","1","1173","6","29289","25910","35703","這個的名稱是什麼？","物理吸收護盾","在《超異域公主連結Re:Dive》的戰鬥中，此圖示所代表的狀態異常的名稱。","21560","1","29702","6","物理吸收護","6","6"
"3","劍聖之天賦","6","0","1","1174","6","21133","22825","36070","這個的名稱是什麼？","劍聖之天賦","「吉塔（★6）」的EX技能。戰鬥開始時，大幅度提升自己的物理攻擊力。","20043","1","32854","6","劍聖之天賦","6","6"
"2","融心惡魔的魅惑","6","0","1","1175","6","34701","39764","30340","這個的名稱是什麼？","融心惡魔的魅惑","「茜里（★6）」的必殺技。","24801","1","24515","6","融心惡魔的","6","6"
"1","MULTI TARGETS","2","1176","1","1176","2","77","84","73","這個的名稱是什麼？","MULTI TARGETS","《超異域公主連結Re:Dive》\n的戰鬥用語之一。","76","1","85","2","MULTI","2","2"
"3","開放式水肺","6","0","2","1178","6","38283","27700","32954","這個的名稱是什麼？","開放式水肺","關於水肺潛水，潛水者通過呼吸調節器從壓縮氣瓶中呼吸，廢氣直接排放在水中。","24335","1","25918","6","開放式水肺","6","6"
"1","黑白相間與八乘八網格","6","0","2","1179","6","40657","20056","20843","這個的名稱是什麼？","黑白相間與八乘八網格","西洋棋的棋盤是由64個□□相間與□□□網格組成。","20843","1","30333","6","黑白八乘八","6","6"
"2","日本武士刀","6","0","2","1180","6","26085","22763","20992","這個的名稱是什麼？","","世界歷史十大名刀排行第二。","27494","1","26412","6","日本武士刀","6","6"
"2","雙手向前翻","6","0","2","1181","6","38617","21069","32763","這是什麼？","雙手向前翻","跑酷的技能：護身，是以雙腳著地後，用□□□□□滾的動作","21521","1","25163","6","雙手向前翻","6","6"
"3","游泳⇒自行車⇒長跑","6","0","2","1182","6","28216","34892","36554","這是什麼？","游泳⇒自行車⇒長跑","如何將連續進行3種運動的「鐵人三項」按照項目的順序來排列？","33258","1","27891","6","游泳自行車","6","6"
"2","SPARE","2","0","2","1183","2","83","82","69","這個的名稱是什麼？","","為保齡球用語，第一球沒有全倒，第二球全部擊倒。(請用英文作答)","65","1","80","2","SPARE","2","2"
"2","TURKEY","2","0","2","1184","2","85","69","89","這個的名稱是什麼？","TURKEY","為保齡球用語，連續三次全倒。(請用英文作答)","75","1","82","2","URKEY","2","2"
"2","突破僵局制","6","0","2","1185","6","31361","23616","21046","這個的名稱是什麼？","突破僵局制","在棒球等運動中，若是陷入同分的膠著時，為了得到結果所適用的特別規則。","20725","1","30772","6","突破僵局制","6","6"
"2","STRIKE","2","0","2","1186","2","84","75","69","這個的名稱是什麼？","STRIKE","為保齡球用語，第一球全倒。(請用英文作答)","73","1","82","2","TRIKE","2","2"
"1","撞球桿撞擊母球","6","0","2","1187","6","25758","27597","29699","這個的名稱是什麼？","撞球桿撞擊母球","撞球是使用□□□來撞擊□□。","26751","1","29699","6","撞球桿母球","6","6"
"2","Double Bogey","3","0","2","1188","3","111","108","101","這個的名稱是什麼？","Double Bogey","在高爾夫中，用了比標準桿數多1次才打完為「柏忌」。那多出2次是什麼？(請用英文作答)","98","1","117","3","ouble","3","3"
"2","咬鉤指示器","6","0","2","1189","6","21676","31034","22120","這個的名稱是什麼？","","釣魚工具的一種。任何負責將魚鉤的水下狀態變化傳遞到水面讓釣者能察覺的漁具。","25351","1","37476","6","咬鉤指示器","6","6"
"1","沙子的大袋子","6","0","2","1190","6","27801","34955","23376","這個的名稱是什麼？","沙子的大袋子","在拳擊等運動中，沙包用於打拳訓練，裝滿□□的□□□。","22823","1","23376","6","沙子大袋子","6","6"
"2","一次起跳失敗","6","0","2","1191","6","19968","22833","25943","這個的名稱是什麼？","一次起跳失敗","跳遠比賽中，賽次每個人只有三次試跳機會，每次起跳都要準確地在起跳線完成，如果起跳時超越了起跳線，則被判罰為？","36215","1","27425","6","一次起失敗","6","6"
"2","旋轉和連接步","6","0","2","1192","6","26059","25509","27493","這個的名稱是什麼？","旋轉和連接步","花式滑冰指定動作的短曲，包括跳躍、□□和□□□。","36899","1","36681","6","旋轉連接步","6","6"
"2","混凝土或木頭","6","0","2","1193","6","28151","26408","38957","這個的名稱是什麼？","混凝土或木頭","雪橇的滑道是由□□□或□□所建成","22303","1","20957","6","混凝土木頭","6","6"
"2","滑行的金屬","6","0","2","1194","6","28369","37329","23660","這個的名稱是什麼？","","比賽用的雪橇為木製，前方沒有舵板，在後方也沒有制動閘，只於底部有一對用以□□□□□滑板。","30340","1","34892","6","滑行的金屬","6","6"
"2","仰臥推舉、深蹲、硬舉","6","0","2","1195","6","33253","28145","36466","這個的名稱是什麼？","仰臥推舉、深蹲、硬舉","重量訓練清單中的三巨頭有仰□□□、□□、硬舉。","33289","1","25512","6","臥推舉深蹲","6","6"
"2","GOOFY","2","0","2","1196","2","71","70","89","這個的名稱是什麼？","","單板滑雪中，左腳踩在前方滑稱為Regular stance，那反過來稱為什麼？ (請用英文作答)","79","1","79","2","GOOFY","2","2"
"1","水靈破壞者","6","1197","1","1197","6","27700","22750","32773","這個的名稱是什麼？","","水之精靈注入精靈之力的斧頭。","30772","1","38728","6","水靈破壞者","6","6"
"1","皮革工作服","6","1198","1","1198","6","30382","20316","26381","這個的名稱是什麼？","","新人冒險者身上得攜帶的物品非常多，所以這些口袋對他們來說非常重要。","24037","1","38761","6","皮革工作服","6","6"
"3","SMG=Sub machine gun","3","0","2","1199","3","109","104","105","這個未經省略的全稱是？","SMG=Sub machine gun","SMG(衝鋒槍)的全名。","99","1","97","3","machi","3","3"
"3","SR=Snipe rifle","3","0","2","1200","3","83","112","101","這個未經省略的全稱是？","SR=Snipe rifle","SR(狙擊槍)的全名。","105","1","110","3","Snipe","3","2"
"1","Snowboard","3","0","2","1201","3","98","114","100","這個的名稱是什麼？","Snowboard","滑雪有兩種，一種叫做「雙板(ski)」，另一種叫做？ (請用英文作答)","97","1","111","3","board","3","3"
"1","腳尖和腳跟敲","6","0","2","1202","6","33139","36319","25970","這個的名稱是什麼？","腳尖和腳跟敲","踢踏舞是使用專用的鞋子，一邊用□□和□□□響地板一邊跳舞。","33139","1","23574","6","腳尖腳跟敲","6","6"
"2","Medical Officer","3","0","2","1203","3","101","99","97","這個的名稱是什麼？","Medical Officer","軍隊中「軍醫」的英文稱呼是？","105","1","100","3","edica","3","3"
"2","斷糧食戰術","6","0","2","1204","6","26039","25136","34899","這個的名稱是什麼？","斷糧食戰術","在戰爭中，包圍敵人的城，等待對方食物耗盡並投降的戰法。","39135","1","31975","6","斷糧食戰術","6","6"
"3","LMG=Light machine gun","3","0","2","1205","3","76","104","116","這個的名稱是什麼？","LMG=Light machine gun","LMG(輕機槍)的全名。","103","1","105","3","Light","3","2"
"2","跑者愉悅感","6","0","2","1206","6","36305","24709","24863","這個的名稱是什麼？","","跑步持續跑了一定程度的時間後，就會暫時產生的一種快感。","24841","1","32773","6","跑者愉悅感","6","6"
"2","格鬥技=Martial arts","3","0","2","1207","3","97","105","97","這個的名稱是什麼？","格鬥技=Martial arts","","116","1","114","3","artia","3","3"
"2","Struck","3","0","2","1208","3","83","117","99","這個的名稱是什麼？","Struck","比賽棒球投球準確度的遊戲。要瞄準並擊中寫有1到9的數字的板子。(請用英文作答)","114","1","116","3","Struc","3","2"
"2","百華白櫻刀","6","1209","2","1209","6","30334","27387","20992","這個的名稱是什麼？","","具備有映照潔白、盛開的櫻花般美麗的刀。","30333","1","33775","6","百華白櫻刀","6","6"
"2","夏日青狼之擊","6","0","1","1210","6","22799","29436","25802","這個的名稱是什麼？","夏日青狼之擊","「真琴（夏日）」的必殺技。","38738","1","26085","6","夏日青狼擊","6","6"
"2","雪上馬拉松","6","0","2","1211","6","38634","25289","26494","這個的名稱是什麼？","","越野滑雪因需要大量體力，所以又被稱為：","39340","1","19978","6","雪上馬拉松","6","6"
"1","速度和彈跳力","6","0","2","1212","6","36895","36339","21147","這個的名稱是什麼？","速度和彈跳力","跳台滑雪的運動員需藉由□□和□□□沿跳台下滑。","24392","1","24230","6","速度彈跳力","6","6"
"1","五人制足球","6","0","2","1213","6","20116","36275","29699","這個的名稱是什麼？","","由足球衍生出來的運動，是室內五對五的足球。","21046","1","20154","6","五人制足球","6","6"
"2","夏日閃耀之力","6","0","2","1214","6","22799","32768","21147","這個的名稱是什麼？","夏日閃耀之力","「咲戀（夏日）」的必殺技。","38275","1","26085","6","夏日閃耀力","6","6"
"1","橡膠體操球","6","0","2","1215","6","27233","25805","29699","這個的名稱是什麼？","","韻律體操的球操是使用甚麼球？","39636","1","33184","6","橡膠體操球","6","6"
"1","TOTAL DAMAGE","2","0","1","1216","2","84","65","76","這個的名稱是什麼？","TOTAL DAMAGE","《超異域公主連結Re:Dive》的戰鬥用語之一。通常顯示於王關的左上方","84","1","79","2","TOTAL","2","2"
"2","神盾戰鬥系統","6","0","2","1217","6","31070","39717","31995","這個的名稱是什麼？","神盾戰鬥系統","某種系統名稱。它的核心是一套電腦化的指揮決策與武器管制系統。英文名稱為Aegis combat system","25136","1","30462","6","神盾戰鬥系","6","6"
"3","宮子（聖誕節）","6","0","1","1218","6","23470","35477","31680","這個的名稱是什麼？","宮子（聖誕節）","在提升物理攻擊力和物理爆擊率的布丁能量領域內也會強化自己的技能，使出突襲的角色。","32854","1","23376","6","宮子聖誕節","6","6"
"2","全像武器照準器","6","0","2","1219","6","20840","28310","22120","這個的名稱是什麼？","全像武器照準器","用槍時，為求瞄準而使用的一種「瞄準裝置」。使用了所謂的「全像投影」技術。","29031","1","20687","6","全像照準器","6","6"
"2","聲音抑制器","6","0","2","1220","6","32882","21046","22120","這個的名稱是什麼？","","經常出現在諜報電影裡，為消除槍聲而裝設在槍口的裝置。也被稱作「消音器」。","25233","1","38899","6","聲音抑制器","6","6"
"1","拉比林斯達","6","0","1","1221","6","25289","26031","36948","這個的名稱是什麼？","","使用必殺技「物件創造」的角色。","26519","1","27604","6","拉比林斯達","6","6"
"1","經驗值冒險","6","0","1","1222","6","32147","20882","38570","這個的名稱是什麼？","","在《超異域公主連結Re:Dive》中，可獲得大量的EXP藥水，一天可挑戰的次數為2次。","20540","1","39511","6","經驗值冒險","6","6"
"1","純真童話杖","6","1223","1","1223","6","32020","35441","26454","這個的名稱是什麼？","","「真步」的專用裝備名稱。","31461","1","30495","6","純真童話杖","6","6"
