af05a06a1d70baa443ea29af97ca9d0d7673001dac528437de4c325951c77ceb,3284db32015a314f516dbe6591a09300ede203845356dda71128754b57ff082b,8f944ac53b2893ac2741880affe46fd1e0ee2cff9ccbc772b07d4649afab3170,52d6a3394adeca681617f25009b98d53e26e99acae972b75a6929bda46e72c48,8e366473f988a461087b9353d019c74f12742e37d8a95ae47ebc9035afcbd3c8,59bd9fbcbf3c2909e90c31051a29087f0567bb7b0b47738d1412133c17041238,24c9212f021603f217db9c648a19b0cd7132996d7523bc66bf71b1851437270e,120c0672f0772a8c17f6997a81cc7daf43514a802c0a371ac26dd86b52bf5e30,8055d33517ee99ead809a67f883a80183f00af93c9caeeebb39c96771dfaf893,c1abaa6ce45d85da314573232111b87ac5ef12f6040e42e35dac270988dd6087,a22828b337c9521339fa2762f066b0c4fdfa24222c1c357e85c649bef3919c6e,452469415c44e2dce7b892423cbab701d9a5c91a0e087b9d147dead20381c270,911aad28f7125307c1002b68a1aa9d52cf2af2f72774777dd259d21c5e22cc5b,de61cc844e369fea950667a6d1b7719595b0478299f559d71aec59786842c813,aea907adfef5ed28e4e7dcd426f1b8854b76b81b750e45b9c72eaecf71e05320,05dc64b138a387ff86795a681288fce94197469c99bab2fc08a0bc39c84ae0ce,91541bbade22b6498f7d08d39505c1eaae67abe5fa3f68afa0beaa8a321feecb
"莉瑪的不可思議甜蘋果","1","51011","52011","500","獲得1張抽獎券。","3","3","0","下次投擲的骰子一定會丟出「2」，再下一次投擲的骰子一定會丟出「7」。","10","莉瑪的不可思議\n甜蘋果","7","1","0","2","莉瑪用從似似花那裡拿到的蘋果製作出來的祕密甜點。\n清爽的酸味與濃厚的甜味\n保持著彷彿像魔法一般的平衡，互相襯托著彼此。\n讓吃下的人轉眼之間就變成它的俘虜。"
"妮諾的原創一二三壽司","30002","51012","52012","500","獲得1個未鑑定的平凡寶物。","2","1","0","下次投擲的骰子一定會丟出「1、2、3」，並且跳過下次的回合數計算。","10","妮諾的原創\n一二三壽司","3","1","0","1","妮諾帶到吉歐‧提格尼亞的特別\n壽司。雖是使用了嚴選新鮮海產的絕品料理，\n一部分的食材，卻是由手法超脫一般壽司範疇的妮諾\n以自創方式料理出來的。"
"克蕾琪塔的開運點心拼盤","2","51013","52013","500","獲得800里程。","3","4","0","打開RANK2的里程商店。","10","克蕾琪塔的開運\n點心拼盤","8","3","0","0","由克蕾琪塔設計，以流通於吉歐‧提格尼亞的\n巧克力貨幣組成的拼盤。乍看之下\n只是個把金幣放入口中的傻瓜，然而\n吃下貨幣的悖德感，成了最佳的額外香料。"
"璃乃的「時乃金時」刨冰","1","51014","52014","500","下次擲骰的時候，多前進1格。","2","1","0","跳過里程格進行移動。效果持續2回合。","11","璃乃的\n「時乃金時」刨冰","9","1","0","2","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。"
"靜流的愛情滿滿漢堡排","2","51015","52015","500","下次擲骰的時候，多前進1格。","1","1","0","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","11","靜流的愛情\n滿滿漢堡排","1","1","0","1","姊姊為了弟弟誠心製作的\n特別漢堡排。裡面塞滿了熱騰騰的肉汁\n和滿溢的愛情，只要吃下\n一口，就會美味到讓人想要四處亂跑。"
"碧的衝刺三明治","20005","51016","52016","500","無","3","0","0","下次投擲的骰子一定會丟出「6」。","0","碧的衝刺\n三明治","2","1","0","1","碧做來當作便當的精靈族傳統三明治。\n這是源自陪著她的至親好友給她的建議，\n據說無論在多麼幽暗的森林中，\n都能使出全力衝刺。（碧本人表示）"
"空花的活切緊綁觸手","1","51017","52017","500","無","3","5","1","[FF7C4E,D62146]【不可覆寫】[-]下一回合無法食用「移動系的料理」，相對地當場獲得2000里程。","10","空花的活切\n緊綁觸手","2","1","0","2","妄想過無數種被虐場景的空花最近熱衷的事物，\n是種以觸手為主軸的活切料理。\n新鮮的章魚腳與濃郁的鮮味在物理上交纏在一塊，\n無論身心都能體驗到被緊綁的感受。"
"蘭法的熱心馬鈴薯燉肉","20006","51018","52018","500","獲得1000里程。","1","6","0","下次投擲的骰子一定會丟出「3」。","10","蘭法的熱心馬鈴薯燉肉","2","1","0","1","在可可蘿的指導下提升了料理技術的蘭法\n所親手製作的馬鈴薯燉肉。雖然還有改善的空間，\n但只要一想到這是笨拙的蘭法為了他人\n而拼命努力煮出的菜餚，就覺得格外美味。"
"若菜的節儉八分飽咖哩","20007","0","52019","500","無","1","0","0","下次投擲的骰子一定會丟出「8」。","0","若菜的節儉八分飽咖哩","2","1","0","1","蠻賊三姊妹昨天晚餐的咖哩。\n若菜將吃不完的份分裝給了大家。\n因為靜置了一晚，味道變得更加濃郁，\n是極致的隔夜咖哩。"
"璃乃的「時乃金時」刨冰","1","51014","52020","500","下次擲骰的時候，多前進1格。","2","1","0","跳過里程格進行移動。效果持續2回合。","11","璃乃的\n「時乃金時」刨冰","9","2","0","2","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。"
"霞的看透真相的糖果巧克力","2","51021","52021","500","	獲得2個未鑑定的平凡寶物。","3","7","0","跳過寶物格進行移動。效果持續3回合。","10","霞的看透真相的\n糖果巧克力","9","2","0","3","放在華麗禮盒中的糖果巧克力。\n當那甜中帶苦的濃厚滋味，活化灰色的腦細胞時，\n名偵探便能展現精闢的推理，\n使謎團真相大白，讓事件劃下句點。"
"秋乃的煉獄烤雞拼盤","20008","51022","52022","500","無","1","0","0","在投擲3次骰子之前，投擲的骰子丟出「5和6」的機率變成3倍。","0","秋乃的煉獄\n烤雞拼盤","2","1","0","3","使用了秋乃在吉歐‧格黑納取得\n的香料，既時髦又豪華的烤雞拼盤。佐以\n牧場特製優格醬所演繹出的刺激風味，\n實在是兩個世界奇蹟般的完美結合。"
"美美的丟沙包圓滾滾飯糰","1","51023","52023","500","獲得1個未鑑定的平凡寶物。","1","1","1","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「6」，再下一次投擲的骰子一定會丟出「3」。","10","美美的丟沙包\n圓滾滾飯糰","7","1","0","2","美美想著在吉歐‧格黑納幫助自己的\n姐姐們所製作的飯糰。雖然每個被加入\n不同的佐料，但都一如美美的願望，\n彼此不吵架、和睦地演奏著和聲。"
"步未的祕密隱形蛋糕","2","51024","52024","500","下次擲骰的時候，多前進3格。","3","3","0","打開RANK2的里程商店。","11","步未的祕密\n隱形蛋糕","8","3","0","0","回過神來就在莉莉手中的不可思議的點心。\n雖然乍看之下是普通的蛋糕，\n內部卻藏了各式各樣的配料。\n其複雜又多層次的滋味，彷彿就像是某人一般。"
"安涅默涅的爛漫花朵牛排沙拉","3","51025","52025","500","無","3","0","0","跳過「里程格」及「寶物格」進行移動。效果持續1回合。","0","安涅默涅的\n爛漫花朵牛排沙拉","9","2","0","1","使用安涅默涅照料著的祕密菜園中的蔬菜的沙拉。\n重視營養的安涅默涅將草食動物的肉視為蔬菜，\n一開始只是在蔬菜上放上肉而已，\n後來在涅羅的指導下重新進行了擺盤。"
"杏奈的煉獄番茄燉煮渾沌蛋","1","51026","52026","500","獲得2張抽獎券。","1","8","0","讓隨機活動出現。","10","杏奈的\n煉獄番茄燉煮渾沌蛋","4","3","0","0","一道用探索吉歐‧格黑納的冥姬們\n在當地採集的調味料製作的料理。\n沸騰的紅醬帶有刺激而深奧的味道，\n就像一片未知的土地，吸引冒險者深入探索。"
"優衣的營養滿分心意滿分便當","20004","51027","52027","500","無","3","0","0","在投擲2次骰子之前，投擲的骰子一定會丟出「5」。","0","優衣的\n營養滿分心意滿分便當","2","1","0","2","優衣想著吃的人用心製作的便當。\n大小適中的便當盒裡裝滿了\n充滿愛意且精心烹調的極品料理，\n溫柔地填滿吃的人的心和胃。"
"鈴的堅果懶人紅豆麵包","30003","51028","52028","500","無","3","9","0","下次投擲的骰子只會丟出「1、2」。\n同時會當場獲得3張抽獎券。","10","鈴的\n堅果懶人紅豆麵包","2","1","0","1","鈴給了防災糧食的紅豆麵包。\n添加了堅果的脆脆口感讓人百吃不膩。\n似乎是窩在房間裡玩遊戲之際的好夥伴，\n也是能補充必要營養素的完全營養食物。"
"雪菲的冰晶輝煌手工冰","30004","51029","52029","500","無","2","0","0","下次投擲的骰子一定會丟出「2」。並且跳過下次的回合數計算。","0","雪菲的\n冰晶輝煌手工冰","3","1","0","1","雪菲利用自身的魔力冰製作的冰品。\n雖然是在貪吃佩可央求之下製作的，\n不過也備受凱留等人的好評。據可可蘿的表示，\n這雖然吃起來冰冰涼涼的，卻能溫暖內心。"
"美空的隨興味噌拉麵★","1","51030","52030","500","無","1","0","0","3回合之內，所有的「里程格」變成Rank 3的「寶物格」。","0","美空的\n隨興味噌拉麵★","12","3","0","3","美空做的拉麵。因為蘭法記得她隨口說的喜歡的食物，\n所以在對方準備好材料之後，\n不得已而做出來的，但是味道是好事級的。\n她似乎不討厭別人津津有味地吃著它的樣子。"
"彩羽的最強鍬形蟲果凍（人類用）","20009","51031","52031","500","無","3","0","0","下次投擲的骰子會丟出「1、6、6、6、8、8」。","0","彩羽的\n最強鍬形蟲果凍（人類用）","2","1","0","1","彩羽總是隨身攜帶的色彩斑斕的果凍……\n但是它是阿爾克絲鍊金堂製作的，\n有著跟鍬形蟲果凍一樣的外觀。雖然很甜很好吃，\n但是問她那是給人吃的嗎時，她會別開視線。"
