5e36092bb6789815203c10a4b372d189d74ec661c95d2741356bcf173af9abb0,c970717791f382d27a7eb3fc61fc4b21b1f7dba76357d53d3f612bf550db9683,a33a7a9136298170775f86cffb1e3b618e1d6fcffe33f0d65584e3b1a281c1db,8e440dcafe5457a92424335912674e0924a965db4b39b28a690aac4f0378fe03,4c7a5c97346c1e8fbfdf79e76cb86a8c41586858c91a5e1127d71cf625ac21a7,89e35c91068bf8de55b099ef29990b4767c17ee19eecda68c106f476fbc6a946,350195fcc87e4f1fa320b04457215687e6e5025cd3a4162fb57fa5b637a53668,696f6c2357b28d58e20357f796b9c73cf83da5c43d7dd07cbbc4859050340c2d,63382cb1e7934f9901307ced19ccf2d7ee8419c0fa0e1aed1aa9f68775435e95
"53002","5","4","5","4","13902","22","6","3"
"53003","4","3","4","3","14001","22","6","3"
"53002","3","3","4","3","14002","22","6","3"
"53003","3","2","3","2","14101","22","6","2"
"53002","2","2","3","2","14102","22","6","2"
"53003","2","1","2","1","14201","22","6","1"
"53002","1","1","2","1","14202","22","6","1"
"53002","2","0","1","0","14301","22","6","1"
"53003","8","-1","7","6","14401","22","7","5"
"53002","4","-1","7","6","14402","22","7","5"
"53003","6","5","6","5","14501","22","7","4"
"53002","5","5","6","5","14502","22","7","4"
"53003","5","4","5","4","14601","22","7","3"
"53002","5","4","5","4","14701","22","7","3"
"53003","4","3","4","3","14801","22","7","3"
"53002","3","3","4","3","14802","22","7","3"
"53003","3","2","3","2","14901","22","7","2"
"53002","2","2","3","2","14902","22","7","2"
"53003","2","1","2","1","15001","22","7","1"
"53002","1","1","2","1","15002","22","7","1"
"53002","2","0","1","0","15101","22","7","1"
"53003","8","-1","7","6","15201","22","8","5"
"53002","4","-1","7","6","15202","22","8","5"
"53003","6","5","6","5","15301","22","8","4"
"53002","5","5","6","5","15302","22","8","4"
"53003","5","4","5","4","15401","22","8","3"
"53002","5","4","5","4","15402","22","8","3"
"53003","4","3","4","3","15501","22","8","3"
"53002","3","3","4","3","15502","22","8","3"
"53003","3","2","3","2","15601","22","8","2"
"53002","2","2","3","2","15602","22","8","2"
"53003","2","1","2","1","15701","22","8","1"
"53002","1","1","2","1","15702","22","8","1"
"53002","2","0","1","0","15901","22","8","1"
"53003","8","-1","7","6","16001","22","9","5"
"53002","4","-1","7","6","16002","22","9","5"
"53003","6","5","6","5","16101","22","9","4"
"53002","5","5","6","5","16102","22","9","4"
"53003","5","4","5","4","16201","22","9","3"
"53002","5","4","5","4","16202","22","9","3"
"53003","4","3","4","3","16301","22","9","3"
"53002","3","3","4","3","16302","22","9","3"
"53003","3","2","3","2","16401","22","9","2"
"53002","2","2","3","2","16402","22","9","2"
"53003","2","1","2","1","16501","22","9","1"
"53002","1","1","2","1","16502","22","9","1"
"53002","2","0","1","0","16601","22","9","1"
"53003","8","-1","7","6","16701","22","10","5"
"53002","4","-1","7","6","16702","22","10","5"
"53003","6","5","6","5","16801","22","10","4"
"53002","5","5","6","5","16802","22","10","4"
"53003","5","4","5","4","16901","22","10","3"
"53002","5","4","5","4","16902","22","10","3"
"53003","4","3","4","3","17001","22","10","3"
"53002","3","3","4","3","17002","22","10","3"
"53003","3","2","3","2","17101","22","10","2"
"53002","2","2","3","2","17102","22","10","2"
"53003","2","1","2","1","17201","22","10","1"
"53002","1","1","2","1","17202","22","10","1"
"53002","2","0","1","0","17301","22","10","1"
