ac4f49b3f5f0fe8d81bc7f63a8b3331c3a51a00480aedb1a4c2596842fb2383c,cf9512f3431d8ad5fce0da434cc819d2a92eb6b4374bcaf42c779b430b44eb30,0cdc7740deab3776eceadd60043bb59db6ff5ebf3fb6a9d51d5544fba8aaf732,c511c1b62f40a9e498f41094aa9d2d6c332b36a176c2c26900f929e09e2bfc9f,797c1a6b2ad567267567e47c4b7924657b1ed12932da6731e190227d2507171f,794fbe9015e5b6b15625fdf8f25d6dd7d58118bd4263d6903cc3511342042f16,966191ec027c0a1a2fcd98396bd447494de2c317de7f17b1d0b3267cb149145f,4672251640c9b2356dcabb030c489eb66a5d1f131dd739a18b5f2c9fa468fe78
"650","5","96006","30","116","150004","4","6"
"750","5","96006","30","117","150005","4","6"
"900","5","96006","30","118","150006","4","6"
"1000","5","96006","30","119","150007","4","6"
"1150","5","96006","30","120","150008","4","6"
"1300","5","96006","30","121","150009","4","6"
"2500","5","96006","500","122","20004","2","6"
"1000","5","96006","500","123","22003","2","6"
"1000","0","96006","100","124","20004","2","6"
"400","0","96006","100","125","22003","2","6"
"20000","1","96007","1","126","25101","2","7"
"20000","1","96007","1","127","21952","2","7"
"10000","1","96007","1","128","21905","2","7"
"10000","2","96007","1","129","41000","2","7"
"1500","5","96007","5","130","31272","2","7"
"2000","5","96007","5","131","31808","2","7"
"1500","5","96007","5","132","31275","2","7"
"2500","5","96007","10","133","90005","2","7"
"2500","10","96007","50","134","140001","4","7"
"1000","10","96007","10","135","25001","2","7"
"500","5","96007","30","136","150003","4","7"
"650","5","96007","30","137","150004","4","7"
"750","5","96007","30","138","150005","4","7"
"900","5","96007","30","139","150006","4","7"
"1000","5","96007","30","140","150007","4","7"
"1150","5","96007","30","141","150008","4","7"
"1300","5","96007","30","142","150009","4","7"
"2500","5","96007","500","143","20004","2","7"
"1000","5","96007","500","144","22003","2","7"
"1000","0","96007","100","145","20004","2","7"
"400","0","96007","100","146","22003","2","7"
"20000","1","96008","1","147","25101","2","8"
"20000","1","96008","1","148","21952","2","8"
"10000","1","96008","1","149","21905","2","8"
"10000","2","96008","1","150","41000","2","8"
"1500","5","96008","5","151","31279","2","8"
"2000","5","96008","5","152","31809","2","8"
"1500","5","96008","5","153","31284","2","8"
"1500","5","96008","5","154","31285","2","8"
"1500","5","96008","5","155","31289","2","8"
"1500","5","96008","5","156","31287","2","8"
"1500","5","96008","5","157","31293","2","8"
"2500","5","96008","10","158","90005","2","8"
"2500","10","96008","50","159","140001","4","8"
"1000","10","96008","10","160","25001","2","8"
"500","5","96008","30","161","150003","4","8"
"650","5","96008","30","162","150004","4","8"
"750","5","96008","30","163","150005","4","8"
"900","5","96008","30","164","150006","4","8"
"1000","5","96008","30","165","150007","4","8"
"1150","5","96008","30","166","150008","4","8"
"1300","5","96008","30","167","150009","4","8"
"2500","5","96008","500","168","20004","2","8"
"1000","5","96008","500","169","22003","2","8"
"1000","0","96008","100","170","20004","2","8"
"400","0","96008","100","171","22003","2","8"
"20000","1","96009","1","172","25101","2","9"
"20000","1","96009","1","173","21952","2","9"
"10000","1","96009","1","174","21905","2","9"
"10000","2","96009","1","175","41000","2","9"
"1500","5","96009","5","176","31298","2","9"
"2000","5","96009","5","177","31181","2","9"
"1500","5","96009","5","178","31307","2","9"
"1500","5","96009","5","179","31310","2","9"
"2500","5","96009","10","180","90005","2","9"
"2500","10","96009","50","181","140001","4","9"
"1000","10","96009","10","182","25001","2","9"
"500","5","96009","30","183","150003","4","9"
"650","5","96009","30","184","150004","4","9"
"750","5","96009","30","185","150005","4","9"
"900","5","96009","30","186","150006","4","9"
"1000","5","96009","30","187","150007","4","9"
"1150","5","96009","30","188","150008","4","9"
"1300","5","96009","30","189","150009","4","9"
"2500","5","96009","500","190","20004","2","9"
"1000","5","96009","500","191","22003","2","9"
"1000","0","96009","100","192","20004","2","9"
"400","0","96009","100","193","22003","2","9"
"20000","1","96010","1","194","25101","2","10"
"20000","1","96010","1","195","21952","2","10"
"10000","1","96010","1","196","21905","2","10"
"10000","2","96010","1","197","41000","2","10"
"2000","5","96010","5","198","31182","2","10"
"1500","5","96010","5","199","31312","2","10"
"1500","5","96010","5","200","31316","2","10"
"1500","5","96010","5","201","31317","2","10"
"2500","5","96010","10","202","90005","2","10"
"2500","10","96010","50","203","140001","4","10"
"1000","10","96010","10","204","25001","2","10"
"500","5","96010","30","205","150003","4","10"
"650","5","96010","30","206","150004","4","10"
"750","5","96010","30","207","150005","4","10"
"900","5","96010","30","208","150006","4","10"
"1000","5","96010","30","209","150007","4","10"
"1150","5","96010","30","210","150008","4","10"
"1300","5","96010","30","211","150009","4","10"
"2500","5","96010","500","212","20004","2","10"
"1000","5","96010","500","213","22003","2","10"
"1000","0","96010","100","214","20004","2","10"
"400","0","96010","100","215","22003","2","10"
"20000","1","96011","1","216","25101","2","11"
"20000","1","96011","1","217","21952","2","11"
"10000","1","96011","1","218","21905","2","11"
"10000","2","96011","1","219","41000","2","11"
"1500","5","96011","5","220","31322","2","11"
"1500","5","96011","5","221","31300","2","11"
"1500","5","96011","5","222","31301","2","11"
"1500","5","96011","5","223","31302","2","11"
"2500","5","96011","10","224","90005","2","11"
"2500","10","96011","50","225","140001","4","11"
"1000","10","96011","10","226","25001","2","11"
"500","5","96011","30","227","150003","4","11"
"650","5","96011","30","228","150004","4","11"
"750","5","96011","30","229","150005","4","11"
"900","5","96011","30","230","150006","4","11"
"1000","5","96011","30","231","150007","4","11"
"1150","5","96011","30","232","150008","4","11"
"1300","5","96011","30","233","150009","4","11"
"2500","5","96011","500","234","20004","2","11"
"1000","5","96011","500","235","22003","2","11"
"1000","0","96011","100","236","20004","2","11"
"400","0","96011","100","237","22003","2","11"
"20000","1","96012","1","238","25101","2","12"
"20000","1","96012","1","239","21952","2","12"
"10000","1","96012","1","240","21905","2","12"
"10000","2","96012","1","241","41000","2","12"
"2000","5","96012","5","242","31810","2","12"
"1500","5","96012","5","243","31328","2","12"
"1500","5","96012","5","244","31295","2","12"
"1500","5","96012","5","245","31335","2","12"
"1500","5","96012","5","246","31336","2","12"
"1500","5","96012","5","247","31337","2","12"
"1500","5","96012","5","248","31338","2","12"
"1500","5","96012","5","249","31339","2","12"
"2500","5","96012","10","250","90005","2","12"
"2500","10","96012","50","251","140001","4","12"
"1000","10","96012","10","252","25001","2","12"
"500","5","96012","30","253","150003","4","12"
"650","5","96012","30","254","150004","4","12"
"750","5","96012","30","255","150005","4","12"
"900","5","96012","30","256","150006","4","12"
"1000","5","96012","30","257","150007","4","12"
"1150","5","96012","30","258","150008","4","12"
"1300","5","96012","30","259","150009","4","12"
"1450","5","96012","30","260","150010","4","12"
"2500","5","96012","500","261","20004","2","12"
"1000","5","96012","500","262","22003","2","12"
"1000","0","96012","100","263","20004","2","12"
"400","0","96012","100","264","22003","2","12"
