45d372efd26c25b3d037862fd83ec193c774a3e5286258ec64dd441e227e1169,e1510fd505a8eb5ffce761b6e5f981cf0f81cabe18110d5843a23bf9ee2a85ac,f2e7ca0cbd8110475bf36e986506c6b074ddd6fb14eb39b129fe2ab242160682,9195137bb54b81bc2c8e37d2f88c8e472e3f28e8879ded5c65fa9526b30f8b50,7f64683be50072868929c2f1c97d922181355a6caebce22e71df8f59e1797f26,8861cd2202c43064648fd063ea6d77f6d38376c4d6a185a3f7d8eaee6a3160d6
"20038","0","0","2003802","2003803","0"
"20039","20039201","20039115","0","2003901","2003902"
"20039","0","0","2003901","2003902","2003903"
"20039","0","0","2003902","2003903","0"
"20040","20040201","20040115","0","2004001","2004002"
"20040","0","0","2004001","2004002","2004003"
"20040","0","0","2004002","2004003","0"
"20041","20041201","20041115","0","2004101","2004102"
"20041","0","0","2004101","2004102","2004103"
"20041","0","0","2004102","2004103","0"
"20042","20042201","20042115","0","2004201","2004202"
"20042","0","0","2004201","2004202","2004203"
"20042","0","0","2004202","2004203","0"
"20043","20043201","20043115","0","2004301","2004302"
"20043","0","0","2004301","2004302","2004303"
"20043","0","0","2004302","2004303","0"
"20044","20044201","20044115","0","2004401","2004402"
"20044","0","0","2004401","2004402","2004403"
"20044","0","0","2004402","2004403","0"
"20045","20045201","20045115","0","2004501","2004502"
"20045","0","0","2004501","2004502","2004503"
"20045","0","0","2004502","2004503","0"
"20046","20046201","20046115","0","2004601","2004602"
"20046","0","0","2004601","2004602","2004603"
"20046","0","0","2004602","2004603","0"
"20047","20047201","20047115","0","2004701","2004702"
"20047","0","0","2004701","2004702","2004703"
"20047","0","0","2004702","2004703","0"
"20048","20048201","20048115","0","2004801","2004802"
"20048","0","0","2004801","2004802","2004803"
"20048","0","0","2004802","2004803","0"
"20049","20049201","20049115","0","2004901","2004902"
"20049","0","0","2004901","2004902","2004903"
"20049","0","0","2004902","2004903","2004904"
"20050","20050201","20050115","0","2005001","2005002"
"20050","0","0","2005001","2005002","2005003"
"20050","0","0","2005002","2005003","0"
"20051","20051201","20051115","0","2005101","2005102"
"20051","0","0","2005101","2005102","2005103"
"20051","0","0","2005102","2005103","0"
"20052","20052201","20052115","0","2005201","2005202"
"20052","0","0","2005201","2005202","2005203"
"20052","0","0","2005202","2005203","0"
"20053","20053201","20053115","0","2005301","2005302"
"20053","0","0","2005301","2005302","2005303"
"20053","0","0","2005302","2005303","0"
"20054","20054201","20054115","0","2005401","2005402"
"20054","0","0","2005401","2005402","2005403"
"20054","0","0","2005402","2005403","0"
"20055","20055201","20055115","0","2005501","2005502"
"20055","0","0","2005501","2005502","2005503"
"20055","0","0","2005502","2005503","0"
"20056","20056201","20056115","0","2005601","2005602"
"20056","0","0","2005601","2005602","2005603"
"20056","0","0","2005602","2005603","0"
"20057","20057201","20057115","0","2005701","2005702"
"20057","0","0","2005701","2005702","2005703"
"20057","0","0","2005702","2005703","0"
"20058","20058201","20058115","0","2005801","2005802"
"20058","0","0","2005801","2005802","2005803"
"20058","0","0","2005802","2005803","0"
"20059","20059201","20059115","0","2005901","2005902"
"20059","0","0","2005901","2005902","2005903"
"20059","0","0","2005902","2005903","0"
"20060","20060201","20060115","0","2006001","2006002"
"20060","0","0","2006001","2006002","2006003"
"20060","0","0","2006002","2006003","0"
"20061","20061201","20061115","0","2006101","2006102"
"20061","0","0","2006101","2006102","2006103"
"20061","0","0","2006102","2006103","0"
"20062","20062201","20062115","0","2006201","2006202"
"20062","0","0","2006201","2006202","2006203"
"20062","0","0","2006202","2006203","0"
"20063","20063201","20063115","0","2006301","2006302"
"20063","0","0","2006301","2006302","2006303"
"20063","0","0","2006302","2006303","0"
"20064","20064201","20064115","0","2006401","2006402"
"20064","0","0","2006401","2006402","2006403"
"20064","0","0","2006402","2006403","0"
