4a76a76f61ae18f9f7e98ca65f29a3719c8746026b831d667dc51da56832317d,95b768f55ecf439f38809ca48686fd77a0e2f23b122f187b9b279abd9b09e90b,fc6af5848f12e6bdc784bddd16aa08c2a7cf5635039f4b7b00bb6ec376c74862,3579d8028709fc6327fcba1eaffbb08eb2bed29f7e8ed626a8070fc97dbffcc9,72b39142622906c94a182cd2881e52aeebe99741c0e308cedcadce06c1fc5c80,26a7582a4f7d696f9727ace50e6f48d1c4a8ed41e78cbf0ae2f362de43e3ce82,5822a7514202e35a64f6f9d1ac1a4751389a3553abbb6a8166a7eaed8f269212,e4891ec0c40d8092f509795911bfd9379aa94f52400cbf87b72a4e79c1df6a45
"srt_inori_select_2","","是「{0}」呀！","1","","srt_dragon_select_2","FEVER_SELECT2","correct_030-correct_031,correct_035-correct_036"
"srt_inori_miss","","哇嗚！我、我搞錯了……","1","","srt_dragon_miss","FEVER_MISS","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048"
"srt_inori_fever_attack","","給我覺悟吧！","1","srt_kaya_fever_damage","srt_dragon_fever_attack","FEVER_DAMAGE","rush_attack"
"srt_inori_win_1","","是我贏了！！","1","srt_kaya_lose","srt_dragon_win","WIN_HP","win_005-win_006,win_012-win_013"
"srt_inori_win_1","","是我贏了！！","1","","srt_dragon_win","WIN_N","win_005-win_006,win_012-win_013"
"srt_inori_lose","","嗚嗚……是我輸了……","1","srt_kaya_win","srt_dragon_lose","LOSE_MISS","lose_017,lose_019,lose_023"
"","","嗚嗚……是我輸了……","1","","srt_dragon_miss","LOSE_N","lose_017,lose_019,lose_023"
"srt_inori_lose","","時、時間到了嗎！？我太大意了…… ","1","srt_kaya_win","srt_dragon_lose","TIMEUP","lose_025/lose_026-boss_emote_068,lose_021"
"srt_inori_lose","","嗚嗚……是我輸了……\n沒想到還有「{0}」可以接……","1","srt_kaya_win","srt_dragon_lose","LOSE_MISS2","lose_017,lose_019,lose_023"
"","","嗚嗚……是我輸了……\n應該還有「{0}」這個詞可以用……","1","","srt_dragon_miss","LOSE_N2","lose_017,lose_019,lose_023"
"srt_inori_lose","","時、時間到了嗎！？我太大意了…… \n應該要選「{0}」這個詞才對……","1","srt_kaya_win","srt_dragon_lose","TIMEUP2","lose_025/lose_026-boss_emote_068,lose_021"
