c53c902d8385413c8d0e92b0ab3edcb2162226990159951575f52806197379e6,c54e09cf1dc4631cfb7cb85601cc1a4fa3b2b5b2e8a69c01ab53ff8e925fe1e0,99ca381410e3d2350dbb2ec506171112d4333d6a143f75c9aaceb8027058d0fa,2f3d6c62688beab0dfa907888aaf05d796ba89429c4760d6444494535a46f0a8,48f8a66bb264edd6a48973bbcca27a2d9efd366c55a9eea97c1f4dbc86ea39ae,b61ce2b8da95b4f258e70e2a3c9738632eb398e76fdc62b930c069e26e5852eb,c2dc121c266e16ed288a8453468d4872e16448552d571f1598e782c3e76f6159,4417c767c59d571640391eaf9b3901a5573ea7c2096c84a1786ee279fff6bc6f,f99bb577bdf672a25ce66888b590694ae40f5107c88758840643b996f6da4c37
"1","610204201","0","-55","305","0","1","","1.4"
"1","610204202","0","-65","305","0","1","","1.75"
"1","610204203","0","-65","305","0","1","","1.75"
"1","610204301","0","-55","305","0","1","","1.4"
"1","610204302","0","-65","305","0","1","","1.75"
"1","610204303","0","-65","305","0","1","","1.75"
"2","610204401","-200","0","0","0","0","","0.85"
"3","610204402","-140","0","0","0","0","","0.85"
"4","610204403","-60","0","0","0","0","","1"
"5","610204404","-60","0","0","0","0","","1"
"2","610204501","-200","0","0","0","0","","0.85"
"3","610204502","-140","0","0","0","0","","0.85"
"4","610204503","-60","0","0","0","0","","1"
"5","610204504","-60","0","0","0","0","","1"
"1","610205101","0","-60","160","0","1","","1.38"
"1","610205201","0","0","160","0","1","","0.94"
"1","610205202","0","-60","160","0","1","","1.38"
"1","610205203","0","-60","160","0","1","","1.38"
"1","610205301","0","0","160","0","1","","0.94"
"1","610205302","0","-60","160","0","1","","1.38"
"1","610205303","0","-60","160","0","1","","1.38"
"2","610205401","-200","0","0","0","0","","0.9"
"3","610205402","-140","0","0","0","0","","0.9"
"4","610205403","-60","0","0","0","0","","0.9"
"5","610205404","-60","0","0","0","0","","0.9"
"2","610205501","-200","0","0","0","0","","0.9"
"3","610205502","-140","0","0","0","0","","0.9"
"4","610205503","-60","0","0","0","0","","0.9"
"5","610205504","-60","0","0","0","0","","0.9"
"1","610206101","0","-80","295","0","1","","0.86"
"1","610206201","0","-50","295","0","1","","0.68"
"1","610206202","0","-50","295","0","1","","0.68"
"1","610206203","0","-80","295","0","1","","0.86"
"1","610206301","0","-50","295","0","1","","0.68"
"1","610206302","0","-50","295","0","1","","0.68"
"1","610206303","0","-80","295","0","1","","0.86"
"2","610206401","-200","0","0","0","0","","0.85"
"3","610206402","-140","0","0","0","0","","1"
"4","610206403","-60","0","0","0","0","","1"
"5","610206404","-60","0","0","0","0","","1"
"6","610206405","-200","0","0","0","0","","0.78"
"7","610206406","-140","0","0","0","0","","0.78"
"8","610206407","-60","0","0","0","0","","0.78"
"9","610206408","-60","0","0","0","0","","0.78"
"2","610206501","-200","0","0","0","0","","0.85"
"3","610206502","-140","0","0","0","0","","1"
"4","610206503","-60","0","0","0","0","","1"
"5","610206504","-60","0","0","0","0","","1"
"6","610206505","-200","0","0","0","0","","0.78"
"7","610206506","-140","0","0","0","0","","0.78"
"8","610206507","-60","0","0","0","0","","0.78"
"9","610206508","-60","0","0","0","0","","0.78"
"1","610207101","0","-17","250","0","1","","1.35"
"1","610207201","0","0","250","0","1","","0.95"
"1","610207202","0","-17","250","0","1","","1.35"
"1","610207203","0","-17","250","0","1","","1.35"
"1","610207301","0","0","250","0","1","","0.95"
"1","610207302","0","-17","250","0","1","","1.35"
"1","610207303","0","-17","250","0","1","","1.35"
"2","610207401","-200","-21","0","0","0","","0.85"
"3","610207402","-140","-21","0","0","0","","0.85"
"4","610207403","-60","-21","0","0","0","","0.85"
"5","610207404","-60","-21","0","0","0","","0.73"
"2","610207501","-200","-21","0","0","0","","0.85"
"3","610207502","-140","-21","0","0","0","","0.85"
"4","610207503","-60","-21","0","0","0","","0.85"
"5","610207504","-60","-21","0","0","0","","0.73"
"1","610208101","0","-90","405","0","1","","1.01"
"4","610208103","0","0","0","0","0","","0"
"1","610208201","0","-90","405","0","1","","0.9"
"1","610208202","0","-90","405","0","1","","1.01"
"1","610208203","0","-90","405","0","1","","1.01"
"1","610208301","0","-90","405","0","1","","0.9"
"1","610208302","0","-90","405","0","1","","1.01"
"1","610208303","0","-90","405","0","1","","1.01"
"2","610208401","-140","0","0","0","0","","0.78"
"3","610208402","-60","0","0","0","0","","0.78"
"2","610208501","-140","0","0","0","0","","0.78"
"3","610208502","-60","0","0","0","0","","0.78"
"1","610209101","0","-14","140","0","1","","1.3"
"1","610209201","0","-15","140","0","1","","1.15"
"1","610209202","0","-14","140","0","1","","1.3"
"1","610209203","0","-14","140","0","1","","1.3"
"1","610209301","0","-15","140","0","1","","1.15"
"1","610209302","0","-14","140","0","1","","1.3"
"1","610209303","0","-14","140","0","1","","1.3"
"2","610209401","-200","0","0","0","0","","1"
"3","610209402","-140","0","0","0","0","","1"
"4","610209403","-60","0","0","0","0","","1"
"5","610209404","-60","0","0","0","0","","1"
"2","610209501","-200","0","0","0","0","","1"
"3","610209502","-140","0","0","0","0","","1"
"4","610209503","-60","0","0","0","0","","1"
"5","610209504","-60","0","0","0","0","","1"
"1","610210101","0","-15","165","0","1","","1.15"
"1","610210201","0","0","165","0","1","","0.92"
"1","610210202","0","-15","165","0","1","","1.15"
"1","610210203","0","-15","165","0","1","","1.15"
"1","610210301","0","0","165","0","1","","0.92"
"1","610210302","0","-15","165","0","1","","1.15"
"1","610210303","0","-15","165","0","1","","1.15"
"2","610210401","-200","0","0","0","0","","0.68"
"3","610210402","-140","0","0","0","0","","0.68"
"4","610210403","-60","0","0","0","0","","0.68"
"5","610210404","-60","0","0","0","0","","0.68"
"2","610210501","-200","0","0","0","0","","0.68"
"3","610210502","-140","0","0","0","0","","0.68"
"4","610210503","-60","0","0","0","0","","0.68"
"5","610210504","-60","0","0","0","0","","0.68"
"1","610211101","0","30","55","0","1","","0.9"
"1","610211201","0","-5","55","0","1","","0.9"
"1","610211202","0","30","55","0","1","","0.9"
"1","610211203","0","30","55","0","1","","0.9"
"1","610211301","0","-5","55","0","1","","0.9"
"1","610211302","0","30","55","0","1","","0.9"
"1","610211303","0","30","55","0","1","","0.9"
"2","610211401","-40","0","0","0","0","","0.78"
"3","610211402","-10","0","0","0","0","","0.78"
"4","610211403","50","0","0","0","0","","0.78"
"5","610211404","50","0","0","0","0","","0.78"
"2","610211501","-40","0","0","0","0","","0.78"
"3","610211502","-10","0","0","0","0","","0.78"
"4","610211503","50","0","0","0","0","","0.78"
"5","610211504","50","0","0","0","0","","0.78"
"1","610212101","0","45","35","0","1","","0.9"
"1","610212201","0","0","35","0","1","","0.8"
"1","610212202","0","45","35","0","1","","0.9"
"1","610212203","0","45","35","0","1","","0.9"
"1","610212301","0","0","35","0","1","","0.8"
"1","610212302","0","45","35","0","1","","0.9"
"1","610212303","0","45","35","0","1","","0.9"
"2","610212401","-220","0","0","0","0","","0.6"
"3","610212402","-200","0","0","0","0","","0.6"
"4","610212403","-140","0","0","0","0","","0.6"
"5","610212404","-140","0","0","0","0","","0.6"
"2","610212405","-60","0","0","0","0","","0.6"
"3","610212406","-60","0","0","0","0","","0.6"
"4","610212501","-220","0","0","0","0","","0.6"
"5","610212502","-200","0","0","0","0","","0.6"
"2","610212503","-140","0","0","0","0","","0.6"
"3","610212504","-140","0","0","0","0","","0.6"
"4","610212505","-60","0","0","0","0","","0.6"
"5","610212506","-60","0","0","0","0","","0.6"
"1","610213101","0","-75","250","0","1","","1.35"
"1","610213151","0","-125","0","0","1","","0.9"
"1","610213201","0","-70","250","0","1","","1.1"
"1","610213204","0","-75","250","0","1","","1.35"
"1","610213207","0","-75","250","0","1","","1.35"
"1","610213251","0","-125","0","0","1","","0.71"
"1","610213252","0","-125","0","0","1","","0.9"
"1","610213253","0","-125","0","0","1","","0.9"
"1","610213301","0","-70","250","0","1","","1.1"
"1","610213304","0","-75","250","0","1","","1.35"
"1","610213307","0","-75","250","0","1","","1.35"
"1","610213351","0","-125","0","0","1","","0.71"
"1","610213352","0","-125","0","0","1","","0.9"
"1","610213353","0","-125","0","0","1","","0.9"
"2","610213401","-200","-20","0","0","0","","0.7"
"3","610213402","-140","-20","0","0","0","","0.7"
"4","610213403","-60","-20","0","0","0","","0.7"
"5","610213404","-60","-20","0","0","0","","0.7"
"2","610213451","-50","0","0","0","0","","0.78"
"3","610213452","0","0","0","0","0","","0.78"
"4","610213453","100","0","0","0","0","","0.78"
"5","610213454","300","0","0","0","0","","0.78"
"2","610213501","-200","-20","0","0","0","","0.7"
"3","610213502","-140","-20","0","0","0","","0.7"
"4","610213503","-60","-20","0","0","0","","0.7"
"5","610213504","-60","-20","0","0","0","","0.7"
"2","610213551","-50","0","0","0","0","","0.78"
"3","610213552","0","0","0","0","0","","0.78"
"4","610213553","100","0","0","0","0","","0.78"
"5","610213554","300","0","0","0","0","","0.78"
"6","610213555","0","0","0","0","0","","0.78"
"1","610214101","0","15","30","0","1","","1.26"
"1","610214201","0","-10","30","0","1","","1"
"1","610214202","0","-10","30","0","1","","1"
"1","610214203","0","15","30","0","1","","1.26"
"1","610214301","0","-10","30","0","1","","1"
"1","610214302","0","-10","30","0","1","","1"
"1","610214303","0","15","30","0","1","","1.26"
"2","610214401","-40","0","0","0","0","","0.82"
"3","610214402","-10","0","0","0","0","","0.82"
"4","610214403","50","0","0","0","0","","0.82"
"5","610214404","50","0","0","0","0","","0.82"
"6","610214405","-40","0","0","0","0","","0.85"
"7","610214406","-10","-10","0","0","0","","0.85"
"8","610214407","50","-10","0","0","0","","0.85"
"9","610214408","50","-10","0","0","0","","0.85"
"2","610214501","-40","0","0","0","0","","0.82"
"3","610214502","-10","0","0","0","0","","0.82"
"4","610214503","50","0","0","0","0","","0.82"
"5","610214504","50","0","0","0","0","","0.82"
"6","610214505","-40","0","0","0","0","","0.85"
"7","610214506","-10","-10","0","0","0","","0.85"
"8","610214507","50","-10","0","0","0","","0.85"
"9","610214508","50","-10","0","0","0","","0.85"
"1","610215101","0","-50","140","0","1","","1.5"
"1","610215201","0","-69","140","0","1","","1.2"
"1","610215202","0","-67","140","0","1","","1.3"
"1","610215203","0","-50","140","0","1","","1.5"
"1","610215301","0","-69","140","0","1","","1.2"
"1","610215302","0","-67","140","0","1","","1.3"
"1","610215303","0","-50","140","0","1","","1.5"
"2","610215401","-40","0","0","0","0","","0.85"
"3","610215402","-10","0","0","0","0","","0.85"
"4","610215403","50","0","0","0","0","","0.85"
"5","610215404","50","0","0","0","0","","0.85"
"6","610215405","-10","0","0","0","0","","0.8"
"7","610215406","50","0","0","0","0","","0.8"
"8","610215407","-40","0","0","0","0","","0.8"
"2","610215501","-40","0","0","0","0","","0.85"
"3","610215502","-10","0","0","0","0","","0.85"
"4","610215503","50","0","0","0","0","","0.85"
"5","610215504","50","0","0","0","0","","0.85"
"6","610215505","-10","0","0","0","0","","0.8"
"7","610215506","50","0","0","0","0","","0.8"
"8","610215507","-40","0","0","0","0","","0.8"
"1","610216101","0","0","170","0","1","","1.12"
"1","610216201","0","-29","170","0","1","","0.91"
"1","610216202","0","0","170","0","1","","1.12"
"1","610216203","0","0","170","0","1","","1.12"
"1","610216301","0","-29","170","0","1","","0.91"
"1","610216302","0","0","170","0","1","","1.12"
"1","610216303","0","0","170","0","1","","1.12"
"2","610216401","0","-13","0","0","0","","0.85"
"3","610216402","0","-13","0","0","0","","0.85"
"4","610216403","-40","-13","0","0","0","","0.85"
"2","610216501","0","-13","0","0","0","","0.85"
"3","610216502","0","-13","0","0","0","","0.85"
"4","610216503","-40","-13","0","0","0","","0.85"
