77805ccf430737cfe532717982fb73dcf3f410746e00187dcdc1ec4fca4e546b,e28d9834edc3d1d355323a33a100bbcbfc75757edc31c9db74d1a6eb0f9f4d6b,879fbca335229accf555b34f61ffe41f6a5c2ae478ce577890cd65e61be86b62,5df66145a7405bb55bcceecd01b6599f2f00ca6bb3408f363220f8f6538fc897,b38cb430b21bb4f96a7ff4e2f5a509587a6a3b5e57dfe2bd25eb18783eac50d3,ba06f272182a9053011c1eee5999e7f18ef1dc20d068e3c51fc77a6930b421a3,9278d7a5dca7112efb0c86ce38740fef084fe969316ec17ed6e25a50a3f34a0c,a8d75f7a5da976812bc20e52642e5e8cba151e77de686fa5617c3920903a0ccd,d7ab436c03fa67bb8da572532c61f1d03b26c7acc57cf295edbebc6d5b26de0e,57b58acd3c53b161c62ec58f36c44ec44cad147d891d979fcf4a16c289d46b30,1ecff904c50498cb3fd994a89a8f3a89d7681b465c0b072f3ee60f28209001c8
"3","","101","0.2","","nyx_101_chieru_loop","1","2","11010034","0","nyx_101_chieru_02"
"3","","101","0.2","","nyx_101_chieru_loop","1","110931","11010035","0","nyx_101_chieru_02"
"93","","101","","","","","0.4","11010036","",""
"32","","101","","","","","3","11010037","","0"
"32","","101","","","","","4","11010038","","1"
"91","","101","","","","","11010026","11010039","",""
"3","","101","0.2","","","","103431","11010040","1","nyx_idle_bitter"
"3","","101","0.2","","","","104831","11010041","1","nyx_talk_sad"
"11","","101","","","","","104831","11010042","10","吶，那個……\n妳們有沒有聽到\n走廊傳來的聲音？"
"91","","101","","","","","0","11010043","",""
"4","","101","","","","","110931","11010044","","1"
"4","","101","","","","","2","11010045","","1"
"3","","101","0.2","","nyx_101_chieru_loop","1","2","11010046","0","nyx_101_chieru_02"
"3","","101","0.2","","nyx_101_chieru_loop","1","110931","11010047","0","nyx_101_chieru_02"
"3","","101","0.2","","","","104831","11010048","1","nyx_idle_sad"
"3","","101","0.2","","","","104631","11010049","1","nyx_talk_sad"
"11","","101","","","","","104631","11010050","10","聽起來好像在說什麼\n切嚕切嚕的喵……\n好恐怖喵……"
"91","","101","","","","","0","11010051","",""
"3","","101","0.2","","","","104631","11010052","1","nyx_idle_sad"
"3","","101","0.2","","","","103431","11010053","1","nyx_talk_sad"
"11","","101","","","","","103431","11010054","10","該不會是學校的七大\n不可思議之類的吧……\n好、好想回家……"
"91","","101","","","","","0","11010055","",""
"3","","101","0.2","","","","103431","11010056","1","nyx_idle_sad"
"3","","101","0.2","","","","103231","11010057","1","nyx_talk_joy2"
"11","","101","","","","","103231","11010058","10","還真是有趣呢！\n對於待會會出現什麼\n我感到非常期待呢！"
"91","","101","","","","","0","11010059","",""
"93","","101","","","","","0.4","11010060","",""
"4","","101","","","","","110931","11010061","","0"
"4","","101","","","","","2","11010062","","0"
"3","","101","0.2","","nyx_101_chieru_loop","1","110931","11010063","0","nyx_101_chieru_01"
"3","","101","0.2","","nyx_101_chieru_loop","1","2","11010064","0","nyx_101_chieru_01"
"12","","101","","","","","104831","11010065","1","1"
"3","0.2","101","0.2","","nyx_idle_sad","1","104831","11010066","0","nyx_talk_sad"
"93","","101","","","","","0.4","11010067","",""
"32","","101","","","","","3","11010068","","0"
"32","","101","","","","","3","11010069","","1"
"93","","101","","","","","1.6","11010070","",""
"12","","101","","","","","104631","11010071","1","15"
"3","0.2","101","0.2","","nyx_idle_sad","1","104631","11010072","0","nyx_talk_sad"
"93","","101","","","","","3","11010073","",""
"4","","101","","","","","110931","11010074","","1"
"4","","101","","","","","2","11010075","","1"
"3","","101","0.2","","nyx_101_chieru_loop","1","110931","11010076","0","nyx_101_chieru_02"
"3","","101","0.2","","nyx_101_chieru_loop","1","2","11010077","0","nyx_101_chieru_02"
"12","","101","","","","","103231","11010078","1","10"
"3","0.2","101","0.2","","nyx_idle_joy1","1","103231","11010079","0","nyx_talk_joy1"
"93","","101","","","","","2","11010080","",""
"12","","101","","","","","103431","11010081","1","2"
"3","0.2","101","0.2","","nyx_idle_sad","1","103431","11010082","0","nyx_talk_sad"
"93","","101","","","","","2.5","11010083","",""
"101","","101","","","","","11010060","11010084","",""
"1","1","102","1.35","nyx_102_chloe_01","-362","-209.3","1","11020001","110","110831"
"1","0","102","1.35","nyx_102_mifuyu_01","90","-182.5","1","11020002","110","104831"
"1","0","102","1.35","nyx_idle_normal","220","-182.5","1","11020003","110","104631"
"1","1","102","1.35","nyx_talk_normal","336","-182.5","1","11020004","110","103231"
"1","1","102","1.35","nyx_idle_normal","457","-182.5","1","11020005","110","103431"
"31","","102","1","","0","1","1","11020006","0","1"
"5","0","102","1.35","NoItem","-362","-209.3","2","11020007","120","2"
"25","","102","","","","","bgm_M347","11020008","","bgm_M347"
"93","","102","","","","","2","11020009","",""
"3","","102","0.2","","","","110831","11020010","1","nyx_102_chloe_02"
"11","","102","","","","","110831","11020011","10","再來輪到我了啊……\n呃，接在琪愛兒後面\n總有種不利的感覺？"
"91","","102","","","","","0","11020012","","1"
"3","","102","0.2","","","","110831","11020013","1","nyx_idle_sad"
"11","","102","","","","","110831","11020014","10","那傢伙絕對一見面\n就切嚕切嚕地喊\n把整個氣氛搞冷……"
"91","","102","","","","","0","11020015","","1"
"3","0.2","102","0.2","","nyx_102_chloe_02","1","110831","11020016","0","cmn_pose02_def_N"
"11","","102","","","","","110831","11020017","10","不過算了，怎樣都好\n……話說裡面的那些人\n應該沒事吧？"
"93","","102","","","","","3","11020018","",""
"3","","102","0.2","","","","103231","11020019","1","nyx_idle_normal"
"3","","102","0.2","","","","104631","11020020","1","nyx_talk_sad"
"4","","102","","","","","110831","11020021","","0"
"91","","102","","","","","11020016","11020022","",""
"93","","102","","","","","1","11020023","",""
"3","","102","0.2","","","","110831","11020024","1","nyx_102_chloe_01"
"11","","102","","","","","110831","11020025","10","像是被那股切嚕之氣\n嚇到而變得不正常……\n……不，應該不至於吧"
"93","","102","","","","","2.5","11020026","",""
"3","","102","0.2","","nyx_102_chloe_03_loop","1","110831","11020027","0","nyx_102_chloe_03"
"3","","102","0.2","","nyx_102_chloe_03_loop","1","2","11020028","0","nyx_102_chloe_03"
"91","","102","","","","","11020025","11020029","",""
"93","","102","","","","","1","11020030","",""
"11","","102","","","","","104831","11020031","10","切嚕……切嚕……"
"93","","102","","","","","1.5","11020032","",""
"4","","102","","","","","104631","11020033","0","1"
"3","0.2","102","0.2","","nyx_idle_surprise2","1","104631","11020034","0","cmn_shock_def_N"
"3","0.2","102","0.2","","nyx_idle_surprise2","1","103431","11020035","0","cmn_shock_def_N"
"3","0.2","102","0.2","","nyx_idle_surprise1","1","103231","11020036","0","nyx_surprise"
"93","","102","","","","","1.5","11020037","",""
"3","0.2","102","0.2","","","1","104631","11020038","1","nyx_talk_surprise2"
"3","","102","0.2","","","","103431","11020039","1","nyx_102_yukari_01"
"11","","102","","","","","103431","11020040","10","美冬！\n振作一點切嚕！\n沒那麼嚴重切嚕！"
"91","","102","","","","","0","11020041","","1"
"3","0.2","102","0.2","","nyx_102_tamaki_01_loop","1","103431","11020042","0","cmn_shock_def_N"
"4","","102","","","","","103231","11020043","0","0"
"4","","102","","","","","104631","11020044","0","0"
"91","","102","","","","","0","11020045","",""
"11","","102","","","","","104631","11020046","10","不行了喵……\n美冬和優花梨都\n為時已晚切……喵！"
"93","","102","","","","","2.6","11020047","",""
"3","0.2","102","0.2","","nyx_102_tamaki_01_loop","1","104631","11020048","0","nyx_102_tamaki_01"
"93","","102","","","","","0.1","11020049","",""
"4","","102","","","","","103231","11020050","0","1"
"93","","102","","","","","1.5","11020051","",""
"11","","102","","","","","103231","11020052","10","實在是損傷慘重呢……\n只能祈禱下一位\n能夠普通一點了……"
"91","","102","","","","","0","11020053","",""
"93","","102","","","","","1","11020054","",""
"3","","102","0.2","","nyx_102_chloe_03_loop","1","110831","11020055","0","nyx_102_chloe_04"
"3","","102","0.2","","nyx_102_chloe_03_loop","1","2","11020056","0","nyx_102_chloe_04"
"93","","102","","","","","1.5","11020057","",""
"12","","102","","","","","110831","11020058","1","12"
"93","","102","","","","","1","11020059","",""
"12","","102","","","","","103431","11020060","1","1"
"3","0.2","102","0.2","","nyx_cmn_03","1","103431","11020061","0","nyx_cmn_01"
"3","0.2","102","0.2","","","1","104631","11020062","1","nyx_idle_worry"
"93","","102","","","","","2","11020063","",""
"12","","102","","","","","104831","11020064","1","12"
"93","","102","","","","","2","11020065","",""
"12","","102","","","","","103231","11020066","1","10"
"3","0.2","102","0.2","","nyx_idle_normal","1","103231","11020067","0","nyx_talk_normal"
"93","","102","","","","","2","11020068","",""
"12","","102","","","","","104631","11020069","1","2"
"3","0.2","102","0.2","","nyx_idle_worry","1","104631","11020070","0","nyx_talk_sad"
"93","","102","","","","","4","11020071","",""
"101","","102","","","","","11020055","11020072","","1"
"1","0","103","1.35","nyx_103_yuni_01","-421","-209.3","1","11030001","110","111031"
"1","0","103","1.35","nyx_idle_normal","121.8","-182.5","1","11030002","110","104831"
"5","0","103","1.35","NoItem","121.8","-182.5","2","11030003","120","2"
"1","0","103","1.35","nyx_idle_normal","227.7","-182.5","1","11030004","110","104631"
"5","0","103","1.35","NoItem","227.7","-182.5","2","11030005","120","2"
"1","1","103","1.35","nyx_idle_normal","340.3","-182.5","1","11030006","110","103231"
"1","1","103","1.35","nyx_cmn_03","449.6","-182.5","1","11030007","110","103431"
"5","1","103","1.35","NoItem","449.6","-182.5","2","11030008","120","2"
"31","","103","1","","0","1","1","11030009","0","1"
"25","","103","","","","","bgm_M347","11030010","","bgm_M347"
"93","","103","","","","","2","11030011","",""
"3","","103","0.2","","","","103431","11030012","1","nyx_talk_sad"
"11","","103","","","","","103431","11030013","10","簡報是\n一件這麼\n累人的事情嗎…？"
"91","","103","","","","","0","11030014","",""
"3","","103","0.2","","","","103431","11030015","1","nyx_cmn_03"
"3","","103","0.2","","","","104831","11030016","1","nyx_cmn_05"
"11","","103","","","","","104831","11030017","10","接下來一定沒問題的\n一定會是認真的學生\n……我說的沒錯吧？"
"91","","103","","","","","0","11030018","",""
"3","","103","0.2","","","","104831","11030019","1","nyx_cmn_04"
"3","","103","0.2","","","","103231","11030020","1","nyx_talk_normal"
"11","","103","","","","","103231","11030021","10","哎呀？\n下一位好像也是\n好朋友社的成員呢？"
"91","","103","","","","","0","11030022","",""
"3","","103","0.2","","","","103231","11030023","1","nyx_idle_normal"
"3","","103","0.2","","","","104631","11030024","1","nyx_talk_sad"
"11","","103","","","","","104631","11030025","10","……要是鬆懈下來\n就會被幹掉喵\n做好覺悟吧喵"
"93","","103","","","","","2.6","11030026","",""
"3","","103","0.2","","","","111031","11030027","1","nyx_102_chloe_01"
"91","","103","","","","","11030025","11030028","",""
"3","0.3","103","0.2","","nyx_idle_sad","1","104631","11030029","0","nyx_cmn_02"
"3","","103","0.2","","","","2","11030030","0","nyx_cmn_02"
"3","0.3","103","0.2","","nyx_cmn_03","1","103431","11030031","0","nyx_cmn_02"
"3","","103","0.2","","","","2","11030032","0","nyx_cmn_02"
"3","0.2","103","0.2","","nyx_idle_normal","1","104831","11030033","0","nyx_cmn_02"
"3","","103","0.2","","","","2","11030034","0","nyx_cmn_02"
"93","","103","","","","","1.5","11030035","",""
"3","","103","0.2","","","","111031","11030036","1","nyx_303_yuni_01"
"11","","103","","","","","111031","11030037","10","嗯，接下來是我呢\n這就是所謂的\n壓軸登場吧"
"93","","103","","","","","2.8","11030038","",""
"12","","103","","","","","104831","11030039","1","13"
"3","","103","0.2","","","","104831","11030040","1","nyx_talk_normal"
"91","","103","","","","","11030037","11030041","",""
"11","","103","","","","","111031","11030042","10","琪愛兒、克蘿依\n妳們的遺憾就由我來\n替妳們雪恥吧"
"91","","103","","","","","0","11030043","",""
"3","","103","0.2","","","","111031","11030044","1","nyx_103_yuni_02"
"11","","103","","","","","111031","11030045","10","是時候完成我身為\n高年級生的職責了"
"93","","103","","","","","1.5","11030046","",""
"12","","103","","","","","103231","11030047","1","17"
"3","","103","0.2","","","","104831","11030048","1","nyx_idle_normal"
"3","","103","0.2","","","","103231","11030049","1","nyx_cmn_05"
"91","","103","","","","","11030045","11030050","",""
"3","0.6","103","0.3","","nyx_103_yuni_04","0","111031","11030051","0","nyx_103_yuni_03"
"11","","103","","","","","111031","11030052","10","賭上優妮們\n之名……！"
"91","","103","","","","","0","11030053","",""
"3","","103","0.2","","","","103231","11030054","1","nyx_idle_normal"
"93","","103","","","","","0.6","11030055","",""
"12","","103","0.2","","","","111031","11030056","1","12"
"3","0.2","103","0.2","","nyx_idle_normal","1","111031","11030057","0","cmn_pose02_def_N"
"93","","103","","","","","1.5","11030058","",""
"12","","103","","","","","104631","11030059","1","15"
"3","0.2","103","0.2","","nyx_idle_worry","1","104631","11030060","0","nyx_talk_sad"
"93","","103","","","","","2","11030061","",""
"12","","103","","","","","103231","11030062","1","10"
"3","0.2","103","0.2","","nyx_idle_normal","1","103231","11030063","0","nyx_talk_joy1"
"3","0.2","103","0.2","","nyx_idle_normal","1","111031","11030064","0","nyx_103_yuni_01"
"93","","103","","","","","2.5","11030065","",""
"12","","103","","","","","103431","11030066","1","1"
"3","0.3","103","0.2","","nyx_cmn_03","1","103431","11030067","0","nyx_cmn_01"
"93","","103","","","","","2","11030068","",""
"12","","103","","","","","104831","11030069","1","12"
"3","","103","0.2","","","","104831","11030070","1","nyx_talk_bitter"
"93","","103","","","","","2","11030071","",""
"3","","103","0.2","","","","104831","11030072","1","nyx_idle_bitter"
"93","","103","","","","","1","11030073","",""
"101","","103","","","","","11030056","11030074","",""
"1","1","201","1.2","nyx_201_akino_01","-235.4","-294.7","1","12010001","110","103231"
"5","1","201","1.2","nyx_201_akino_01","-235.4","-294.7","2","12010002","120","2"
"1","0","201","1.2","nyx_idle_normal","-357","-281.6","1","12010003","110","104631"
"1","1","201","1.2","nyx_idle_normal","310.5","-281.6","1","12010004","110","103431"
"1","0","201","1.2","nyx_idle_normal","-453.3","-281.6","1","12010005","110","104831"
"31","","201","1","","0","1","2","12010006","0","1"
"31","","201","1","","0","1","11","12010007","0","2"
"25","","201","","","","","bgm_M347","12010008","","bgm_M347"
"93","","201","","","","","2","12010009","",""
"11","","201","","","","","103231","12010010","10","珠希，\n這零件就麻煩妳\n進行組裝囉！"
"91","","201","","","","","0","12010011","",""
"3","0.3","201","0.3","","nyx_idle_surprise1","1","104631","12010012","0","nyx_surprise"
"11","","201","","","","","104631","12010013","10","我、我知道了喵！\n……設計圖上有\n這東西嗎喵……？"
"91","","201","","","","","0","12010014","",""
"4","","201","","","","","103231","12010015","0","0"
"4","","201","","","","","2","12010016","","0"
"3","0.3","201","0.3","","","","104631","12010017","1","nyx_idle_bitter2"
"3","0.3","201","0.3","","","","103231","12010018","1","nyx_201_akino_02"
"3","0.3","201","0.3","","","","2","12010019","1","nyx_201_akino_02"
"2","","201","","","2.2","","103231","12010020","-294.7","199"
"2","","201","","","2.2","","2","12010021","-294.7","199"
"93","","201","","","","","2.2","12010022","",""
"3","0.3","201","0.3","","","","103231","12010023","1","nyx_201_akino_01"
"3","0.3","201","0.3","","","","2","12010024","1","nyx_201_akino_01"
"11","","201","","","","","103231","12010025","10","優花梨！\n麻煩妳立刻去\n訂購這款迴路！"
"91","","201","","","","","0","12010026","",""
"3","0.3","201","0.3","","","","103431","12010027","1","nyx_cmn_01"
"11","","201","","","","","103431","12010028","10","咦？　咦？\n等等啊秋乃\n這要拿來做什麼！？"
"91","","201","","","","","0","12010029","",""
"3","0.3","201","0.3","","","","103431","12010030","1","nyx_idle_bitter2"
"4","","201","","","","","103231","12010031","","1"
"4","","201","","","","","2","12010032","","1"
"3","0.3","201","0.3","","","","103231","12010033","1","nyx_201_akino_02"
"3","0.3","201","0.3","","","","2","12010034","1","nyx_201_akino_02"
"2","","201","","","2.2","","103231","12010035","-294.7","-235.4"
"2","","201","","","2.2","","2","12010036","-294.7","-235.4"
"93","","201","","","","","2.2","12010037","",""
"3","0.3","201","0.3","","","","103231","12010038","1","nyx_201_akino_01"
"3","0.3","201","0.3","","","","2","12010039","1","nyx_201_akino_01"
"11","","201","","","","","103231","12010040","10","美冬，\n麻煩妳仔細地\n檢查動作囉！"
"91","","201","","","","","0","12010041","",""
"3","0.3","201","0.3","","nyx_idle_surprise1","1","104831","12010042","0","nyx_surprise"
"11","","201","0","","","","104831","12010043","10","好、好的！\n……秋乃整個人都\n熱血起來了呢…"
"91","","201","","","","","0","12010044","",""
"3","0.3","201","0.3","","","","104831","12010045","1","nyx_talk_sad"
"11","","201","0","","","","104831","12010046","10","但不知道為什麼\n我好不安啊……\n只有滿滿的不安……"
"91","","201","","","","","0","12010047","",""
"3","0.3","201","0.3","","","","104831","12010048","1","nyx_idle_bitter2"
"91","","201","","","","","0","12010049","",""
"93","","201","","","","","0.4","12010050","",""
"4","","201","","","","","103231","12010051","0","0"
"4","","201","","","","","2","12010052","","0"
"3","0.2","201","0.2","","","","103231","12010053","1","nyx_201_akino_02"
"3","0.2","201","0.2","","","","2","12010054","1","nyx_201_akino_02"
"2","","201","","","2.2","","103231","12010055","-294.7","199"
"2","","201","","","2.2","","2","12010056","-294.7","199"
"3","0.2","201","0.2","","","","103431","12010057","1","nyx_cmn_03"
"93","","201","","","","","2.2","12010058","",""
"12","","201","","","","","103231","12010059","1","10"
"3","0.2","201","0.2","","","","103231","12010060","1","nyx_201_akino_01"
"3","0.2","201","0.2","","","","2","12010061","1","nyx_201_akino_01"
"91","","201","","","","","0","12010062","",""
"3","0.2","201","0.2","","","","103431","12010063","1","nyx_idle_surprise1"
"91","","201","","","","","0","12010064","",""
"3","0.2","201","0.2","","","","103431","12010065","1","nyx_102_chloe_02"
"4","","201","","","","","103231","12010066","","1"
"4","","201","","","","","2","12010067","","1"
"3","0.2","201","0.2","","","","103231","12010068","1","nyx_201_akino_02"
"3","0.2","201","0.2","","","","2","12010069","1","nyx_201_akino_02"
"2","","201","","","2.2","","103231","12010070","-294.7","-235.4"
"2","","201","","","2.2","","2","12010071","-294.7","-235.4"
"93","","201","","","","","2.2","12010072","",""
"12","","201","","","","","103231","12010073","1","10"
"3","0.2","201","0.2","","","","103231","12010074","1","nyx_201_akino_01"
"3","0.2","201","","","","","2","12010075","1","nyx_201_akino_01"
"93","","201","","","","","3","12010076","",""
"3","0.2","201","0.2","","nyx_idle_normal","1","104631","12010077","0","cmn_nod_def_N"
"93","","201","","","","","0.8","12010078","",""
"12","","201","","","","","104831","12010079","1","3"
"3","0.2","201","0.2","","nyx_idle_sad","1","104831","12010080","0","nyx_talk_worry"
"93","","201","","","","","1","12010081","",""
"101","","201","","","","","12010051","12010082","",""
"5","0","202","1.2","nyx_202_tamaki_03_loop","-136","-255","1","12020001","100","3"
"1","1","202","1.2","nyx_idle_joy1","183.7","-286.1","1","12020002","110","103231"
"5","1","202","1.2","nyx_202_yukari_01","312.6","-286.1","2","12020003","120","5"
"1","1","202","1.2","nyx_202_yukari_01","312.6","-286.1","1","12020004","110","103431"
"1","0","202","1.2","nyx_idle_normal","-269.8","-286.1","1","12020005","120","104831"
"31","","202","1","","0","1","2","12020006","0","1"
"31","","202","1","","34","1","12","12020007","0","2"
"31","","202","0","","130","1","16","12020008","-74","7"
"5","0","202","1","nyx_yagura_idle","-208","-255","3","12020009","110","4"
"5","0","202","1.2","NoItem","-269.8","-286.1","2","12020010","120","6"
"25","","202","","","","","bgm_M347","12020011","","bgm_M347"
"93","","202","","","","","2","12020012","",""
"11","","202","","","","","3","12020013","10","總覺得開發作業\n好像也變得開心\n起來了喵～！"
"91","","202","","","","","0","12020014","",""
"11","","202","","","","","3","12020015","10","事到如今我一定要\n讓它成為世界第一\n的鯛魚燒機喵！"
"91","","202","","","","","0","12020016","",""
"11","","202","","","","","3","12020017","10","看我把我的一切\n全部灌注進去\n喵～～！"
"93","","202","","","","","0.4","12020018","",""
"3","","202","0.2","","nyx_202_tamaki_loop","1","3","12020019","0","nyx_202_tamaki_03_puton"
"91","","202","","","","","12020017","12020020","",""
"3","","202","0.2","","nyx_202_tamaki_01","1","3","12020021","0","nyx_202_tamaki_up"
"3","","202","","","nyx_yagura_up_idle","1","4","12020022","0","nyx_yagura_up"
"93","","202","","","","","2.4","12020023","",""
"32","","202","","","","","7","12020024","","1"
"3","","202","0.2","","","","103231","12020025","1","nyx_202_akino_01_loop"
"11","","202","","","","","103231","12020026","10","喔～呵呵呵！\n真是美妙的\n抱負呢，珠希"
"91","","202","","","","","0","12020027","",""
"3","","202","0.2","","","","104831","12020028","1","nyx_talk_anger2"
"11","","202","","","","","104831","12020029","10","設計圖上可是\n沒有寫到什麼\n鯛魚燒哦！？"
"91","","202","","","","","0","12020030","",""
"3","","202","0.2","","","","103431","12020031","1","nyx_idle_anger2"
"3","","202","0.2","","","","103431","12020032","1","nyx_202_yukari_01"
"11","","202","","","","","103431","12020033","10","美冬……\n交給珠希去做就\n不會有問題啦……嗝"
"91","","202","","","","","0","12020034","",""
"3","0.2","202","0.2","","nyx_cmn_04","","104831","12020035","0","nyx_cmn_05"
"11","","202","0","","","","104831","12020036","10","優花梨？\n妳在喝什麼？\n……妳被收買了對吧？"
"91","","202","","","","","0","12020037","",""
"3","","202","0.2","","","","103431","12020038","1","nyx_202_yukari_01"
"11","","202","","","","","103431","12020039","10","咦～？\n尼在說什麼～？\n……嗯呵呵～♪"
"91","","202","","","","","0","12020040","",""
"93","","202","","","","","2","12020041","",""
"12","","202","","","","","103231","12020042","1","13"
"3","0.2","202","0.2","","nyx_202_akino_01_loop","1","103231","12020043","0","nyx_talk_joy2"
"93","","202","","","","","2.5","12020044","",""
"12","","202","","","","","104831","12020045","1","3"
"3","","202","0.2","","","","104831","12020046","1","nyx_talk_anger2"
"93","","202","","","","","2","12020047","",""
"3","","202","0.2","","","","104831","12020048","0","nyx_cmn_02"
"3","","202","0.2","","NoItem","1","6","12020049","0","nyx_cmn_02"
"93","","202","","","","","1","12020050","",""
"3","0.2","202","0.2","","nyx_cmn_04","1","104831","12020051","0","nyx_cmn_05"
"93","","202","","","","","2","12020052","",""
"12","","202","","","","","103431","12020053","1","5"
"3","0.2","202","0.2","","nyx_202_yukari_01","1","5","12020054","0","nyx_203_yukari_01"
"3","0.2","202","0.2","","nyx_202_yukari_01","1","103431","12020055","0","nyx_203_yukari_01"
"93","","202","","","","","1.2","12020056","",""
"12","","202","","","","","3","12020057","1","11"
"93","","202","","","","","0.8","12020058","",""
"101","","202","","","","","12020041","12020059","",""
"1","0","203","1.2","nyx_idle_normal","-300","-286","1","12030001","130","104831"
"1","1","203","1.2","nyx_idle_normal","316","-286","1","12030002","100","104631"
"1","1","203","1.2","nyx_idle_normal","110","-286","1","12030003","100","103231"
"1","0","203","1.2","nyx_203_yukari_01","-200","-10","1","12030004","100","103431"
"31","","203","1","","0","1","2","12030005","0","1"
"31","","203","1","","34","1","13","12030006","-80","2"
"5","0","203","1.2","nyx_203_yukari_01","-200","-10","2","12030007","110","3"
"5","0","203","1","nyx_yagura_up_harf","-250","-255","3","12030008","120","4"
"25","","203","","","","","bgm_M347","12030009","","bgm_M347"
"93","","203","","","","","2","12030010","",""
"11","","203","","","","","103431","12030011","10","奇怪～？\n這裡是哪裡～？\n我又是誰～？"
"93","","203","","","","","0.6","12030012","",""
"3","0.2","203","0.2","","nyx_lookup_loop2","1","103231","12030013","0","nyx_lookup"
"91","","203","","","","","12030011","12030014","",""
"11","","203","","","","","103431","12030015","10","嗯～？\n這勾大大的\n東西是什麼～"
"93","","203","","","","","0.6","12030016","",""
"3","0.2","203","0.2","","nyx_lookup_loop2","1","104631","12030017","0","nyx_lookup"
"91","","203","","","","","12030015","12030018","",""
"3","","203","0.2","","nyx_203_yukari_05","1","3","12030019","0","nyx_203_yukari_02"
"3","","203","0.2","","nyx_203_yukari_05","1","103431","12030020","0","nyx_203_yukari_02"
"11","","203","","","","","103431","12030021","10","你要不要也來一起\n喝麥酒～？\n很～好喝的哦～？"
"93","","203","","","","","0.4","12030022","",""
"3","0.2","203","0.2","","nyx_lookup_loop2","1","104831","12030023","0","nyx_lookup"
"91","","203","","","","","12030021","12030024","",""
"93","","203","","","","","0.2","12030025","",""
"3","0.2","203","0.2","","nyx_idle_sad","1","104831","12030026","0","nyx_cmn_02"
"11","","203","0","","","","104831","12030027","10","優花梨\n在做什麼啊…"
"93","","203","","","","","0.1","12030028","",""
"3","0.2","203","0.2","","nyx_cmn_04","1","103231","12030029","0","nyx_cmn_02"
"11","","203","","","","","103231","12030030","10","優花梨\n在做什麼呢…"
"93","","203","","","","","0.1","12030031","",""
"3","0.2","203","0.2","","nyx_idle_sad","1","104631","12030032","0","nyx_cmn_02"
"11","","203","","","","","104631","12030033","10","優花梨\n在做什麼喵…"
