96d6ab0dd7f1364b9f131005b4c96300ed3220e46395bfdefa499f08793689d9,cc765a2fa6d0915c0c61843c9c9789f5539cda415a1f3609d92ad72869f5a0d7,0c762160920c90822c8fc040aff69f0e6a207fe9cb59888290dbc76507ce8dfd,8dbdd80b0f6cec277fbb83f393ff867bf3b148e0e4037d160d0f7d0fd8a411cf,9dc4aba7e1d65870b10a86293c2b9d0dd478f8f2deb7470feb03b82539eef8fa,ac68b79d647558835999c0258bd9a0f00693340c9980d4e705be9c42c0adfffd,2036418cd5bc861eda15f50af7798a2b065e1bdc7b943fac010832b3af55d71b,8bdd5ff82b9c29d7111604c26d5398dadda4f0c686562b54be45aad9ffd86daf,1bd292797a314a93debc66753f2d982d20a46999c781eb8841d3de2c50ea748a,bde14df0ed4484f10fc6da957503b7700af72e7462eac0333d700db89ebe0a65,6949964f4e68363e7aa172e45725b9d47fd69456a1a9dced71f419bcdb038e6e
"","","91","","8","0","8017","","","",""
"drama_idle","","3","0.2","8","129811","8018","","","","1"
"drama_idle","","3","0.2","8","129911","8019","","","","1"
"129811","1","1","1.65","30","1","30001","-224","drama_idle","167","100"
"129911","0","1","1.65","30","1","30002","-224","drama_idle","-49","100"
"drama_idle","","3","0.2","30","129811","30003","","","","1"
"drama_idle","","3","0.2","30","129911","30004","","","","1"
"0","","93","","30","0.5","30005","","","",""
"","","26","","30","2","30006","","","",""
"10","","121","3","30","-80","30007","0.9","","1.2","1.2"
"drama_joy_eriko","0.2","3","0.2","30","129911","30008","","","","0"
"1","","140","","30","1","30009","","","","0"
"129811","1","1","1.65","31","1","31001","-224","drama_idle","167","100"
"129911","0","1","1.65","31","1","31002","-224","drama_idle","-49","100"
"drama_idle","","3","0.2","31","129811","31003","","","","1"
"drama_idle","","3","0.2","31","129911","31004","","","","1"
"0","","93","","31","0.5","31005","","","",""
"","","26","","31","2","31006","","","",""
"10","","121","3","31","-80","31007","0.9","","1.2","1.2"
"drama_joy_makoto","0.2","3","0.2","31","129811","31008","","","","0"
"2","","140","","31","1","31009","","","","0"
"1","1","5","0.28","32","0","32001","28","drama_talk_1","320","1"
"2","0","5","0.28","32","0","32002","28","drama_talk_2","228","0"
"3","1","5","0.26","32","0","32003","64","drama_swing","45","90"
"4","0","5","0.3","32","0","32004","-23","drama_streach","-187","91"
"0","","93","","32","1","32005","","","",""
"drama_joy","","3","0.2","32","1","32006","","","","0"
"drama_joy","","3","0.2","32","2","32007","","","","0"
"drama_joy","","3","0.2","32","3","32008","","","","0"
"drama_joy","","3","0.2","32","4","32009","","","","0"
"0","","93","","32","1.5","32010","","","",""
"1","1","5","0.28","33","0","33001","28","drama_talk_1","320","1"
"2","0","5","0.28","33","0","33002","28","drama_talk_2","228","0"
"3","1","5","0.26","33","0","33003","64","drama_swing","45","90"
"4","0","5","0.3","33","0","33004","-23","drama_streach","-187","91"
