9940322b5247695993c1e6dc5af7b544bc6f7a17d19e7d1e81dd80be562f7b00,c9df5be7618c1daab2a872236593aa6c0799b7b866f94009eb82d15d4d489b14,f8c5ef605df0a65bf9a69d1b05a6515d769cdf2f4e677d672a249fba2052191e,394f1b75674f8a259f09c2fdca2f27c918e9301e4153bc0f4e541717e66b5c9b,4457f895bbd71124a65facc4e9a90e56b0b405276afd654b72a16e2435c1854d
"83","100405","30","25001","2"
"84","100406","300","91002","8"
"85","100407","1","41000","2"
"86","100408","5000000","94002","12"
"87","100409","1000000","94002","12"
"88","100410","1000000","94002","12"
"89","100411","1000000","94002","12"
"90","100412","400","20004","2"
"91","100413","300","20004","2"
"92","100414","200","20004","2"
"93","100415","1000000","94002","12"
"94","100416","1000000","94002","12"
"95","100417","1000000","94002","12"
"96","100418","400","20004","2"
"97","100419","300","20004","2"
"98","100420","200","20004","2"
"99","100421","1000000","94002","12"
"100","100422","1000000","94002","12"
"101","100423","1000000","94002","12"
"102","100424","400","20004","2"
"103","100425","300","20004","2"
"104","100426","200","20004","2"
"105","100501","5000000","94002","12"
"106","100502","2000","90008","2"
"107","100503","20","25001","2"
"108","100504","2500","90008","2"
"109","100505","30","25001","2"
"110","100506","300","91002","8"
"111","100507","1","41000","2"
"112","100508","5000000","94002","12"
"113","100509","1000000","94002","12"
"114","100510","1000000","94002","12"
"115","100511","1000000","94002","12"
"116","100512","400","20004","2"
"117","100513","300","20004","2"
"118","100514","200","20004","2"
"119","100515","1000000","94002","12"
"120","100516","1000000","94002","12"
"121","100517","1000000","94002","12"
"122","100518","400","20004","2"
"123","100519","300","20004","2"
"124","100520","200","20004","2"
"125","100521","1000000","94002","12"
"126","100522","1000000","94002","12"
"127","100523","1000000","94002","12"
"128","100524","400","20004","2"
"129","100525","300","20004","2"
"130","100526","200","20004","2"
"131","100601","5000000","94002","12"
"132","100602","2000","90008","2"
"133","100603","20","25001","2"
"134","100604","2500","90008","2"
"135","100605","30","25001","2"
"136","100606","300","91002","8"
"137","100607","1","41000","2"
"138","100608","5000000","94002","12"
"139","100609","1000000","94002","12"
"140","100610","1000000","94002","12"
"141","100611","1000000","94002","12"
"142","100612","400","20004","2"
"143","100613","300","20004","2"
"144","100614","200","20004","2"
"145","100615","1000000","94002","12"
"146","100616","1000000","94002","12"
"147","100617","1000000","94002","12"
"148","100618","400","20004","2"
"149","100619","300","20004","2"
"150","100620","200","20004","2"
"151","100621","1000000","94002","12"
"152","100622","1000000","94002","12"
"153","100623","1000000","94002","12"
"154","100624","400","20004","2"
"155","100625","300","20004","2"
"156","100626","200","20004","2"
"157","100701","5000000","94002","12"
"158","100702","2000","90008","2"
"159","100703","20","25001","2"
"160","100704","2500","90008","2"
"161","100705","30","25001","2"
"162","100706","300","91002","8"
"163","100707","1","41000","2"
"164","100708","5000000","94002","12"
"165","100709","1000000","94002","12"
"166","100710","1000000","94002","12"
"167","100711","1000000","94002","12"
"168","100712","400","20004","2"
"169","100713","300","20004","2"
"170","100714","200","20004","2"
"171","100715","1000000","94002","12"
"172","100716","1000000","94002","12"
"173","100717","1000000","94002","12"
"174","100718","400","20004","2"
"175","100719","300","20004","2"
"176","100720","200","20004","2"
"177","100721","1000000","94002","12"
"178","100722","1000000","94002","12"
"179","100723","1000000","94002","12"
"180","100724","400","20004","2"
"181","100725","300","20004","2"
"182","100726","200","20004","2"
"183","100801","5000000","94002","12"
"184","100802","2000","90008","2"
"185","100803","20","25001","2"
"186","100804","2500","90008","2"
"187","100805","30","25001","2"
"188","100806","300","91002","8"
"189","100807","1","41000","2"
"190","100808","5000000","94002","12"
"191","100809","1000000","94002","12"
"192","100810","1000000","94002","12"
"193","100811","1000000","94002","12"
"194","100812","400","20004","2"
"195","100813","300","20004","2"
"196","100814","200","20004","2"
"197","100815","1000000","94002","12"
"198","100816","1000000","94002","12"
"199","100817","1000000","94002","12"
"200","100818","400","20004","2"
"201","100819","300","20004","2"
"202","100820","200","20004","2"
"203","100821","1000000","94002","12"
"204","100822","1000000","94002","12"
"205","100823","1000000","94002","12"
"206","100824","400","20004","2"
"207","100825","300","20004","2"
"208","100826","200","20004","2"
"209","100901","5000000","94002","12"
"210","100902","2000","90008","2"
"211","100903","20","25001","2"
"212","100904","2500","90008","2"
"213","100905","30","25001","2"
"214","100906","300","91002","8"
"215","100907","1","41000","2"
"216","100908","5000000","94002","12"
"217","100909","1000000","94002","12"
"218","100910","1000000","94002","12"
"219","100911","1000000","94002","12"
"220","100912","400","20004","2"
"221","100913","300","20004","2"
"222","100914","200","20004","2"
"223","100915","1000000","94002","12"
"224","100916","1000000","94002","12"
"225","100917","1000000","94002","12"
"226","100918","400","20004","2"
"227","100919","300","20004","2"
"228","100920","200","20004","2"
"229","100921","1000000","94002","12"
"230","100922","1000000","94002","12"
"231","100923","1000000","94002","12"
"232","100924","400","20004","2"
"233","100925","300","20004","2"
"234","100926","200","20004","2"
