af45b9f21018a3b93b846e2f85591a987b1b8a4a2672c814a34010833493401b,93e5079bd0bb78eea20dafa8a1bebe9152a3cd674dff1804c0e76932a263f18e,a384fd5a3ea965cbfa005179107defdd99188a6ec821bcfbf2f3ec25292d9f68,cfd04c9309d23837aa0b92b9c1bf131e6d554ee020f6ad66a14d2a9b6107d639,820bbbe28b3862f3f57663be2dd1838cdda5a63a85168dd146d13699922947a3
"3.6","1","1","0.4","30010184"
"6.4","1","1","1.3","30010186"
"8","1","3","1.3","30010187"
"9.5","1","1","1.3","30010188"
"5.4","1","2","4.9","30010189"
"6.4","1","1","5.8","30010190"
"7.5","1","2","4.9","30010191"
"8.6","1","2","5.8","30010192"
"3.8","1","1","5.7","30010193"
"11.1","1","3","0.4","30010194"
"14","1","2","0.2","30010195"
"15","1","3","1.4","30010196"
"14.1","1","2","2.4","30010197"
"15.1","1","1","3.5","30010198"
"14","1","2","4.3","30010199"
"12","1","1","6.3","30010200"
"10.3","1","2","6.3","30010201"
"12.1","1","1","-2.8","30010202"
"9.1","1","3","-1.7","30010203"
"9","1","1","-3","30010204"
"9","1","3","-4.7","30010205"
"15.9","1","2","-1.7","30010206"
"16.8","1","2","-3.2","30010207"
"15.8","1","2","-4.5","30010208"
"13.1","1","3","-2.8","30010209"
"10.2","1","1","-8.8","30010210"
"10.1","1","2","-7.5","30010211"
"10","1","1","-5.9","30010212"
"15.1","1","3","-8.7","30010213"
"16.2","1","3","-7.6","30010214"
"15.3","1","3","-6.3","30010215"
"15.9","1","1","-10.4","30010216"
"16.9","1","3","-11.6","30010217"
"15.9","1","1","-13","30010218"
"11.1","1","2","-11.6","30010219"
"11.1","1","3","-10.1","30010220"
"13.9","1","3","-14.3","30010221"
"15","1","1","-15.5","30010222"
"14.3","1","3","-17.3","30010223"
"15","1","1","-18.4","30010224"
"11.1","1","1","-17.8","30010225"
"11.1","1","3","-18.9","30010226"
"11","1","1","-21.6","30010227"
"9.7","1","2","-21.6","30010228"
"8.5","1","1","-21.6","30010229"
"7","1","1","-21.6","30010230"
"5.5","1","3","-21.7","30010231"
"4","1","1","-21.7","30010232"
"2.2","1","3","-20.4","30010233"
"6","1","2","-19.3","30010234"
"5.3","1","2","-18.2","30010235"
"6","1","2","-16.8","30010236"
"2.2","1","1","-11.8","30010237"
"7","1","1","-9.5","30010238"
"5.9","1","3","-9","30010239"
"4.9","1","1","-9.5","30010240"
"2.1","1","3","-10.3","30010241"
"2.1","1","1","-8.5","30010242"
"0.6","1","1","-18.7","30010243"
"5.2","1","3","-13.4","30010244"
"4","1","3","-12.6","30010245"
"-16.6","1","991004","6","30010246"
"-15.1","1","991002","5.5","30010247"
"12.3","1","991002","-2.5","30010251"
"11.7","1","991001","-2.5","30010252"
"12.2","1","991002","-7.5","30010253"
"11.8","1","991001","-7.5","30010254"
"11.4","1","991001","-13.2","30010255"
"12.7","1","991003","-13.7","30010256"
"6.5","1","991001","-21.5","30010257"
"6.8","1","991002","-12.6","30010259"
"5.2","1","991001","-12.6","30010260"
"-1.5","1","991002","-11.5","30010261"
"-2.5","1","991001","-11.5","30010262"
"6.4","1","991004","-20.2","30010263"
"-1.8","1","991002","-16.6","30010264"
"-2.2","1","991001","-16.6","30010265"
"-9.3","1","2","8.5","30010267"
"-12","1","1","-18.6","30010268"
"-10.1","1","991002","-17.6","30010269"
"-11.7","1","991001","-17.7","30010270"
"-14.3","1","991003","-12.6","30010271"
"-14.3","1","991004","-11.2","30010272"
"-13.9","1","3","-15.4","30010274"
"-13.8","1","3","-14.1","30010275"
"-12.2","1","991003","-8.1","30010276"
"-12.2","1","991004","-7.7","30010277"
"-15.3","1","1","-8.6","30010278"
"-19.9","1","1","-11.9","30010279"
"-19.9","1","3","-10.7","30010280"
"-19.9","1","1","-9.2","30010281"
"-19.9","1","3","-8","30010282"
"-18.6","1","1","-13.4","30010283"
"-16.2","1","1","-13.6","30010284"
"-14.9","1","3","-13.7","30010285"
"-12.9","1","3","-9.6","30010286"
"-11.7","1","2","-9.6","30010287"
"-10.4","1","2","-9.6","30010288"
"-7","1","1","-8.8","30010289"
"-1","1","2","-3.6","30010290"
"-1","1","2","-5","30010291"
"1.8","1","991002","2.5","30010292"
"0.5","1","991003","2.5","30010293"
"10.5","2","2","-22.7","30020001"
"9","2","2","-23","30020004"
"6","2","2","-23","30020005"
"7.5","2","2","-22.7","30020006"
"6.3","2","991001","-19.1","30020008"
"7.8","2","991002","-19.1","30020009"
"5.5","2","2","-21.5","30020010"
"13.5","2","1","-22.7","30020011"
"15","2","3","-23.5","30020012"
"17.1","2","990001","-22.5","30020013"
"16.3","2","1","-22.7","30020014"
"18.4","2","3","-22.7","30020015"
"19.7","2","1","-23.5","30020016"
"21.3","2","3","-22.7","30020017"
"10.5","2","2","-20","30020018"
"12.5","2","1","-19.8","30020019"
"15","2","1","-19.8","30020020"
"15","2","1","-15","30020024"
"18.6","2","1","-17.8","30020027"
"17.5","2","1","-19.8","30020029"
"15","2","1","-17","30020030"
"16","2","3","-16.4","30020031"
"4","2","2","-20.3","30020032"
"3.5","2","2","-18.9","30020033"
"4","2","2","-17.5","30020034"
"9","2","2","-15.7","30020035"
"-2","2","2","-23.8","30020043"
"-4","2","2","-23.8","30020044"
"-5","2","1","-23","30020045"
"-4","2","2","-19","30020047"
"-4","2","2","-17","30020048"
"-1.3","2","1","-15.7","30020050"
"-1.7","2","2","-13.4","30020051"
"-3.5","2","2","-13.5","30020052"
"-7","2","2","-13.1","30020053"
"-9.2","2","2","-13.6","30020054"
"-9","2","2","-14.9","30020055"
"-7","2","1","-21.1","30020056"
"-8.8","2","1","-22.7","30020062"
"-12","2","1","-22.7","30020063"
"-5","2","3","-21.1","30020065"
"-7","2","3","-23","30020066"
"-10.5","2","3","-23.2","30020067"
"-10","2","2","-16","30020068"
"-12","2","2","-15.3","30020069"
"-13.5","2","2","-18.1","30020070"
"-13.5","2","2","-16.4","30020071"
"-14.5","2","3","-22.7","30020072"
"-17.1","2","3","-22.7","30020073"
"-8.2","2","991004","-19","30020074"
"-16","2","990001","-22.5","30020076"
"-19.5","2","1","-22.7","30020077"
"-21.5","2","1","-22.7","30020078"
"-23.5","2","3","-22","30020079"
"-23.5","2","3","-20.2","30020080"
"-25","2","1","-18.8","30020083"
"-25","2","3","-17.6","30020084"
"-25","2","3","-16","30020085"
"-25","2","1","-14","30020086"
"-19.7","2","2","-16.1","30020087"
"-19.3","2","2","-14.8","30020088"
"-24.5","2","3","-12.7","30020089"
"-23.5","2","1","-11.5","30020090"
"-19.4","2","3","-13.1","30020091"
"-20","2","1","-11.5","30020092"
"-25","2","3","-9.6","30020093"
"-25","2","1","-8","30020094"
"-25","2","3","-6.2","30020095"
"-18.5","2","2","-9.4","30020096"
"-17","2","2","-8.5","30020097"
"-18.5","2","2","-7.4","30020098"
"-17","2","2","-6.8","30020099"
"-23.7","2","1","-4","30020100"
"-21.6","2","1","-2","30020101"
"-19.5","2","1","-2","30020102"
"-17.7","2","1","-2","30020103"
"-16.1","2","3","-3.4","30020104"
"-15","2","3","-4","30020105"
"-16.2","2","3","-10.8","30020106"
"-15","2","3","-11.3","30020107"
"-13.7","2","3","-10.8","30020108"
"-10.5","2","1","-6","30020109"
"-9.3","2","1","-5","30020110"
"-11.9","2","3","-5.1","30020111"
"-8.3","2","3","-6","30020112"
"-12","2","3","-10.4","30020113"
"-10.8","2","1","-11.8","30020114"
"-9","2","1","-11.8","30020115"
"-7","2","3","-10","30020116"
"3.9","2","2","-8","30020119"
"-4.9","2","2","-8.8","30020121"
"-4","2","2","-7.7","30020122"
"-3","2","2","-8.9","30020123"
"-14.2","2","3","-2.6","30020125"
"-14.2","2","1","-1","30020126"
"-13.1","2","3","0.2","30020127"
"-11.8","2","1","1.1","30020128"
"-7.4","2","1","1.2","30020131"
"-10.5","2","3","2.2","30020132"
"-8.5","2","3","2.2","30020133"
"-9.5","2","1","1.1","30020134"
"-6","2","3","0","30020135"
"-4.5","2","1","1.3","30020136"
"2.8","2","1","-1","30020141"
"0.4","2","2","-10.2","30020142"
"6.2","2","1","-2.8","30020143"
"8","2","1","-2.7","30020145"
"6.9","2","1","-4.3","30020146"
"3.8","2","3","0.9","30020147"
"6.2","2","3","0.9","30020148"
"8","2","3","0.5","30020149"
"10.4","2","3","0.5","30020150"
"8","2","3","-9.5","30020151"
"8.7","2","3","-8","30020152"
"3","2","1","-4.1","30020153"
"2.3","2","2","-12","30020154"
"3.8","2","2","-12.5","30020155"
"5.5","2","2","-12","30020156"
"11.9","2","1","-1.1","30020157"
"13","2","1","-2.5","30020158"
"13","2","1","-3.7","30020159"
"15","2","3","-3.5","30020160"
"15","2","3","-1.9","30020161"
"15","2","2","-9","30020162"
"16","2","2","-7.6","30020163"
"17","2","2","-9.1","30020164"
"18.1","2","2","-7.6","30020165"
"18.7","2","2","-9.1","30020166"
"16.5","2","1","-1.1","30020167"
"18.2","2","1","0","30020168"
"19.5","2","1","-0.8","30020169"
"21","2","3","1","30020170"
"23","2","3","1","30020171"
"10","2","3","-10","30020172"
"11.5","2","3","-10.8","30020173"
"13","2","3","-10","30020174"
"17.4","2","1","-11.3","30020176"
"16","2","3","-12","30020177"
"14.4","2","1","-11.3","30020178"
"10.1","2","2","-13.9","30020179"
"8.5","2","2","-13.2","30020180"
"-10.2","2","991003","-9.2","30020189"
"-10.2","2","991004","-8.7","30020190"
"2.8","2","991003","-9.4","30020193"
"2.8","2","991004","-8.3","30020194"
"9.9","2","991001","-5.7","30020197"
"10.3","2","991002","-5.7","30020198"
"16","2","990001","-6.5","30020199"
"11.8","2","991001","-16.6","30020204"
"12.2","2","991002","-16.6","30020205"
"-8.2","2","991003","-20.6","30020209"
"-11","2","990001","-4.5","30020213"
"-3.2","2","991003","-2.11","30020214"
"-3.2","2","991004","-1.7","30020215"
"-3","2","3","1.9","30020216"
"-1.2","2","1","1.2","30020217"
"1.3","2","3","0.9","30020218"
"-4.5","2","2","-6.1","30020219"
"-3.7","2","2","-4.7","30020220"
"-22.2","2","991001","-15.2","30020221"
"-21.8","2","991002","-15.2","30020222"
"-0.2","2","991001","-18.6","30020223"
"0.2","2","991002","-18.6","30020224"
"21.5","2","991001","-8.6","30020225"
"22.5","2","991002","-8.6","30020226"
"21.4","2","991003","-16.6","30020227"
"22.6","2","991002","-15.3","30020228"
"20.7","2","991003","-4.1","30020229"
"21","2","991002","-3.6","30020230"
"-15.7","2","991003","-8","30020231"
"-14.3","2","991002","-7.3","30020232"
"-22.7","2","991001","-10.6","30020233"
"-21.3","2","991002","-10.6","30020234"
"7","3","11","-23.6","30030001"
"16","3","12","-20.7","30030003"
"6.4","3","13","-21.8","30030005"
"8.4","3","13","-21.8","30030006"
"4","3","11","-21","30030007"
"1.6","3","11","-15.7","30030008"
"3.5","3","11","-16.7","30030009"
"1.5","3","13","-21.9","30030010"
"2.7","3","13","-23.7","30030011"
"-3","3","13","-23.7","30030012"
"-5.9","3","12","-22.8","30030018"
"-10.5","3","11","-21.6","30030019"
"-11.5","3","13","-19.7","30030020"
"-13.5","3","13","-19.7","30030021"
"-9.5","3","13","-19.7","30030022"
"-16.1","3","12","-23.8","30030023"
"-18.7","3","11","-23.8","30030024"
"-21","3","11","-21.8","30030025"
"-19.4","3","12","-16.1","30030027"
"-11.1","3","13","-3.8","30030036"
"-14.9","3","13","-3.7","30030037"
"-10.4","3","12","-11.7","30030043"
"-10.4","3","12","-13.6","30030044"
"-15.1","3","12","-4.8","30030045"
"-8.9","3","13","-8.4","30030046"
"-8.9","3","13","-4.7","30030048"
"-10.1","3","11","1.3","30030054"
"-5.1","3","13","-3.2","30030058"
"4.1","3","12","-6.3","30030062"
"13","3","11","-4","30030064"
"11.9","3","11","-2.6","30030065"
"15.3","3","13","-6.4","30030067"
"16.4","3","13","-9.7","30030068"
"18.8","3","13","-5.7","30030069"
"16","3","11","-23.8","30030073"
"17.9","3","13","-19.5","30030076"
"17.9","3","13","-17.8","30030077"
"21.4","3","990002","-10.8","30030079"
"5","3","990001","-23.7","30030080"
"-14.1","3","990001","-9.4","30030081"
"6.9","3","990001","-9.6","30030082"
"1.8","3","11","-13","30030083"
"8.5","3","13","-12.7","30030085"
"8.5","3","13","-16.7","30030086"
"11.5","3","12","-13.8","30030087"
"9.8","3","12","-13.7","30030088"
"-0.5","3","13","-3.7","30030089"
"0.6","3","13","-3.7","30030090"
"-6.5","3","12","-7.3","30030091"
"-5.4","3","12","-6.1","30030092"
"-6.5","3","13","-6.2","30030093"
"-5.5","3","13","-7.5","30030094"
"-11.1","3","13","-5.8","30030095"
"-11.1","3","11","-7.2","30030097"
"-20","3","12","-11.4","30030098"
"-20.1","3","12","-9.2","30030099"
"-17.5","3","13","-9.7","30030100"
"-15.5","3","13","-9.7","30030101"
"-17.5","3","13","-21.5","30030102"
"-16.1","3","13","-20.1","30030103"
"-17.5","3","12","-20.1","30030104"
"-2.1","3","13","-21.9","30030106"
"15.8","3","11","-18.6","30030107"
"18.8","3","11","-22.2","30030108"
"22.2","3","12","-15.8","30030109"
"20.1","3","12","-15.8","30030110"
"17.9","3","12","-15.8","30030111"
"16.8","3","12","-1.8","30030115"
"1","3","11","-10.6","30030116"
"2.5","3","11","-10.6","30030117"
"9","3","13","0.1","30030118"
"7.5","3","13","0.1","30030119"
"4.8","3","11","-0.6","30030120"
"19.4","3","12","-1.8","30030121"
"21.7","3","12","-1.8","30030122"
"20.5","3","13","-1.7","30030123"
"18.1","3","13","-1.7","30030124"
"15.7","3","11","1.2","30030125"
"18.5","3","13","0.3","30030126"
"20.1","3","13","0.3","30030127"
"21.5","3","13","0.3","30030128"
"20","3","13","-11.5","30030130"
"-4","3","11","-10.1","30030132"
"-8","3","12","-22.8","30030135"
"-13.2","3","11","-15.8","30030137"
"-11.2","3","11","-15.7","30030138"
"-4","3","12","-12","30030139"
"10.4","3","13","-16.7","30030140"
"-12.6","3","11","-21.6","30030141"
"-22","3","11","-16.4","30030144"
"-22","3","11","-18.7","30030145"
"-5.1","3","13","-1.9","30030146"
"-5.1","3","13","-0.4","30030147"
"-7","3","11","-0.8","30030148"
"-7","3","11","-2.4","30030149"
"13.6","3","11","1.3","30030150"
"8.5","3","11","-1.7","30030151"
"10","3","11","-2.6","30030152"
"13","3","12","-6.2","30030153"
"13.1","3","13","-9","30030154"
"13.1","3","13","-7.6","30030155"
"17.5","3","12","-5.8","30030156"
"20.1","3","12","-5.8","30030157"
"21.5","3","11","-5.6","30030158"
"23","3","11","-5.6","30030159"
"20","3","12","-12.8","30030160"
"5.5","3","12","-18.8","30030161"
"7.5","3","11","-18.7","30030162"
"9.5","3","12","-18.8","30030163"
"11.5","3","11","-18.6","30030164"
"12.5","3","13","-18.7","30030165"
"14.1","3","13","-18.7","30030166"
"-16.1","3","12","-21.3","30030167"
"-6","3","13","-14.8","30030168"
"-4.5","3","12","-14.8","30030169"
"-3","3","13","-14.8","30030170"
"-1.5","3","12","-14.8","30030171"
"-17.5","3","11","-16.6","30030172"
"-14.9","3","11","-16.6","30030174"
"-18.5","3","11","-6.9","30030175"
"-16.5","3","11","-6.9","30030176"
"-9.1","3","12","-6.6","30030177"
"-14.9","3","13","-6.1","30030178"
"-21.8","3","13","-20.6","30030179"
"-21.9","3","13","-14.9","30030180"
"10","3","11","-23.6","30030181"
"19","3","13","-15.7","30030182"
"21.1","3","13","-15.7","30030183"
"23.8","3","11","-11.8","30030184"
"23.8","3","11","-13.7","30030185"
"-8","4","990001","-4.6","30040001"
"-6.6","4","990002","2.9","30040002"
"11","4","990001","-21.6","30040003"
"-4","4","990001","-21.6","30040004"
"-9.8","4","991001","-21.7","30040005"
"-12.2","4","991001","-16","30040006"
"-11.8","4","991002","-16","30040007"
"-15.2","4","991003","-12.6","30040008"
"-15.2","4","991004","-11.1","30040009"
"-14.8","4","991003","-8.7","30040010"
"-14.8","4","991004","-7.1","30040011"
"-17.2","4","991001","-1","30040012"
"-16.8","4","991002","-1","30040013"
"-17.8","4","991004","6","30040015"
"-16.2","4","991002","5.3","30040016"
"-0.8","4","991003","3.4","30040019"
"0.8","4","991002","3.9","30040020"
"10.8","4","991001","-2.7","30040021"
"11.2","4","991002","-2.7","30040022"
"10.3","4","991001","-6.1","30040023"
"11.8","4","991002","-6.1","30040024"
"10.2","4","991001","-13.1","30040025"
"11.8","4","991003","-13.7","30040026"
"5.1","4","991001","-21.7","30040027"
"6.9","4","991004","-20","30040028"
"4.8","4","991001","-11","30040029"
"5.2","4","991002","-11","30040030"
"-3.2","4","991001","-11.7","30040031"
"-2.8","4","991002","-11.7","30040032"
"-3.8","4","991001","-15.1","30040033"
"-2.1","4","991002","-15.1","30040034"
"-11.2","4","11","-22","30040035"
"-10.1","4","11","-17.9","30040037"
"-7.4","4","11","-19","30040038"
"-15.6","4","12","-15.4","30040040"
"-8.4","4","12","-15.4","30040041"
"-10","4","11","-11.9","30040042"
"-13.6","4","13","-10.8","30040043"
"-16.9","4","11","-13.8","30040044"
"-19.2","4","11","-13.6","30040045"
"-19.7","4","11","-12.9","30040046"
"-21.3","4","11","-11","30040047"
"-21.3","4","12","-9.1","30040048"
"-18","4","11","-9","30040049"
"-18.7","4","13","-6.5","30040050"
"-16.4","4","11","-8.8","30040051"
"-12.4","4","13","-7.9","30040052"
"-11.5","4","11","-9.8","30040053"
"-9.5","4","11","-9.3","30040054"
"-6.2","4","11","-9.1","30040055"
"-7.4","4","12","-9","30040056"
"-4.6","4","11","-7.7","30040057"
"-7.3","4","13","-6.5","30040058"
"-9.1","4","11","-4.9","30040061"
"-16.5","4","11","-5.3","30040062"
"-10.5","4","12","-5","30040063"
"-12.5","4","12","-5","30040064"
"-14.5","4","12","-5","30040065"
"-18.3","4","11","-3.9","30040066"
"-19.4","4","11","-3","30040067"
"-18.2","4","13","-2.9","30040068"
"-18.4","4","11","0.4","30040069"
"-15.3","4","11","1.9","30040070"
"-17","4","12","1.9","30040071"
"-21.4","4","11","-0.5","30040072"
"-21.2","4","11","1.2","30040073"
"-21.5","4","11","2.9","30040074"
"-19.6","4","11","4.8","30040075"
"-15.6","4","13","4.4","30040076"
"-13","4","13","-2.7","30040077"
"-18.3","4","11","7.2","30040078"
"-16.9","4","11","8.9","30040079"
"-12.1","4","12","8.1","30040080"
"-14.7","4","11","9","30040081"
"-8.1","4","11","6.6","30040082"
"-8.3","4","11","4.2","30040083"
"-7.6","4","11","1.7","30040084"
"-7.6","4","13","-0.6","30040085"
"-3.9","4","12","2.1","30040088"
"-4","4","11","5","30040089"
"-6.8","4","11","8","30040090"
"-4.5","4","11","8.6","30040091"
"-3.6","4","11","8.1","30040092"
"-0.7","4","11","8","30040093"
"-1.3","4","12","4.9","30040094"
"-1.6","4","11","1.9","30040095"
"-0.3","4","13","0.1","30040096"
"0.8","4","11","0.1","30040097"
"7.1","4","11","1","30040099"
"4.4","4","13","0.9","30040100"
"5.8","4","11","0.9","30040101"
"2.2","4","11","5.1","30040102"
"8.7","4","11","0.8","30040106"
"12.8","4","11","5.4","30040108"
"10.5","4","12","6","30040109"
"13.4","4","11","2.9","30040110"
"13","4","11","0.8","30040111"
"11.1","4","13","-3.8","30040112"
"7.6","4","11","-2.4","30040113"
"8.1","4","11","-5.8","30040114"
"7.5","4","12","-4.5","30040115"
"14.2","4","12","-5.8","30040116"
"14.5","4","13","-2.9","30040117"
"8.8","4","11","-8.6","30040118"
"9.5","4","13","-10.6","30040119"
"13.7","4","13","-9.4","30040120"
"15","4","11","-10","30040121"
"15.5","4","11","-12.1","30040122"
"13.1","4","11","-14.7","30040123"
"12.8","4","13","-16.5","30040124"
"13.4","4","13","-17.8","30040125"
"8.5","4","11","-14.3","30040126"
"8.1","4","11","-16.4","30040127"
"9","4","11","-19","30040128"
"9","4","11","-12.1","30040129"
"9.7","4","11","-22.1","30040130"
"13","4","11","-22","30040131"
"12.7","4","13","-19.9","30040132"
"7.3","4","12","-22.1","30040133"
"3.7","4","11","-22.3","30040134"
"2.4","4","11","-22","30040135"
"0.5","4","11","-19.9","30040136"
"3.4","4","13","-19.4","30040137"
"4.7","4","13","-18.4","30040138"
"3.8","4","13","-17.5","30040139"
"0","4","11","-18","30040140"
"1","4","11","-15","30040141"
"2.3","4","11","-13.8","30040142"
"3.4","4","12","-13.1","30040143"
"1","4","13","-13","30040144"
"0.4","4","13","-10.9","30040145"
"5","4","12","-9.7","30040146"
"3.3","4","13","-9.3","30040147"
"0.4","4","11","-9.3","30040148"
"2","4","11","-6","30040149"
"3.4","4","11","-5.2","30040150"
"1.3","4","13","-4.5","30040151"
"-1","4","11","-3","30040154"
"-6.5","4","11","-11.3","30040155"
"-6.5","4","12","-13.8","30040156"
"-5.6","4","12","-17.1","30040157"
"-5.5","4","11","-18.6","30040158"
"-2.3","4","11","-22.4","30040159"
"-6.8","4","12","-22.2","30040160"
"-5","4","11","-22.5","30040161"
"-1.5","4","13","-20.2","30040162"
"-15.5","4","11","-18.8","30040163"
"-15","4","11","-21","30040164"
"-16","4","13","-20","30040165"
"4","4","11","5.8","30040166"
"9","4","11","6","30040167"
"7","4","13","6.4","30040168"
"5.2","4","13","6.2","30040169"
"1.5","4","11","-1","30040170"
"4.4","4","13","-2.3","30040171"
"2.8","4","11","-3.9","30040172"
"17.1","5","990001","-22.5","30050013"
"-8.2","5","991004","-19","30050074"
"-16","5","990001","-22.5","30050076"
"2.8","5","991003","-9.4","30050193"
"2.8","5","991004","-8.3","30050194"
"11.8","5","991001","-16.6","30050204"
"12.2","5","991002","-16.6","30050205"
"-8.2","5","991003","-20.6","30050209"
"-11","5","990001","-4.5","30050213"
"-6.4","5","991003","1.7","30050214"
"-6.4","5","991004","2.2","30050215"
"-22.2","5","991001","-15.2","30050221"
"-21.8","5","991002","-15.2","30050222"
"-0.2","5","991001","-18.6","30050223"
"0.2","5","991002","-18.6","30050224"
"-22.7","5","991001","-10.6","30050233"
"-21.3","5","991002","-10.6","30050234"
"12","5","990001","-2.7","30050235"
"-4.2","5","991006","-16.7","30050236"
"-5.7","5","991006","-16.7","30050237"
"-25.5","5","13","24.3","30050238"
"-25.2","5","11","24.5","30050239"
"8.2","5","13","-22.8","30050240"
"7.1","5","11","-22.7","30050241"
"5","5","11","-22.7","30050242"
"4.8","5","13","-21.5","30050243"
"6","5","13","-22.8","30050244"
"-25.4","5","12","24.4","30050245"
"4.5","5","12","-19.2","30050246"
"9","5","13","-17","30050247"
"9","5","13","-16","30050248"
"9","5","13","-18","30050249"
"2.9","5","11","-15.6","30050250"
"3","5","11","-17.8","30050251"
"7.5","5","12","-14.1","30050252"
"7.5","5","12","-11.9","30050253"
"5.4","5","13","-11.7","30050254"
"3.5","5","13","-11.7","30050255"
"1.5","5","11","-10.9","30050256"
"-0.5","5","11","-10.9","30050257"
"3.5","5","12","-14.4","30050258"
"1.5","5","12","-14.3","30050259"
"1.6","5","12","-21.3","30050260"
"1.6","5","11","-22.8","30050261"
"-0.5","5","12","-24","30050262"
"-2.7","5","12","-24","30050263"
"-4","5","13","-16","30050264"
"-5","5","13","-16","30050265"
"-6","5","13","-16","30050266"
"-4","5","13","-18","30050267"
"-5","5","13","-18","30050268"
"-6","5","13","-18","30050269"
"-7","5","11","-21","30050270"
"-5.5","5","12","-19.8","30050271"
"-9.3","5","12","-17.1","30050272"
"-10.6","5","12","-16.3","30050273"
"-12.2","5","12","-17.2","30050274"
"-10","5","11","-22","30050275"
"-12","5","11","-22","30050276"
"-14.4","5","12","-16.8","30050277"
"-16.6","5","11","-15.9","30050278"
"-19.5","5","11","-16","30050279"
"-18.1","5","12","-16","30050280"
"-19","5","12","-14","30050281"
"-17","5","12","-13","30050282"
"-16.6","5","12","-14.7","30050283"
"-24.1","5","11","-13.5","30050284"
"-24","5","11","-15.7","30050285"
"-23.5","5","11","-20.4","30050286"
"-23.5","5","11","-17.8","30050287"
"-20","5","12","-22","30050288"
"-22","5","12","-22","30050289"
"-23.2","5","13","-19.3","30050290"
"-23","5","13","-13","30050291"
"-23","5","12","-11.8","30050292"
"-23","5","13","-11","30050293"
"-20.1","5","11","-12.4","30050294"
"-20","5","11","-11","30050295"
"-19.3","5","11","-9.5","30050296"
"-19.3","5","12","-8.4","30050297"
"-19.1","5","11","-6.8","30050299"
"-20.4","5","13","-6.5","30050300"
"-19.2","5","12","-4.2","30050301"
"-20.6","5","12","-4.1","30050302"
"-23.4","5","12","-5.9","30050303"
"-23.4","5","11","-4.1","30050304"
"-23.4","5","11","-1.4","30050305"
