21182df110104685375c4257384a360ded90f5e5519594738db0078d073574a5,12c757b6fee2b8fb811b1df2772bb3e9768b306b566a94d4ce89698d45d2eaf8,4b6b312f7d010563a0882a0fdbc6c6199415ebab53273c672fd728308e490523,20900d750d0da7e69c8ad0b8c8a81901bedf3d7baac930d1c64a58d630a40f61,a552853f8802d2fc9f037d395bde2592a1f498632e79de7bad150735d37cc441
"1011","8500","67","140","65"
"1011","1500","68","200","30"
"1012","8500","69","200","35"
"1012","1500","70","5","5"
"1013","8500","71","150","70"
"1013","1500","72","200","15"
"1014","8500","73","150","60"
"1014","1500","74","200","15"
"1015","8500","75","150","60"
"1015","1500","76","200","15"
"1016","8500","77","150","60"
"1016","1500","78","200","15"
"1017","8500","79","150","60"
"1017","1500","80","200","15"
"1018","8500","81","120","50"
"1018","1500","82","200","60"
"1019","8500","83","102","67"
"1019","1500","84","200","60"
"1020","8500","85","120","35"
"1020","1500","86","250","60"
"10001","7000","87","200","30"
"10001","3000","88","5","30"
"10002","7000","89","220","60"
"10002","3000","90","5","60"
"10003","7000","91","200","60"
"10003","3000","92","200","15"
"10004","7000","93","200","60"
"10004","3000","94","200","10"
"10005","7000","95","150","40"
"10005","3000","96","5","40"
"10006","7000","97","150","60"
"10006","3000","98","200","10"
"10007","7000","99","150","40"
"10007","3000","100","5","40"
"10008","7000","101","150","50"
"10008","3000","102","200","15"
"10009","7000","103","150","45"
"10009","3000","104","200","10"
"10010","7000","105","145","40"
"10010","3000","106","5","10"
"10011","7000","107","300","40"
"10011","3000","108","5","10"
"10012","7000","109","200","65"
"10012","3000","110","200","10"
"10013","7000","111","150","40"
"10013","3000","112","5","10"
"10014","7000","113","100","40"
"10014","3000","114","5","10"
"10015","7000","115","200","50"
"10015","3000","116","5","10"
"10016","7000","117","250","60"
"10016","3000","118","200","30"
"10017","7000","119","120","45"
"10017","3000","120","300","90"
"10018","7000","121","120","90"
"10018","3000","122","200","30"
"10019","7000","123","190","50"
"10019","3000","124","350","60"
"10020","7000","125","95","90"
"10020","3000","126","95","90"
"10021","7000","127","200","60"
"10021","3000","128","200","60"
"10022","7000","129","200","60"
"10022","3000","130","200","60"
"10023","7000","131","200","60"
"10023","3000","132","200","60"
"11001","7000","133","130","30"
"11001","3000","134","5","5"
"11002","7000","135","140","30"
"11002","3000","136","5","5"
"11003","7000","137","150","40"
"11003","3000","138","5","5"
"11004","7000","139","155","45"
"11004","3000","140","200","5"
"11005","7000","141","155","60"
"11005","3000","142","200","10"
"11006","7000","143","150","60"
"11006","3000","144","200","15"
"11007","7000","145","150","60"
"11007","3000","146","200","15"
"11008","7000","147","160","50"
"11008","3000","148","200","15"
"11009","7000","149","140","70"
"11009","3000","150","200","30"
"11010","7000","151","180","35"
"11010","3000","152","200","120"
"11011","7000","153","140","65"
"11011","3000","154","200","30"
"11012","7000","155","200","35"
"11012","3000","156","5","5"
"11013","7000","157","150","70"
"11013","3000","158","200","15"
"11014","7000","159","150","60"
"11014","3000","160","200","15"
"11015","7000","161","150","60"
"11015","3000","162","200","15"
"11016","7000","163","150","60"
"11016","3000","164","200","15"
"11017","7000","165","150","60"
"11017","3000","166","200","15"
"11018","7000","167","120","50"
"11018","3000","168","200","60"
"11019","7000","169","102","67"
"11019","3000","170","200","60"
"11020","7000","171","120","35"
"11020","3000","172","250","60"
"20001","5000","173","200","30"
"20001","5000","174","5","30"
"20002","5000","175","220","60"
"20002","5000","176","5","60"
"20003","5000","177","200","60"
"20003","5000","178","200","15"
"20004","5000","179","200","60"
"20004","5000","180","200","10"
"20005","5000","181","150","40"
"20005","5000","182","5","40"
"20006","5000","183","150","60"
"20006","5000","184","200","10"
"20007","5000","185","150","40"
"20007","5000","186","5","40"
"20008","5000","187","150","50"
"20008","5000","188","200","15"
"20009","5000","189","150","45"
"20009","5000","190","200","10"
"20010","5000","191","145","40"
"20010","5000","192","5","10"
"20011","5000","193","300","40"
"20011","5000","194","5","10"
"20012","5000","195","200","65"
"20012","5000","196","200","10"
"20013","5000","197","150","40"
"20013","5000","198","5","10"
"20014","5000","199","100","40"
"20014","5000","200","5","10"
"20015","5000","201","200","50"
"20015","5000","202","5","10"
"20016","5000","203","250","60"
"20016","5000","204","200","30"
"20017","5000","205","120","45"
"20017","5000","206","300","90"
"20018","5000","207","120","90"
"20018","5000","208","200","30"
"20019","5000","209","190","50"
"20019","5000","210","350","60"
"20020","5000","211","95","90"
"20020","5000","212","95","90"
"20021","5000","213","200","60"
"20021","5000","214","200","60"
"20022","5000","215","200","60"
"20022","5000","216","200","60"
"20023","5000","217","200","60"
"20023","5000","218","200","60"
"21001","5000","219","130","30"
"21001","5000","220","5","5"
"21002","5000","221","140","30"
"21002","5000","222","5","5"
"21003","5000","223","150","40"
"21003","5000","224","5","5"
"21004","5000","225","155","45"
"21004","5000","226","200","5"
"21005","5000","227","155","60"
"21005","5000","228","200","10"
"21006","5000","229","150","60"
"21006","5000","230","200","15"
"21007","5000","231","150","60"
"21007","5000","232","200","15"
"21008","5000","233","160","50"
"21008","5000","234","200","15"
"21009","5000","235","140","70"
"21009","5000","236","200","30"
"21010","5000","237","180","35"
"21010","5000","238","200","120"
"21011","5000","239","140","65"
"21011","5000","240","200","30"
"21012","5000","241","200","35"
"21012","5000","242","5","5"
"21013","5000","243","150","70"
"21013","5000","244","200","15"
"21014","5000","245","150","60"
"21014","5000","246","200","15"
"21015","5000","247","150","60"
"21015","5000","248","200","15"
"21016","5000","249","150","60"
"21016","5000","250","200","15"
"21017","5000","251","150","60"
"21017","5000","252","200","15"
"21018","5000","253","120","50"
"21018","5000","254","200","60"
"21019","5000","255","102","67"
"21019","5000","256","200","60"
"21020","5000","257","120","35"
"21020","5000","258","250","60"
