1616c8c7ecf883c2096220470bad8dc67eaea2d5d026e98a2f435bc457ae024e,e130faf14b6ce0dee971151ef4cacf4231e319947fab0435edc59c43bb251ed7,ea0ba2f6fa89fb7373fbf34d8c007e2a2416b2d56a7b005777d80f45367c89c3,8152f100197c195d1ae06d7ab9a6240096d96f18348d1ce7f3501b45b00fcb34,bda81a43cb8188f1504a2c7a61a7947efd7a6f430ec8fdd901ebc9c5481b6db9,adc714c3125059a16a8b666d09829b5a158b654b5252b5ed65b874f7a124d1de,e19ea5a8d10bb5a99899f54b35e63e338e614fbdf6c875df56218b2ba0617d96,fba0246529b7e6f9df88c60993faef7ef7c74e23b9aedbaf6ba82c6833e956f9,51862d2ee47a395ef5bdb593f13396539563d4500a971058257aebbb7e8edc9f,250e7e641c5b0ccc2155e8f766679f6cb373d1050b2155aef3861a559dd54d4c,b3e9149c3724e626bc07c96347e051070d5598ea37633f08e2ded717baa5a342,8b43ba0c0db377e20a0916439ffce60c256e2354411d80ed467a6f6fae508635,36e8a0b8ecde388d3571a690a925f80e2f79b1080b29dc59d9e45e19be0fc481,c8da2b7ad397bab13f59c0124966719030bc6b899b8ac8bc439420b52ce74715
"25","7106","4","7","35","1","6","9","15","3","40","2","9","15"
"25","7107","4","7","0","1","6","10","15","3","40","2","11","15"
"25","7108","4","7","35","1","6","12","15","3","40","2","12","15"
"25","7109","4","7","0","1","6","13","15","3","40","2","14","15"
"25","7110","4","7","35","1","6","15","15","3","40","2","15","15"
"65","8101","4","8","0","1","5","1","12","3","30","2","2","12"
"65","8102","4","8","40","1","5","3","12","3","30","2","3","12"
"65","8103","4","8","0","1","5","4","12","3","30","2","5","12"
"65","8104","4","8","40","1","5","6","12","3","30","2","6","12"
"65","8105","4","8","0","1","5","7","12","3","30","2","8","12"
"65","8106","4","8","40","1","5","9","12","3","30","2","9","12"
"65","8107","4","8","0","1","5","10","12","3","30","2","11","12"
"65","8108","4","8","40","1","5","12","12","3","30","2","12","12"
"65","8109","4","8","0","1","5","13","12","3","30","2","14","12"
"65","8110","4","8","40","1","5","15","12","3","30","2","15","12"
