9c739354b12ae858ddf0c8b34d51e1e7926a150fd3b521aa8f3cd106dc189586,8d1f679237ca6ca2547398a8d52a6b6f0d0111a73a4d1c137f440cdbc10d059b,7051c84cdd56b96d9005e27107b39ffb042705da57509f3664b40d06a670c40c,be2bffd0bd36db7f21d425fe4c1ae1b1ac2e39e558b155dcd95565344e80566c,93dd243e2586f9bc6f5422bdc1aedf52fee8af6c21a42ff39d0dd3e6c9070df6,d6727eb02d8297213e6005f8ee50b60788718bff6659bb73e6d1166d12f14589,bb379923440101d982ab910e8dc20f884b514fabec61e55e1cdb954cc2a8c274,af179e16b4722ba9a4c753cc81a71f2f17bd984cc665ffb0b0e96fd9282a788c,e1540fd70b1c726858a84c66d889935ff4951a38d4e60e2894df2dc3da430aa1,50ed664e86af25d33e7f1a8f221892e8199dd08ff8ac84c98b1a6d3b841a84d8,f7d56002ac8cefd1cc83f31acf8882c9491f0a01c8fbdf87a28659e634611a93
"93","111","0","","101110038","","","","0.4","",""
"91","111","0","","101110039","","","","0","",""
"23","211","se_travel_start_2pt","","102110001","0","","","se_travel","",""
"31","211","10010","1","102110002","0","","1","10010","","0"
"31","211","10011","1","102110003","0","","1","10011","","0"
"31","211","10020","0","102110004","0","","1","10020","","0"
"1","211","1001001","0.68","102110005","62","0","-90","2","<weapon>_idle","-100"
"1","211","1001002","0.68","102110006","61","0","-15","2","<weapon>_idle","-170"
"1","211","1001003","0.68","102110007","63","0","-105","2","<weapon>_idle","-240"
"1","211","1001004","0.68","102110008","61","0","-15","2","<weapon>_idle","-310"
"1","211","1001005","0.68","102110009","62","0","-90","2","<weapon>_idle","-380"
"31","211","1001001","1","102110010","-100","0","0.68","10012","","-90"
"31","211","1001002","1","102110011","-170","0","0.68","10012","","-15"
"31","211","1001003","1","102110012","-240","0","0.68","10012","","-105"
"31","211","1001004","1","102110013","-310","0","0.68","10012","","-15"
"31","211","1001005","1","102110014","-380","0","0.68","10012","","-90"
"1","211","1002001","0.68","102110015","52","0","-240","2","<weapon>_idle","-500"
"1","211","1002002","0.68","102110016","51","0","-165","2","<weapon>_idle","-570"
"1","211","1002003","0.68","102110017","53","0","-255","2","<weapon>_idle","-640"
"1","211","1002004","0.68","102110018","51","0","-165","2","<weapon>_idle","-710"
"1","211","1002005","0.68","102110019","52","0","-240","2","<weapon>_idle","-780"
"31","211","1002001","1","102110020","-500","0","0.68","10012","","-240"
"31","211","1002002","1","102110021","-570","0","0.68","10012","","-165"
"31","211","1002003","1","102110022","-640","0","0.68","10012","","-255"
"31","211","1002004","1","102110023","-710","0","0.68","10012","","-165"
"31","211","1002005","1","102110024","-780","0","0.68","10012","","-240"
"31","211","10030","0","102110025","0","","1","10030","","0"
"31","211","10031","0","102110026","0","","1","10031","","0"
"91","211","0","","102110027","","","","","",""
"32","211","1","","102110028","","","","10030","",""
"91","211","0","","102110029","","","","0","",""
"3","211","<weapon>_run","0","102110030","1","","0","1001001","",""
"3","211","<weapon>_run","0","102110031","1","","0","1001002","",""
"3","211","<weapon>_run","0","102110032","1","","0","1001003","",""
"3","211","<weapon>_run","0","102110033","1","","0","1001004","",""
"3","211","<weapon>_run","0","102110034","1","","0","1001005","",""
"2","211","850","","102110035","-90","","0","1001001","","3"
"2","211","780","","102110036","-15","","0","1001002","","3"
"2","211","710","","102110037","-105","","0","1001003","","3"
"2","211","640","","102110038","-15","","0","1001004","","3"
"2","211","570","","102110039","-90","","0","1001005","","3"
"33","211","850","","102110040","-90","","0","1001001","","3"
"33","211","780","","102110041","-15","","0","1001002","","3"
"33","211","710","","102110042","-105","","0","1001003","","3"
"33","211","640","","102110043","-15","","0","1001004","","3"
"33","211","570","","102110044","-90","","0","1001005","","3"
"3","211","<weapon>_run","0","102110045","1","","0","1002001","",""
"3","211","<weapon>_run","0","102110046","1","","0","1002002","",""
"3","211","<weapon>_run","0","102110047","1","","0","1002003","",""
"3","211","<weapon>_run","0","102110048","1","","0","1002004","",""
"3","211","<weapon>_run","0","102110049","1","","0","1002005","",""
"2","211","450","","102110050","-240","","0","1002001","","3"
"2","211","380","","102110051","-165","","0","1002002","","3"
"2","211","310","","102110052","-255","","0","1002003","","3"
"2","211","240","","102110053","-165","","0","1002004","","3"
"2","211","170","","102110054","-240","","0","1002005","","3"
"33","211","450","","102110055","-240","","0","1002001","","3"
"33","211","380","","102110056","-165","","0","1002002","","3"
"33","211","310","","102110057","-255","","0","1002003","","3"
"33","211","240","","102110058","-165","","0","1002004","","3"
"33","211","170","","102110059","-240","","0","1002005","","3"
"32","211","1","","102110060","","","","10020","",""
"93","211","0","","102110061","","","","2.5","",""
"32","211","1","","102110062","","","","10031","",""
"93","211","0","","102110063","","","","0.4","",""
"91","211","0","","102110064","","","","0","",""
"23","311","se_travel_start_3pt","","103110001","0","","","se_travel","",""
"31","311","10010","1","103110002","0","","1","10010","","0"
"31","311","10011","1","103110003","0","","1","10011","","0"
"31","311","10020","0","103110004","0","","1","10020","","0"
"1","311","1001001","0.68","103110005","62","0","-240","2","<weapon>_idle","0"
"1","311","1001002","0.68","103110006","61","0","-165","2","<weapon>_idle","-70"
"1","311","1001003","0.68","103110007","63","0","-255","2","<weapon>_idle","-140"
"1","311","1001004","0.68","103110008","61","0","-165","2","<weapon>_idle","-210"
"1","311","1001005","0.68","103110009","62","0","-240","2","<weapon>_idle","-280"
"31","311","1001001","1","103110010","0","0","0.68","10012","","-240"
"31","311","1001002","1","103110011","-70","0","0.68","10012","","-165"
"31","311","1001003","1","103110012","-140","0","0.68","10012","","-255"
"31","311","1001004","1","103110013","-210","0","0.68","10012","","-165"
"31","311","1001005","1","103110014","-280","0","0.68","10012","","-240"
"1","311","1002001","0.68","103110015","52","0","-60","2","<weapon>_idle","-250"
"1","311","1002002","0.68","103110016","51","0","15","2","<weapon>_idle","-320"
"1","311","1002003","0.68","103110017","53","0","-75","2","<weapon>_idle","-390"
"1","311","1002004","0.68","103110018","51","0","15","2","<weapon>_idle","-460"
"1","311","1002005","0.68","103110019","52","0","-60","2","<weapon>_idle","-530"
"31","311","1002001","1","103110020","-250","0","0.68","10012","","-60"
"31","311","1002002","1","103110021","-320","0","0.68","10012","","15"
"31","311","1002003","1","103110022","-390","0","0.68","10012","","-75"
"31","311","1002004","1","103110023","-460","0","0.68","10012","","15"
"31","311","1002005","1","103110024","-530","0","0.68","10012","","-60"
"1","311","1003001","0.68","103110025","62","0","-250","2","<weapon>_idle","-500"
"1","311","1003002","0.68","103110026","61","0","-175","2","<weapon>_idle","-570"
"1","311","1003003","0.68","103110027","63","0","-265","2","<weapon>_idle","-640"
"1","311","1003004","0.68","103110028","61","0","-175","2","<weapon>_idle","-710"
"1","311","1003005","0.68","103110029","62","0","-250","2","<weapon>_idle","-780"
"31","311","1003001","1","103110030","-500","0","0.68","10012","","-250"
"31","311","1003002","1","103110031","-570","0","0.68","10012","","-175"
"31","311","1003003","1","103110032","-640","0","0.68","10012","","-265"
"31","311","1003004","1","103110033","-710","0","0.68","10012","","-175"
"31","311","1003005","1","103110034","-780","0","0.68","10012","","-250"
"31","311","10030","0","103110035","0","","1","10030","","0"
"31","311","10031","0","103110036","0","","1","10031","","0"
"91","311","0","","103110037","","","","","",""
"32","311","1","","103110038","","","","10030","",""
"91","311","0","","103110039","","","","0","",""
"3","311","<weapon>_run","0","103110040","1","","0","1001001","",""
"3","311","<weapon>_run","0","103110041","1","","0","1001002","",""
"3","311","<weapon>_run","0","103110042","1","","0","1001003","",""
"3","311","<weapon>_run","0","103110043","1","","0","1001004","",""
"3","311","<weapon>_run","0","103110044","1","","0","1001005","",""
"2","311","950","","103110045","-240","","0","1001001","","3"
"2","311","880","","103110046","-165","","0","1001002","","3"
"2","311","810","","103110047","-255","","0","1001003","","3"
"2","311","740","","103110048","-165","","0","1001004","","3"
"2","311","670","","103110049","-240","","0","1001005","","3"
"33","311","950","","103110050","-240","","0","1001001","","3"
"33","311","880","","103110051","-165","","0","1001002","","3"
"33","311","810","","103110052","-255","","0","1001003","","3"
"33","311","740","","103110053","-165","","0","1001004","","3"
"33","311","670","","103110054","-240","","0","1001005","","3"
"3","311","<weapon>_run","0","103110055","1","","0","1002001","",""
"3","311","<weapon>_run","0","103110056","1","","0","1002002","",""
"3","311","<weapon>_run","0","103110057","1","","0","1002003","",""
"3","311","<weapon>_run","0","103110058","1","","0","1002004","",""
"3","311","<weapon>_run","0","103110059","1","","0","1002005","",""
"2","311","700","","103110060","-60","","0","1002001","","3"
"2","311","630","","103110061","15","","0","1002002","","3"
"2","311","560","","103110062","-75","","0","1002003","","3"
"2","311","490","","103110063","15","","0","1002004","","3"
"2","311","420","","103110064","-60","","0","1002005","","3"
"33","311","700","","103110065","-60","","0","1002001","","3"
"33","311","630","","103110066","15","","0","1002002","","3"
"33","311","560","","103110067","-75","","0","1002003","","3"
"33","311","490","","103110068","15","","0","1002004","","3"
"33","311","420","","103110069","-60","","0","1002005","","3"
"3","311","<weapon>_run","0","103110070","1","","0","1003001","",""
"3","311","<weapon>_run","0","103110071","1","","0","1003002","",""
"3","311","<weapon>_run","0","103110072","1","","0","1003003","",""
"3","311","<weapon>_run","0","103110073","1","","0","1003004","",""
"3","311","<weapon>_run","0","103110074","1","","0","1003005","",""
"2","311","450","","103110075","-250","","0","1003001","","3"
"2","311","380","","103110076","-175","","0","1003002","","3"
"2","311","310","","103110077","-265","","0","1003003","","3"
"2","311","240","","103110078","-175","","0","1003004","","3"
"2","311","170","","103110079","-250","","0","1003005","","3"
"33","311","450","","103110080","-250","","0","1003001","","3"
"33","311","380","","103110081","-175","","0","1003002","","3"
"33","311","310","","103110082","-265","","0","1003003","","3"
"33","311","240","","103110083","-175","","0","1003004","","3"
"33","311","170","","103110084","-250","","0","1003005","","3"
"32","311","1","","103110085","","","","10020","",""
"93","311","0","","103110086","","","","2.5","",""
"32","311","1","","103110087","","","","10031","",""
"93","311","0","","103110088","","","","0.4","",""
"91","311","0","","103110089","","","","0","",""
