ae1c7849e2aa8779e24296e424689ca17b9c2ca6b0831567f2d05807ed238547,1a9c94972cb9e2509510df658cc4da426ab5140a1c35750f9260db449ef0a6c0,cd98d0422bdd23054cd95adecc591a4480921868bd605ee53ad7a9f9c2b8a016,b6c953cfe034e37f887cae38375fe309e4f23542e7ed9df4b5e7987497d74407,b19838333d6906e7f3c38730433dfa4a6adeafab409dc0564214686aafb564d4,17deefb53479963c1d6d9ef630c488832dded0c7c1acc2e23ac99582a5b560fd,282e673d994a544eb44c3200cf6b022ea92b0a18f3f98cdaccbbe84511504d82,b36a5367badccf56892e123bb58c48d40e34b37529102ff929441fe85a3009b0,9843ef2ecf11b648db2ee057f291b21f3d5f852d28cbd909fe15b9e255a89dd2
"129","2003","讓水屬性的屬性等級提升到150","2","150","3","1003","3003","20022"
"129","2004","讓水屬性的屬性等級提升到200","2","200","3","1003","3004","20022"
"129","2005","讓水屬性的屬性等級提升到250","2","250","3","1003","3005","20022"
"129","2006","讓水屬性的屬性等級提升到300","2","300","3","1003","3006","20022"
"129","2007","讓水屬性的屬性等級提升到350","2","350","3","1003","3007","20022"
"129","2008","讓水屬性的屬性等級提升到400","2","400","3","1003","3008","20022"
"129","2009","讓水屬性的屬性等級提升到450","2","450","3","1003","3009","20022"
"129","2010","讓水屬性的屬性等級提升到500","2","500","3","1003","3010","20022"
"129","2006","讓水屬性的屬性等級提升到550","2","550","3","1003","3011","20022"
"129","2007","讓水屬性的屬性等級提升到600","2","600","3","1003","3012","20022"
"129","2008","讓水屬性的屬性等級提升到650","2","650","3","1003","3013","20022"
"129","2009","讓水屬性的屬性等級提升到700","2","700","3","1003","3014","20022"
"129","2010","讓水屬性的屬性等級提升到750","2","750","3","1003","3015","20022"
"129","2001","讓風屬性的屬性等級提升到50","3","50","4","1003","4001","20022"
"129","2002","讓風屬性的屬性等級提升到100","3","100","4","1003","4002","20022"
"129","2003","讓風屬性的屬性等級提升到150","3","150","4","1003","4003","20022"
"129","2004","讓風屬性的屬性等級提升到200","3","200","4","1003","4004","20022"
"129","2005","讓風屬性的屬性等級提升到250","3","250","4","1003","4005","20022"
"129","2006","讓風屬性的屬性等級提升到300","3","300","4","1003","4006","20022"
"129","2007","讓風屬性的屬性等級提升到350","3","350","4","1003","4007","20022"
"129","2008","讓風屬性的屬性等級提升到400","3","400","4","1003","4008","20022"
"129","2009","讓風屬性的屬性等級提升到450","3","450","4","1003","4009","20022"
"129","2010","讓風屬性的屬性等級提升到500","3","500","4","1003","4010","20022"
"129","2006","讓風屬性的屬性等級提升到550","3","550","4","1003","4011","20022"
"129","2007","讓風屬性的屬性等級提升到600","3","600","4","1003","4012","20022"
"129","2008","讓風屬性的屬性等級提升到650","3","650","4","1003","4013","20022"
"129","2009","讓風屬性的屬性等級提升到700","3","700","4","1003","4014","20022"
"129","2010","讓風屬性的屬性等級提升到750","3","750","4","1003","4015","20022"
"129","2001","讓光屬性的屬性等級提升到50","4","50","5","1003","5001","20022"
"129","2002","讓光屬性的屬性等級提升到100","4","100","5","1003","5002","20022"
"129","2003","讓光屬性的屬性等級提升到150","4","150","5","1003","5003","20022"
"129","2004","讓光屬性的屬性等級提升到200","4","200","5","1003","5004","20022"
"129","2005","讓光屬性的屬性等級提升到250","4","250","5","1003","5005","20022"
"129","2006","讓光屬性的屬性等級提升到300","4","300","5","1003","5006","20022"
"129","2007","讓光屬性的屬性等級提升到350","4","350","5","1003","5007","20022"
"129","2008","讓光屬性的屬性等級提升到400","4","400","5","1003","5008","20022"
"129","2009","讓光屬性的屬性等級提升到450","4","450","5","1003","5009","20022"
"129","2010","讓光屬性的屬性等級提升到500","4","500","5","1003","5010","20022"
"129","2006","讓光屬性的屬性等級提升到550","4","550","5","1003","5011","20022"
"129","2007","讓光屬性的屬性等級提升到600","4","600","5","1003","5012","20022"
"129","2008","讓光屬性的屬性等級提升到650","4","650","5","1003","5013","20022"
"129","2009","讓光屬性的屬性等級提升到700","4","700","5","1003","5014","20022"
"129","2010","讓光屬性的屬性等級提升到750","4","750","5","1003","5015","20022"
"129","2001","讓闇屬性的屬性等級提升到50","5","50","6","1003","6001","20022"
"129","2002","讓闇屬性的屬性等級提升到100","5","100","6","1003","6002","20022"
"129","2003","讓闇屬性的屬性等級提升到150","5","150","6","1003","6003","20022"
"129","2004","讓闇屬性的屬性等級提升到200","5","200","6","1003","6004","20022"
"129","2005","讓闇屬性的屬性等級提升到250","5","250","6","1003","6005","20022"
"129","2006","讓闇屬性的屬性等級提升到300","5","300","6","1003","6006","20022"
"129","2007","讓闇屬性的屬性等級提升到350","5","350","6","1003","6007","20022"
"129","2008","讓闇屬性的屬性等級提升到400","5","400","6","1003","6008","20022"
"129","2009","讓闇屬性的屬性等級提升到450","5","450","6","1003","6009","20022"
"129","2010","讓闇屬性的屬性等級提升到500","5","500","6","1003","6010","20022"
"129","2006","讓闇屬性的屬性等級提升到550","5","550","6","1003","6011","20022"
"129","2007","讓闇屬性的屬性等級提升到600","5","600","6","1003","6012","20022"
"129","2008","讓闇屬性的屬性等級提升到650","5","650","6","1003","6013","20022"
"129","2009","讓闇屬性的屬性等級提升到700","5","700","6","1003","6014","20022"
"129","2010","讓闇屬性的屬性等級提升到750","5","750","6","1003","6015","20022"
"129","7001","完成強化10個節點","0","10","7","1004","7001","20023"
"129","7002","完成強化20個節點","0","20","7","1004","7002","20023"
"129","7003","完成強化30個節點","0","30","7","1004","7003","20023"
"129","7004","完成強化40個節點","0","40","7","1004","7004","20023"
"129","7005","完成強化50個節點","0","50","7","1004","7005","20023"
"129","7006","完成強化60個節點","0","60","7","1004","7006","20023"
"129","7007","完成強化70個節點","0","70","7","1004","7007","20023"
"129","7008","完成強化80個節點","0","80","7","1004","7008","20023"
"129","7009","完成強化90個節點","0","90","7","1004","7009","20023"
"129","7010","完成強化100個節點","0","100","7","1004","7010","20023"
"129","7011","完成強化110個節點","0","110","7","1004","7011","20023"
"129","7012","完成強化120個節點","0","120","7","1004","7012","20023"
"129","7013","完成強化130個節點","0","130","7","1004","7013","20023"
"129","7014","完成強化140個節點","0","140","7","1004","7014","20023"
"129","7015","完成強化150個節點","0","150","7","1004","7015","20023"
"129","7016","完成強化160個節點","0","160","7","1004","7016","20023"
"129","7017","完成強化170個節點","0","170","7","1004","7017","20023"
"129","7018","完成強化180個節點","0","180","7","1004","7018","20023"
"129","7019","完成強化190個節點","0","190","7","1004","7019","20023"
"129","7020","完成強化200個節點","0","200","7","1004","7020","20023"
"129","7021","完成強化210個節點","0","210","7","1004","7021","20023"
"129","7022","完成強化222個節點","0","222","7","1004","7022","20023"
"129","7022","完成強化250個節點","0","250","7","1004","7023","20023"
"129","7022","完成強化275個節點","0","275","7","1004","7024","20023"
"129","7022","完成強化300個節點","0","300","7","1004","7025","20023"
"129","7022","完成強化325個節點","0","325","7","1004","7026","20023"
"129","7022","完成強化350個節點","0","350","7","1004","7027","20023"
"129","7022","完成強化375個節點","0","375","7","1004","7028","20023"
"129","7022","完成強化400個節點","0","400","7","1004","7029","20023"
"129","7022","完成強化430個節點","0","430","7","1004","7030","20023"
"129","8001","完成強化5個節點","0","5","8","1005","8001","20024"
"129","8002","完成強化10個節點","0","10","8","1005","8002","20024"
"129","8003","完成強化15個節點","0","15","8","1005","8003","20024"
"129","8004","完成強化20個節點","0","20","8","1005","8004","20024"
"129","8005","完成強化25個節點","0","25","8","1005","8005","20024"
"129","8006","完成強化33個節點","0","33","8","1005","8006","20024"
"129","8007","完成強化40個節點","0","40","8","1005","8007","20024"
"129","8007","完成強化50個節點","0","50","8","1005","8008","20024"
"129","8007","完成強化60個節點","0","60","8","1005","8009","20024"
"129","8007","完成強化66個節點","0","66","8","1005","8010","20024"
"129","8007","完成強化80個節點","0","80","8","1005","8011","20024"
"129","8007","完成強化90個節點","0","90","8","1005","8012","20024"
"129","8007","完成強化96個節點","0","96","8","1005","8013","20024"
"129","9001","讓４個攻擊者專精提升到等級１以上","1","4","9","1012","9101","20031"
"129","9002","讓４個攻擊者專精提升到等級２以上","2","4","9","1012","9102","20031"
"129","9003","讓４個攻擊者專精提升到等級３以上","3","4","9","1012","9103","20031"
"129","9004","讓４個攻擊者專精提升到等級４以上","4","4","9","1012","9104","20031"
"129","9005","讓４個攻擊者專精提升到等級５以上","5","4","9","1012","9105","20031"
"129","9001","讓４個破防者專精提升到等級１以上","1","4","10","1012","9201","20032"
"129","9002","讓４個破防者專精提升到等級２以上","2","4","10","1012","9202","20032"
"129","9003","讓４個破防者專精提升到等級３以上","3","4","10","1012","9203","20032"
"129","9004","讓４個破防者專精提升到等級４以上","4","4","10","1012","9204","20032"
"129","9005","讓４個破防者專精提升到等級５以上","5","4","10","1012","9205","20032"
"129","9001","讓４個增益者專精提升到等級１以上","1","4","11","1012","9301","20033"
"129","9002","讓４個增益者專精提升到等級２以上","2","4","11","1012","9302","20033"
"129","9003","讓４個增益者專精提升到等級３以上","3","4","11","1012","9303","20033"
"129","9004","讓４個增益者專精提升到等級４以上","4","4","11","1012","9304","20033"
"129","9005","讓４個增益者專精提升到等級５以上","5","4","11","1012","9305","20033"
"129","9001","讓４個減益者專精提升到等級１以上","1","4","12","1012","9401","20034"
"129","9002","讓４個減益者專精提升到等級２以上","2","4","12","1012","9402","20034"
"129","9003","讓４個減益者專精提升到等級３以上","3","4","12","1012","9403","20034"
"129","9004","讓４個減益者專精提升到等級４以上","4","4","12","1012","9404","20034"
"129","9005","讓４個減益者專精提升到等級５以上","5","4","12","1012","9405","20034"
"129","9001","讓４個增幅者專精提升到等級１以上","1","4","13","1012","9501","20035"
"129","9002","讓４個增幅者專精提升到等級２以上","2","4","13","1012","9502","20035"
"129","9003","讓４個增幅者專精提升到等級３以上","3","4","13","1012","9503","20035"
"129","9004","讓４個增幅者專精提升到等級４以上","4","4","13","1012","9504","20035"
"129","9005","讓４個增幅者專精提升到等級５以上","5","4","13","1012","9505","20035"
"129","9001","讓４個治療者專精提升到等級１以上","1","4","14","1012","9601","20036"
"129","9002","讓４個治療者專精提升到等級２以上","2","4","14","1012","9602","20036"
"129","9003","讓４個治療者專精提升到等級３以上","3","4","14","1012","9603","20036"
"129","9004","讓４個治療者專精提升到等級４以上","4","4","14","1012","9604","20036"
"129","9005","讓４個治療者專精提升到等級５以上","5","4","14","1012","9605","20036"
"129","9001","讓４個掩護者專精提升到等級１以上","1","4","15","1012","9701","20037"
"129","9002","讓４個掩護者專精提升到等級２以上","2","4","15","1012","9702","20037"
"129","9003","讓４個掩護者專精提升到等級３以上","3","4","15","1012","9703","20037"
"129","9004","讓４個掩護者專精提升到等級４以上","4","4","15","1012","9704","20037"
"129","9005","讓４個掩護者專精提升到等級５以上","5","4","15","1012","9705","20037"
"129","9001","讓４個妨礙者專精提升到等級１以上","1","4","16","1012","9801","20038"
"129","9002","讓４個妨礙者專精提升到等級２以上","2","4","16","1012","9802","20038"
"129","9003","讓４個妨礙者專精提升到等級３以上","3","4","16","1012","9803","20038"
"129","9004","讓４個妨礙者專精提升到等級４以上","4","4","16","1012","9804","20038"
"129","9005","讓４個妨礙者專精提升到等級５以上","5","4","16","1012","9805","20038"
