256be8fcd1be9db332a1b3807ad870f2981158a7c6e077d992f292c6efdb64c9,39155963cf51ec9f4a015f94b8f96a3b73120f1d6c8440ff0618d1d687e59d49,7042559d6a1a22cec0343705c3ac1ca7dccae822fea1ed117f75adac3219990f,4d9170abc2e38246a26c0b64dfef31dd3e21500a135c92df08b2e2171627dfda,ec9bb605879ce0777d60bed865e93785b89895581aea4cf4f9b3b9ef5ffba0ec,e2f86442b4e99ac963fe17326311157dac7ba138d7e0650c7b62437a87cf20d9,42a2216ffc8c92ac9666026cd4cdd0fc42a495259751cd242bb0f9e15eb54fc8,7648cd812beba30b49f0f9024da1b6fc04de412c57df9b5453cecad083d12652
"10","308","10","1651","5","167","141","137"
"11","282","11","1661","5","174","-46","175"
"1","-252","1","1741","6","240","-11","222"
"2","-19","2","1761","6","245","-96","311"
"3","-46","3","1771","6","221","95","261"
"4","152","4","1781","6","237","83","166"
"5","227","5","1782","6","229","-100","183"
"1","-249","1","1811","7","183","-46","223"
"2","-159","2","1881","7","247","54","337"
"3","30","3","1921","7","191","-70","202"
"4","173","4","1941","7","215","0","176"
"5","292","5","1981","7","236","77","204"
"1","-472","1","2001","8","254","89","209"
"2","-375","2","2031","8","282","-77","250"
"3","-280","3","2051","8","223","110","241"
"4","-148","4","2101","8","270","-85","243"
"5","3","5","2131","8","264","74","274"
"6","155","6","2171","8","302","-36","321"
"7","283","7","2201","8","277","82","199"
"8","374","8","2271","8","344","0","349"
"1","-275","1","2321","9","301","-30","240"
"2","-132","2","2361","9","108","-115","106"
"3","-132","3","2371","9","108","-115","106"
"4","-73","4","2381","9","246","32","202"
"5","-43","5","2411","9","84","-140","114"
"6","-43","6","2421","9","84","-140","114"
"8","50","7","2461","9","84","65","86"
"9","50","8","2471","9","84","65","86"
"10","80","9","2481","9","137","-110","185"
"11","80","10","2491","9","137","-110","185"
"7","131","11","2521","9","377","24","301"
"12","280","12","2531","9","305","-50","190"
"3","-527","1","2601","10","145","-137","123"
"4","-527","2","2611","10","145","-137","123"
"1","-379","3","2621","10","295","35","408"
"2","-299","4","2622","10","192","103","171"
"6","-138","5","2623","10","244","-64","342"
"5","-47","6","2701","10","254","9","224"
"8","131","7","2781","10","204","-88","253"
"9","89","8","2791","10","139","23","110"
"10","89","9","2801","10","139","23","110"
"7","275","10","2811","10","249","42","292"
"11","274","11","2821","10","151","-120","126"
"12","274","12","2831","10","151","-120","126"
"13","448","13","2841","10","316","-17","276"
"1","-292","1","2901","11","203","-87","158"
"2","-224","2","3011","11","187","123","256"
"3","-65","3","3031","11","225","-80","144"
"4","80","4","3111","11","214","-84","149"
"5","227","5","3131","11","194","112","201"
"6","159","6","3141","11","111","-111","161"
"7","159","7","3151","11","111","-111","161"
"8","307","8","3171","11","209","-80","166"
"3","-185","1","3211","12","206","-106","364"
"1","-304","2","3221","12","277","34","160"
"2","-107","3","3231","12","275","45","249"
"5","31","4","3321","12","233","-46","167"
"7","135","5","3381","12","130","-122","174"
"8","135","6","3391","12","130","-122","174"
"4","127","7","3431","12","223","101","244"
"6","254","8","3441","12","246","-24","235"
"9","303","9","3461","12","156","-114","167"
"10","303","10","3471","12","156","-114","167"
"11","338","11","3491","12","94","152","108"
"12","338","12","3501","12","94","152","108"
"3","-286","1","3531","13","270","-48","210"
"2","-310","2","3541","13","103","144","92"
"3","-152","3","3551","13","219","-90","228"
"4","-148","4","3561","13","103","99","94"
"5","-12","5","3571","13","71","-157","110"
"1","-5","6","3581","13","274","-2","209"
"6","141","7","3691","13","292","-72","219"
"7","146","8","3701","13","104","143","88"
"8","299","9","3741","13","135","131","160"
"9","299","10","3751","13","135","131","160"
"10","301","11","3791","13","268","-82","179"
"2","-470","1","3801","14","286","6","197"
"3","-520","2","3811","14","89","-123","134"
"1","-369","3","3821","14","236","103","204"
"5","-283","4","3861","14","241","-74","176"
"6","-151","5","3891","14","236","-83","156"
"4","-174","6","3911","14","226","108","219"
"10","-51","7","3921","14","96","-130","107"
"9","-5","8","3931","14","251","50","179"
"11","100","9","3941","14","102","-106","113"
"12","268","10","3951","14","317","-41","242"
"7","138","11","3961","14","240","79","209"
"8","138","12","3971","14","240","79","209"
"14","441","13","4021","14","93","-125","125"
"13","485","14","4031","14","279","22","219"
