f207911df3baf95abfb351d23ea9f30e80ff6ad062a92a0cb60871a8bb5e1906,9edcc13e8c503ff260d06cac5ac6031bb1e5911761200d16901dc9676c46dd32,1601d398f4233e3c542b48e81bd20530e9264009061cf18aca28e5c1167957fe,8939dcad53cf4ac4b73f6b897e1b50c960b889e5c70e3eca8db3944ad23618ae,ce0ab82d5567f501dbd2139e4535a5c163002cf65c47ebdf2a1fc12247b480f0,540d2127c07eff14e5ac827f2fe94c4d888dcbeb7610c79d15a4b5040d968069,c6ac09e9f4aa38204ce5c85b5d5f760a4fd21e538b28c91c8bf02b1ec692b501,bff213d28299cd011e95272d309e0e471b2b6413c8a13d1a96f63b115717339d,2268ed03e055f830fa2a2644938f0ceb3c6616868a4596d44ac3738125b163dd,e00892f4567e25dec6b79a6bf4aeb97ab79468f56df084a7ccbde9a96a47ec9b,1629cba9b068a24e06a8f01bf1be4e324e7d108ac6aca7eb34cda104bd43fbe5,2695b7bb648d93590f86e61a9ce4e7111ed43d8acc47c36635042b4a35a4ac2e
"19","0","0","1010019","0","0","4","1","0","1.199","1","0"
"20","0","67","1010020","0","0.958","1","1","103","0","0","5"
"21","0","0","1010021","0","0","4","1","0","1.269","1","0"
"22","0","103","1010022","0","1.373","1","1","394","0","0","5"
"23","0","0","1010023","0","0","4","1","0","1.373","1","0"
"24","0","0","1010024","0","0.193","1","1","0","0","0","6"
"25","0","0","1010025","0","0","4","1","0","0.552","1","0"
"26","0","0","1010026","0","2.64","1","1","368","0","0","6"
"27","0","0","1010027","0","0","4","1","0","3.195","1","0"
"28","0","0","1010028","0","0.599","1","1","64","0","0","7"
"29","0","0","1010029","0","0","4","1","0","0.929","1","0"
"30","0","64","1010030","0","1.302","1","1","315","0","0","7"
"31","0","0","1010031","0","0","4","1","0","2.395","1","0"
"32","vo_minigame_1005_nikki01_002","0","1010032","vo_minigame_1005","0","2","1","0","0","0","0"
"33","0","0","1010033","0","2.09","1","1","345","0","0","8"
"34","0","0","1010034","0","0","4","1","0","2.512","1","0"
"35","0","0","1010035","0","0.868","1","1","63","0","0","9"
"36","0","0","1010036","0","0","4","1","0","0.907","1","0"
"37","0","63","1010037","0","1.107","1","1","315","0","0","9"
"38","0","0","1010038","0","0","4","1","0","1.107","1","0"
"39","0","0","1010039","0","1.107","1","1","162","0","0","10"
"40","0","0","1010040","0","0","4","1","0","1.455","1","0"
"41","0","162","1010041","0","1.65","1","1","162","0","0","10"
"42","0","0","1010042","0","0","4","1","0","2.654","1","0"
"43","vo_minigame_1005_nikki01_003","0","1010043","vo_minigame_1005","0","2","1","0","0","0","0"
"44","0","162","1010044","0","0.685","1","1","262","0","0","10"
"45","0","0","1010045","0","0","4","1","0","1.036","1","0"
"46","0","262","1010046","0","0.378","1","1","397","0","0","10"
"47","0","0","1010047","0","0","4","1","0","0.378","1","0"
"48","0","0","1010048","0","2.438","1","1","377","0","0","11"
"49","0","0","1010049","0","0","4","1","0","3.395","1","0"
"50","vo_minigame_1005_nikki01_004","0","1010050","vo_minigame_1005","0","2","1","0","0","0","0"
"51","0","0","1010051","0","0.642","1","1","102","0","0","12"
"52","0","0","1010052","0","0","4","1","0","1.061","1","0"
"53","0","102","1010053","0","0.539","1","1","187","0","0","12"
"54","0","0","1010054","0","0","4","1","0","0.877","1","0"
"55","0","187","1010055","0","1.135","1","1","316","0","0","12"
"56","0","0","1010056","0","0","4","1","0","2.635","1","0"
"1","0","0","1020001","0","0","4","2","0","1","3","0"
"2","vo_minigame_1005_nikki02_000","0","1020002","vo_minigame_1005","0","2","2","0","0","0","0"
"3","0","0","1020003","0","2.91","1","2","345","0","0","1"
"4","0","0","1020004","0","0","4","2","0","3.814","1","0"
"5","vo_minigame_1005_nikki02_001","0","1020005","vo_minigame_1005","0","2","2","0","0","0","0"
"6","0","0","1020006","0","1.67","1","2","239","0","0","2"
"7","0","0","1020007","0","0","4","2","0","2.19","1","0"
"8","0","0","1020008","0","2.455","1","2","314","0","0","3"
"9","0","0","1020009","0","0","4","2","0","3.527","1","0"
"10","vo_minigame_1005_nikki02_002","0","1020010","vo_minigame_1005","0","2","2","0","0","0","0"
"11","0","0","1020011","0","0.454","1","2","104","0","0","4"
"12","0","0","1020012","0","0","4","2","0","0.874","1","0"
"13","0","104","1020013","0","2.154","1","2","392","0","0","4"
"14","0","0","1020014","0","0","4","2","0","3.373","1","0"
"15","vo_minigame_1005_nikki02_003","0","1020015","vo_minigame_1005","0","2","2","0","0","0","0"
"16","0","0","1020016","0","0.895","1","2","125","0","0","5"
"17","0","0","1020017","0","0","4","2","0","1.311","1","0"
"18","0","125","1020018","0","1.114","1","2","265","0","0","5"
"19","0","0","1020019","0","0","4","2","0","1.181","1","0"
"20","0","265","1020020","0","0.497","1","2","340","0","0","5"
"21","0","0","1020021","0","0","4","2","0","0.497","1","0"
"22","0","0","1020022","0","1.37","1","2","189","0","0","6"
"23","0","0","1020023","0","0","4","2","0","2.407","1","0"
"24","vo_minigame_1005_nikki02_004","0","1020024","vo_minigame_1005","0","2","2","0","0","0","0"
"25","0","0","1020025","0","1.616","1","2","295","0","0","7"
"26","0","0","1020026","0","0","4","2","0","2.035","1","0"
"27","0","0","1020027","0","0.951","1","2","68","0","0","8"
"28","0","0","1020028","0","0","4","2","0","1.322","1","0"
"29","0","68","1020029","0","1.924","1","2","258","0","0","8"
"30","0","0","1020030","0","0","4","2","0","2.98","1","0"
"31","vo_minigame_1005_nikki02_005","0","1020031","vo_minigame_1005","0","2","2","0","0","0","0"
"32","0","0","1020032","0","0.93","1","2","83","0","0","9"
"33","0","0","1020033","0","0","4","2","0","1.24","1","0"
"34","0","83","1020034","0","0.879","1","2","257","0","0","9"
"35","0","0","1020035","0","0","4","2","0","1.877","1","0"
"36","vo_minigame_1005_nikki02_006","0","1020036","vo_minigame_1005","0","2","2","0","0","0","0"
"37","0","0","1020037","0","1.148","1","2","164","0","0","10"
"38","0","0","1020038","0","0","4","2","0","1.541","1","0"
"39","0","164","1020039","0","1.145","1","2","367","0","0","10"
"40","0","0","1020040","0","0","4","2","0","2.645","1","0"
"1","0","0","1030001","0","0","4","3","0","1","3","0"
"2","vo_minigame_1005_nikki03_000","0","1030002","vo_minigame_1005","0","2","3","0","0","0","0"
"3","0","0","1030003","0","2.61","1","3","340","0","0","1"
"4","0","0","1030004","0","0","4","3","0","3.007","1","0"
"5","0","0","1030005","0","1.47","1","3","233","0","0","2"
"6","0","0","1030006","0","0","4","3","0","2.171","1","0"
"7","vo_minigame_1005_nikki03_001","0","1030007","vo_minigame_1005","0","2","3","0","0","0","0"
"8","0","0","1030008","0","2.1","1","3","322","0","0","3"
"9","0","0","1030009","0","0","4","3","0","2.579","1","0"
"10","0","0","1030010","0","2.298","1","3","370","0","0","4"
"11","0","0","1030011","0","0","4","3","0","3.18","1","0"
"12","vo_minigame_1005_nikki03_002","0","1030012","vo_minigame_1005","0","2","3","0","0","0","0"
"13","0","0","1030013","0","1.262","1","3","101","0","0","5"
"14","0","0","1030014","0","0","4","3","0","1.993","1","0"
"15","vo_minigame_1005_nikki03_003","0","1030015","vo_minigame_1005","0","2","3","0","0","0","0"
"16","0","101","1030016","0","0.373","1","3","142","0","0","5"
"17","0","0","1030017","0","0","4","3","0","0.69","1","0"
"18","0","142","1030018","0","1.045","1","3","362","0","0","5"
"19","0","0","1030019","0","0","4","3","0","2.131","1","0"
"20","vo_minigame_1005_nikki03_004","0","1030020","vo_minigame_1005","0","2","3","0","0","0","0"
"21","0","0","1030021","0","2.147","1","3","289","0","0","6"
"22","0","0","1030022","0","0","4","3","0","2.618","1","0"
"23","0","0","1030023","0","1.445","1","3","350","0","0","7"
"24","0","0","1030024","0","0","4","3","0","2.552","1","0"
"25","vo_minigame_1005_nikki03_005","0","1030025","vo_minigame_1005","0","2","3","0","0","0","0"
"26","0","0","1030026","0","0.876","1","3","103","0","0","8"
"27","0","0","1030027","0","0","4","3","0","1.252","1","0"
"28","0","103","1030028","0","2.625","1","3","407","0","0","8"
"29","0","0","1030029","0","0","4","3","0","4.056","1","0"
"30","vo_minigame_1005_nikki03_006","0","1030030","vo_minigame_1005","0","2","3","0","0","0","0"
"31","0","0","1030031","0","2.728","1","3","383","0","0","9"
"32","0","0","1030032","0","0","4","3","0","3.023","1","0"
"33","0","0","1030033","0","0.91","1","3","104","0","0","10"
"34","0","0","1030034","0","0","4","3","0","1.977","1","0"
"35","vo_minigame_1005_nikki03_007","0","1030035","vo_minigame_1005","0","2","3","0","0","0","0"
"36","0","104","1030036","0","0.558","1","3","245","0","0","10"
"37","0","0","1030037","0","0","4","3","0","0.973","1","0"
"38","0","245","1030038","0","1.35","1","3","392","0","0","10"
"39","0","0","1030039","0","0","4","3","0","2.103","1","0"
"40","vo_minigame_1005_nikki03_008","0","1030040","vo_minigame_1005","0","2","3","0","0","0","0"
"41","0","0","1030041","0","0.935","1","3","150","0","0","11"
"42","0","0","1030042","0","0","4","3","0","2.435","1","0"
"1","0","0","1040001","0","0","4","4","0","1","3","0"
"2","vo_minigame_1005_nikki04_000","0","1040002","vo_minigame_1005","0","2","4","0","0","0","0"
"3","0","0","1040003","0","1.597","1","4","222","0","0","1"
"4","0","0","1040004","0","0","4","4","0","1.881","1","0"
"5","0","0","1040005","0","1.46","1","4","239","0","0","2"
"6","0","0","1040006","0","0","4","4","0","2.457","1","0"
"7","vo_minigame_1005_nikki04_001","0","1040007","vo_minigame_1005","0","2","4","0","0","0","0"
"8","0","0","1040008","0","1.208","1","4","184","0","0","3"
"9","0","0","1040009","0","0","4","4","0","1.578","1","0"
"10","0","184","1040010","0","0.673","1","4","303","0","0","3"
"11","0","0","1040011","0","0","4","4","0","1.009","1","0"
"12","0","303","1040012","0","0.65","1","4","370","0","0","3"
"13","0","0","1040013","0","0","4","4","0","0.729","1","0"
"14","0","0","1040014","0","0.976","1","4","182","0","0","4"
"15","0","0","1040015","0","0","4","4","0","1.993","1","0"
"16","vo_minigame_1005_nikki04_002","0","1040016","vo_minigame_1005","0","2","4","0","0","0","0"
"17","0","182","1040017","0","0.396","1","4","242","0","0","4"
"18","0","0","1040018","0","0","4","4","0","0.864","1","0"
"19","0","242","1040019","0","0.74","1","4","360","0","0","4"
"20","0","0","1040020","0","0","4","4","0","1.855","1","0"
"21","vo_minigame_1005_nikki04_003","0","1040021","vo_minigame_1005","0","2","4","0","0","0","0"
"22","0","0","1040022","0","0.437","1","4","84","0","0","5"
"23","0","0","1040023","0","0","4","4","0","0.497","1","0"
"24","0","84","1040024","0","1.776","1","4","289","0","0","5"
"25","0","0","1040025","0","0","4","4","0","2.233","1","0"
"26","0","0","1040026","0","1.29","1","4","163","0","0","6"
"27","0","0","1040027","0","0","4","4","0","1.638","1","0"
"28","0","163","1040028","0","1.137","1","4","400","0","0","6"
"29","0","0","1040029","0","0","4","4","0","2.3","1","0"
"30","vo_minigame_1005_nikki04_004","0","1040030","vo_minigame_1005","0","2","4","0","0","0","0"
"31","0","0","1040031","0","0.336","1","4","65","0","0","7"
"32","0","0","1040032","0","0","4","4","0","0.826","1","0"
"33","0","65","1040033","0","1.223","1","4","203","0","0","7"
"34","0","0","1040034","0","0","4","4","0","1.223","1","0"
"35","0","203","1040035","0","0.994","1","4","325","0","0","7"
"36","0","0","1040036","0","0","4","4","0","1.487","1","0"
"37","0","0","1040037","0","0.89","1","4","312","0","0","8"
"38","0","0","1040038","0","0","4","4","0","1.567","1","0"
"39","vo_minigame_1005_nikki04_005","0","1040039","vo_minigame_1005","0","2","4","0","0","0","0"
"40","0","0","1040040","0","0.74","1","4","151","0","0","9"
"41","0","0","1040041","0","0","4","4","0","1.731","1","0"
"42","vo_minigame_1005_nikki04_006","0","1040042","vo_minigame_1005","0","2","4","0","0","0","0"
"43","0","0","1040043","0","1.937","1","4","278","0","0","10"
"44","0","0","1040044","0","0","4","4","0","2.435","1","0"
"45","0","0","1040045","0","0.822","1","4","66","0","0","11"
"46","0","0","1040046","0","0","4","4","0","1.376","1","0"
"47","0","66","1040047","0","0.576","1","4","203","0","0","11"
"48","0","0","1040048","0","0","4","4","0","0.923","1","0"
"49","0","203","1040049","0","0.785","1","4","353","0","0","11"
"50","0","0","1040050","0","0","4","4","0","2.285","1","0"
"1","0","0","1050001","0","0","4","5","0","1","3","0"
"2","vo_minigame_1005_nikki05_000","0","1050002","vo_minigame_1005","0","2","5","0","0","0","0"
"3","0","0","1050003","0","1.419","1","5","183","0","0","1"
"4","0","0","1050004","0","0","4","5","0","1.662","1","0"
"5","0","0","1050005","0","1.614","1","5","265","0","0","2"
"6","0","0","1050006","0","0","4","5","0","2.394","1","0"
"7","vo_minigame_1005_nikki05_001","0","1050007","vo_minigame_1005","0","2","5","0","0","0","0"
"8","0","0","1050008","0","2.658","1","5","394","0","0","3"
"9","0","0","1050009","0","0","4","5","0","3.202","1","0"
"10","vo_minigame_1005_nikki05_002","0","1050010","vo_minigame_1005","0","2","5","0","0","0","0"
"11","0","0","1050011","0","1.745","1","5","298","0","0","4"
"12","0","0","1050012","0","0","4","5","0","2.545","1","0"
"13","vo_minigame_1005_nikki05_003","0","1050013","vo_minigame_1005","0","2","5","0","0","0","0"
"14","0","0","1050014","0","0.964","1","5","84","0","0","5"
"15","0","0","1050015","0","0","4","5","0","1.34","1","0"
"16","0","84","1050016","0","1.919","1","5","394","0","0","5"
"17","0","0","1050017","0","0","4","5","0","2.719","1","0"
"18","vo_minigame_1005_nikki05_004","0","1050018","vo_minigame_1005","0","2","5","0","0","0","0"
"19","0","0","1050019","0","0.434","1","5","103","0","0","6"
"20","0","0","1050020","0","0","4","5","0","0.903","1","0"
"21","0","103","1050021","0","0.8","1","5","250","0","0","6"
"22","0","0","1050022","0","0","4","5","0","0.8","1","0"
"23","0","0","1050023","0","0.262","1","5","25","0","0","7"
"24","0","0","1050024","0","0","4","5","0","0.968","1","0"
"25","0","25","1050025","0","2.473","1","5","309","0","0","7"
"26","0","0","1050026","0","0","4","5","0","3.315","1","0"
"27","vo_minigame_1005_nikki05_005","0","1050027","vo_minigame_1005","0","2","5","0","0","0","0"
"28","0","0","1050028","0","0.509","1","5","28","0","0","8"
"29","0","0","1050029","0","0","4","5","0","0.988","1","0"
"30","0","28","1050030","0","1.775","1","5","364","0","0","8"
"31","0","0","1050031","0","0","4","5","0","2.507","1","0"
"32","vo_minigame_1005_nikki05_006","0","1050032","vo_minigame_1005","0","2","5","0","0","0","0"
"33","0","0","1050033","0","1.139","1","5","201","0","0","9"
"34","0","0","1050034","0","0","4","5","0","2.066","1","0"
"35","vo_minigame_1005_nikki05_007","0","1050035","vo_minigame_1005","0","2","5","0","0","0","0"
"36","0","0","1050036","0","0.665","1","5","60","0","0","10"
"37","0","0","1050037","0","0","4","5","0","1.144","1","0"
"38","0","60","1050038","0","1.389","1","5","282","0","0","10"
"39","0","0","1050039","0","0","4","5","0","1.789","1","0"
"40","0","282","1050040","0","0.823","1","5","376","0","0","10"
"41","0","0","1050041","0","0","4","5","0","2.023","1","0"
