13b215a0cc17285183554c138206bfbaa68d12d9ebaf5fc2a5abb8744f2dab3b,1a36f8fba4e37ea70d0933c426f53d03d69a3df91c22f64c68de1e40e701a2de,fbd223f1bbf9db40b8098a35f5921c7f703c4ed4056791f60a932b8fe2a05066,6e3629e14f4333923d331fb6bc1c587a77b4791da2c4fb507f3f52fc0fe9e731,ceae231c3e33064361ed9c837dc625c18a11820a54db393f438bccabd510d3eb,0af057f4ffb832edff8d6054148e16c088fadcc2c239102f369fdd40ff7a47b8,b25726217f224b49d0418b39a34fd8492f32c83b1592466a73e49638c294511d,eaebd1f16c0b2aef2bb4f27f9845eb9c226134a3c2b7b7d392beb415d7b0dd96,e357509c3e733740858a22b888717a277e1724e978caa62eac8a8d333ebbcb4b
"20022","300","5","129","5006","1003","4","讓光屬性的屬性等級提升到300","2006"
"20022","350","5","129","5007","1003","4","讓光屬性的屬性等級提升到350","2007"
"20022","400","5","129","5008","1003","4","讓光屬性的屬性等級提升到400","2008"
"20022","450","5","129","5009","1003","4","讓光屬性的屬性等級提升到450","2009"
"20022","500","5","129","5010","1003","4","讓光屬性的屬性等級提升到500","2010"
"20022","50","6","129","6001","1003","5","讓闇屬性的屬性等級提升到50","2001"
"20022","100","6","129","6002","1003","5","讓闇屬性的屬性等級提升到100","2002"
"20022","150","6","129","6003","1003","5","讓闇屬性的屬性等級提升到150","2003"
"20022","200","6","129","6004","1003","5","讓闇屬性的屬性等級提升到200","2004"
"20022","250","6","129","6005","1003","5","讓闇屬性的屬性等級提升到250","2005"
"20022","300","6","129","6006","1003","5","讓闇屬性的屬性等級提升到300","2006"
"20022","350","6","129","6007","1003","5","讓闇屬性的屬性等級提升到350","2007"
"20022","400","6","129","6008","1003","5","讓闇屬性的屬性等級提升到400","2008"
"20022","450","6","129","6009","1003","5","讓闇屬性的屬性等級提升到450","2009"
"20022","500","6","129","6010","1003","5","讓闇屬性的屬性等級提升到500","2010"
"20023","10","7","129","7001","1004","0","完成強化10個節點","7001"
"20023","20","7","129","7002","1004","0","完成強化20個節點","7002"
"20023","30","7","129","7003","1004","0","完成強化30個節點","7003"
"20023","40","7","129","7004","1004","0","完成強化40個節點","7004"
"20023","50","7","129","7005","1004","0","完成強化50個節點","7005"
"20023","60","7","129","7006","1004","0","完成強化60個節點","7006"
"20023","70","7","129","7007","1004","0","完成強化70個節點","7007"
"20023","80","7","129","7008","1004","0","完成強化80個節點","7008"
"20023","90","7","129","7009","1004","0","完成強化90個節點","7009"
"20023","100","7","129","7010","1004","0","完成強化100個節點","7010"
"20023","110","7","129","7011","1004","0","完成強化110個節點","7011"
"20023","120","7","129","7012","1004","0","完成強化120個節點","7012"
"20023","130","7","129","7013","1004","0","完成強化130個節點","7013"
"20023","140","7","129","7014","1004","0","完成強化140個節點","7014"
"20023","150","7","129","7015","1004","0","完成強化150個節點","7015"
"20023","160","7","129","7016","1004","0","完成強化160個節點","7016"
"20023","170","7","129","7017","1004","0","完成強化170個節點","7017"
"20023","180","7","129","7018","1004","0","完成強化180個節點","7018"
"20023","190","7","129","7019","1004","0","完成強化190個節點","7019"
"20023","200","7","129","7020","1004","0","完成強化200個節點","7020"
"20023","210","7","129","7021","1004","0","完成強化210個節點","7021"
"20023","222","7","129","7022","1004","0","完成強化222個節點","7022"
"20024","5","8","129","8001","1005","0","完成強化5個節點","8001"
"20024","10","8","129","8002","1005","0","完成強化10個節點","8002"
"20024","15","8","129","8003","1005","0","完成強化15個節點","8003"
"20024","20","8","129","8004","1005","0","完成強化20個節點","8004"
"20024","25","8","129","8005","1005","0","完成強化25個節點","8005"
"20024","33","8","129","8006","1005","0","完成強化33個節點","8006"
"20024","40","8","129","8007","1005","0","完成強化40個節點","8007"
"20024","50","8","129","8008","1005","0","完成強化50個節點","8007"
"20024","60","8","129","8009","1005","0","完成強化60個節點","8007"
"20024","66","8","129","8010","1005","0","完成強化66個節點","8007"
