ab08da47bd2b604bce584d418ac510dcaed3ff474368f7e730d0997319052ca8,e546657da2bdd83a9927e14abef1def7b3477f63b2aa2cc3419e48cf58ef3853,03b1a0729c4604b6ff330ad95cae973f9bcfc8915b4ddcf3fd5855ecb5688572,de332f6ac401d864fb0560b78868c11230a5cd941985ae9ddc5c9218c59f880f,b087d0aceb5695c76a8a30eaf3045d9454944f890a68a8ddec6bc03613b0bf4f,48f35d805d05c054c961de54bfc88124aeee0de0afe15fc794ed88bf958ec58f,80c2b4975ad3d6fbc18909c31ecfbe70e91c7c3afa0b1439142444d9f9b17c7d,088becb1a0201969064fcadfacc2c37b0d5bf77122eb27f5ff2a71133553646c,12f4e65b08b5740d017d8fd2b83a17926582d43f11a61bec8362707f05cf783e,8018e74bc21ec7ace1ef05cd5b039fb625501422e33aa6997068752795892370,e554608c8f394271b212c0fc8ac487254988e9134af3213517eded969b991341,c8819b20ab458710e98a8505365398080308d4c41a6d7903922d67c659d5473f,87dd9e745c8b67461d625a6afaa0051513c0f8c159fccc440886d3d4edb25b96,710ed05c49eab4c85bf00878fb3da63e6f1eaa5889d3692c12dac8fae822a5ea,dffb071d7d3d7ba3ca71de9514b09674f0c5ef02cd9077c237bfa1c24b10ab8f,dc619b4e3b3bc60bec86f4a3bc8980930f4abd60e79fccf12aa7b7a755fbfe8b,75459f10eae2e8c79688a05397f35b7d94bcf7f3c7a2c9b69c10627695b306b7,9a413a8f438a297e3affe26006fd5c56a5f43a0df09c931fb00a075752551efc,57684bdda169b5ede97474d0b031bb945f68b7839921c74acf1a304da302b443
"1","90","100511","123001","6","103401","112201","100003","105501","-100","0","105501","6","100701","1005","6","6","1","6"
"1","90","100512","123001","6","103401","105101","100003","100901","-100","0","100901","6","106601","1005","6","6","2","6"
"1","90","100513","101801","6","113401","106901","100003","110301","-100","0","112701","6","112701","1005","6","6","3","6"
"2","90","100521","110301","4","106601","123801","100003","100101","-100","0","100101","4","114701","1005","4","4","1","4"
"2","90","100522","112201","4","103401","102601","100003","105501","-100","0","102601","4","105201","1005","4","4","2","4"
"2","90","100523","121401","4","119201","110301","100003","105501","-100","0","119201","4","105401","1005","4","4","3","4"
"3","90","100531","108301","1","106601","107701","100003","103401","-100","0","106601","1","105201","1005","1","8","1","8"
"3","90","100532","108301","1","103401","123001","100003","126101","-100","0","127901","3","127901","1005","3","8","2","3"
"3","90","100533","108401","2","123301","123001","100003","102601","-100","0","108401","1","105801","1005","7","8","3","3"
"1","90","100611","111401","6","103401","105001","100003","117301","-100","0","111401","6","106601","1006","6","6","1","6"
"1","90","100612","100801","6","105401","123001","100003","113401","-100","0","113401","6","105201","1006","6","6","2","6"
"1","90","100613","107701","6","103401","123001","100003","105501","-100","0","107701","6","100501","1006","6","6","3","6"
"2","90","100621","111401","4","103401","105001","100003","112201","-100","0","112201","4","106601","1006","4","4","1","4"
"2","90","100622","123001","4","105401","105501","100003","105301","-100","0","123001","4","102901","1006","4","5","2","4"
"2","90","100623","123001","4","117301","112201","100003","101401","-100","0","117301","4","100701","1006","4","5","3","4"
"3","90","100631","108301","1","103401","106001","100003","105501","-100","0","128301","1","128301","1006","3","8","1","7"
"3","90","100632","108301","1","106601","123001","100003","123301","-100","0","106501","2","106501","1006","1","8","2","3"
"3","90","100633","107701","1","102601","123001","100003","110301","-100","0","109001","2","109001","1006","8","8","3","3"
"1","90","100711","125101","6","122801","123001","100003","103401","-100","1001","125101","6","102901","1007","6","6","1","6"
"1","90","100712","111001","6","106601","110301","100003","180301","-100","1001","111001","6","105401","1007","6","6","2","6"
"1","90","100713","118501","6","121401","118001","100003","123001","-100","1001","118001","6","101401","1007","6","6","3","6"
"2","90","100721","100201","4","103401","123001","100003","117301","-100","1001","100201","4","102901","1007","4","4","1","5"
"2","90","100722","104001","4","117301","110301","100003","105101","-100","1001","105101","4","104801","1007","4","4","2","4"
"2","90","100723","111001","4","118001","100801","100003","118501","-100","1001","100801","4","101401","1007","4","4","3","4"
"3","90","100731","118501","2","123301","123001","100003","102601","-100","1001","128801","1","128801","1007","3","3","1","3"
"3","90","100732","108301","1","103401","128901","100003","105501","-100","1001","128901","1","104501","1007","1","8","2","3"
"3","90","100733","108301","3","128701","123001","100003","117301","-100","1001","128701","2","128301","1007","3","8","3","3"
"1","90","100811","123001","6","103401","112201","100003","105501","-100","1002","100701","6","100701","1008","6","6","1","6"
"1","90","100812","111401","6","103401","105001","100003","117301","-100","1002","111401","6","106601","1008","6","6","2","6"
"1","90","100813","125101","6","122801","123001","100003","103401","-100","1002","102901","6","102901","1008","6","6","3","6"
"2","90","100821","111401","4","103401","101201","100003","110301","-100","1002","110301","4","104601","1008","4","4","1","4"
"2","90","100822","123001","4","106601","106901","100003","113401","-100","1002","106601","4","105201","1008","4","5","2","5"
"2","90","100823","100801","4","105501","123001","100003","101401","-100","1002","123001","4","103401","1008","4","4","3","5"
"3","90","100831","108301","1","103401","108801","100003","112201","-100","1002","108801","2","108901","1008","1","8","1","1"
"3","90","100832","129001","1","108901","107701","100003","126101","-100","1002","129001","3","100701","1008","1","3","2","8"
"3","90","100833","100201","3","126101","123001","100003","101401","-100","1002","100201","1","103401","1008","1","1","3","3"
"1","90","100911","110301","6","106601","100901","100003","103401","-100","1003","100901","6","114701","1009","6","6","1","6"
"1","90","100912","106901","6","100501","103401","100003","105401","-100","1003","106901","6","180401","1009","6","6","2","6"
"1","90","100913","100801","6","105501","123001","100003","101401","-100","1003","101401","6","103401","1009","6","6","3","6"
"2","90","100921","119001","4","103401","100901","100003","124101","-100","1003","122801","4","122801","1009","4","4","1","4"
"2","90","100922","123001","4","100501","121101","100003","103401","-100","1003","100501","4","105201","1009","4","5","2","4"
"2","90","100923","118501","4","103401","123001","100003","105501","-100","1003","103401","4","100701","1009","4","5","3","5"
"3","90","100931","108301","7","104901","101601","100003","103401","-100","1003","120001","1","120001","1009","2","8","1","7"
"3","90","100932","129001","1","100501","112201","100003","101801","-100","1003","112201","1","108901","1009","1","3","2","2"
"3","90","100933","129001","3","128801","123001","100003","126101","-100","1003","123001","3","100701","1009","1","3","3","3"
