a1a9242d75ad55f7f49054b4e41e093eeeedeec66fa9dadf429d5693cc5e215c,5908880b4665ad9af3ef00ae52352fc52b486c26e1d35bf2a7c0ba596898bdbc,80c78d0c3a95f18d8fb55eb8a7225df6d1fca639575cea504347ba157e946b33,227350627fd21cc7c490cbf7a39eb61eb3931664f870543709edb4718302a4bc,76af0af7aeafd72145d6c81d2ae94e223221e6fc0da3e73f8f6e1827aae9b4de,2cfff6402f3055c629091138cb2a0c12dc0dee41955c93d9d5e3a87fbbdbf6dc,5896147a496502833bfd878331338229cbd6b51ec7c1368cbad057c5dad211e8,8e88cefbaba53c52863c310bf6ed1239a8027d04cf3942a313e4b5a6c39db189,1d1d99e9dea2fd401ad8ec7609015ab69dfcfe82ddf4503cb78b50e49fb92795
"320010407","0","62","502001409","0.85","2","35","3","-4"
"320010407","0","50","0","0.65","3","36","2","59"
"320010408","0","-10","0","1.05","1","37","1","0"
"320010409","0","-10","0","1.05","1","38","1","-15"
"320010410","0","-45","0","0.43","1","39","1","-85"
"320010410","0","-45","0","0.43","2","40","2","85"
"320010506","0","11","502001502","0.7","1","41","1","43.5"
"320010506","0","67","502001503","0.65","2","42","3","13"
"320010506","0","49","0","0.65","3","43","2","-74"
"320010507","0","13","502001508","0.7","1","44","1","-49"
"320010507","0","62","502001509","0.85","2","45","3","-4"
"320010507","0","50","0","0.65","3","46","2","59"
"320010508","0","-10","0","1.05","1","47","1","0"
"320010509","0","-10","0","1.05","1","48","1","-15"
"320010510","0","-45","0","0.43","1","49","1","-85"
"320010510","0","-45","0","0.43","2","50","2","85"
"320020106","0","11","502002102","0.7","1","51","1","43.5"
"320020106","0","67","502002103","0.65","2","52","3","13"
"320020106","0","49","0","0.65","3","53","2","-74"
"320020107","0","13","502002108","0.7","1","54","1","-49"
"320020107","0","62","502002109","0.85","2","55","3","-4"
"320020107","0","50","0","0.65","3","56","2","59"
"320020108","0","-10","0","1.05","1","57","1","0"
"320020109","0","-10","0","1.05","1","58","1","-15"
"320020110","0","-45","0","0.43","1","59","1","-85"
"320020110","0","-45","0","0.43","2","60","2","85"
"320020206","0","11","502002202","0.7","1","61","1","43.5"
"320020206","0","67","502002203","0.65","2","62","3","13"
"320020206","0","49","0","0.65","3","63","2","-74"
"320020207","0","13","502002208","0.7","1","64","1","-49"
"320020207","0","62","502002209","0.85","2","65","3","-4"
"320020207","0","50","0","0.65","3","66","2","59"
"320020208","0","-10","0","1.05","1","67","1","0"
"320020209","0","-10","0","1.05","1","68","1","-15"
"320020210","0","-45","0","0.43","1","69","1","-85"
"320020210","0","-45","0","0.43","2","70","2","85"
"320020306","0","11","502002302","0.7","1","71","1","43.5"
"320020306","0","67","502002303","0.65","2","72","3","13"
"320020306","0","49","0","0.65","3","73","2","-74"
"320020307","0","13","502002308","0.7","1","74","1","-49"
"320020307","0","62","502002309","0.85","2","75","3","-4"
"320020307","0","50","0","0.65","3","76","2","59"
"320020308","0","-10","0","1.05","1","77","1","0"
"320020309","0","-10","0","1.05","1","78","1","-15"
"320020310","0","-45","0","0.43","1","79","1","-85"
"320020310","0","-45","0","0.43","2","80","2","85"
"320020406","0","11","502002402","0.7","1","81","1","43.5"
"320020406","0","67","502002403","0.65","2","82","3","13"
"320020406","0","49","0","0.65","3","83","2","-74"
"320020407","0","13","502002408","0.7","1","84","1","-49"
"320020407","0","62","502002409","0.85","2","85","3","-4"
"320020407","0","50","0","0.65","3","86","2","59"
"320020408","0","-10","0","1.05","1","87","1","0"
"320020409","0","-10","0","1.05","1","88","1","-15"
"320020410","0","-45","0","0.43","1","89","1","-85"
"320020410","0","-45","0","0.43","2","90","2","85"
"320020506","0","11","502002502","0.7","1","91","1","43.5"
"320020506","0","67","502002503","0.65","2","92","3","13"
"320020506","0","49","0","0.65","3","93","2","-74"
"320020507","0","13","502002508","0.7","1","94","1","-49"
"320020507","0","62","502002509","0.85","2","95","3","-4"
"320020507","0","50","0","0.65","3","96","2","59"
"320020508","0","-10","0","1.05","1","97","1","0"
"320020509","0","-10","0","1.05","1","98","1","-15"
"320020510","0","-45","0","0.43","1","99","1","-85"
"320020510","0","-45","0","0.43","2","100","2","85"
"320030106","0","11","502003102","0.7","1","101","1","43.5"
"320030106","0","67","502003103","0.65","2","102","2","13"
"320030106","0","49","0","0.65","3","103","3","-74"
"320030107","0","13","502003108","0.7","1","104","1","-49"
"320030107","0","62","502003109","0.85","2","105","3","-4"
"320030107","0","50","0","0.65","3","106","2","59"
"320030108","0","-10","0","1.05","1","107","1","0"
"320030109","0","-10","0","1.05","1","108","1","-15"
"320030110","0","-45","0","0.43","1","109","1","-85"
"320030110","0","-45","0","0.43","2","110","2","85"
"320030206","0","11","502003202","0.7","1","111","1","43.5"
"320030206","0","67","502003203","0.65","2","112","2","13"
"320030206","0","49","0","0.65","3","113","3","-74"
"320030207","0","13","502003208","0.7","1","114","1","-49"
"320030207","0","62","502003209","0.85","2","115","3","-4"
"320030207","0","50","0","0.65","3","116","2","59"
"320030208","0","-10","0","1.05","1","117","1","0"
"320030209","0","-10","0","1.05","1","118","1","-15"
"320030210","0","-45","0","0.43","1","119","1","-85"
"320030210","0","-45","0","0.43","2","120","2","85"
"320030306","0","11","502003302","0.7","1","121","1","43.5"
"320030306","0","67","502003303","0.65","2","122","2","13"
"320030306","0","49","0","0.65","3","123","3","-74"
"320030307","0","13","502003308","0.7","1","124","1","-49"
"320030307","0","62","502003309","0.85","2","125","3","-4"
"320030307","0","50","0","0.65","3","126","2","59"
"320030308","0","-10","0","1.05","1","127","1","0"
"320030309","0","-10","0","1.05","1","128","1","-15"
"320030310","0","-45","0","0.43","1","129","1","-85"
"320030310","0","-45","0","0.43","2","130","2","85"
"320030406","0","11","502003402","0.7","1","131","1","43.5"
"320030406","0","67","502003403","0.65","2","132","2","13"
"320030406","0","49","0","0.65","3","133","3","-74"
"320030407","0","13","502003408","0.7","1","134","1","-49"
"320030407","0","62","502003409","0.85","2","135","3","-4"
"320030407","0","50","0","0.65","3","136","2","59"
"320030408","0","-10","0","1.05","1","137","1","0"
"320030409","0","-10","0","1.05","1","138","1","-15"
"320030410","0","-45","0","0.43","1","139","1","-85"
"320030410","0","-45","0","0.43","2","140","2","85"
"320030506","0","11","502003502","0.7","1","141","1","43.5"
"320030506","0","67","502003503","0.65","2","142","2","13"
"320030506","0","49","0","0.65","3","143","3","-74"
"320030507","0","13","502003508","0.7","1","144","1","-49"
"320030507","0","62","502003509","0.85","2","145","3","-4"
"320030507","0","50","0","0.65","3","146","2","59"
"320030508","0","-10","0","1.05","1","147","1","0"
"320030509","0","-10","0","1.05","1","148","1","-15"
"320030510","0","-45","0","0.43","1","149","1","-85"
"320030510","0","-45","0","0.43","2","150","2","85"
"320040106","0","49","502004103","0.7","1","151","1","-74"
"320040106","0","67","502004104","0.85","2","152","3","13"
"320040106","0","11","0","0.65","3","153","2","43.5"
"320040107","0","50","502004107","0.7","1","154","1","59"
"320040107","0","62","502004109","0.85","2","155","3","-4"
"320040107","0","13","0","0.65","3","156","2","-49"
"320040108","0","-10","0","0.8","1","157","1","0"
"320040109","0","20","0","0.9","1","158","1","30"
"320040110","0","-25","0","1","1","159","1","20"
"320040206","0","49","502004203","0.7","1","160","1","-74"
"320040206","0","67","502004204","0.85","2","161","3","13"
"320040206","0","11","0","0.65","3","162","2","43.5"
"320040207","0","50","502004207","0.7","1","163","1","59"
"320040207","0","62","502004209","0.85","2","164","3","-4"
"320040207","0","13","0","0.65","3","165","2","-49"
"320040208","0","-10","0","0.8","1","166","1","0"
"320040209","0","20","0","0.9","1","167","1","30"
"320040210","0","-25","0","1","1","168","1","20"
"320040306","0","49","502004303","0.7","1","169","1","-74"
"320040306","0","67","502004304","0.85","2","170","3","13"
"320040306","0","11","0","0.65","3","171","2","43.5"
"320040307","0","50","502004307","0.7","1","172","1","59"
"320040307","0","62","502004309","0.85","2","173","3","-4"
"320040307","0","13","0","0.65","3","174","2","-49"
"320040308","0","-10","0","0.8","1","175","1","0"
"320040309","0","20","0","0.9","1","176","1","30"
"320040310","0","-25","0","1","1","177","1","20"
"320040406","0","49","502004403","0.7","1","178","1","-74"
"320040406","0","67","502004404","0.85","2","179","3","13"
"320040406","0","11","0","0.65","3","180","2","43.5"
"320040407","0","50","502004407","0.7","1","181","1","59"
"320040407","0","62","502004409","0.85","2","182","3","-4"
"320040407","0","13","0","0.65","3","183","2","-49"
"320040408","0","-10","0","0.8","1","184","1","0"
"320040409","0","20","0","0.9","1","185","1","30"
"320040410","0","-25","0","1","1","186","1","20"
"320040506","0","49","502004503","0.7","1","187","1","-74"
"320040506","0","67","502004504","0.85","2","188","3","13"
"320040506","0","11","0","0.65","3","189","2","43.5"
"320040507","0","50","502004507","0.7","1","190","1","59"
"320040507","0","62","502004509","0.85","2","191","3","-4"
"320040507","0","13","0","0.65","3","192","2","-49"
"320040508","0","-10","0","0.8","1","193","1","0"
"320040509","0","20","0","0.9","1","194","1","30"
"320040510","0","-25","0","1","1","195","1","20"
"320050106","0","40","502005101","0.7","1","196","2","-74"
"320050106","0","67","502005103","1","2","197","3","13"
"320050106","0","11","0","0.65","3","198","1","43.5"
"320050107","0","50","502005106","0.7","1","199","2","59"
"320050107","0","62","502005108","0.9","2","200","3","30"
"320050107","0","13","0","0.65","3","201","1","-49"
"320050108","0","10","0","0.75","1","202","1","5"
"320050109","0","10","0","0.75","1","203","1","-10"
"320050110","0","-25","0","1","1","204","1","20"
"320050206","0","40","502005201","0.7","1","205","2","-74"
"320050206","0","67","502005203","1","2","206","3","13"
"320050206","0","11","0","0.65","3","207","1","43.5"
"320050207","0","50","502005206","0.7","1","208","2","59"
"320050207","0","62","502005208","0.9","2","209","3","30"
"320050207","0","13","0","0.65","3","210","1","-49"
"320050208","0","10","0","0.75","1","211","1","5"
"320050209","0","10","0","0.75","1","212","1","-10"
"320050210","0","-25","0","1","1","213","1","20"
"320050306","0","40","502005301","0.7","1","214","2","-74"
"320050306","0","67","502005303","1","2","215","3","13"
"320050306","0","11","0","0.65","3","216","1","43.5"
"320050307","0","50","502005306","0.7","1","217","2","59"
"320050307","0","62","502005308","0.9","2","218","3","30"
"320050307","0","13","0","0.65","3","219","1","-49"
"320050308","0","10","0","0.75","1","220","1","5"
"320050309","0","10","0","0.75","1","221","1","-10"
"320050310","0","-25","0","1","1","222","1","20"
"320050406","0","40","502005401","0.7","1","223","2","-74"
"320050406","0","67","502005403","1","2","224","3","13"
"320050406","0","11","0","0.65","3","225","1","43.5"
"320050407","0","50","502005406","0.7","1","226","2","59"
"320050407","0","62","502005408","0.9","2","227","3","30"
"320050407","0","13","0","0.65","3","228","1","-49"
"320050408","0","10","0","0.75","1","229","1","5"
"320050409","0","10","0","0.75","1","230","1","-10"
"320050410","0","-25","0","1","1","231","1","20"
"320050506","0","40","502005501","0.7","1","232","2","-74"
"320050506","0","67","502005503","1","2","233","3","13"
"320050506","0","11","0","0.65","3","234","1","43.5"
"320050507","0","50","502005506","0.7","1","235","2","59"
"320050507","0","62","502005508","0.9","2","236","3","30"
"320050507","0","13","0","0.65","3","237","1","-49"
"320050508","0","10","0","0.75","1","238","1","5"
"320050509","0","10","0","0.75","1","239","1","-10"
"320050510","0","-25","0","1","1","240","1","20"
"320060106","0","40","502006101","0.7","1","241","2","-74"
"320060106","0","67","502006103","0.7","2","242","3","13"
"320060106","0","11","0","0.65","3","243","1","43.5"
"320060107","0","50","502006106","0.7","1","244","2","59"
"320060107","0","62","502006108","0.9","2","245","3","30"
"320060107","0","13","0","0.65","3","246","1","-49"
"320060108","0","10","0","1","1","247","1","5"
"320060109","0","10","0","1.2","1","248","1","-10"
"320060110","0","-25","0","1","1","249","1","20"
"320060206","0","40","502006201","0.7","1","250","2","-74"
"320060206","0","67","502006203","0.7","2","251","3","13"
"320060206","0","11","0","0.65","3","252","1","43.5"
"320060207","0","50","502006206","0.7","1","253","2","59"
"320060207","0","62","502006208","0.9","2","254","3","30"
"320060207","0","13","0","0.65","3","255","1","-49"
"320060208","0","10","0","1","1","256","1","5"
"320060209","0","10","0","1.2","1","257","1","-10"
"320060210","0","-25","0","1","1","258","1","20"
"320060306","0","40","502006301","0.7","1","259","2","-74"
"320060306","0","67","502006303","0.7","2","260","3","13"
"320060306","0","11","0","0.65","3","261","1","43.5"
"320060307","0","50","502006306","0.7","1","262","2","59"
"320060307","0","62","502006308","0.9","2","263","3","30"
"320060307","0","13","0","0.65","3","264","1","-49"
"320060308","0","10","0","1","1","265","1","5"
"320060309","0","10","0","1.2","1","266","1","-10"
"320060310","0","-25","0","1","1","267","1","20"
"320060406","0","40","502006401","0.7","1","268","2","-74"
"320060406","0","67","502006403","0.7","2","269","3","13"
"320060406","0","11","0","0.65","3","270","1","43.5"
"320060407","0","50","502006406","0.7","1","271","2","59"
"320060407","0","62","502006408","0.9","2","272","3","30"
"320060407","0","13","0","0.65","3","273","1","-49"
"320060408","0","10","0","1","1","274","1","5"
"320060409","0","10","0","1.2","1","275","1","-10"
"320060410","0","-25","0","1","1","276","1","20"
"320060506","0","40","502006501","0.7","1","277","2","-74"
"320060506","0","67","502006503","0.7","2","278","3","13"
"320060506","0","11","0","0.65","3","279","1","43.5"
"320060507","0","50","502006506","0.7","1","280","2","59"
"320060507","0","62","502006508","0.9","2","281","3","30"
"320060507","0","13","0","0.65","3","282","1","-49"
"320060508","0","10","0","1","1","283","1","5"
"320060509","0","10","0","1.2","1","284","1","-10"
"320060510","0","-25","0","1","1","285","1","20"
"320070106","0","40","502007101","0.7","1","286","2","-74"
"320070106","0","67","502007103","0.7","2","287","3","43"
"320070106","0","11","0","0.65","3","288","1","43.5"
"320070107","0","50","502007106","0.7","1","289","2","59"
"320070107","0","62","502007108","0.9","2","290","3","30"
"320070107","0","13","0","0.65","3","291","1","-49"
"320070108","0","20","0","0.9","1","292","1","5"
"320070109","0","20","0","0.9","1","293","1","0"
"320070110","0","-20","0","1","1","294","1","-20"
"320070206","0","40","502007201","0.7","1","295","2","-74"
"320070206","0","67","502007203","0.7","2","296","3","43"
"320070206","0","11","0","0.65","3","297","1","43.5"
"320070207","0","50","502007206","0.7","1","298","2","59"
"320070207","0","62","502007208","0.9","2","299","3","30"
"320070207","0","13","0","0.65","3","300","1","-49"
"320070208","0","20","0","0.9","1","301","1","5"
"320070209","0","20","0","0.9","1","302","1","0"
"320070210","0","-20","0","1","1","303","1","-20"
"320070306","0","40","502007301","0.7","1","304","2","-74"
"320070306","0","67","502007303","0.7","2","305","3","43"
"320070306","0","11","0","0.65","3","306","1","43.5"
"320070307","0","50","502007306","0.7","1","307","2","59"
"320070307","0","62","502007308","0.9","2","308","3","30"
"320070307","0","13","0","0.65","3","309","1","-49"
"320070308","0","20","0","0.9","1","310","1","5"
"320070309","0","20","0","0.9","1","311","1","0"
"320070310","0","-20","0","1","1","312","1","-20"
"320070406","0","40","502007401","0.7","1","313","2","-74"
"320070406","0","67","502007403","0.7","2","314","3","43"
"320070406","0","11","0","0.65","3","315","1","43.5"
"320070407","0","50","502007406","0.7","1","316","2","59"
"320070407","0","62","502007408","0.9","2","317","3","30"
"320070407","0","13","0","0.65","3","318","1","-49"
"320070408","0","20","0","0.9","1","319","1","5"
"320070409","0","20","0","0.9","1","320","1","0"
"320070410","0","-20","0","1","1","321","1","-20"
"320070506","0","40","502007501","0.7","1","322","2","-74"
"320070506","0","67","502007503","0.7","2","323","3","43"
"320070506","0","11","0","0.65","3","324","1","43.5"
"320070507","0","50","502007506","0.7","1","325","2","59"
"320070507","0","62","502007508","0.9","2","326","3","30"
"320070507","0","13","0","0.65","3","327","1","-49"
"320070508","0","20","0","0.9","1","328","1","5"
"320070509","0","20","0","0.9","1","329","1","0"
"320070510","0","-20","0","1","1","330","1","-20"
"320080106","0","40","502008101","0.7","1","331","2","-74"
"320080106","0","67","502008103","0.9","2","332","3","43"
"320080106","0","11","0","0.65","3","333","1","43.5"
"320080107","0","50","502008106","0.7","1","334","2","59"
"320080107","0","62","502008108","0.9","2","335","3","30"
"320080107","0","13","0","0.65","3","336","1","-49"
"320080108","0","20","0","0.8","1","337","1","5"
"320080109","0","20","0","1.1","1","338","1","0"
"320080110","0","-20","0","1","1","339","1","-20"
"320080206","0","40","502008201","0.7","1","340","2","-74"
"320080206","0","67","502008203","0.9","2","341","3","43"
"320080206","0","11","0","0.65","3","342","1","43.5"
"320080207","0","50","502008206","0.7","1","343","2","59"
"320080207","0","62","502008208","0.9","2","344","3","30"
"320080207","0","13","0","0.65","3","345","1","-49"
"320080208","0","20","0","0.8","1","346","1","5"
"320080209","0","20","0","1.1","1","347","1","0"
"320080210","0","-20","0","1","1","348","1","-20"
"320080306","0","40","502008301","0.7","1","349","2","-74"
"320080306","0","67","502008303","0.9","2","350","3","43"
"320080306","0","11","0","0.65","3","351","1","43.5"
"320080307","0","50","502008306","0.7","1","352","2","59"
"320080307","0","62","502008308","0.9","2","353","3","30"
"320080307","0","13","0","0.65","3","354","1","-49"
"320080308","0","20","0","0.8","1","355","1","5"
"320080309","0","20","0","1.1","1","356","1","0"
"320080310","0","-20","0","1","1","357","1","-20"
"320080406","0","40","502008401","0.7","1","358","2","-74"
"320080406","0","67","502008403","0.9","2","359","3","43"
"320080406","0","11","0","0.65","3","360","1","43.5"
"320080407","0","50","502008406","0.7","1","361","2","59"
"320080407","0","62","502008408","0.9","2","362","3","30"
"320080407","0","13","0","0.65","3","363","1","-49"
"320080408","0","20","0","0.8","1","364","1","5"
"320080409","0","20","0","1.1","1","365","1","0"
"320080410","0","-20","0","1","1","366","1","-20"
"320080506","0","40","502008501","0.7","1","367","2","-74"
"320080506","0","67","502008503","0.9","2","368","3","43"
"320080506","0","11","0","0.65","3","369","1","43.5"
"320080507","0","50","502008506","0.7","1","370","2","59"
"320080507","0","62","502008508","0.9","2","371","3","30"
"320080507","0","13","0","0.65","3","372","1","-49"
"320080508","0","20","0","0.8","1","373","1","5"
"320080509","0","20","0","1.1","1","374","1","0"
"320080510","0","-20","0","1","1","375","1","-20"
"320090106","0","40","502009101","0.7","1","376","2","-74"
"320090106","0","67","502009103","1","2","377","3","13"
"320090106","0","11","0","0.65","3","378","1","43.5"
"320090107","0","50","502009106","0.7","1","379","2","-68"
"320090107","0","62","502009108","0.9","2","380","3","30"
"320090107","0","13","0","0.65","3","381","1","29"
"320090108","0","10","0","0.75","1","382","1","5"
"320090109","0","10","0","1","1","383","1","0"
"320090110","0","-20","0","1","1","384","1","-20"
"320090206","0","40","502009201","0.7","1","385","2","-74"
"320090206","0","67","502009203","1","2","386","3","13"
"320090206","0","11","0","0.65","3","387","1","43.5"
"320090207","0","50","502009206","0.7","1","388","2","-68"
"320090207","0","62","502009208","0.9","2","389","3","30"
"320090207","0","13","0","0.65","3","390","1","29"
"320090208","0","10","0","0.75","1","391","1","5"
"320090209","0","10","0","1","1","392","1","0"
"320090210","0","-20","0","1","1","393","1","-20"
"320090306","0","40","502009301","0.7","1","394","2","-74"
"320090306","0","67","502009303","1","2","395","3","13"
"320090306","0","11","0","0.65","3","396","1","43.5"
"320090307","0","50","502009306","0.7","1","397","2","-68"
"320090307","0","62","502009308","0.9","2","398","3","30"
"320090307","0","13","0","0.65","3","399","1","29"
"320090308","0","10","0","0.75","1","400","1","5"
"320090309","0","10","0","1","1","401","1","0"
"320090310","0","-20","0","1","1","402","1","-20"
"320090406","0","40","502009401","0.7","1","403","2","-74"
"320090406","0","67","502009403","1","2","404","3","13"
"320090406","0","11","0","0.65","3","405","1","43.5"
"320090407","0","50","502009406","0.7","1","406","2","-68"
"320090407","0","62","502009408","0.9","2","407","3","30"
"320090407","0","13","0","0.65","3","408","1","29"
"320090408","0","10","0","0.75","1","409","1","5"
"320090409","0","10","0","1","1","410","1","0"
"320090410","0","-20","0","1","1","411","1","-20"
"320090506","0","40","502009501","0.7","1","412","2","-74"
"320090506","0","67","502009503","1","2","413","3","13"
"320090506","0","11","0","0.65","3","414","1","43.5"
"320090507","0","50","502009506","0.7","1","415","2","-68"
"320090507","0","62","502009508","0.9","2","416","3","30"
"320090507","0","13","0","0.65","3","417","1","29"
"320090508","0","10","0","0.75","1","418","1","5"
"320090509","0","10","0","1","1","419","1","0"
"320090510","0","-20","0","1","1","420","1","-20"
"320100106","0","40","502010101","0.7","1","421","2","-74"
"320100106","0","67","502010103","1","2","422","3","13"
"320100106","0","11","0","0.65","3","423","1","43.5"
"320100107","0","50","502010106","0.7","1","424","2","-68"
"320100107","0","62","502010108","0.9","2","425","3","30"
"320100107","0","13","0","0.65","3","426","1","29"
"320100108","0","60","0","0.9","1","427","1","40"
"320100109","0","10","0","1","1","428","1","0"
"320100110","0","-35","0","1","1","429","1","-20"
"320100206","0","40","502010201","0.7","1","430","2","-74"
"320100206","0","67","502010203","1","2","431","3","13"
"320100206","0","11","0","0.65","3","432","1","43.5"
"320100207","0","50","502010206","0.7","1","433","2","-68"
"320100207","0","62","502010208","0.9","2","434","3","30"
"320100207","0","13","0","0.65","3","435","1","29"
"320100208","0","60","0","0.9","1","436","1","40"
"320100209","0","10","0","1","1","437","1","0"
"320100210","0","-35","0","1","1","438","1","-20"
"320100306","0","40","502010301","0.7","1","439","2","-74"
"320100306","0","67","502010303","1","2","440","3","13"
"320100306","0","11","0","0.65","3","441","1","43.5"
"320100307","0","50","502010306","0.7","1","442","2","-68"
"320100307","0","62","502010308","0.9","2","443","3","30"
"320100307","0","13","0","0.65","3","444","1","29"
"320100308","0","60","0","0.9","1","445","1","40"
"320100309","0","10","0","1","1","446","1","0"
"320100310","0","-35","0","1","1","447","1","-20"
"320100406","0","40","502010401","0.7","1","448","2","-74"
"320100406","0","67","502010403","1","2","449","3","13"
"320100406","0","11","0","0.65","3","450","1","43.5"
"320100407","0","50","502010406","0.7","1","451","2","-68"
"320100407","0","62","502010408","0.9","2","452","3","30"
"320100407","0","13","0","0.65","3","453","1","29"
"320100408","0","60","0","0.9","1","454","1","40"
"320100409","0","10","0","1","1","455","1","0"
"320100410","0","-35","0","1","1","456","1","-20"
"320100506","0","40","502010501","0.7","1","457","2","-74"
"320100506","0","67","502010503","1","2","458","3","13"
"320100506","0","11","0","0.65","3","459","1","43.5"
"320100507","0","50","502010506","0.7","1","460","2","-68"
"320100507","0","62","502010508","0.9","2","461","3","30"
"320100507","0","13","0","0.65","3","462","1","29"
"320100508","0","60","0","0.9","1","463","1","40"
"320100509","0","10","0","1","1","464","1","0"
"320100510","0","-35","0","1","1","465","1","-20"
"320110106","0","40","502011101","0.7","1","466","2","-74"
"320110106","0","67","502011103","1","2","467","3","13"
"320110106","0","11","0","0.65","3","468","1","43.5"
"320110107","0","50","502011106","0.7","1","469","2","-98"
"320110107","0","72","502011108","1.1","2","470","3","0"
"320110107","0","13","0","0.65","3","471","1","49"
"320110108","0","30","0","0.75","1","472","1","-40"
"320110109","0","50","0","1.2","1","473","1","20"
"320110110","0","-35","0","1.1","1","474","1","-20"
"320110206","0","40","502011201","0.7","1","475","2","-74"
"320110206","0","67","502011203","1","2","476","3","13"
"320110206","0","11","0","0.65","3","477","1","43.5"
"320110207","0","50","502011206","0.7","1","478","2","-98"
"320110207","0","72","502011208","1.1","2","479","3","0"
"320110207","0","13","0","0.65","3","480","1","49"
"320110208","0","30","0","0.75","1","481","1","-40"
"320110209","0","50","0","1.2","1","482","1","20"
"320110210","0","-35","0","1.1","1","483","1","-20"
"320110306","0","40","502011301","0.7","1","484","2","-74"
"320110306","0","67","502011303","1","2","485","3","13"
"320110306","0","11","0","0.65","3","486","1","43.5"
"320110307","0","50","502011306","0.7","1","487","2","-98"
"320110307","0","72","502011308","1.1","2","488","3","0"
"320110307","0","13","0","0.65","3","489","1","49"
"320110308","0","30","0","0.75","1","490","1","-40"
"320110309","0","50","0","1.2","1","491","1","20"
"320110310","0","-35","0","1.1","1","492","1","-20"
"320110406","0","40","502011401","0.7","1","493","2","-74"
"320110406","0","67","502011403","1","2","494","3","13"
"320110406","0","11","0","0.65","3","495","1","43.5"
"320110407","0","50","502011406","0.7","1","496","2","-98"
"320110407","0","72","502011408","1.1","2","497","3","0"
"320110407","0","13","0","0.65","3","498","1","49"
"320110408","0","30","0","0.75","1","499","1","-40"
"320110409","0","50","0","1.2","1","500","1","20"
"320110410","0","-35","0","1.1","1","501","1","-20"
"320110506","0","40","502011501","0.7","1","502","2","-74"
"320110506","0","67","502011503","1","2","503","3","13"
"320110506","0","11","0","0.65","3","504","1","43.5"
"320110507","0","50","502011506","0.7","1","505","2","-98"
"320110507","0","72","502011508","1.1","2","506","3","0"
"320110507","0","13","0","0.65","3","507","1","49"
"320110508","0","30","0","0.75","1","508","1","-40"
"320110509","0","50","0","1.2","1","509","1","20"
"320110510","0","-35","0","1.1","1","510","1","-20"
"320120106","0","40","502012101","0.7","1","511","2","-74"
"320120106","0","67","502012103","1","2","512","3","10"
"320120106","0","11","0","0.65","3","513","1","43.5"
"320120107","0","50","502012106","0.7","1","514","2","-98"
"320120107","0","72","502012108","1","2","515","3","0"
"320120107","0","13","0","0.65","3","516","1","49"
"320120108","0","30","0","1.2","1","517","1","10"
"320120109","0","40","0","0.9","1","518","1","40"
"320120110","0","-35","0","1.1","1","519","1","-20"
"320120206","0","40","502012201","0.7","1","520","2","-74"
