58c7b5cb48f6a1c793ab60f787e8af67bbfcf8b206479b64da12da263e5cf926,d5a86ca00e014b49282a92ebae7cadae572e2c9bb429eaed19cb4fe922b78bfa,05e62460a236c11a1e27cfe8bd42796fe5b8adb38fa2d987478e7a91e91d5153,96cb7f0830aa5fc7a3390e76566b1b5c9608f9babfcb02e83771e52c758374bd,cb414a3c1a6af2ec7a12f64d5bd12aa8bbbda84f3a0f37db1cce399ffa880a39,1840b22615680e889faa5b95100b995d1c4494953eef5ca1502b4d136ec8dff8,f7f5de55ab0b9f7abdc27f65f77ef9bfb3abcf52ce5c6ff8a4320874ccbe1712,48b29c00f8b9182d13c98d04e1edc836f971f7f230e75888bda935f6a233b9d0,6b2de9f37b04ae1dbee9404b0be7b3e5b7b0badef739a3a16ddf6e63c584a276,71ee96934beff286987df090c92c92f0abe654f944433f9202f9df42c90f8e8c,2abd43a48588189d12083a4e2da269b9855841bb9d1e49e83bb77447d4287d72
"0","","0","13041","","0","","","91","","13"
"1","","1","13042","","","","wish_talk_look_shy_riri","3","0.2","13"
"vo_asb","","0","13043","","0","","vo_asb_1525","21","","13"
"1","0","10","13044","1","1","0","無論是多嚴厲的斥責或指教，\n我們都會虛心接受的──\n呃…………咦？","11","0","13"
"0","","0","13045","","0","","","91","","13"
"2","","1","13046","","","","idle_look_shy","3","0.2","13"
"3","","1","13047","","","","joy_idle_look_shy_precia","3","0.3","13"
"1","","1","13048","","","","wish_talk_Ex4","3","0.2","13"
"vo_asb","","0","13049","","0","","vo_asb_1526","21","","13"
"1","0","10","13050","1","1","0","…………\n沒、沒想到……\n竟然能像這樣被稱讚……","11","0","13"
"0","","0","13051","","0","","","91","","13"
"1","","1","13052","","","","idle_look_shy_riri","3","0.2","13"
"3","","1","13053","","","","surprise_idle_lookR_precia","3","0.4","13"
"vo_asb","","0","13054","","0","","vo_asb_1527","21","","13"
"3","0","10","13055","1","1","0","哥……","11","0","13"
"0","","0","13056","","0","","","91","","13"
"3","","1","13057","","","","joy_idle_look_shy_precia2","3","0.4","13"
"2","","1","13058","","","","clear_talk2_look","3","0.2","13"
"vo_asb","","0","13059","","0","","vo_asb_1528","21","","13"
"2","0","10","13060","1","1","0","哥哥你，\n並不是針對結果，\n而是看到我們努力的過程，\n稱讚了我們的付出……","11","0","13"
"0","","0","13061","","0","","","91","","13"
"1","","1","13062","","","","wish_talk_Ex3","3","0.2","13"
"3","","1","13063","","","","joy_idle_look_shy_precia","3","0.3","13"
"2","0","0","13064","1","clear_wish_talk_joy_look","","talk2ToWish_look","3","0.2","13"
"vo_asb","","0","13065","","0","","vo_asb_1529","21","","13"
"1","0","10","13066","1","1","0","……謝謝！","11","0","13"
"0","","0","13067","","0","","","91","","13"
"1","","1","13068","","","","idle_look_shy_riri","3","0.2","13"
"2","","1","13069","","","","idle_look_shy","3","0.2","13"
"3","0","0","13070","1","doya_talk_precia","","doya_in_precia","3","0.2","13"
"vo_asb","","0","13071","","0","","vo_asb_1530","21","","13"
"3","0","10","13072","1","1","0","自信滿滿的，\n冒險記。","11","0","13"
"0","","0","13073","","0","","","91","","13"
"3","","1","13074","","","","idle_look_normal_precia","3","0.4","13"
"1","","1","13075","","","","riri_talk_look_shy","3","0.2","13"
"vo_asb","","0","13076","","0","","vo_asb_1531","21","","13"
"1","0","10","13077","1","1","0","誠如您看到的，\n我們還是如此的笨拙不成熟……","11","0","13"
"0","","0","13078","","0","","","91","","13"
"1","","1","13079","","","","riri_idle_look_normal_shy","3","0.2","13"
"2","","1","13080","","","","clear_talk3_look","3","0.2","13"
"vo_asb","","0","13081","","0","","vo_asb_1532","21","","13"
"2","0","10","13082","1","1","0","但多虧有哥哥\n像這樣溫暖地守護我們，\n我才能繼續追逐夢想，\n想成為了不起的冒險者。","11","0","13"
"0","","0","13083","","0","","","91","","13"
"2","","1","13084","","","","clear_wish_talk_joy_look","3","0.2","13"
"vo_asb","","0","13085","","0","","vo_asb_1533","21","","13"
"2","0","10","13086","1","1","0","哥哥。\n從今以後，也請你繼續\n待在【幻變少女】身旁喔。","11","0","13"
"0","","0","13087","","0","","","91","","13"
"2","","1","13088","","","","clear_wish_idle_look","3","0.2","13"
"3","0.2","0","13089","1","joy_idle_look_shy_precia2","","agree","3","0.1","13"
"vo_asb","","0","13090","","0","","vo_asb_1534","21","","13"
"3","0","10","13091","1","1","0","請多指教。","11","0","13"
"0","","0","13092","","0","","","91","","13"
"1","0.2","0","13093","1","idle_look_shy_riri","","bow_riri","3","0.2","13"
"vo_asb","","0","13094","","0","","vo_asb_1535","21","","13"
"1","0","10","13095","1","1","0","請多多指教……！","11","0","13"
"0","","0","13096","","0","","","91","","13"
"13098","","","13097","","","","","101","","13"
"1","0","1","13098","0","1","","1","6","0.3","13"
"2","0","1","13099","0","1","","1","6","0.3","13"
"3","0","1","13100","0","1","","1","6","0.3","13"
"0","0","1","13101","0","1","","1","6","0.3","13"
"1","","-230","13102","1","0.3","","-130","2","","13"
"2","","-255","13103","1","0.3","","-290","2","","13"
"3","","-245","13104","1","0.3","","120","2","","13"
"0","","0","13105","1","0.3","","-100","2","","13"
"0","","","13106","","","","0","22","","13"
"100","","","13107","","","","1","35","","13"
"100","","0","13108","1","0.3","","-100","33","","13"
"0.4","","","13109","","","","0","93","","13"
"100","","","13110","","","","0","32","","13"
"3","0","52","22001","-250","30","surprise_idle_normal2_precia","1","5","2.2","22"
"1","0","1","22002","0","1","","1","6","0","22"
"0","0","29","22003","0","50","black","0","5","1","22"
"0","0","1","22004","0","1","","1","6","0","22"
"0","","","22005","","","","","91","","22"
"1","0","1","22006","1","1","","1","6","0.2","22"
"0","0","1","22007","1","1","","1","6","0.2","22"
"1","","-250","22008","2","0.3","","-20","2","","22"
"0","","0","22009","2","0.3","","0","2","","22"
"0.6","","","22010","","","","0","93","","22"
"vo_asb","","0","22011","","0","","vo_asb_0221","21","","22"
"1","0","10","22012","1","1","0","坐墊。\n餅乾。\n吃了好多。","11","0","22"
"0","","0","22013","","0","","","91","","22"
"1","","1","22014","","","","talk_surprise_precia","3","0.3","22"
"vo_asb","","0","22015","","0","","vo_asb_0222","21","","22"
"1","0","10","22016","1","1","0","鈴莓。\n好像，\n會做各式各樣。","11","0","22"
"0","","0","22017","","0","","","91","","22"
"1","","1","22018","","","","think_idle_precia","3","0.3","22"
"vo_asb","","0","22019","","0","","vo_asb_0223","21","","22"
"1","0","10","22020","1","1","0","像是，坐墊鬆餅。\n之類的？","11","0","22"
"0","","0","22021","","0","","","91","","22"
"1","","1","22022","","","","think_idle_dere_precia","3","0.3","22"
"vo_asb","","0","22023","","0","","vo_asb_0224","21","","22"
"1","0","10","22024","1","1","0","像是，坐墊馬芬蛋糕。\n之類的？","11","0","22"
"0","","0","22025","","0","","","91","","22"
"1","","1","22026","","","","think_idle_angerR","3","0.3","22"
"vo_asb","","0","22027","","0","","vo_asb_0225","21","","22"
"1","0","10","22028","1","1","0","像是，坐墊肉包子……\n之類的……（吞口水)","11","0","22"
"0","","0","22029","","0","","","91","","22"
"1","0","0","22030","1","speak1_light_precia","","thinkToSpeak_precia","3","0.1","22"
"vo_asb","","0","22031","","0","","vo_asb_0226","21","","22"
"1","0","10","22032","1","1","0","鈴莓。\n我要挖角她。\n來幻變少女。","11","0","22"
"0","","0","22033","","0","","","91","","22"
"22035","","","22034","","","","","101","","22"
"1","0","1","22035","0","1","","1","6","0.3","22"
"0","0","1","22036","0","1","","1","6","0.3","22"
"1","","-250","22037","1","0.3","","-120","2","","22"
"0","","0","22038","1","0.3","","-100","2","","22"
"0","","","22039","","","","0","22","","22"
"0.4","","","22040","","","","0","93","","22"
"1","0","52","32001","-230","20","riri_idle_look","1","5","2.2","32"
"2","0","58","32002","-255","-140","clear_book_read","2","5","2.2","32"
"3","1","55","32003","-245","270","joy_idle_precia","3","5","2.2","32"
"1","0","1","32004","0","1","","1","6","0","32"
"2","0","1","32005","0","1","","1","6","0","32"
"3","0","1","32006","0","1","","1","6","0","32"
"0","0","29","32007","0","50","black","0","5","1","32"
"0","0","1","32008","0","1","","1","6","0","32"
"0","","","32009","","","","","91","","32"
"1","0","1","32010","1","1","","1","6","0.2","32"
"2","0","1","32011","1","1","","1","6","0.2","32"
"3","0","1","32012","1","1","","1","6","0.2","32"
"0","0","1","32013","1","1","","1","6","0.2","32"
"1","","-230","32014","2","0.3","","-30","2","","32"
"2","","-255","32015","2","0.3","","-190","2","","32"
"3","","-245","32016","2","0.3","","220","2","","32"
"0","","0","32017","2","0.3","","0","2","","32"
"0.6","","","32018","","","","0","93","","32"
"2","","1","32019","","","","clear_book_talk","3","0.2","32"
"vo_asb","","0","32020","","0","","vo_asb_0321","21","","32"
"2","0","10","32021","1","1","0","這幅牛的畫，\n未免畫得太好了吧！？","11","0","32"
"0","","0","32022","","0","","","91","","32"
"2","","1","32023","","","","clear_book_idle","3","0.4","32"
"1","","1","32024","","","","riri_talk_look","3","0.2","32"
"vo_asb","","0","32025","","0","","vo_asb_0322","21","","32"
"1","0","10","32026","1","1","0","這是普蕾西亞畫的。\n因為她是天才呢。","11","0","32"
"0","","0","32027","","0","","","91","","32"
"1","","1","32028","","","","riri_idle_look","3","0.2","32"
"2","0","0","32029","1","clear_talk2_noShy","","clear_bookToTalk2","3","0.1","32"
"vo_asb","","0","32030","","0","","vo_asb_0323","21","","32"
"2","0","10","32031","1","1","0","話說回來，我和莉莉兩人，\n一直做不好「手插腰」，\n真陽小姐為了教我們，\n苦戰一番的時候也……","11","0","32"
"0","","0","32032","","0","","","91","","32"
"2","0","0","32033","1","idle_talkjoy2","","talk2ToIdle_talkjoy2","3","0.1","32"
"1","","1","32034","","","","sad_talk_joy2R","3","0.2","32"
"vo_asb","","0","32035","","0","","vo_asb_0324","21","","32"
"1","0","10","32036","1","1","0","是，只有普蕾西亞\n一次就合格了吧。\n從我們這些外行人的眼中看來，\n也是非常完美的「手插腰」。","11","0","32"
"0","","0","32037","","0","","","91","","32"
"1","","1","32038","","","","sad_idle_normal_riri","3","0.2","32"
"2","","1","32039","","","","idle","3","0.2","32"
"3","","1","32040","","","","talk_precia","3","0.3","32"
"vo_asb","","0","32041","","0","","vo_asb_0325","21","","32"
"3","0","10","32042","1","1","0","想看嗎？","11","0","32"
"0","","0","32043","","0","","","91","","32"
"3","","1","32044","","","","joy_idle_precia","3","0.3","32"
"1","","1","32045","","","","guts2_talk_riri","3","0.2","32"
"2","","1","32046","","","","clear_hope_talk","3","0.2","32"
"vo_asb","","0","32047","","0","","vo_asb_0326","21","","32"
"1","0","10","32048","1","1","0","當然的。","11","0","32"
"0","","0","32049","","0","","","91","","32"
"1","","1","32050","","","","guts2_idle_riri","3","0.2","32"
"2","","1","32051","","","","clear_hope_idle","3","0.2","32"
"3","0","0","32052","1","cool_idle","","cool_in","3","0.2","32"
"vo_asb","","0","32053","","0","","vo_asb_0327","21","","32"
"3","0","10","32054","1","1","0","插腰。","11","0","32"
"0","","0","32055","","0","","","91","","32"
"3","0.1","0","32056","1","cool_idle_doya","","cool_idle_doya_in","3","0.2","32"
"1","","1","32057","","","","guts2_idle_joy_riri","3","0.2","32"
"2","","1","32058","","","","clear_hope_joy","3","0.2","32"
"vo_asb","","0","32059","","0","","vo_asb_0328","21","","32"
"1","-22","10","32060","1","1","0","哇～♪","11","-85","32"
"0","","0","32061","","0","","","91","","32"
"32063","","","32062","","","","","101","","32"
"1","0","1","32063","0","1","","1","6","0.3","32"
"2","0","1","32064","0","1","","1","6","0.3","32"
"3","0","1","32065","0","1","","1","6","0.3","32"
"0","0","1","32066","0","1","","1","6","0.3","32"
"1","","-230","32067","1","0.3","","-130","2","","32"
"2","","-255","32068","1","0.3","","-290","2","","32"
"3","","-245","32069","1","0.3","","120","2","","32"
"0","","0","32070","1","0.3","","-100","2","","32"
"0","","","32071","","","","0","22","","32"
"0.4","","","32072","","","","0","93","","32"
"2","0","52","42001","-250","30","clear_wish_talk_joy_noShy","1","5","2.2","42"
"1","0","1","42002","0","1","","1","6","0","42"
"0","0","29","42003","0","50","black","0","5","1","42"
"0","0","1","42004","0","1","","1","6","0","42"
"0","","","42005","","","","","91","","42"
"1","0","1","42006","1","1","","1","6","0.2","42"
"0","0","1","42007","1","1","","1","6","0.2","42"
"1","","-250","42008","2","0.3","","-20","2","","42"
"0","","0","42009","2","0.3","","0","2","","42"
"0.6","","","42010","","","","0","93","","42"
"vo_asb","","0","42011","","0","","vo_asb_0421","21","","42"
"1","0","10","42012","1","1","0","鈴小姐模仿真陽小姐，\n模仿得非常到位。","11","0","42"
"0","","0","42013","","0","","","91","","42"
"1","","1","42014","","","","clear_talk_normal","3","0.1","42"
"vo_asb","","0","42015","","0","","vo_asb_0422","21","","42"
"1","0","10","42016","1","1","0","在公會久待，\n關係深厚的成員之間，\n要像那樣子互相模仿，\n似乎也會變得容易呢……","11","0","42"
"0","","0","42017","","0","","","91","","42"
"1","0","0","42018","1","clear_kohon_loop","","clear_kohon_in","3","0.2","42"
"vo_asb","","0","42019","","0","","vo_asb_0423","21","","42"
"1","0","10","42020","1","1","0","…………\n……咳咳。","11","0","42"
"0","","0","42021","","0","","","91","","42"
"1","0","0","42022","1","clear_speak2_talk","","clear_imitation_in","3","0.2","42"
"vo_asb","","0","42023","","0","","vo_asb_0424","21","","42"
"1","0","10","42024","1","1","0","兄、兄長大人。兄長大人……？\n哥、哥，哥……哥。\n…………","11","0","42"
"0","","0","42025","","0","","","91","","42"
"1","0","0","42026","1","clear_surprise_talk_red","","clear_surprise_in_red","3","0.3","42"
"vo_asb","","0","42027","","0","","vo_asb_0425","21","","42"
"1","0","10","42028","1","1","0","……啊！\n只是要模仿公會成員而已，\n我真是的，為什麼會臉紅……！","11","0","42"
"0","","0","42029","","0","","","91","","42"
"1","","1","42030","","","","clear_wish_talk_pain_red","3","0.2","42"
"vo_asb","","0","42031","","0","","vo_asb_0426","21","","42"
"1","0","10","42032","1","1","0","從各方面來說，我都還差得遠呢……！","11","0","42"
"0","","0","42033","","0","","","91","","42"
"42035","","","42034","","","","","101","","42"
"1","0","1","42035","0","1","","1","6","0.3","42"
"0","0","1","42036","0","1","","1","6","0.3","42"
"1","","-250","42037","1","0.3","","-120","2","","42"
"0","","0","42038","1","0.3","","-100","2","","42"
"0","","","42039","","","","0","22","","42"
"0.4","","","42040","","","","0","93","","42"
"1","0","55","52001","-243","70","dance_riri","1","5","2.2","52"
"2","1","52","52002","-245","320","dance_clear","2","5","2.2","52"
"3","0","58","52003","-255","-90","dance_precia","3","5","2.2","52"
"1","0","1","52004","0","1","","1","6","0","52"
"2","0","1","52005","0","1","","1","6","0","52"
"3","0","1","52006","0","1","","1","6","0","52"
"0","0","29","52007","0","50","black","0","5","1","52"
"0","0","1","52008","0","1","","1","6","0","52"
"0","","","52009","","","","","91","","52"
"1","","0","52010","","","","dance_riri","3","0.1","52"
"2","0","0","52011","1","idle","","dance_clear","3","0.1","52"
"3","0","0","52012","1","idle_precia","","dance_precia","3","0.1","52"
"1","0","1","52013","1","1","","1","6","0.2","52"
"2","0","1","52014","1","1","","1","6","0.2","52"
"3","0","1","52015","1","1","","1","6","0.2","52"
"0","0","1","52016","1","1","","1","6","0.2","52"
"1","","-243","52017","2","0.3","","-30","2","","52"
"2","","-245","52018","2","0.3","","220","2","","52"
"3","","-255","52019","2","0.3","","-190","2","","52"
"0","","0","52020","2","0.3","","0","2","","52"
"0.6","","","52021","","","","0","93","","52"
"vo_asb","","0","52022","","0","","vo_asb_0521","21","","52"
"3","0","11","52023","0","0","0.15","快、快、慢。","11","0","52"
"0","","0","52024","","0","","","91","","52"
"vo_asb","","0","52025","","0","","vo_asb_0522","21","","52"
"1","0","10","52026","0","0","0.75","旋轉、停，旋轉、停，\n快、快、慢！","11","0","52"
"52010","","","52027","","","","","91","","52"
"1","","1","52028","","","","idle","3","0.1","52"
"0.2","","","52029","","","","0","93","","52"
"1","0.2","0","52030","1","talk_joy","","smile_riri","3","0.1","52"
"vo_asb","","0","52031","","0","","vo_asb_0523","21","","52"
"1","0","10","52032","1","1","0","……呵呵呵，有了這個口號，\n我們三人的步調，\n就很不可思議地同步了呢。","11","0","52"
"0","","","52033","","","","","91","","52"
"1","","1","52034","","","","riri_idle","3","0.2","52"
"2","","1","52035","","","","clear_talk2_noShy","3","0.2","52"
"vo_asb","","0","52036","","0","","vo_asb_0524","21","","52"
"2","0","10","52037","1","1","0","是啊。所以在那之後，\n我們也很常用這個口號呢。\n像是要合力搬起重物時，\n或是三人要一起做體操時。","11","0","52"
"0","","0","52038","","0","","","91","","52"
"2","0","0","52039","1","idle","","talk2ToIdle","3","0.2","52"
"1","","1","52040","","","","riri_talk","3","0.2","52"
"vo_asb","","0","52041","","0","","vo_asb_0525","21","","52"
"1","0","10","52042","1","1","0","其他還有，戰鬥訓練中要配合步調時，\n還有走夜路要避開魔物的時候！","11","0","52"
"0","","0","52043","","0","","","91","","52"
"1","","1","52044","","","","riri_idle_look","3","0.2","52"
"2","","1","52045","","","","idle_talkjoy2","3","0.2","52"
"3","","1","52046","","","","talk_precia","3","0.3","52"
"vo_asb","","0","52047","","0","","vo_asb_0526","21","","52"
"3","0","10","52048","1","1","0","實用性，\n太高了。","11","0","52"
"0","","0","52049","","0","","","91","","52"
"52051","","","52050","","","","","101","","52"
"1","0","1","52051","0","1","","1","6","0.3","52"
"2","0","1","52052","0","1","","1","6","0.3","52"
"3","0","1","52053","0","1","","1","6","0.3","52"
"0","0","1","52054","0","1","","1","6","0.3","52"
"1","","-230","52055","1","0.3","","-130","2","","52"
"2","","-245","52056","1","0.3","","120","2","","52"
"3","","-255","52057","1","0.3","","-290","2","","52"
"0","","0","52058","1","0.3","","-100","2","","52"
"0","","","52059","","","","0","22","","52"
"0.4","","","52060","","","","0","93","","52"
"1","0","52","62001","-250","30","talk_joy","1","5","2.2","62"
"1","0","1","62002","0","1","","1","6","0","62"
"0","0","29","62003","0","50","black","0","5","1","62"
"0","0","1","62004","0","1","","1","6","0","62"
"0","","","62005","","","","","91","","62"
"1","0","1","62006","1","1","","1","6","0.2","62"
"0","0","1","62007","1","1","","1","6","0.2","62"
"1","","-250","62008","2","0.3","","-20","2","","62"
"0","","0","62009","2","0.3","","0","2","","62"
"0.6","","","62010","","","","0","93","","62"
"vo_asb","","0","62011","","0","","vo_asb_0621","21","","62"
"1","0","10","62012","1","1","0","演唱會結束後，\n慈樂之音的成員們來拜訪了。","11","0","62"
"0","","0","62013","","0","","","91","","62"
"1","","1","62014","","","","wish_talk_joyR_riri","3","0.2","62"
"vo_asb","","0","62015","","0","","vo_asb_0622","21","","62"
"1","0","10","62016","1","1","0","她們說「絕對要再一起跳舞」，\n還把手疊在我們的手上……","11","0","62"
"0","","0","62017","","0","","","91","","62"
"1","","1","62018","","","","memoly_talk_joy","3","0.3","62"
"vo_asb","","0","62019","","0","","vo_asb_0623","21","","62"
"1","0","10","62020","1","1","0","她們三位實在是又可愛又耀眼，\n我已經是，\n頭暈目眩了……","11","0","62"
"0","","0","62021","","0","","","91","","62"
"1","","1","62022","","","","sad_talk2_dere","3","0.2","62"
"vo_asb","","0","62023","","0","","vo_asb_0624","21","","62"
"1","0","10","62024","1","1","0","其實，與她們相疊的這隻手，\n我從那天以來一次都沒有洗過。","11","0","62"
"0","","0","62025","","0","","","91","","62"
"1","","1","62026","","","","wish_talk_nervous_riri","3","0.3","62"
"vo_asb","","0","62027","","0","","vo_asb_0625","21","","62"
"1","0","10","62028","1","1","0","雖然也不是沒感覺到\n璃亞用有點傻眼的視線\n看著我……\n但至少讓我再等半天……！","11","0","62"
"0","","0","62029","","0","","","91","","62"
"62031","","","62030","","","","","101","","62"
"1","0","1","62031","0","1","","1","6","0.3","62"
"0","0","1","62032","0","1","","1","6","0.3","62"
"1","","-250","62033","1","0.3","","-120","2","","62"
"0","","0","62034","1","0.3","","-100","2","","62"
"0","","","62035","","","","0","22","","62"
"0.4","","","62036","","","","0","93","","62"
"2","0","52","72001","-250","30","idle","1","5","2.2","72"
"1","0","1","72002","0","1","","1","6","0","72"
"0","0","29","72003","0","50","black","0","5","1","72"
"0","0","1","72004","0","1","","1","6","0","72"
"0","","","72005","","","","","91","","72"
"1","0","1","72006","1","1","","1","6","0.2","72"
"0","0","1","72007","1","1","","1","6","0.2","72"
"1","","-250","72008","2","0.3","","-20","2","","72"
"0","","0","72009","2","0.3","","0","2","","72"
"0.6","","","72010","","","","0","93","","72"
"1","","1","72011","","","","clear_talk_normal","3","0.2","72"
"vo_asb","","0","72012","","0","","vo_asb_0721","21","","72"
"1","0","10","72013","1","1","0","碧小姐好像很害羞。\n但不是有這樣的說法嗎？\n有共同話題的人，\n彼此更容易敞開心扉。","11","0","72"
"0","","0","72014","","0","","","91","","72"
"1","","1","72015","","","","clear_kohon_talk_surprise","3","0.2","72"
"vo_asb","","0","72016","","0","","vo_asb_0722","21","","72"
"1","0","10","72017","1","1","0","我的直覺是對的呢。\n雖然不像碧小姐那麼了解，\n但我也喜歡花草。\n我有種感覺，能跟這個人變得很要好。","11","0","72"
"0","","0","72018","","0","","","91","","72"
"1","","1","72019","","","","clear_talk2_noShy","3","0.2","72"
"vo_asb","","0","72020","","0","","vo_asb_0723","21","","72"
"1","0","10","72021","1","1","0","所以我啊，\n鼓起勇氣說出口了！\n「能跟妳當朋友嗎？」這句話。","11","0","72"
"0","","0","72022","","0","","","91","","72"
"1","0","0","72023","1","clear_wish_talk_joy","","talk2ToWish","3","0.2","72"
"vo_asb","","0","72024","","0","","vo_asb_0724","21","","72"
"1","0","10","72025","1","1","0","然後碧小姐她，\n臉就變得紅通通的，\n「嗯嗯！」地點頭如搗蒜。\n我當時心想，成功了！","11","0","72"
"0","","0","72026","","0","","","91","","72"
"1","","1","72027","","","","clear_talk2_nervous","3","0.2","72"
"vo_asb","","0","72028","","0","","vo_asb_0725","21","","72"
"1","0","10","72029","1","1","0","……但接下來，\n她說需要一點時間心理準備。\n而她的心理準備，\n可能會花上300年左右……","11","0","72"
"0","","0","72030","","0","","","91","","72"
"1","0","0","72031","1","clear_kohon_loop_shy","","talk2ToKohon","3","0.2","72"
"vo_asb","","0","72032","","0","","vo_asb_0726","21","","72"
