9be180c85a76dce5e53da51f5c0b2f31273ad43a5d20e78f381aae735e16ce1e,c084ee0a1549447fa4dff4591e08f75aa697dc5ff9107e25894b80a39373816b,50539cbf06720c0b554e6506451b0700bd9821fbb7d50e2a4531540e91e9bc60,928462e48460591455b665eba6d00325a42647fd8a12ef4e67a3a6ff4c35f9e2,df3bb427aa17a9244748751ff1042aeabc16662ca8498a3fdf008f697f777647,98df7114c36561c7f4282680c2198924669f16de305f6bcb8fdb457f81c40278,0865fc15f22989c5950cd25e479f2d89c9947ae344c0683b6fd95ecf4c22bf41,a4c7b91a4a963af0919951134309729b98498f9352286a0099f8f3e997ae3ff1
"710000263","711002631","710026301","710026303","710026304","710026302","710026305","100"
"710000264","711002641","710026402","710026403","710026404","710026401","710026405","100"
"710000265","711002651","710026502","710026504","710026503","710026501","710026505","100"
"710000266","711002661","710026602","710026603","710026604","710026601","710026605","100"
"710000267","711002671","710026702","710026703","710026704","710026701","710026705","100"
"710000268","711002681","710026802","710026803","710026804","710026801","710026805","100"
"710000269","711002691","710026902","710026903","710026904","710026901","710026905","100"
"710000270","711002701","710027002","710027003","710027004","710027001","710027005","100"
"710000271","711102711","710027102","710027104","710027103","710027101","710027105","100"
"710000272","711102721","710027202","710027203","710027205","710027201","710027204","100"
"710000273","711102731","710027302","710027303","710027304","710027301","710027305","100"
"710000274","711102741","710027402","710027403","710027404","710027401","710027405","100"
"710000275","711102751","710027503","710027502","710027504","710027501","710027505","100"
"710000276","711102761","710027601","710027604","710027603","710027602","710027605","100"
"710000277","711102771","710027702","710027704","710027703","710027701","710027705","100"
"710000278","711102781","710027802","710027803","710027804","710027801","710027805","100"
"710000279","711102791","710027901","710027904","710027905","710027901","710027902","100"
"710000280","711102801","710028002","710028003","710028004","710028001","0","100"
"710000281","711102811","710028102","710028103","710028104","710028101","710028105","100"
"710000282","711102821","710028203","710028202","710028204","710028201","710028205","100"
"710000283","711102831","710028304","710028301","710028302","710028303","710028305","100"
"710000284","711102841","710028402","710028404","710028403","710028401","710028405","100"
"710000285","711102851","710028501","710028504","710028502","710028503","710028505","100"
"710000286","711102861","710028603","710028602","710028605","710028601","710028604","100"
"710000287","711102871","710028703","710028704","710028702","710028701","710028705","100"
"710000288","711102881","710028803","710028802","710028804","710028801","710028805","100"
"710000289","711102891","710028902","710028904","710028903","710028901","710028905","100"
"710000290","711102901","710029002","710029003","710029004","710029001","710029005","100"
"710000291","711202911","710029102","710029104","710029103","710029101","710029105","100"
"710000292","711202921","710029202","710029204","710029203","710029201","710029205","100"
"710000293","711202931","710029302","710029303","710029304","710029301","710029305","100"
"710000294","711202941","710029402","710029403","710029404","710029401","710029405","100"
"710000295","711202951","710029502","710029503","710029504","710029501","710029505","100"
"710000296","711202961","710029602","710029603","710029604","710029601","710029605","100"
"710000297","711202971","710029702","710029703","710029704","710029701","710029705","100"
"710000298","711202981","710029802","710029804","710029803","710029801","710029805","100"
"710000299","711202991","710029904","710029905","710029902","710029901","710029903","100"
"710000300","711203001","710030002","710030003","710030001","710030004","0","100"
"710000301","711203011","710030102","710030104","710030103","710030101","710030105","100"
"710000302","711203021","710030203","710030204","710030202","710030201","710030205","100"
"710000303","711203031","710030303","710030304","710030302","710030301","710030305","100"
"710000304","711203041","710030402","710030403","710030404","710030401","710030405","100"
"710000305","711203051","710030501","710030504","710030502","710030503","710030505","100"
"710000306","711203061","710030601","710030603","710030604","710030602","710030605","100"
"710000307","711203071","710030703","710030704","710030702","710030701","710030705","100"
"710000308","711203081","710030802","710030803","710030804","710030801","710030805","100"
"710000309","711203091","710030902","710030903","710030904","710030901","710030905","100"
"710000310","711203101","710031001","710031002","710031003","710031004","710031005","100"
"710000311","711303111","710031104","710031102","710031103","710031101","710031105","100"
"710000312","711303121","710031202","710031203","710031204","710031201","710031205","100"
"710000313","711303131","710031302","710031304","710031303","710031301","710031305","100"
"710000314","711303141","710031402","710031404","710031403","710031401","710031405","100"
"710000315","711303151","710031503","710031502","710031504","710031501","710031505","100"
"710000316","711303161","710031601","710031604","710031603","710031602","710031605","100"
"710000317","711303171","710031702","710031704","710031703","710031701","710031705","100"
"710000318","711303181","710031801","710031803","710031805","710031802","710031804","100"
"710000319","711303191","710031904","710031902","710031905","710031901","710031903","100"
"710000320","711303201","710032002","710032003","710032004","710032001","0","100"
"710000321","711303211","710032102","710032103","710032104","710032101","710032105","100"
"710000322","711303221","710032203","710032204","710032202","710032201","710032205","100"
"710000323","711303231","710032301","710032302","710032304","710032303","710032305","100"
"710000324","711303241","710032402","710032404","710032403","710032401","710032405","100"
"710000325","711303251","710032504","710032501","710032502","710032503","710032505","100"
"710000326","711303261","710032602","710032603","710032604","710032601","710032605","100"
"710000327","711303271","710032703","710032702","710032704","710032701","710032705","100"
"710000328","711303281","710032801","710032804","710032803","710032802","710032805","100"
"710000329","711303291","710032902","710032903","710032904","710032901","710032905","100"
"710000330","711303301","710033002","710033005","710033004","710033001","710033003","100"
"710000331","711403311","710033101","710033102","710033104","710033103","710033105","100"
"710000332","711403321","710033201","710033204","710033202","710033203","710033205","100"
"710000333","711403331","710033301","710033302","710033304","710033303","710033305","100"
"710000334","711403341","710033403","710033404","710033402","710033401","710033405","100"
"710000335","711403351","710033504","710033501","710033502","710033503","710033505","100"
"710000336","711403361","710033601","710033602","710033604","710033603","710033605","100"
"710000337","711403371","710033701","710033702","710033704","710033703","710033705","100"
"710000338","711403381","710033804","710033801","710033802","710033803","710033805","100"
"710000339","711403391","710033904","710033901","710033902","710033903","710033905","100"
"710000340","711403401","710034005","710034003","710034002","710034001","0","100"
"710000341","711403411","710034104","710034101","710034102","710034103","710034105","100"
"710000342","711403421","710034201","710034204","710034202","710034203","710034205","100"
"710000343","711403431","710034301","710034304","710034302","710034303","710034305","100"
"710000344","711403441","710034401","710034404","710034402","710034403","710034405","100"
"710000345","711403451","710034503","710034501","710034502","710034503","710034504","100"
"710000346","711403461","710034601","710034604","710034602","710034603","710034605","100"
"710000347","711403471","710034701","710034704","710034702","710034703","710034705","100"
"710000348","711403481","710034801","710034804","710034802","710034803","710034805","100"
"710000349","711403491","710034901","710034904","710034902","710034903","710034905","100"
"710000350","711403501","710035001","710035002","710035003","710035004","710035005","100"
"710000351","711503511","710035103","710035104","710035102","710035101","710035105","100"
"710000352","711503521","710035201","710035204","710035202","710035203","710035205","100"
"710000353","711503531","710035301","710035304","710035305","710035303","710035302","100"
"710000354","711503541","710035401","710035404","710035402","710035403","710035405","100"
"710000355","711503551","710035501","710035502","710035504","710035503","710035505","100"
"710000356","711503561","710035601","710035604","710035602","710035603","710035605","100"
"710000357","711503571","710035703","710035704","710035705","710035701","710035702","100"
"710000358","711503581","710035801","710035804","710035802","710035803","710035805","100"
"710000359","711503591","710035901","710035904","710035905","710035903","710035902","100"
"710000360","711503601","710036001","710036002","710036003","710036004","710036005","100"
"710000361","711603611","710036101","710036104","710036105","710036103","710036102","100"
"710000362","711603621","710036201","710036204","710036202","710036203","710036205","100"
"710000363","711603631","710036301","710036304","710036305","710036303","710036302","100"
"710000364","711603641","710036401","710036402","710036404","710036403","710036405","100"
"710000365","711603651","710036504","710036501","710036502","710036503","710036505","100"
"710000366","711603661","710036601","710036602","710036604","710036603","710036605","100"
"710000367","711603671","710036703","710036702","710036704","710036701","710036705","100"
"710000368","711603681","710036804","710036801","710036802","710036803","710036805","100"
"710000369","711603691","710036904","710036901","710036902","710036903","710036905","100"
"710000370","711603701","710037004","710037002","710037003","710037001","710037005","100"
"710000371","711703711","710037103","710037104","710037102","710037101","710037105","100"
"710000372","711703721","710037203","710037204","710037202","710037201","710037205","100"
"710000373","711703731","710037301","710037304","710037302","710037303","710037305","100"
"710000374","711703741","710037401","710037404","710037402","710037403","710037405","100"
"710000375","711703751","710037501","710037504","710037502","710037503","710037505","100"
"710000376","711703761","710037601","710037604","710037602","710037603","710037605","100"
"710000377","711703771","710037701","710037702","710037704","710037703","710037705","100"
"710000378","711703781","710037801","710037804","710037802","710037803","710037805","100"
"710000379","711703791","710037901","710037904","710037902","710037903","710037905","100"
"710000380","711703801","710038004","710038005","710038003","710038001","710038002","100"
"710000381","711803811","710038101","710038104","710038105","710038103","710038102","100"
"710000382","711803821","710038203","710038204","710038201","710038203","710038202","100"
"710000383","711803831","710038301","710038304","710038302","710038303","710038305","100"
"710000384","711803841","710038401","710038404","710038402","710038403","710038405","100"
"710000385","711803851","710038501","710038504","710038502","710038503","710038505","100"
"710000386","711803861","710038601","710038604","710038602","710038603","710038605","100"
"710000387","711803871","710038701","710038704","710038702","710038703","710038705","100"
"710000388","711803881","710038803","710038804","710038802","710038801","710038805","100"
"710000389","711803891","710038903","710038902","710038904","710038901","710038905","100"
"710000390","711803901","710039004","710039002","710039003","710039001","710039005","100"
"710000391","711903911","710039101","710039104","710039105","710039103","710039102","100"
"710000392","711903921","710039201","710039204","710039202","710039203","710039205","100"
"710000393","711903931","710039304","710039301","710039302","710039303","710039305","100"
"710000394","711903941","710039401","710039404","710039402","710039403","710039405","100"
"710000395","711903951","710039504","710039501","710039502","710039503","710039505","100"
"710000396","711903961","710039601","710039602","710039604","710039603","710039605","100"
"710000397","711903971","710039701","710039702","710039704","710039703","710039705","100"
"710000398","711903981","710039801","710039804","710039802","710039803","710039805","100"
"710000399","711903991","710039904","710039901","710039905","710039903","710039902","100"
"710000400","711904001","710040001","710040005","710040003","710040004","710040002","100"
"710000401","712004011","710040101","710040104","710040102","710040103","710040105","100"
"710000402","712004021","710040201","710040204","710040205","710040203","710040202","100"
"710000403","712004031","710040304","710040301","710040302","710040303","710040305","100"
"710000404","712004041","710040404","710040401","710040402","710040403","710040405","100"
"710000405","712004051","710040501","710040502","710040504","710040503","710040505","100"
"710000406","712004061","710040604","710040601","710040602","710040603","710040605","100"
"710000407","712004071","710040703","710040704","710040702","710040701","710040705","100"
"710000408","712004081","710040801","710040802","710040804","710040803","710040805","100"
"710000409","712004091","710040904","710040901","710040902","710040903","710040905","100"
"710000410","712004101","710041001","710041005","710041003","710041004","710041002","100"
"710000411","712104111","710041101","710041102","710041104","710041103","710041105","100"
"710000412","712104121","710041203","710041204","710041202","710041201","710041205","100"
"710000413","712104131","710041304","710041301","710041302","710041303","710041305","100"
"710000414","712104141","710041404","710041401","710041405","710041403","710041402","100"
"710000415","712104151","710041504","710041501","710041502","710041503","710041505","100"
"710000416","712104161","710041601","710041604","710041602","710041603","710041605","100"
"710000417","712104171","710041701","710041702","710041704","710041703","710041705","100"
"710000418","712104181","710041803","710041804","710041802","710041801","710041805","100"
