8e0339dbc94bde6f10d808f600b392809b2dabf0926adf307b0aea638012c8da,434849ae866f0af54d28608f2ea03e8bb5bb6f9dc65dfc273ca94c30bd8f399f,9bcca0aefe469628c209672a80250c872228dd87dbd45c696a18a8f0745f1006,610386ff3923676bd9b6fd9b63485f397b270735ec6f81fd0ff22457b3ef4397,8101e33ad167479784018437ef3dff82ef55c324957dee918491b2d010b3355f,371f2236ea92e91afea391e68bffa98058736d892360c8641ed26f9f34af6e5b,6fd4fa5214362be228a0ecec8ba3b93b51193fff5d74e2c14d35cbb675841a74,acedead0824f64e2cccf0c7dc29a168f1c70df75a530d57eed7090064ad1ecfc,809885a92c81c017c954b607f6d3cad0b436d06fe00b75c3405dcd3062688ed3,01ce2f0ae3e7caf6d664057b696c29122409af9798b1ed3228905714030739de,ed1bc886e1dbfccd78da93e57710d85f6d839c2c8f985bb5b6b172b030af722c,13c2165e8938854d272346352ddcc796eaef58d025c09e30668cff7a3c0a3bcb,29f5a7acd9fe8f40f3bd2118de9da02091e9acb9f5fd5d01a678c03b97bc2aee,66700cfcec0f6fd58ab58f692b36d4e97dd2fc95a2e6576d80e55728c9d84654
"1","-1","1","-1","6","1","1","22","3","1","1","1506","151","180"
"1","-1","1","-1","6","1","1","22","3","1","1","1507","181","210"
"1","-1","1","-1","6","1","1","22","3","1","1","1508","211","240"
"1","-1","1","-1","6","1","1","22","3","1","1","1509","241","270"
"1","-1","1","-1","6","1","1","22","3","1","1","1510","271","-1"
"1","5","1","30","7","1","1","7","6","1","1","1601","4","30"
"1","5","1","60","7","1","1","11","6","1","1","1602","31","60"
"1","5","1","90","7","1","1","15","6","1","1","1603","61","90"
"1","5","1","120","7","1","1","19","6","1","1","1604","91","120"
"1","5","1","150","7","1","1","23","6","1","1","1605","121","150"
"1","5","1","180","7","1","1","27","6","1","1","1606","151","180"
"1","5","1","210","7","1","1","29","6","1","1","1607","181","210"
"1","5","1","240","7","1","1","31","6","1","1","1608","211","240"
"1","5","1","270","7","1","1","31","6","1","1","1609","241","270"
"1","5","1","300","7","1","1","31","6","1","1","1610","271","300"
"1","5","1","310","7","1","1","31","6","1","1","1611","301","-1"
"1","5","1","30","8","1","1","7","5","1","1","1701","4","30"
"1","5","1","60","8","1","1","11","5","1","1","1702","31","60"
"1","5","1","90","8","1","1","15","5","1","1","1703","61","90"
"1","5","1","120","8","1","1","19","5","1","1","1704","91","120"
"1","5","1","150","8","1","1","23","5","1","1","1705","121","150"
"1","5","1","180","8","1","1","27","5","1","1","1706","151","180"
"1","5","1","210","8","1","1","29","5","1","1","1707","181","210"
"1","5","1","240","8","1","1","31","5","1","1","1708","211","240"
"1","5","1","270","8","1","1","31","5","1","1","1709","241","270"
"1","5","1","300","8","1","1","31","5","1","1","1710","271","300"
"1","5","1","310","8","1","1","31","5","1","1","1711","301","-1"
