e546647093b2a2384665e5da735e2587087dffdda40a53804218526aba19f56f,84d013bacecf08ee69891857ac901aef28641da4e7294721e2e9f60a681239aa,00557913b64228a9656adb98f6f902383e4d95baf8d4e2e01f28ccd780d716d7,f0f09117031617fe55d2511a8c2905b8084231597f4c3900eecf5f5d9a7005bd,11e33546fe8b1ab9eea364d63aa78a54303e00d8118e2b2382b4580f594136b1,f63712d85a55969af897fc6bbd12d2512361daa78cb55c504a3aebd9cd034fd8,74c68a18bf4fc559532cb89228a14d30ebe2e2e8147bbd0816ff08acc9d131fd,69f86a2d19ddff2fb8a52cbe1897e9016603fa090fff62033b1737468fcb88db,45b0780f6d8f317d4a7daebc9affe98bd15456950149badbb3c557423be84bb2,ab50ee961a5d96c929d06e4e41832f246a5d42a16557d5439b7d6a69424dca63,a69fe1185dc6e2b763ea899e046a55aff89339f56257d3df159862a5be17cbe4,cda6c6ed98c4505e922e74310f9af1a23a6644c5711509cf84bbdcda441db530
"22","22","21","1","3","10011","0","0","1","0","2201","0"
"23","23","22","3","2","11001","0","0","100","0","2301","0"
"24","24","23","2","2","11011","0","0","101","0","2401","0"
"25","25","24","3","4","11041","0","0","104","0","2501","0"
"26","26","25","4","3","10501","0","0","50","0","2601","0"
"27","27","26","3","3","10521","0","0","52","0","2701","0"
"28","28","27","1","1","10501","0","0","50","0","2801","0"
"29","29","28","2","4","11041","0","0","104","0","2901","0"
"30","30","29","1","3","10511","0","0","51","0","3001","0"
"31","31","30","2","2","11001","0","0","100","0","3101","0"
"32","32","31","3","1","11011","0","0","101","0","3201","0"
"33","33","32","4","4","11041","0","0","104","0","3301","0"
"34","34","33","3","3","11001","0","0","100","0","3401","0"
"35","35","34","2","4","11041","0","0","104","0","3501","0"
"36","36","35","3","2","11031","0","0","103","0","3601","0"
"37","37","36","2","1","11021","0","0","102","0","3701","0"
"38","38","37","1","2","10501","0","0","50","0","3801","0"
"39","39","38","3","3","11021","0","0","102","0","3901","0"
"40","40","39","4","4","11041","0","0","104","0","4001","0"
"41","41","40","3","1","11001","0","0","100","0","4101","0"
"42","42","41","2","3","10521","0","0","52","0","4201","0"
"43","43","42","1","4","11041","0","0","104","0","4301","0"
"44","44","43","2","1","11031","0","0","103","0","4401","0"
"45","45","44","1","4","11041","0","0","104","0","4501","0"
"46","46","45","3","3","11011","0","0","101","0","4601","0"
"47","47","46","4","1","11021","0","0","102","0","4701","0"
"48","48","47","2","4","11041","0","0","104","0","4801","0"
"49","49","48","3","2","11031","0","0","103","0","4901","0"
"50","50","49","2","4","11041","0","0","104","0","5001","0"
"51","51","50","1","2","11011","0","0","101","0","5101","0"
"52","52","51","2","3","11021","0","0","102","0","5201","0"
"53","53","52","3","4","11041","0","0","104","0","5301","0"
"54","54","53","4","1","10521","0","0","52","0","5401","0"
"55","55","54","3","3","11031","0","0","103","0","5501","0"
"56","56","55","4","4","11041","0","0","104","0","5601","0"
"57","57","56","2","1","11001","0","0","100","0","5701","0"
"58","58","57","3","3","11011","0","0","101","0","5801","0"
"59","59","58","4","2","11031","0","0","103","0","5901","0"
"60","60","59","3","4","11041","0","0","104","0","6001","0"
"61","61","60","1","1","11021","0","0","102","0","6101","0"
"62","62","61","2","3","10501","0","0","50","0","6201","0"
"63","63","62","1","4","11041","0","0","104","0","6301","0"
"64","64","63","2","2","11031","0","0","103","0","6401","0"
"65","65","64","3","1","11021","0","0","102","0","6501","0"
"66","66","65","2","4","11041","0","0","104","0","6601","0"
"67","67","66","3","1","10521","0","0","52","0","6701","0"
"68","68","67","2","2","11021","0","0","102","0","6801","0"
"69","69","68","4","4","11041","0","0","104","0","6901","0"
"70","70","69","3","2","11031","0","0","103","0","7001","0"
"71","71","70","2","3","11011","0","0","101","0","7101","0"
"72","72","71","3","2","11001","0","0","100","0","7201","0"
"73","73","72","1","4","11041","0","0","104","0","7301","0"
"74","74","73","1","1","11031","0","0","103","0","7401","0"
"75","75","74","3","3","11021","0","0","102","0","7501","0"
"76","76","75","4","1","10501","0","0","50","0","7601","0"
"77","77","76","3","4","11041","0","0","104","0","7701","0"
"78","78","77","2","2","11011","0","0","101","0","7801","0"
"79","79","78","3","3","11001","0","0","100","0","7901","0"
"80","80","79","2","4","11041","0","0","104","0","8001","0"
"81","81","80","1","3","10521","0","0","52","0","8101","0"
"82","82","81","2","1","11011","0","0","101","0","8201","0"
"83","83","82","4","3","10501","0","0","50","0","8301","0"
"84","84","83","3","1","11031","0","0","103","0","8401","0"
"85","85","84","2","4","11041","0","0","104","0","8501","0"
"86","86","85","3","2","11001","0","0","100","0","8601","0"
"87","87","86","2","2","11021","0","0","102","0","8701","0"
"88","88","87","1","2","11031","0","0","103","0","8801","0"
"89","89","88","3","4","11041","0","0","104","0","8901","0"
"90","90","89","2","1","11021","0","0","102","0","9001","0"
"91","91","90","3","4","11041","0","0","104","0","9101","0"
"92","92","91","4","3","10501","0","0","50","0","9201","0"
"93","93","92","3","4","11041","0","0","104","0","9301","0"
"94","94","93","2","1","11021","0","0","102","0","9401","0"
"95","95","94","2","2","11031","0","0","103","0","9501","0"
"96","96","95","3","4","11041","0","0","104","0","9601","0"
"97","97","96","2","4","11041","0","0","104","0","9701","0"
"98","98","97","2","2","11011","0","0","101","0","9801","0"
"99","99","98","3","4","11041","0","0","104","0","9901","0"
"100","100","99","1","1","11021","0","0","102","0","10001","0"
"101","101","100","3","3","11031","0","0","103","0","10101","0"
"102","102","101","4","4","11041","0","0","104","0","10201","0"
"103","103","102","2","3","10501","0","0","50","0","10301","0"
"104","104","103","3","1","11001","0","0","100","0","10401","0"
"105","105","104","4","4","11041","0","0","104","0","10501","0"
"106","106","105","2","2","11031","0","0","103","0","10601","0"
"107","107","106","1","4","11041","0","0","104","0","10701","0"
"108","108","107","3","2","11031","0","0","103","0","10801","0"
"109","109","108","3","3","11001","0","0","100","0","10901","0"
"110","110","109","1","4","11041","0","0","104","0","11001","0"
"111","111","110","2","3","11011","0","0","101","0","11101","0"
"112","112","111","4","4","11041","0","0","104","0","11201","0"
"113","113","112","3","1","11021","0","0","102","0","11301","0"
"114","114","113","2","4","11041","0","0","104","0","11401","0"
"115","115","114","4","2","11031","0","0","103","0","11501","0"
"116","116","115","3","4","11041","0","0","104","0","11601","0"
"117","117","116","2","2","11021","0","0","102","0","11701","0"
"118","118","117","2","4","11041","0","0","104","0","11801","0"
"119","119","118","1","3","10521","0","0","52","0","11901","0"
"120","120","119","3","4","11041","0","0","104","0","12001","0"
"121","121","120","3","1","11021","0","0","102","0","12101","0"
"122","122","121","4","3","11031","0","0","103","0","12201","0"
"123","123","122","2","2","11001","0","0","100","0","12301","0"
"124","124","123","1","1","11021","0","0","102","0","12401","0"
"125","125","124","3","4","11041","0","0","104","0","12501","0"
"126","126","125","2","2","11011","0","0","101","0","12601","0"
