ea979aafd0fb25c1852944044033f653e2b78eb215168e760616fb0d685c6e5e,d234996164e36d518c5aab7609c647b0a26a0e46637e289b1f6cb6994ea4d44c,2742187d36c1b28d0ffac4aca3f1e346d260305eb2fa24aa05d1b1384fb28264,96775967dabb1ed45fc0eb373eb838084e761639575b9d3344fb838d65dcbb31,375d560d0b34b162f27eed2e216e571970ce2ac2f7890737112311bb7f407139,c73bdb22cd7da2da18b5eb358f1b053766bb233bdad3b2f41077f39907ded993,98e5ec913881d5c978dee52b49588853239a570a1c9a98d6c64e3af81b04acd4,1492a88be3f3cb4e252bcd6722124e008bd0d5fd3f90304bcd5d4767fcf0ce51,39878621b08834ab3f0b5aad0d688e931fe7f29fa61833498e919ee2efe9869f,40f92bbb8b141817125ef66d9c53af26ce5612eddde8110ac77c3e5c63417716,ef2f2706d1f2387f650d76a1082f848359f468f20f5299fb7a30cce8372de0da,05fada29404fc33a37745f386a639113ffc05a5490a97e3a8c0388dc0f7645b2,f599196a3977785d27fcde6fb09286dd2f1e661e0c49b8a002a03e213a728e12,3d314e7bff3a9f1abd4ab192e82ad11aaa21f77ba4943e68d3486e6f1168f1f8
"1","1","240","1","1","211","31","1108","-1","2","1","240","1","5"
"1","1","270","1","1","241","31","1109","-1","2","1","270","1","5"
"1","1","300","1","1","271","31","1110","-1","2","1","300","1","5"
"1","1","310","1","1","301","31","1111","-1","2","1","-1","1","5"
"1","1","-1","1","1","4","7","1201","-1","3","1","30","1","5"
"1","1","-1","1","1","31","11","1202","-1","3","1","60","1","5"
"1","1","-1","1","1","61","15","1203","-1","3","1","90","1","5"
"1","1","-1","1","1","91","19","1204","-1","3","1","120","1","5"
"1","1","-1","1","1","121","23","1205","-1","3","1","150","1","5"
"1","1","-1","1","1","151","27","1206","-1","3","1","180","1","5"
"1","1","-1","1","1","181","29","1207","-1","3","1","210","1","5"
"1","1","-1","1","1","211","31","1208","-1","3","1","240","1","5"
"1","1","-1","1","1","241","31","1209","-1","3","1","270","1","5"
"1","1","-1","1","1","271","31","1210","-1","3","1","300","1","5"
"1","1","-1","1","1","301","31","1211","-1","3","1","-1","1","5"
"1","1","30","1","1","4","7","1301","-1","4","1","30","1","5"
"1","1","60","1","1","31","10","1302","-1","4","1","60","1","5"
"1","1","90","1","1","61","13","1303","-1","4","1","90","1","5"
"1","1","120","1","1","91","16","1304","-1","4","1","120","1","5"
"1","1","150","1","1","121","19","1305","-1","4","1","150","1","5"
"1","1","180","1","1","151","22","1306","-1","4","1","180","1","5"
"1","1","210","1","1","181","25","1307","-1","4","1","210","1","5"
"1","1","240","1","1","211","28","1308","-1","4","1","240","1","5"
"1","1","270","1","1","241","28","1309","-1","4","1","270","1","5"
"1","1","300","1","1","271","28","1310","-1","4","1","300","1","5"
"1","1","310","1","1","301","28","1311","-1","4","1","-1","1","5"
"1","1","-1","1","1","4","7","1401","-1","5","1","30","1","5"
"1","1","-1","1","1","31","10","1402","-1","5","1","60","1","5"
"1","1","-1","1","1","61","13","1403","-1","5","1","90","1","5"
"1","1","-1","1","1","91","16","1404","-1","5","1","120","1","5"
"1","1","-1","1","1","121","19","1405","-1","5","1","150","1","5"
"1","1","-1","1","1","151","22","1406","-1","5","1","180","1","5"
"1","1","-1","1","1","181","25","1407","-1","5","1","210","1","5"
"1","1","-1","1","1","211","28","1408","-1","5","1","240","1","5"
"1","1","-1","1","1","241","28","1409","-1","5","1","270","1","5"
"1","1","-1","1","1","271","28","1410","-1","5","1","300","1","5"
"1","1","-1","1","1","301","28","1411","-1","5","1","-1","1","5"
"1","1","-1","1","1","4","7","1501","-1","6","1","30","1","3"
"1","1","-1","1","1","31","10","1502","-1","6","1","60","1","3"
"1","1","-1","1","1","61","13","1503","-1","6","1","90","1","3"
"1","1","-1","1","1","91","16","1504","-1","6","1","120","1","3"
"1","1","-1","1","1","121","19","1505","-1","6","1","150","1","3"
"1","1","-1","1","1","151","22","1506","-1","6","1","180","1","3"
"1","1","-1","1","1","181","22","1507","-1","6","1","210","1","3"
"1","1","-1","1","1","211","22","1508","-1","6","1","240","1","3"
"1","1","-1","1","1","241","22","1509","-1","6","1","270","1","3"
"1","1","-1","1","1","271","22","1510","-1","6","1","-1","1","3"
"1","1","30","1","1","4","7","1601","5","7","1","30","1","6"
"1","1","60","1","1","31","11","1602","5","7","1","60","1","6"
"1","1","90","1","1","61","15","1603","5","7","1","90","1","6"
"1","1","120","1","1","91","19","1604","5","7","1","120","1","6"
"1","1","150","1","1","121","23","1605","5","7","1","150","1","6"
"1","1","180","1","1","151","27","1606","5","7","1","180","1","6"
"1","1","210","1","1","181","29","1607","5","7","1","210","1","6"
"1","1","240","1","1","211","31","1608","5","7","1","240","1","6"
"1","1","270","1","1","241","31","1609","5","7","1","270","1","6"
"1","1","300","1","1","271","31","1610","5","7","1","300","1","6"
"1","1","310","1","1","301","31","1611","5","7","1","-1","1","6"
"1","1","30","1","1","4","7","1701","5","8","1","30","1","5"
"1","1","60","1","1","31","11","1702","5","8","1","60","1","5"
"1","1","90","1","1","61","15","1703","5","8","1","90","1","5"
"1","1","120","1","1","91","19","1704","5","8","1","120","1","5"
"1","1","150","1","1","121","23","1705","5","8","1","150","1","5"
"1","1","180","1","1","151","27","1706","5","8","1","180","1","5"
"1","1","210","1","1","181","29","1707","5","8","1","210","1","5"
"1","1","240","1","1","211","31","1708","5","8","1","240","1","5"
"1","1","270","1","1","241","31","1709","5","8","1","270","1","5"
"1","1","300","1","1","271","31","1710","5","8","1","300","1","5"
"1","1","310","1","1","301","31","1711","5","8","1","-1","1","5"
