fcb5f087687e889fa2424a5caaf4533626663d895432fa094e0b5751b2d246f5,d9df1c707343fec8b7d8fe76a76f1e0bb4c984568cabb0076ddc7f31f0c198f3,e1e8679d04cc2f850936cd8c02675ca80b3946c865fb63f69712533d45a4c60c,a86bb5ffd69a8c066099e42e615a4376fc8a0994e704030d3eb96e114f53efdb,45bb20aabfe74a4b1448b222bc6d283cd745ae3331d0caf7ffc9811c004f7c66,8505509e971e54d08dfb3234d3e18ac86893811a5ec8350104f699780ebf64ea,afd3a08b204cb6d6b93304140c69a9a60430ad3bf6775733a694a711ad76866c,77381cf7ba3fef8439d629cb61c06dee801d65731db6c9a91d7e09e99652e78f,3aa6a8f69cf72c780357e750dbd595f351fa19e5210d06ec5adeac1dca8c90d9,a2a9473ce3b97d9a24e1116d7779a7d7633fb54ac5aea731e6a1dd89657491f1,f939f7b2ec03e7f2c7bcb3c4e4b2f5722b0d6d6535763603376bec6c62bb37f8
"nyx_101_chieru_01","nyx_101_chieru_loop","","11010063","110931","0.2","3","","101","1","0"
"nyx_101_chieru_01","nyx_101_chieru_loop","","11010064","2","0.2","3","","101","1","0"
"1","","","11010065","104831","","12","","101","","1"
"nyx_talk_sad","nyx_idle_sad","","11010066","104831","0.2","3","0.2","101","1","0"
"","","","11010067","0.4","","93","","101","",""
"0","","","11010068","3","","32","","101","",""
"1","","","11010069","3","","32","","101","",""
"","","","11010070","1.6","","93","","101","",""
"15","","","11010071","104631","","12","","101","","1"
"nyx_talk_sad","nyx_idle_sad","","11010072","104631","0.2","3","0.2","101","1","0"
"","","","11010073","3","","93","","101","",""
"1","","","11010074","110931","","4","","101","",""
"1","","","11010075","2","","4","","101","",""
"nyx_101_chieru_02","nyx_101_chieru_loop","","11010076","110931","0.2","3","","101","1","0"
"nyx_101_chieru_02","nyx_101_chieru_loop","","11010077","2","0.2","3","","101","1","0"
"10","","","11010078","103231","","12","","101","","1"
"nyx_talk_joy1","nyx_idle_joy1","","11010079","103231","0.2","3","0.2","101","1","0"
"","","","11010080","2","","93","","101","",""
"2","","","11010081","103431","","12","","101","","1"
"nyx_talk_sad","nyx_idle_sad","","11010082","103431","0.2","3","0.2","101","1","0"
"","","","11010083","2.5","","93","","101","",""
"","","","11010084","11010060","","101","","101","",""
"110831","-362","nyx_102_chloe_01","11020001","1","1.35","1","1","102","-209.3","110"
"104831","90","nyx_102_mifuyu_01","11020002","1","1.35","1","0","102","-182.5","110"
"104631","220","nyx_idle_normal","11020003","1","1.35","1","0","102","-182.5","110"
"103231","336","nyx_talk_normal","11020004","1","1.35","1","1","102","-182.5","110"
"103431","457","nyx_idle_normal","11020005","1","1.35","1","1","102","-182.5","110"
"1","0","","11020006","1","1","31","","102","1","0"
"2","-362","NoItem","11020007","2","1.35","5","0","102","-209.3","120"
"bgm_M347","","","11020008","bgm_M347","","25","","102","",""
"","","","11020009","2","","93","","102","",""
"nyx_102_chloe_02","","","11020010","110831","0.2","3","","102","","1"
"再來輪到我了啊……\n呃，接在琪愛兒後面\n總有種不利的感覺？","","","11020011","110831","","11","","102","","10"
"1","","","11020012","0","","91","","102","",""
"nyx_idle_sad","","","11020013","110831","0.2","3","","102","","1"
"那傢伙絕對一見面\n就切嚕切嚕地喊\n把整個氣氛搞冷……","","","11020014","110831","","11","","102","","10"
"1","","","11020015","0","","91","","102","",""
"cmn_pose02_def_N","nyx_102_chloe_02","","11020016","110831","0.2","3","0.2","102","1","0"
"不過算了，怎樣都好\n……話說裡面的那些人\n應該沒事吧？","","","11020017","110831","","11","","102","","10"
"","","","11020018","3","","93","","102","",""
"nyx_idle_normal","","","11020019","103231","0.2","3","","102","","1"
"nyx_talk_sad","","","11020020","104631","0.2","3","","102","","1"
"0","","","11020021","110831","","4","","102","",""
"","","","11020022","11020016","","91","","102","",""
"","","","11020023","1","","93","","102","",""
"nyx_102_chloe_01","","","11020024","110831","0.2","3","","102","","1"
"像是被那股切嚕之氣\n嚇到而變得不正常……\n……不，應該不至於吧","","","11020025","110831","","11","","102","","10"
"","","","11020026","2.5","","93","","102","",""
"nyx_102_chloe_03","nyx_102_chloe_03_loop","","11020027","110831","0.2","3","","102","1","0"
"nyx_102_chloe_03","nyx_102_chloe_03_loop","","11020028","2","0.2","3","","102","1","0"
"","","","11020029","11020025","","91","","102","",""
"","","","11020030","1","","93","","102","",""
"切嚕……切嚕……","","","11020031","104831","","11","","102","","10"
"","","","11020032","1.5","","93","","102","",""
"1","","","11020033","104631","","4","","102","","0"
"cmn_shock_def_N","nyx_idle_surprise2","","11020034","104631","0.2","3","0.2","102","1","0"
"cmn_shock_def_N","nyx_idle_surprise2","","11020035","103431","0.2","3","0.2","102","1","0"
"nyx_surprise","nyx_idle_surprise1","","11020036","103231","0.2","3","0.2","102","1","0"
"","","","11020037","1.5","","93","","102","",""
"nyx_talk_surprise2","","","11020038","104631","0.2","3","0.2","102","1","1"
"nyx_102_yukari_01","","","11020039","103431","0.2","3","","102","","1"
"美冬！\n振作一點切嚕！\n沒那麼嚴重切嚕！","","","11020040","103431","","11","","102","","10"
"1","","","11020041","0","","91","","102","",""
"cmn_shock_def_N","nyx_102_tamaki_01_loop","","11020042","103431","0.2","3","0.2","102","1","0"
"0","","","11020043","103231","","4","","102","","0"
"0","","","11020044","104631","","4","","102","","0"
"","","","11020045","0","","91","","102","",""
"不行了喵……\n美冬和優花梨都\n為時已晚切……喵！","","","11020046","104631","","11","","102","","10"
"","","","11020047","2.6","","93","","102","",""
"nyx_102_tamaki_01","nyx_102_tamaki_01_loop","","11020048","104631","0.2","3","0.2","102","1","0"
"","","","11020049","0.1","","93","","102","",""
"1","","","11020050","103231","","4","","102","","0"
"","","","11020051","1.5","","93","","102","",""
"實在是損傷慘重呢……\n只能祈禱下一位\n能夠普通一點了……","","","11020052","103231","","11","","102","","10"
"","","","11020053","0","","91","","102","",""
"","","","11020054","1","","93","","102","",""
"nyx_102_chloe_04","nyx_102_chloe_03_loop","","11020055","110831","0.2","3","","102","1","0"
"nyx_102_chloe_04","nyx_102_chloe_03_loop","","11020056","2","0.2","3","","102","1","0"
"","","","11020057","1.5","","93","","102","",""
"12","","","11020058","110831","","12","","102","","1"
"","","","11020059","1","","93","","102","",""
"1","","","11020060","103431","","12","","102","","1"
"nyx_cmn_01","nyx_cmn_03","","11020061","103431","0.2","3","0.2","102","1","0"
"nyx_idle_worry","","","11020062","104631","0.2","3","0.2","102","1","1"
"","","","11020063","2","","93","","102","",""
"12","","","11020064","104831","","12","","102","","1"
"","","","11020065","2","","93","","102","",""
"10","","","11020066","103231","","12","","102","","1"
"nyx_talk_normal","nyx_idle_normal","","11020067","103231","0.2","3","0.2","102","1","0"
"","","","11020068","2","","93","","102","",""
"2","","","11020069","104631","","12","","102","","1"
"nyx_talk_sad","nyx_idle_worry","","11020070","104631","0.2","3","0.2","102","1","0"
"","","","11020071","4","","93","","102","",""
"1","","","11020072","11020055","","101","","102","",""
"111031","-421","nyx_103_yuni_01","11030001","1","1.35","1","0","103","-209.3","110"
"104831","121.8","nyx_idle_normal","11030002","1","1.35","1","0","103","-182.5","110"
"2","121.8","NoItem","11030003","2","1.35","5","0","103","-182.5","120"
"104631","227.7","nyx_idle_normal","11030004","1","1.35","1","0","103","-182.5","110"
"2","227.7","NoItem","11030005","2","1.35","5","0","103","-182.5","120"
"103231","340.3","nyx_idle_normal","11030006","1","1.35","1","1","103","-182.5","110"
"103431","449.6","nyx_cmn_03","11030007","1","1.35","1","1","103","-182.5","110"
"2","449.6","NoItem","11030008","2","1.35","5","1","103","-182.5","120"
"1","0","","11030009","1","1","31","","103","1","0"
"bgm_M347","","","11030010","bgm_M347","","25","","103","",""
"","","","11030011","2","","93","","103","",""
"nyx_talk_sad","","","11030012","103431","0.2","3","","103","","1"
"簡報是\n一件這麼\n累人的事情嗎…？","","","11030013","103431","","11","","103","","10"
"","","","11030014","0","","91","","103","",""
"nyx_cmn_03","","","11030015","103431","0.2","3","","103","","1"
"nyx_cmn_05","","","11030016","104831","0.2","3","","103","","1"
"接下來一定沒問題的\n一定會是認真的學生\n……我說的沒錯吧？","","","11030017","104831","","11","","103","","10"
"","","","11030018","0","","91","","103","",""
"nyx_cmn_04","","","11030019","104831","0.2","3","","103","","1"
"nyx_talk_normal","","","11030020","103231","0.2","3","","103","","1"
"哎呀？\n下一位好像也是\n好朋友社的成員呢？","","","11030021","103231","","11","","103","","10"
"","","","11030022","0","","91","","103","",""
"nyx_idle_normal","","","11030023","103231","0.2","3","","103","","1"
"nyx_talk_sad","","","11030024","104631","0.2","3","","103","","1"
"……要是鬆懈下來\n就會被幹掉喵\n做好覺悟吧喵","","","11030025","104631","","11","","103","","10"
"","","","11030026","2.6","","93","","103","",""
"nyx_102_chloe_01","","","11030027","111031","0.2","3","","103","","1"
"","","","11030028","11030025","","91","","103","",""
"nyx_cmn_02","nyx_idle_sad","","11030029","104631","0.2","3","0.3","103","1","0"
"nyx_cmn_02","","","11030030","2","0.2","3","","103","","0"
"nyx_cmn_02","nyx_cmn_03","","11030031","103431","0.2","3","0.3","103","1","0"
"nyx_cmn_02","","","11030032","2","0.2","3","","103","","0"
"nyx_cmn_02","nyx_idle_normal","","11030033","104831","0.2","3","0.2","103","1","0"
"nyx_cmn_02","","","11030034","2","0.2","3","","103","","0"
"","","","11030035","1.5","","93","","103","",""
"nyx_303_yuni_01","","","11030036","111031","0.2","3","","103","","1"
"嗯，接下來是我呢\n這就是所謂的\n壓軸登場吧","","","11030037","111031","","11","","103","","10"
"","","","11030038","2.8","","93","","103","",""
"13","","","11030039","104831","","12","","103","","1"
"nyx_talk_normal","","","11030040","104831","0.2","3","","103","","1"
"","","","11030041","11030037","","91","","103","",""
"琪愛兒、克蘿依\n妳們的遺憾就由我來\n替妳們雪恥吧","","","11030042","111031","","11","","103","","10"
"","","","11030043","0","","91","","103","",""
"nyx_103_yuni_02","","","11030044","111031","0.2","3","","103","","1"
"是時候完成我身為\n高年級生的職責了","","","11030045","111031","","11","","103","","10"
"","","","11030046","1.5","","93","","103","",""
"17","","","11030047","103231","","12","","103","","1"
"nyx_idle_normal","","","11030048","104831","0.2","3","","103","","1"
"nyx_cmn_05","","","11030049","103231","0.2","3","","103","","1"
"","","","11030050","11030045","","91","","103","",""
"nyx_103_yuni_03","nyx_103_yuni_04","","11030051","111031","0.3","3","0.6","103","0","0"
"賭上優妮們\n之名……！","","","11030052","111031","","11","","103","","10"
"","","","11030053","0","","91","","103","",""
"nyx_idle_normal","","","11030054","103231","0.2","3","","103","","1"
"","","","11030055","0.6","","93","","103","",""
"12","","","11030056","111031","0.2","12","","103","","1"
"cmn_pose02_def_N","nyx_idle_normal","","11030057","111031","0.2","3","0.2","103","1","0"
"","","","11030058","1.5","","93","","103","",""
"15","","","11030059","104631","","12","","103","","1"
"nyx_talk_sad","nyx_idle_worry","","11030060","104631","0.2","3","0.2","103","1","0"
"","","","11030061","2","","93","","103","",""
"10","","","11030062","103231","","12","","103","","1"
"nyx_talk_joy1","nyx_idle_normal","","11030063","103231","0.2","3","0.2","103","1","0"
"nyx_103_yuni_01","nyx_idle_normal","","11030064","111031","0.2","3","0.2","103","1","0"
"","","","11030065","2.5","","93","","103","",""
"1","","","11030066","103431","","12","","103","","1"
"nyx_cmn_01","nyx_cmn_03","","11030067","103431","0.2","3","0.3","103","1","0"
"","","","11030068","2","","93","","103","",""
"12","","","11030069","104831","","12","","103","","1"
"nyx_talk_bitter","","","11030070","104831","0.2","3","","103","","1"
"","","","11030071","2","","93","","103","",""
"nyx_idle_bitter","","","11030072","104831","0.2","3","","103","","1"
"","","","11030073","1","","93","","103","",""
"","","","11030074","11030056","","101","","103","",""
"103231","-235.4","nyx_201_akino_01","12010001","1","1.2","1","1","201","-294.7","110"
"2","-235.4","nyx_201_akino_01","12010002","2","1.2","5","1","201","-294.7","120"
"104631","-357","nyx_idle_normal","12010003","1","1.2","1","0","201","-281.6","110"
"103431","310.5","nyx_idle_normal","12010004","1","1.2","1","1","201","-281.6","110"
"104831","-453.3","nyx_idle_normal","12010005","1","1.2","1","0","201","-281.6","110"
"1","0","","12010006","2","1","31","","201","1","0"
"2","0","","12010007","11","1","31","","201","1","0"
"bgm_M347","","","12010008","bgm_M347","","25","","201","",""
"","","","12010009","2","","93","","201","",""
"珠希，\n這零件就麻煩妳\n進行組裝囉！","","","12010010","103231","","11","","201","","10"
"","","","12010011","0","","91","","201","",""
"nyx_surprise","nyx_idle_surprise1","","12010012","104631","0.3","3","0.3","201","1","0"
"我、我知道了喵！\n……設計圖上有\n這東西嗎喵……？","","","12010013","104631","","11","","201","","10"
"","","","12010014","0","","91","","201","",""
"0","","","12010015","103231","","4","","201","","0"
"0","","","12010016","2","","4","","201","",""
"nyx_idle_bitter2","","","12010017","104631","0.3","3","0.3","201","","1"
"nyx_201_akino_02","","","12010018","103231","0.3","3","0.3","201","","1"
"nyx_201_akino_02","","","12010019","2","0.3","3","0.3","201","","1"
"199","2.2","","12010020","103231","","2","","201","","-294.7"
"199","2.2","","12010021","2","","2","","201","","-294.7"
"","","","12010022","2.2","","93","","201","",""
"nyx_201_akino_01","","","12010023","103231","0.3","3","0.3","201","","1"
"nyx_201_akino_01","","","12010024","2","0.3","3","0.3","201","","1"
"優花梨！\n麻煩妳立刻去\n訂購這款迴路！","","","12010025","103231","","11","","201","","10"
"","","","12010026","0","","91","","201","",""
"nyx_cmn_01","","","12010027","103431","0.3","3","0.3","201","","1"
"咦？　咦？\n等等啊秋乃\n這要拿來做什麼！？","","","12010028","103431","","11","","201","","10"
"","","","12010029","0","","91","","201","",""
"nyx_idle_bitter2","","","12010030","103431","0.3","3","0.3","201","","1"
"1","","","12010031","103231","","4","","201","",""
"1","","","12010032","2","","4","","201","",""
"nyx_201_akino_02","","","12010033","103231","0.3","3","0.3","201","","1"
"nyx_201_akino_02","","","12010034","2","0.3","3","0.3","201","","1"
"-235.4","2.2","","12010035","103231","","2","","201","","-294.7"
"-235.4","2.2","","12010036","2","","2","","201","","-294.7"
"","","","12010037","2.2","","93","","201","",""
"nyx_201_akino_01","","","12010038","103231","0.3","3","0.3","201","","1"
"nyx_201_akino_01","","","12010039","2","0.3","3","0.3","201","","1"
"美冬，\n麻煩妳仔細地\n檢查動作囉！","","","12010040","103231","","11","","201","","10"
"","","","12010041","0","","91","","201","",""
"nyx_surprise","nyx_idle_surprise1","","12010042","104831","0.3","3","0.3","201","1","0"
"好、好的！\n……秋乃整個人都\n熱血起來了呢…","","","12010043","104831","0","11","","201","","10"
"","","","12010044","0","","91","","201","",""
"nyx_talk_sad","","","12010045","104831","0.3","3","0.3","201","","1"
"但不知道為什麼\n我好不安啊……\n只有滿滿的不安……","","","12010046","104831","0","11","","201","","10"
"","","","12010047","0","","91","","201","",""
"nyx_idle_bitter2","","","12010048","104831","0.3","3","0.3","201","","1"
"","","","12010049","0","","91","","201","",""
"","","","12010050","0.4","","93","","201","",""
"0","","","12010051","103231","","4","","201","","0"
"0","","","12010052","2","","4","","201","",""
"nyx_201_akino_02","","","12010053","103231","0.2","3","0.2","201","","1"
"nyx_201_akino_02","","","12010054","2","0.2","3","0.2","201","","1"
"199","2.2","","12010055","103231","","2","","201","","-294.7"
"199","2.2","","12010056","2","","2","","201","","-294.7"
"nyx_cmn_03","","","12010057","103431","0.2","3","0.2","201","","1"
"","","","12010058","2.2","","93","","201","",""
"10","","","12010059","103231","","12","","201","","1"
"nyx_201_akino_01","","","12010060","103231","0.2","3","0.2","201","","1"
"nyx_201_akino_01","","","12010061","2","0.2","3","0.2","201","","1"
"","","","12010062","0","","91","","201","",""
"nyx_idle_surprise1","","","12010063","103431","0.2","3","0.2","201","","1"
"","","","12010064","0","","91","","201","",""
"nyx_102_chloe_02","","","12010065","103431","0.2","3","0.2","201","","1"
"1","","","12010066","103231","","4","","201","",""
"1","","","12010067","2","","4","","201","",""
"nyx_201_akino_02","","","12010068","103231","0.2","3","0.2","201","","1"
"nyx_201_akino_02","","","12010069","2","0.2","3","0.2","201","","1"
"-235.4","2.2","","12010070","103231","","2","","201","","-294.7"
"-235.4","2.2","","12010071","2","","2","","201","","-294.7"
"","","","12010072","2.2","","93","","201","",""
"10","","","12010073","103231","","12","","201","","1"
"nyx_201_akino_01","","","12010074","103231","0.2","3","0.2","201","","1"
"nyx_201_akino_01","","","12010075","2","","3","0.2","201","","1"
"","","","12010076","3","","93","","201","",""
"cmn_nod_def_N","nyx_idle_normal","","12010077","104631","0.2","3","0.2","201","1","0"
"","","","12010078","0.8","","93","","201","",""
"3","","","12010079","104831","","12","","201","","1"
"nyx_talk_worry","nyx_idle_sad","","12010080","104831","0.2","3","0.2","201","1","0"
"","","","12010081","1","","93","","201","",""
"","","","12010082","12010051","","101","","201","",""
"3","-136","nyx_202_tamaki_03_loop","12020001","1","1.2","5","0","202","-255","100"
"103231","183.7","nyx_idle_joy1","12020002","1","1.2","1","1","202","-286.1","110"
"5","312.6","nyx_202_yukari_01","12020003","2","1.2","5","1","202","-286.1","120"
"103431","312.6","nyx_202_yukari_01","12020004","1","1.2","1","1","202","-286.1","110"
"104831","-269.8","nyx_idle_normal","12020005","1","1.2","1","0","202","-286.1","120"
"1","0","","12020006","2","1","31","","202","1","0"
"2","34","","12020007","12","1","31","","202","1","0"
"7","130","","12020008","16","0","31","","202","1","-74"
"4","-208","nyx_yagura_idle","12020009","3","1","5","0","202","-255","110"
"6","-269.8","NoItem","12020010","2","1.2","5","0","202","-286.1","120"
"bgm_M347","","","12020011","bgm_M347","","25","","202","",""
"","","","12020012","2","","93","","202","",""
"總覺得開發作業\n好像也變得開心\n起來了喵～！","","","12020013","3","","11","","202","","10"
"","","","12020014","0","","91","","202","",""
"事到如今我一定要\n讓它成為世界第一\n的鯛魚燒機喵！","","","12020015","3","","11","","202","","10"
"","","","12020016","0","","91","","202","",""
"看我把我的一切\n全部灌注進去\n喵～～！","","","12020017","3","","11","","202","","10"
"","","","12020018","0.4","","93","","202","",""
"nyx_202_tamaki_03_puton","nyx_202_tamaki_loop","","12020019","3","0.2","3","","202","1","0"
"","","","12020020","12020017","","91","","202","",""
"nyx_202_tamaki_up","nyx_202_tamaki_01","","12020021","3","0.2","3","","202","1","0"
"nyx_yagura_up","nyx_yagura_up_idle","","12020022","4","","3","","202","1","0"
"","","","12020023","2.4","","93","","202","",""
"1","","","12020024","7","","32","","202","",""
"nyx_202_akino_01_loop","","","12020025","103231","0.2","3","","202","","1"
"喔～呵呵呵！\n真是美妙的\n抱負呢，珠希","","","12020026","103231","","11","","202","","10"
"","","","12020027","0","","91","","202","",""
"nyx_talk_anger2","","","12020028","104831","0.2","3","","202","","1"
"設計圖上可是\n沒有寫到什麼\n鯛魚燒哦！？","","","12020029","104831","","11","","202","","10"
"","","","12020030","0","","91","","202","",""
"nyx_idle_anger2","","","12020031","103431","0.2","3","","202","","1"
"nyx_202_yukari_01","","","12020032","103431","0.2","3","","202","","1"
"美冬……\n交給珠希去做就\n不會有問題啦……嗝","","","12020033","103431","","11","","202","","10"
"","","","12020034","0","","91","","202","",""
"nyx_cmn_05","nyx_cmn_04","","12020035","104831","0.2","3","0.2","202","","0"
"優花梨？\n妳在喝什麼？\n……妳被收買了對吧？","","","12020036","104831","0","11","","202","","10"
"","","","12020037","0","","91","","202","",""
"nyx_202_yukari_01","","","12020038","103431","0.2","3","","202","","1"
"咦～？\n尼在說什麼～？\n……嗯呵呵～♪","","","12020039","103431","","11","","202","","10"
"","","","12020040","0","","91","","202","",""
"","","","12020041","2","","93","","202","",""
"13","","","12020042","103231","","12","","202","","1"
"nyx_talk_joy2","nyx_202_akino_01_loop","","12020043","103231","0.2","3","0.2","202","1","0"
"","","","12020044","2.5","","93","","202","",""
"3","","","12020045","104831","","12","","202","","1"
"nyx_talk_anger2","","","12020046","104831","0.2","3","","202","","1"
"","","","12020047","2","","93","","202","",""
"nyx_cmn_02","","","12020048","104831","0.2","3","","202","","0"
"nyx_cmn_02","NoItem","","12020049","6","0.2","3","","202","1","0"
"","","","12020050","1","","93","","202","",""
"nyx_cmn_05","nyx_cmn_04","","12020051","104831","0.2","3","0.2","202","1","0"
"","","","12020052","2","","93","","202","",""
"5","","","12020053","103431","","12","","202","","1"
"nyx_203_yukari_01","nyx_202_yukari_01","","12020054","5","0.2","3","0.2","202","1","0"
"nyx_203_yukari_01","nyx_202_yukari_01","","12020055","103431","0.2","3","0.2","202","1","0"
"","","","12020056","1.2","","93","","202","",""
"11","","","12020057","3","","12","","202","","1"
"","","","12020058","0.8","","93","","202","",""
"","","","12020059","12020041","","101","","202","",""
"104831","-300","nyx_idle_normal","12030001","1","1.2","1","0","203","-286","130"
"104631","316","nyx_idle_normal","12030002","1","1.2","1","1","203","-286","100"
"103231","110","nyx_idle_normal","12030003","1","1.2","1","1","203","-286","100"
"103431","-200","nyx_203_yukari_01","12030004","1","1.2","1","0","203","-10","100"
"1","0","","12030005","2","1","31","","203","1","0"
"2","34","","12030006","13","1","31","","203","1","-80"
"3","-200","nyx_203_yukari_01","12030007","2","1.2","5","0","203","-10","110"
"4","-250","nyx_yagura_up_harf","12030008","3","1","5","0","203","-255","120"
"bgm_M347","","","12030009","bgm_M347","","25","","203","",""
"","","","12030010","2","","93","","203","",""
"奇怪～？\n這裡是哪裡～？\n我又是誰～？","","","12030011","103431","","11","","203","","10"
"","","","12030012","0.6","","93","","203","",""
"nyx_lookup","nyx_lookup_loop2","","12030013","103231","0.2","3","0.2","203","1","0"
"","","","12030014","12030011","","91","","203","",""
"嗯～？\n這勾大大的\n東西是什麼～","","","12030015","103431","","11","","203","","10"
"","","","12030016","0.6","","93","","203","",""
"nyx_lookup","nyx_lookup_loop2","","12030017","104631","0.2","3","0.2","203","1","0"
"","","","12030018","12030015","","91","","203","",""
"nyx_203_yukari_02","nyx_203_yukari_05","","12030019","3","0.2","3","","203","1","0"
"nyx_203_yukari_02","nyx_203_yukari_05","","12030020","103431","0.2","3","","203","1","0"
"你要不要也來一起\n喝麥酒～？\n很～好喝的哦～？","","","12030021","103431","","11","","203","","10"
"","","","12030022","0.4","","93","","203","",""
"nyx_lookup","nyx_lookup_loop2","","12030023","104831","0.2","3","0.2","203","1","0"
"","","","12030024","12030021","","91","","203","",""
"","","","12030025","0.2","","93","","203","",""
"nyx_cmn_02","nyx_idle_sad","","12030026","104831","0.2","3","0.2","203","1","0"
"優花梨\n在做什麼啊…","","","12030027","104831","0","11","","203","","10"
"","","","12030028","0.1","","93","","203","",""
"nyx_cmn_02","nyx_cmn_04","","12030029","103231","0.2","3","0.2","203","1","0"
"優花梨\n在做什麼呢…","","","12030030","103231","","11","","203","","10"
"","","","12030031","0.1","","93","","203","",""
"nyx_cmn_02","nyx_idle_sad","","12030032","104631","0.2","3","0.2","203","1","0"
"優花梨\n在做什麼喵…","","","12030033","104631","","11","","203","","10"
