a6839e9ae155e23c31a0f90c23ea433f849855a6ebf29ee08ce4996dbb768683,07ba0477c633375812c8b7736a81d56a75d981ec8ddb3f9cb6a3e751f1f0e9cd,7384201273fa81ee9a9653f2a9597686d4b64ec6bba55e5f01981f16340601ff,62b2443013a71ded42571c18030fee74a5cbdaa555bb10df7f6452b1c98549f6,bf927d5c22fc4ca466cbb55923b528b3fe192fe2477b93c9d4ad25c9b89bc2d9,be43dfcea8f8313c10cc5841428b357b5e0221a2bc0d765d9fa4b1a22b32b754,316c3a4f4437dd78c6cb05b11f9ad27d3347e3ba4357d35673cea920a4505b8a,4230a83e0da276892c6c85cc1b824905bb4ddf6e16238a2b977c43bb26b547f0
"2000","小心接近吧","50％★2迷宮遺物×1\n50％★3迷宮遺物×1","102501","11071","71_suzume_sad","1","11071"
"2000","噗吉\n全力揮～擊☆","50％隨機職階的\n自選印記×1\n50％全自選印記×1","102301","11072","72_ayane_handsup","1","11072"
"0","摸也\n沒關係吧……？","50％始源盧幣×1500\n50％始源盧幣×2000","102101","11073","73_kurumi_wish","0","11073"
"0","一定是右吧！","50％★1迷宮遺物×1\n50％隨機職階的\n隨機印記×2","103201","11081","82_akino_pointing","0","11081"
"0","不是左嗎？","始源盧幣×1000","102801","11082","81_saren_pointing","0","11082"
"0","試試身手吧！","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×300","100501","11091","41_matsuri_guts","0","11091"
"0","與強敵間的戰鬥令人興奮！","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×450","107101","11092","42_chris_cool","0","11092"
"0","石頭──！！！","獲勝始源盧幣×3000\n落敗始源盧幣×1000","100101","11101","31_hiyori_gu","0","11101"
"0","出剪刀吧","獲勝始源盧幣×3000\n落敗始源盧幣×1000","100301","11102","32_rei_choki","0","11102"
"0","出布好了","獲勝始源盧幣×3000\n落敗始源盧幣×1000","100201","11103","33_yui_pa","0","11103"
"0","弟弟，\n這邊這邊♪","始源盧幣×2000","193001","11111","101_chest_shizuru","0","11111"
"0","哥哥，\n這邊喔♪","★1～3迷宮遺物×１","193001","11112","102_chest_rino","0","11112"
"0","賭上\n御久間流的劍技！","始源盧幣×2000","103701","11121","111_tomo_run","0","11121"
"0","這裡就交給\n我們吧！","純成為夥伴\n＋全隨機印記×2～4","104701","11122","112_jun_run","0","11122"
"0","試試身手吧！","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×400","100501","11131","41_matsuri_guts","0","11131"
"0","與強敵間的戰鬥令人興奮！","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×600","107101","11132","42_chris_cool","0","11132"
"0","試試身手吧！","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×500","100501","11171","41_matsuri_guts","0","11171"
"0","與強敵間的戰鬥令人興奮！","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×750","107101","11172","42_chris_cool","0","11172"
"0","來放鬆\n釣個魚吧","50％★1迷宮遺物×1\n接著前往下一個活動","105601","13141","51_ruka_fishing","0","13141"
"0","大家\n一起來做菜吧♪","50％前往下一個活動","105801","13151","91_peko_guts","0","13151"
"0","那我也上吧！","50％始源盧幣×2000\n接著前往下一個活動","106601","13161","61_inori_guts","0","13161"
"0","再挑戰一次！","25％★2迷宮遺物×1\n接著前往下一個活動","105601","23141","52_ruka_fishing","0","23141"
"0","還遠遠\n沒吃夠☆","50％前往下一個活動","105801","23151","92_peko_guts","1","23151"
"0","差不多那樣\n就行了吧？","隨機職階的\n隨機印記×2","106001","23152","92_kyaru_sad","0","23152"
"2000","今天真走運！","50％始源盧幣×4000\n接著前往下一個活動","106601","23161","62_inori_guts","1","23161"
"0","差不多就到這裡吧……","挑戰結束","105501","23162","62_ayumi_sad","0","23162"
"0","最後再來一場！","10％★3迷宮遺物×1","105601","33141","53_ruka_fishing","0","33141"
"0","嘿嘿～\n再一下就好……","50％全自選印記×２","105801","33151","93_peko_guts","1","33151"
"0","不可能\n吃得下這麼多吧！","隨機職階的\n自選印記×2","106001","33152","93_kyaru_anger","0","33152"
"4000","今天的我\n百戰百勝！","50％始源盧幣×8000","106601","33161","63_inori_guts","1","33161"
"0","差不多住手了比較好……","挑戰結束","105501","33162","63_ayumi_worry","0","33162"
