a0f76b4342be0a4673732107d8bcda8e4d22c99eab2b3dc232f0e60fe031ac81,6d1fe9600ea0b2737a662e67c95db18accd9d09f8ff114508688980d93dd4bc4,43d682e29a0189f26f308be51b601d3201a16a273480719249cdb6115b7699d0,b670384bec6fa64be32513bbffb2eb6ca5b6b0ddade3a7ed1de123390cec38cc,ae69dacf844d22f27330537583d07945908880f64f50d60bd4a245c0f6f363d4,fbad5083b549d4359f6a0d12553597529692bf40e632cfa9f8126dd6cd904782,0d0b4bb58af41754176587dbe73896e26fd2a931e1db877913b2d817d6231d13,265c404b595b84c91de65b374cfe88accdf9a30a9eb689671b984ffdd0de4c9f
"15004","每15秒展開魔法無效護盾（【守備】數×500無效）","5","15004","魔封衣","具有不可思議效果的長袍。\n能保護裝備者免受魔法攻擊。","1","1"
"15005","持續恢復ＨＰ（每秒【守備】數×500恢復）","5","15005","再生手鐲","具有不可思議效果的手鐲。\n會賦予裝備者再生的力量。","1","1"
"21001","ＴＰ上升+10","1","21001","流烈耳飾","具有不可思議效果的耳飾形遺物。\n能如同流水的猛烈般，\n增幅活力加速。","2","2"
"21002","每受到傷害時恢復ＴＰ100（最多２次）","1","21002","星淚之輝盾","具有不可思議效果的圓盾形遺物。\n能賦予裝備者星星的治癒，\n將攻擊轉換為能量。","2","2"
"21003","戰鬥開始時恢復ＴＰ200","1","21003","蒼珠手鐲","具有不可思議效果的手環遺物。\n鑲嵌的蒼珠能感應到敵人，\n並賦予力量。","2","2"
"21004","ＴＰ消耗減輕＋4","1","21004","星光儀杖","具有不可思議效果的法杖遺物。\n封印其中的眾星神祕，\n會代替裝備者承受力量的消耗。","2","2"
"21005","可重複的行動速度＋20％","1","21005","疾風之翼鞋","具有不可思議效果，長有羽翼的鞋形\n遺物。能給予裝備者疾風之力，\n加速行動。","2","2"
"22001","狀態異常命中＋40","2","22001","闇至寶阿諾瑪里拉","具有不可思議效果的首飾形遺物。\n據說會透過寶石的光芒俘獲敵人，\n帶來異樣。","2","2"
"22002","對敵方全體施加詛咒（每秒【弱化】數×600傷害）","2","22002","邪眼杖末日","具有不可思議效果的法杖形遺物。\n法杖前端核心流淌的\n邪氣會對敵人施加詛咒。","2","2"
"22003","對敵方全體施加中毒（每秒【弱化】數×600傷害）","2","22003","影刃劍普拉爾","具有不可思議效果的短劍形遺物。\n藏在刀刃中的毒會氣化，\n在與敵人交鋒的瞬間使對方中毒。","2","2"
"22004","敵人的物理/魔法攻擊力－20％","2","22004","薔薇飾帽消除","具有不可思議效果的帽形遺物。\n如同糾纏的荊棘般，\n阻隔敵人的攻擊力。","2","2"
"22005","敵人的物理/魔法防禦力－20％","2","22005","斬赤刃分割","具有不可思議效果的刀遺物。\n被血染紅的刀身，\n能夠輕易割開敵人的裝甲。","2","2"
"23001","敵人的物理/魔法被暴擊傷害＋20％","3","23001","死亡之槍","具有不可思議效果的槍遺物。\n外型特殊的槍尖能對敵人\n造成更深的傷。","2","2"
"23002","物理/魔法暴擊傷害＋20％","3","23002","焰紅太刀","具有不可思議效果的刀形遺物。\n映照出秋日艷紅的美麗刀刃，\n將更進一步地強化致命攻擊。","2","2"
"23003","普通攻擊強化＋60","3","23003","破空拳套","具有不可思議效果的護手遺物。\n裝備者能施展出凌厲的\n強力一擊。","2","2"
"23004","物理/魔法暴擊率＋20％","3","23004","天擊之弓","具有不可思議效果的弓遺物。\n裝備者能獲烈風之力，\n更容易貫穿獵物的要害。","2","2"
"23005","ＨＰ吸收＋20","3","23005","吸收戰斧","具有不可思議效果的斧遺物。\n施展的一擊光是劃過，\n就能吸收獵物的靈魂。","2","2"
"24001","增益強化＋60","4","24001","進化耳環","具有不可思議效果的耳飾形遺物。\n魔石內蘊含的魔力\n會增幅強化之力。","2","2"
"24002","提升物理/魔法攻擊力\n（前方角色的物理防禦力×10）","4","24002","紅反鋼盔甲","具有不可思議效果的鎧甲遺物。\n紅鋼的加持擁有把守備力\n轉換成攻擊力的力量。","2","2"
"24003","提升物理/魔法攻擊力\n（前方角色的魔法防禦力×10）","4","24003","聖減術大地禮服","具有不可思議效果的禮服遺物。\n精靈的加持會從防魔結界\n收集力量。","2","2"
"24004","物理/魔法攻擊力＋40％","4","24004","炎王絕劍","具有不可思議效果的大劍形遺物。\n湧出的火焰之力能極大\n提高攻擊能力。","2","2"
"24005","物理/魔法防禦力＋20％","4","24005","櫻監牢戰衣","具有不可思議效果的鎧甲遺物。\n能如同綻放千年的櫻花，\n給予裝備者堅如磐石的監牢。","2","2"
"25001","恢復強化+20","5","25001","創世綠杖","具有不可思議效果的法杖遺物。\n會給予裝備者大樹的恩惠，\n傳授治癒術的才能。","2","2"
"25002","ＨＰ＋20％","5","25002","空命護珠","具有不可思議效果的戒指形遺物。\n會用天空的守護圍繞裝備者，\n增幅生命力。","2","2"
"25003","每15秒展開物理無效護盾（【守備】數×1000無效）","5","25003","鋼裝堅鎧","具有不可思議效果的鎧甲形遺物。\n經過高等技術精鍊出的鋼鐵，\n能在物理攻擊間保護裝備者。","2","2"
"25004","每15秒展開魔法無效護盾（【守備】數×1000無效）","5","25004","魔護靈裝","具有不可思議效果的長袍遺物。\n其中編入神樹的藤蔓，\n能在魔法間保護裝備者。","2","2"
"25005","持續恢復ＨＰ（每秒【守備】數×1000恢復）","5","25005","綠護盾環","具有不可思議效果的手鐲遺物。\n滿溢而出的自然之力\n會給裝備者帶來生命的氣息。","2","2"
"31001","ＴＰ上升+15","1","31001","瞬閃蝶之月飾","具有不可思議效果，仿照月亮的\n耳飾。出自內部的魔力\n能給予裝備者如同蝴蝶般的\n短暫美麗，大幅提升活力加速。","3","3"
"31002","每受到傷害時恢復ＴＰ100（最多３次）","1","31002","海寶華之煌盾","具有不可思議效果，鑲有寶石裝飾\n的圓盾。如大海般的湛藍魔力\n會庇護裝備者，連逼近的威脅\n都能將其昇華為能量。","3","3"
"31003","戰鬥開始時恢復ＴＰ300","1","31003","碧貴石之聖輪","具有不可思議效果的神聖手環。\n以失落技術鑲嵌的寶石\n會給裝備者帶來加持，一旦危機\n逼近，還會分出龐大的力量。","3","3"
"31004","ＴＰ消耗減輕＋6","1","31004","永天鏡之王笏","具有不可思議效果，昔日天界所傳\n的法杖。只要朝天上舉起，\n灌輸於鏡玉的祈禱便會滿溢而出，\n給予裝備者無盡的力量。","3","3"
"31005","可重複的行動速度＋30％","1","31005","熾天使之翔鞋","具有不可思議效果，宿有天使加持\n的戰鞋。光是裝備就會被授予\n神性，能如同天使般\n自由地在空中飛翔。","3","3"
"32001","狀態異常命中＋60","2","32001","幻獸飾誘惑","具有不可思議效果，仿照幻獸的\n首飾。被這顆寶石之神祕吸引\n的人會變得無法反抗所有\n異變和威脅。","3","3"
"32002","對敵方全體施加詛咒（每秒【弱化】數×900傷害）","2","32002","深淵蝕杖詛咒","具有不可思議效果，侵蝕月亮的\n法杖。光是存在，咒力的激流\n便會源源不絕地溢出，透過詛咒\n侵蝕所有靠近的敵人。","3","3"
"32003","對敵方全體施加中毒（每秒【弱化】數×900傷害）","2","32003","滅刻凶刃猛毒","具有不可思議效果的黑刃刺劍。\n鑲嵌在刀刃上的寶玉\n會不斷散播邪毒，\n時刻靠近破滅。","3","3"
"32004","敵人的物理/魔法攻擊力－30％","2","32004","燦然御纏阿諾拉‧貝拉","具有不可思議效果，點綴寶石的\n面紗。從遮蓋布下滲出的\n氣息會舒緩對方的敵意，\n使其無力化。","3","3"
"32005","敵人的物理/魔法防禦力－30％","2","32005","斷壁鎖刃碎片","具有不可思議效果，刀身纏繞著鎖鏈\n的妖刀。違反主人意志的狂暴鎖鏈\n會打破怨敵的防禦，\n以紫黑的凶刃斬卻萬物。","3","3"
"33001","敵人的物理/魔法被暴擊傷害＋30％","3","33001","致命長鉞","具有不可思議效果，寄宿地神之力的\n烈槍。以大地之力為糧施放、\n絕無僅有的一閃，會給立於地上\n的所有敵人帶來莫大的傷害。","3","3"
"33002","物理/魔法暴擊傷害＋30％","3","33002","終局之刀","具有不可思議效果，被傳說歌頌的\n極致一刀。寄宿鳳凰之力的鮮紅\n刀刃會如同火焰般，給予\n強烈的一擊。","3","3"
"33003","普通攻擊強化＋90","3","33003","大地解構函式","具有不可思議效果，封住地核能量\n的護甲。使出的一擊將會\n彷彿破壞世界般，大幅強化\n普通攻擊。","3","3"
"33004","物理/魔法暴擊率＋30％","3","33004","審判之弓","具有不可思議效果，制裁咎人的\n聖弓。被這把弓選上的裝備者\n將會得到神風的加持，不會\n給予目標慈悲，瞬間貫穿要害。","3","3"
"33005","ＨＰ吸收＋30","3","33005","收割之斧","具有不可思議效果的金色大戰斧。\n會拿收割的獵物靈魂為糧，\n讓那絢麗的刀刃光輝\n更顯燦爛。","3","3"
"34001","增益強化＋90","4","34001","極醒護身符","具有不可思議效果，封印炎天魔力\n的耳飾。會喚醒潛在能力\n到極致，大幅度提升\n強化之力。","3","3"
"34002","提升物理/魔法攻擊力\n（前方角色的物理防禦力×15）","4","34002","拒絕斷刃的白銀","具有不可思議效果的白金鎧甲。\n由白龍鱗片交織而成的外裝\n擁有集結盟友之力的效果，\n能釋放無比強大的一擊。","3","3"
"34003","提升物理/魔法攻擊力\n（前方角色的魔法防禦力×15）","4","34003","緋華榮華的石榴","具有不可思議效果，作為榮華象徵\n被打造而成的禮服。盛開的鮮紅\n之花加持，會將裝備者的絕魔\n之力轉換為攻擊力。","3","3"
"34004","物理/魔法攻擊力＋60％","4","34004","霸光帝龍的榮光","具有不可思議效果，承載光龍之力\n的大劍。這把劍會令人回想起\n過去榮光的振翅，向世界\n釋放出極限的霸氣。","3","3"
"34005","物理/魔法防禦力＋30％","4","34005","華舞玲瓏的花之撫子","具有不可思議效果，在東國內傳承的\n聖鎧。鎧甲如玉般散發出通透\n的光輝，授予裝備者華之加持，\n提高守護之力。","3","3"
"35001","恢復強化＋30","5","35001","妖精靈杖‧癒光","具有不可思議效果，封印妖精光輝的\n法杖。寶玉會溢出無限的\n生命力，以增幅的快速痊癒之力\n去除各種痛苦。","3","3"
"35002","ＨＰ＋30％","5","35002","泉湧命環‧豐穰","具有不可思議效果，被翠綠點綴的\n戒指。會令裝備者想起過去\n滿是豐饒的光景，給予\n無盡的生命力。","3","3"
"35003","每15秒展開物理無效護盾（【守備】數×1500無效）","5","35003","白光輝鎧‧斷壁","具有不可思議效果，散發白金光輝\n的鎧甲。顯現出的翅膀彷彿\n擁有自我意志，會呼應裝備者\n展開隔絕物理攻擊的屏障。","3","3"
"35004","每15秒展開魔法無效護盾（【守備】數×1500無效）","5","35004","幽玄煌裝‧絕魔","具有不可思議效果，宿有幽闇光輝\n的鎧甲。顯現出的翅膀彷彿\n擁有自我意志，會呼應裝備者\n展開隔絕魔法攻擊的屏障。","3","3"
"35005","持續恢復ＨＰ（每秒【守備】數×1500恢復）","5","35005","輪迴之翡翠珠輪","具有不可思議效果，鑲嵌翠綠寶玉\n的手鐲。持續滾滾湧出的瑪那，\n並不斷蓄積生命力。","3","3"
