b8e8a7ae3cc88011cf8625c61d3408ca6706f208046625a2e090be12e0a6b6ca,85a263d7f6dfac05778e04304a0543a831ac50181e3441f18b191f772d4b0827,50bcafa3da9e03593dd3c9dc3bf57fd5593d6186c171fa398264a858b5641101,1713a86eba9c45b9f90788810070310896883daad991e47df7d6c5fdce9b72ad,55ac4f1cf3bed5511742978e85d34c9cc9042a526a6e50e855091b9246bc11f1
"143","500","20004","100516","2"
"144","40","91002","100517","8"
"145","1500","90008","100517","2"
"146","2000000","94002","100518","12"
"147","2000","90008","100518","2"
"148","3000000","94002","100601","12"
"149","300","20004","100601","2"
"150","1000","90008","100602","2"
"151","12","25001","100603","2"
"152","1000000","94002","100604","12"
"153","300","20004","100604","2"
"154","1000","90008","100605","2"
"155","10","25001","100606","2"
"156","40","91002","100607","8"
"157","1000000","94002","100607","12"
"158","300","20004","100607","2"
"159","1000","90008","100608","2"
"160","1","41000","100609","2"
"161","10","25001","100609","2"
"162","1000000","94002","100610","12"
"163","400","20004","100610","2"
"164","1500","90008","100611","2"
"165","40","91002","100612","8"
"166","9","25001","100612","2"
"167","1000000","94002","100613","12"
"168","400","20004","100613","2"
"169","1500","90008","100614","2"
"170","1","41000","100615","2"
"171","1000000","94002","100616","12"
"172","500","20004","100616","2"
"173","40","91002","100617","8"
"174","1500","90008","100617","2"
"175","2000000","94002","100618","12"
"176","2000","90008","100618","2"
"177","3000000","94002","100701","12"
"178","300","20004","100701","2"
"179","1000","90008","100702","2"
"180","12","25001","100703","2"
"181","1000000","94002","100704","12"
"182","300","20004","100704","2"
"183","1000","90008","100705","2"
"184","10","25001","100706","2"
"185","40","91002","100707","8"
"186","1000000","94002","100707","12"
"187","300","20004","100707","2"
"188","1000","90008","100708","2"
"189","1","41000","100709","2"
"190","10","25001","100709","2"
"191","1000000","94002","100710","12"
"192","400","20004","100710","2"
"193","1500","90008","100711","2"
"194","40","91002","100712","8"
"195","9","25001","100712","2"
"196","1000000","94002","100713","12"
"197","400","20004","100713","2"
"198","1500","90008","100714","2"
"199","1","41000","100715","2"
"200","1000000","94002","100716","12"
"201","500","20004","100716","2"
"202","40","91002","100717","8"
"203","1500","90008","100717","2"
"204","2000000","94002","100718","12"
"205","2000","90008","100718","2"
"206","3000000","94002","100801","12"
"207","300","20004","100801","2"
"208","1000","90008","100802","2"
"209","12","25001","100803","2"
"210","1000000","94002","100804","12"
"211","300","20004","100804","2"
"212","1000","90008","100805","2"
"213","10","25001","100806","2"
"214","40","91002","100807","8"
"215","1000000","94002","100807","12"
"216","300","20004","100807","2"
"217","1000","90008","100808","2"
"218","1","41000","100809","2"
"219","10","25001","100809","2"
"220","1000000","94002","100810","12"
"221","400","20004","100810","2"
"222","1500","90008","100811","2"
"223","40","91002","100812","8"
"224","9","25001","100812","2"
"225","1000000","94002","100813","12"
"226","400","20004","100813","2"
"227","1500","90008","100814","2"
"228","1","41000","100815","2"
"229","1000000","94002","100816","12"
"230","500","20004","100816","2"
"231","40","91002","100817","8"
"232","1500","90008","100817","2"
"233","2000000","94002","100818","12"
"234","2000","90008","100818","2"
"235","3000000","94002","100901","12"
"236","300","20004","100901","2"
"237","1000","90008","100902","2"
"238","150","23003","100902","2"
"239","12","25001","100903","2"
"240","1000000","94002","100904","12"
"241","300","20004","100904","2"
"242","1000","90008","100905","2"
"243","150","23003","100905","2"
"244","10","25001","100906","2"
"245","40","91002","100907","8"
"246","1000000","94002","100907","12"
"247","300","20004","100907","2"
"248","1000","90008","100908","2"
"249","200","23003","100908","2"
"250","1","41000","100909","2"
"251","10","25001","100909","2"
"252","1000000","94002","100910","12"
"253","400","20004","100910","2"
"254","1500","90008","100911","2"
"255","40","91002","100912","8"
"256","9","25001","100912","2"
"257","1000000","94002","100913","12"
"258","400","20004","100913","2"
"259","1500","90008","100914","2"
"260","1","41000","100915","2"
"261","1000000","94002","100916","12"
"262","500","20004","100916","2"
"263","40","91002","100917","8"
"264","1500","90008","100917","2"
"265","2000000","94002","100918","12"
"266","2000","90008","100918","2"
"267","3000000","94002","101001","12"
"268","300","20004","101001","2"
"269","1000","90008","101002","2"
"270","150","23003","101002","2"
"271","12","25001","101003","2"
"272","1000000","94002","101004","12"
"273","300","20004","101004","2"
"274","1000","90008","101005","2"
"275","150","23003","101005","2"
"276","10","25001","101006","2"
"277","40","91002","101007","8"
"278","1000000","94002","101007","12"
"279","300","20004","101007","2"
"280","1000","90008","101008","2"
"281","200","23003","101008","2"
"282","1","41000","101009","2"
"283","10","25001","101009","2"
"284","1000000","94002","101010","12"
"285","400","20004","101010","2"
"286","1500","90008","101011","2"
"287","40","91002","101012","8"
"288","9","25001","101012","2"
"289","1000000","94002","101013","12"
"290","400","20004","101013","2"
"291","1500","90008","101014","2"
"292","1","41000","101015","2"
"293","1000000","94002","101016","12"
"294","500","20004","101016","2"
"295","40","91002","101017","8"
"296","1500","90008","101017","2"
"297","2000000","94002","101018","12"
"298","2000","90008","101018","2"
"299","3000000","94002","101101","12"
"300","300","20004","101101","2"
"301","1000","90008","101102","2"
"302","150","23003","101102","2"
"303","12","25001","101103","2"
"304","1000000","94002","101104","12"
"305","300","20004","101104","2"
"306","1000","90008","101105","2"
"307","150","23003","101105","2"
"308","10","25001","101106","2"
"309","40","91002","101107","8"
"310","1000000","94002","101107","12"
"311","300","20004","101107","2"
"312","1000","90008","101108","2"
"313","200","23003","101108","2"
"314","1","41000","101109","2"
"315","10","25001","101109","2"
"316","1000000","94002","101110","12"
"317","400","20004","101110","2"
"318","1500","90008","101111","2"
"319","40","91002","101112","8"
"320","9","25001","101112","2"
"321","1000000","94002","101113","12"
"322","400","20004","101113","2"
"323","1500","90008","101114","2"
"324","1","41000","101115","2"
"325","1000000","94002","101116","12"
"326","500","20004","101116","2"
"327","40","91002","101117","8"
"328","1500","90008","101117","2"
"329","2000000","94002","101118","12"
"330","2000","90008","101118","2"
"331","3000000","94002","101201","12"
"332","300","20004","101201","2"
"333","1000","90008","101202","2"
"334","150","23003","101202","2"
"335","12","25001","101203","2"
"336","1000000","94002","101204","12"
"337","300","20004","101204","2"
"338","1000","90008","101205","2"
"339","150","23003","101205","2"
"340","10","25001","101206","2"
"341","40","91002","101207","8"
"342","1000000","94002","101207","12"
"343","300","20004","101207","2"
"344","1000","90008","101208","2"
"345","200","23003","101208","2"
"346","1","41000","101209","2"
"347","10","25001","101209","2"
"348","1000000","94002","101210","12"
"349","400","20004","101210","2"
"350","1500","90008","101211","2"
"351","40","91002","101212","8"
"352","9","25001","101212","2"
"353","1000000","94002","101213","12"
"354","400","20004","101213","2"
"355","1500","90008","101214","2"
"356","1","41000","101215","2"
"357","1000000","94002","101216","12"
"358","500","20004","101216","2"
"359","40","91002","101217","8"
"360","1500","90008","101217","2"
"361","2000000","94002","101218","12"
"362","2000","90008","101218","2"
"363","3000000","94002","101301","12"
"364","300","20004","101301","2"
"365","1000","90008","101302","2"
"366","150","23003","101302","2"
"367","12","25001","101303","2"
"368","1000000","94002","101304","12"
"369","300","20004","101304","2"
"370","1000","90008","101305","2"
"371","150","23003","101305","2"
"372","10","25001","101306","2"
"373","40","91002","101307","8"
"374","1000000","94002","101307","12"
"375","300","20004","101307","2"
"376","1000","90008","101308","2"
"377","200","23003","101308","2"
"378","1","41000","101309","2"
"379","10","25001","101309","2"
"380","1000000","94002","101310","12"
"381","400","20004","101310","2"
"382","1500","90008","101311","2"
"383","40","91002","101312","8"
"384","9","25001","101312","2"
"385","1000000","94002","101313","12"
"386","400","20004","101313","2"
"387","1500","90008","101314","2"
"388","1","41000","101315","2"
"389","1000000","94002","101316","12"
"390","500","20004","101316","2"
"391","40","91002","101317","8"
"392","1500","90008","101317","2"
"393","2000000","94002","101318","12"
"394","2000","90008","101318","2"
"395","3000000","94002","101401","12"
"396","300","20004","101401","2"
"397","1000","90008","101402","2"
"398","150","23003","101402","2"
"399","12","25001","101403","2"
"400","1000000","94002","101404","12"
"401","300","20004","101404","2"
"402","1000","90008","101405","2"
"403","150","23003","101405","2"
"404","10","25001","101406","2"
"405","40","91002","101407","8"
"406","1000000","94002","101407","12"
"407","300","20004","101407","2"
"408","1000","90008","101408","2"
"409","200","23003","101408","2"
"410","1","41000","101409","2"
"411","10","25001","101409","2"
"412","1000000","94002","101410","12"
"413","400","20004","101410","2"
"414","1500","90008","101411","2"
"415","40","91002","101412","8"
"416","9","25001","101412","2"
"417","1000000","94002","101413","12"
"418","400","20004","101413","2"
"419","1500","90008","101414","2"
"420","1","41000","101415","2"
"421","1000000","94002","101416","12"
"422","500","20004","101416","2"
"423","40","91002","101417","8"
"424","1500","90008","101417","2"
"425","2000000","94002","101418","12"
"426","2000","90008","101418","2"
"427","3000000","94002","101501","12"
"428","300","20004","101501","2"
"429","1000","90008","101502","2"
"430","150","23003","101502","2"
"431","12","25001","101503","2"
"432","1000000","94002","101504","12"
"433","300","20004","101504","2"
"434","1000","90008","101505","2"
"435","150","23003","101505","2"
"436","10","25001","101506","2"
"437","40","91002","101507","8"
"438","1000000","94002","101507","12"
"439","300","20004","101507","2"
"440","1000","90008","101508","2"
"441","200","23003","101508","2"
"442","1","41000","101509","2"
"443","10","25001","101509","2"
"444","1000000","94002","101510","12"
"445","400","20004","101510","2"
"446","1500","90008","101511","2"
"447","40","91002","101512","8"
"448","9","25001","101512","2"
"449","1000000","94002","101513","12"
"450","400","20004","101513","2"
"451","1500","90008","101514","2"
"452","1","41000","101515","2"
"453","1000000","94002","101516","12"
"454","500","20004","101516","2"
"455","40","91002","101517","8"
"456","1500","90008","101517","2"
"457","2000000","94002","101518","12"
"458","2000","90008","101518","2"
"459","3000000","94002","101601","12"
"460","300","20004","101601","2"
"461","1000","90008","101602","2"
"462","150","23003","101602","2"
"463","12","25001","101603","2"
"464","1000000","94002","101604","12"
"465","300","20004","101604","2"
"466","1000","90008","101605","2"
"467","150","23003","101605","2"
"468","10","25001","101606","2"
"469","40","91002","101607","8"
"470","1000000","94002","101607","12"
"471","300","20004","101607","2"
"472","1000","90008","101608","2"
"473","200","23003","101608","2"
"474","1","41000","101609","2"
"475","10","25001","101609","2"
"476","1000000","94002","101610","12"
"477","400","20004","101610","2"
"478","1500","90008","101611","2"
"479","40","91002","101612","8"
"480","9","25001","101612","2"
"481","1000000","94002","101613","12"
"482","400","20004","101613","2"
"483","1500","90008","101614","2"
"484","1","41000","101615","2"
"485","1000000","94002","101616","12"
"486","500","20004","101616","2"
"487","40","91002","101617","8"
"488","1500","90008","101617","2"
"489","2000000","94002","101618","12"
"490","2000","90008","101618","2"
"491","3000000","94002","101701","12"
"492","300","20004","101701","2"
"493","1000","90008","101702","2"
"494","150","23003","101702","2"
"495","12","25001","101703","2"
"496","1000000","94002","101704","12"
"497","300","20004","101704","2"
"498","1000","90008","101705","2"
"499","150","23003","101705","2"
"500","10","25001","101706","2"
"501","40","91002","101707","8"
"502","1000000","94002","101707","12"
"503","300","20004","101707","2"
"504","1000","90008","101708","2"
"505","200","23003","101708","2"
"506","1","41000","101709","2"
"507","10","25001","101709","2"
"508","1000000","94002","101710","12"
"509","400","20004","101710","2"
"510","1500","90008","101711","2"
"511","40","91002","101712","8"
"512","9","25001","101712","2"
"513","1000000","94002","101713","12"
"514","400","20004","101713","2"
"515","1500","90008","101714","2"
"516","1","41000","101715","2"
"517","1000000","94002","101716","12"
"518","500","20004","101716","2"
"519","40","91002","101717","8"
"520","1500","90008","101717","2"
"521","2000000","94002","101718","12"
"522","2000","90008","101718","2"
"523","3000000","94002","101801","12"
"524","300","20004","101801","2"
"525","1000","90008","101802","2"
"526","150","23003","101802","2"
"527","12","25001","101803","2"
"528","1000000","94002","101804","12"
"529","300","20004","101804","2"
"530","1000","90008","101805","2"
"531","150","23003","101805","2"
"532","10","25001","101806","2"
"533","40","91002","101807","8"
"534","1000000","94002","101807","12"
"535","300","20004","101807","2"
"536","1000","90008","101808","2"
"537","200","23003","101808","2"
"538","1","41000","101809","2"
"539","10","25001","101809","2"
"540","1000000","94002","101810","12"
"541","400","20004","101810","2"
"542","1500","90008","101811","2"
"543","40","91002","101812","8"
"544","9","25001","101812","2"
"545","1000000","94002","101813","12"
"546","400","20004","101813","2"
"547","1500","90008","101814","2"
"548","1","41000","101815","2"
"549","1000000","94002","101816","12"
"550","500","20004","101816","2"
"551","40","91002","101817","8"
"552","1500","90008","101817","2"
"553","2000000","94002","101818","12"
"554","2000","90008","101818","2"
"555","3000000","94002","101901","12"
"556","300","20004","101901","2"
"557","1000","90008","101902","2"
"558","150","23003","101902","2"
"559","12","25001","101903","2"
"560","1000000","94002","101904","12"
"561","300","20004","101904","2"
"562","1000","90008","101905","2"
"563","150","23003","101905","2"
"564","10","25001","101906","2"
"565","40","91002","101907","8"
"566","1000000","94002","101907","12"
"567","300","20004","101907","2"
"568","1000","90008","101908","2"
"569","200","23003","101908","2"
"570","1","41000","101909","2"
"571","10","25001","101909","2"
"572","1000000","94002","101910","12"
"573","400","20004","101910","2"
"574","1500","90008","101911","2"
"575","40","91002","101912","8"
"576","9","25001","101912","2"
"577","1000000","94002","101913","12"
"578","400","20004","101913","2"
"579","1500","90008","101914","2"
"580","1","41000","101915","2"
"581","1000000","94002","101916","12"
"582","500","20004","101916","2"
"583","40","91002","101917","8"
"584","1500","90008","101917","2"
"585","2000000","94002","101918","12"
"586","2000","90008","101918","2"
"587","3000000","94002","102001","12"
"588","300","20004","102001","2"
"589","1000","90008","102002","2"
"590","150","23003","102002","2"
"591","12","25001","102003","2"
"592","1000000","94002","102004","12"
"593","300","20004","102004","2"
"594","1000","90008","102005","2"
"595","150","23003","102005","2"
"596","10","25001","102006","2"
"597","40","91002","102007","8"
"598","1000000","94002","102007","12"
"599","300","20004","102007","2"
"600","1000","90008","102008","2"
"601","200","23003","102008","2"
"602","1","41000","102009","2"
"603","10","25001","102009","2"
"604","1000000","94002","102010","12"
"605","400","20004","102010","2"
"606","1500","90008","102011","2"
"607","40","91002","102012","8"
"608","9","25001","102012","2"
"609","1000000","94002","102013","12"
"610","400","20004","102013","2"
"611","1500","90008","102014","2"
"612","1","41000","102015","2"
"613","1000000","94002","102016","12"
"614","500","20004","102016","2"
"615","40","91002","102017","8"
"616","1500","90008","102017","2"
"617","2000000","94002","102018","12"
"618","2000","90008","102018","2"
