952d1b4c13a977d347a1ace6035c0e4d0ca7863373e499e6bc79556f14eecad9,f2a4cb17055d392ed9429aefcd977a8fb519e3891fa5e91c915458caf4c22242,d8002b6f729cd92878f9a7dd9b59c73eb942823c2b9091f94503b2865ab5b2da,4c77aebfbe54abe78b8438a026848deb87c8ba14aab8befc73f439a86f0813d2,b24bd59d14bd628407034103518f863be6c13edde02bb222335c2f034c11091f
"10000000","3","94002","12","10101021"
"100","1","31059","2","10101022"
"100","1","150002","4","10101023"
"100","2","150001","4","10101023"
"35000","1","0","5","10101024"
"2500","1","25011","2","10101025"
"2500","2","25012","2","10101025"
"2500","3","25013","2","10101025"
"2500","4","25014","2","10101025"
"2500","5","25015","2","10101025"
"145","1","31028","2","10101026"
"5000","1","25011","2","10102001"
"5000","2","25012","2","10102001"
"5000","3","25013","2","10102001"
"5000","4","25014","2","10102001"
"5000","5","25015","2","10102001"
"30000","1","0","5","10102002"
"6","1","140000","4","10102003"
"50","2","31058","2","10102003"
"50","3","31059","2","10102003"
"300","1","20004","2","10102004"
"10000000","2","94002","12","10102004"
"100","1","150003","4","10102005"
"100","2","150002","4","10102005"
"100","3","150001","4","10102005"
"100","1","31002","2","10102006"
"10000000","1","94002","12","10102007"
"120","1","31058","2","10102008"
"5000","2","25011","2","10102008"
"5000","3","25012","2","10102008"
"5000","4","25013","2","10102008"
"5000","5","25014","2","10102008"
"5000","6","25015","2","10102008"
"300","1","20004","2","10102009"
"10000000","2","94002","12","10102009"
"10000","1","25011","2","10102010"
"10000","2","25012","2","10102010"
"10000","3","25013","2","10102010"
"10000","4","25014","2","10102010"
"10000","5","25015","2","10102010"
"100","6","150003","4","10102010"
"100","7","150002","4","10102010"
"100","8","150001","4","10102010"
"40000","1","0","5","10102011"
"10000","1","25011","2","10102012"
"10000","2","25012","2","10102012"
"10000","3","25013","2","10102012"
"10000","4","25014","2","10102012"
"10000","5","25015","2","10102012"
"100","6","150003","4","10102012"
"100","7","150002","4","10102012"
"100","8","150001","4","10102012"
"145","1","31043","2","10102013"
"120","1","31002","2","10103001"
"30000000","1","94002","12","10103002"
"40000","1","0","5","10103003"
"500","2","20004","2","10103003"
"30000000","3","94002","12","10103003"
"120","1","31059","2","10103004"
"10000","2","25011","2","10103004"
"10000","3","25012","2","10103004"
"10000","4","25013","2","10103004"
"10000","5","25014","2","10103004"
"10000","6","25015","2","10103004"
"1","1","21024","2","10103005"
"100","1","150004","4","10103006"
"300","2","150003","4","10103006"
"300","3","150002","4","10103006"
"120","1","31010","2","10103007"
"3","1","140000","4","10103008"
"50","2","31010","2","10103008"
"40000","1","0","5","10103009"
"100","2","20005","2","10103009"
"30000000","3","94002","12","10103009"
"120","1","31028","2","10103010"
"3","1","140000","4","10103011"
"50","2","31028","2","10103011"
"145","1","31011","2","10103012"
"120","1","31043","2","10104001"
"3","1","140000","4","10104002"
"50","2","31043","2","10104002"
"15000","1","0","5","10104003"
"100","2","20005","2","10104003"
"200","3","22003","2","10104003"
"200","1","150004","4","10104004"
"200","2","150003","4","10104004"
"200","3","150002","4","10104004"
"150","1","31058","2","10104005"
"200","1","20005","2","10104006"
"150","1","31059","2","10104007"
"3000","1","50003","2","10104008"
"40000","1","0","5","10104009"
"100","1","25001","2","10104010"
"100","1","90005","2","10104011"
"200","1","32058","2","10104012"
"50","2","31058","2","10104012"
"100","1","20005","2","10104013"
"200","2","22003","2","10104013"
"30000000","3","94002","12","10104013"
"145","1","31049","2","10104014"
"120","1","31049","2","10105001"
"3","1","140000","4","10105002"
"50","2","31049","2","10105002"
"300","1","150004","4","10105003"
"300","2","150003","4","10105003"
"300","3","150002","4","10105003"
"20000","1","0","5","10105004"
"150","1","31002","2","10105005"
"100","1","31002","2","10105006"
"50000000","2","94002","12","10105006"
"100","1","25001","2","10105007"
"20000","1","0","5","10105008"
"515","2","31001","2","10105008"
"515","3","31003","2","10105008"
"200","1","32059","2","10105009"
"50","2","31059","2","10105009"
"20000","1","0","5","10105010"
"145","1","31036","2","10105011"
"500","1","20005","2","10106001"
"500","1","150004","4","10106002"
"500","2","150003","4","10106002"
"500","3","150002","4","10106002"
"20000","1","0","5","10106003"
"420","2","31060","2","10106003"
"3","3","140000","4","10106003"
"200","1","32060","2","10106004"
"50","2","31060","2","10106004"
"100","3","25001","2","10106004"
"1000","1","150004","4","10106005"
"500","2","20005","2","10106005"
"1","3","21025","2","10106005"
"120","1","31011","2","10106006"
"3","1","140000","4","10106007"
"50","2","31011","2","10106007"
"1","1","21905","2","10106008"
"20000","1","0","5","10106009"
"145","1","31029","2","10106010"
"1","1","41058","2","10107001"
"1000","1","150004","4","10107002"
"1000","2","20005","2","10107002"
"1","1","21905","2","10107003"
"20000","1","24018","5","10107004"
"1","1","21905","2","10107005"
"1","1","21905","2","10107006"
"1","1","24027","2","10107007"
"20000","1","0","5","10107008"
"1","1","27022","2","10107009"
"1","1","24027","2","10201001"
"1","1","21905","2","10201002"
"20000","1","0","5","10201003"
"200","1","31011","2","10201004"
"200","2","31028","2","10201004"
"200","3","31043","2","10201004"
"200","1","31049","2","10201005"
"200","2","31010","2","10201005"
"9","3","140000","4","10201005"
"20000","1","0","5","10201006"
"1","1","21905","2","10201007"
"145","1","31009","2","10201008"
"1","1","24027","2","10202001"
"1","1","21905","2","10202002"
"195","1","31064","2","10202003"
"3","2","140000","4","10202003"
"20000","1","0","5","10202004"
"500","2","20005","2","10202004"
"30000000","3","94002","12","10202004"
"370","1","31009","2","10202005"
"370","2","31036","2","10202005"
"370","3","31029","2","10202005"
"1","1","21905","2","10202006"
"20000","1","0","5","10202007"
"9","1","140000","4","10202008"
"145","1","31018","2","10202009"
"1","1","24027","2","10203001"
"20000","1","0","5","10203002"
"1","1","21905","2","10203003"
"370","1","31018","2","10203004"
"20000","1","0","5","10203005"
"1","1","21905","2","10203006"
"3","1","140000","4","10203007"
"20000","1","0","5","10203008"
"145","1","31037","2","10203009"
"1","1","24027","2","10204001"
"1","1","21905","2","10204002"
"120","1","31064","2","10204003"
"20000","1","0","5","10204004"
"370","1","31037","2","10204005"
"150","1","31064","2","10204006"
"3","1","140000","4","10204007"
"1","1","21026","2","10204008"
"20000","1","0","5","10204009"
"145","1","31032","2","10204010"
"1","1","24027","2","10205001"
"1","1","21905","2","10205002"
"20000","1","0","5","10205003"
"370","1","31032","2","10205004"
"3","1","140000","4","10205005"
"20000","1","0","5","10205006"
"145","1","31014","2","10205007"
"1","1","21905","2","10205008"
"20000","1","0","5","10205009"
"370","1","31014","2","10205010"
"3","1","140000","4","10205011"
"20000","1","0","5","10205012"
"145","1","31012","2","10205013"
"1","1","24027","2","10206001"
"50","1","32064","2","10206002"
"50","2","31064","2","10206002"
"100","3","25001","2","10206002"
"50","1","32058","2","10206003"
"50","2","32060","2","10206003"
"50","3","32059","2","10206003"
"1000","1","20005","2","10206004"
"100000000","2","94002","12","10206004"
"2000","1","150005","4","10206005"
"2000","2","150004","4","10206005"
"2000","3","150003","4","10206005"
"2000","1","150008","4","10206006"
"2000","2","150007","4","10206006"
"2000","3","150006","4","10206006"
"370","1","31012","2","10206007"
"40000","1","0","5","10206008"
"1","1","21905","2","10206009"
"3","1","140000","4","10206010"
"1","1","24027","2","10206011"
"40000","1","0","5","10206012"
"2","1","21905","2","10206013"
"1","1","41000","2","10207001"
"40000","2","0","5","10207001"
"10000","1","25011","2","10207002"
"4000","2","25021","2","10207002"
"10000","1","25012","2","10207003"
"4000","2","25021","2","10207003"
"10000","1","25013","2","10207004"
"4000","2","25021","2","10207004"
"10000","1","25014","2","10207005"
"4000","2","25021","2","10207005"
"10000","1","25015","2","10207006"
"4000","2","25021","2","10207006"
"1","1","27023","2","10207007"
