f322cbaedd1139b25dfc186377cc658b969b396f9b0af305352d2d04f6a9945b,3746ee9e9e9a399a8e0295fca613fed7ec514ab0524b29902cffa121a23b8c97,4d470cf565c5057b9e6e99c202af6eec725fdb9e05eb95f5ec14e3f0ecdf7d92,e1f07c8fb2970cba24badd111e6edcc7231a1baa6a15bb215614ba2b76bc4490,abacd61fd66c947ffa8f91b574e8b47f3d8d52e59bf0803cb87a0eb22b718dbc
"1000000","75","100310","12","94002"
"400","76","100310","2","20004"
"1500","77","100311","2","90008"
"40","78","100312","8","91002"
"9","79","100312","2","25001"
"1000000","80","100313","12","94002"
"400","81","100313","2","20004"
"1500","82","100314","2","90008"
"1","83","100315","2","41000"
"1000000","84","100316","12","94002"
"500","85","100316","2","20004"
"40","86","100317","8","91002"
"1500","87","100317","2","90008"
"2000000","88","100318","12","94002"
"2000","89","100318","2","90008"
"3000000","90","100401","12","94002"
"300","91","100401","2","20004"
"1000","92","100402","2","90008"
"12","93","100403","2","25001"
"1000000","94","100404","12","94002"
"300","95","100404","2","20004"
"1000","96","100405","2","90008"
"10","97","100406","2","25001"
"40","98","100407","8","91002"
"1000000","99","100407","12","94002"
"300","100","100407","2","20004"
"1000","101","100408","2","90008"
"1","102","100409","2","41000"
"10","103","100409","2","25001"
"1000000","104","100410","12","94002"
"400","105","100410","2","20004"
"1500","106","100411","2","90008"
"40","107","100412","8","91002"
"9","108","100412","2","25001"
"1000000","109","100413","12","94002"
"400","110","100413","2","20004"
"1500","111","100414","2","90008"
"1","112","100415","2","41000"
"1000000","113","100416","12","94002"
"500","114","100416","2","20004"
"40","115","100417","8","91002"
"1500","116","100417","2","90008"
"2000000","117","100418","12","94002"
"2000","118","100418","2","90008"
"3000000","119","100501","12","94002"
"300","120","100501","2","20004"
"1000","121","100502","2","90008"
"12","122","100503","2","25001"
"1000000","123","100504","12","94002"
"300","124","100504","2","20004"
"1000","125","100505","2","90008"
"10","126","100506","2","25001"
"40","127","100507","8","91002"
"1000000","128","100507","12","94002"
"300","129","100507","2","20004"
"1000","130","100508","2","90008"
"1","131","100509","2","41000"
"10","132","100509","2","25001"
"1000000","133","100510","12","94002"
"400","134","100510","2","20004"
"1500","135","100511","2","90008"
"40","136","100512","8","91002"
"9","137","100512","2","25001"
"1000000","138","100513","12","94002"
"400","139","100513","2","20004"
"1500","140","100514","2","90008"
"1","141","100515","2","41000"
"1000000","142","100516","12","94002"
"500","143","100516","2","20004"
"40","144","100517","8","91002"
"1500","145","100517","2","90008"
"2000000","146","100518","12","94002"
"2000","147","100518","2","90008"
"3000000","148","100601","12","94002"
"300","149","100601","2","20004"
"1000","150","100602","2","90008"
"12","151","100603","2","25001"
"1000000","152","100604","12","94002"
"300","153","100604","2","20004"
"1000","154","100605","2","90008"
"10","155","100606","2","25001"
"40","156","100607","8","91002"
"1000000","157","100607","12","94002"
"300","158","100607","2","20004"
"1000","159","100608","2","90008"
"1","160","100609","2","41000"
"10","161","100609","2","25001"
"1000000","162","100610","12","94002"
"400","163","100610","2","20004"
"1500","164","100611","2","90008"
"40","165","100612","8","91002"
"9","166","100612","2","25001"
"1000000","167","100613","12","94002"
"400","168","100613","2","20004"
"1500","169","100614","2","90008"
"1","170","100615","2","41000"
"1000000","171","100616","12","94002"
"500","172","100616","2","20004"
"40","173","100617","8","91002"
"1500","174","100617","2","90008"
"2000000","175","100618","12","94002"
"2000","176","100618","2","90008"
"3000000","177","100701","12","94002"
"300","178","100701","2","20004"
"1000","179","100702","2","90008"
"12","180","100703","2","25001"
"1000000","181","100704","12","94002"
"300","182","100704","2","20004"
"1000","183","100705","2","90008"
"10","184","100706","2","25001"
"40","185","100707","8","91002"
"1000000","186","100707","12","94002"
"300","187","100707","2","20004"
"1000","188","100708","2","90008"
"1","189","100709","2","41000"
"10","190","100709","2","25001"
"1000000","191","100710","12","94002"
"400","192","100710","2","20004"
"1500","193","100711","2","90008"
"40","194","100712","8","91002"
"9","195","100712","2","25001"
"1000000","196","100713","12","94002"
"400","197","100713","2","20004"
"1500","198","100714","2","90008"
"1","199","100715","2","41000"
"1000000","200","100716","12","94002"
"500","201","100716","2","20004"
"40","202","100717","8","91002"
"1500","203","100717","2","90008"
"2000000","204","100718","12","94002"
"2000","205","100718","2","90008"
"3000000","206","100801","12","94002"
"300","207","100801","2","20004"
"1000","208","100802","2","90008"
"12","209","100803","2","25001"
"1000000","210","100804","12","94002"
"300","211","100804","2","20004"
"1000","212","100805","2","90008"
"10","213","100806","2","25001"
"40","214","100807","8","91002"
"1000000","215","100807","12","94002"
"300","216","100807","2","20004"
"1000","217","100808","2","90008"
"1","218","100809","2","41000"
"10","219","100809","2","25001"
"1000000","220","100810","12","94002"
"400","221","100810","2","20004"
"1500","222","100811","2","90008"
"40","223","100812","8","91002"
"9","224","100812","2","25001"
"1000000","225","100813","12","94002"
"400","226","100813","2","20004"
"1500","227","100814","2","90008"
"1","228","100815","2","41000"
"1000000","229","100816","12","94002"
"500","230","100816","2","20004"
"40","231","100817","8","91002"
"1500","232","100817","2","90008"
"2000000","233","100818","12","94002"
"2000","234","100818","2","90008"
"3000000","235","100901","12","94002"
"300","236","100901","2","20004"
"1000","237","100902","2","90008"
"150","238","100902","2","23003"
"12","239","100903","2","25001"
"1000000","240","100904","12","94002"
"300","241","100904","2","20004"
"1000","242","100905","2","90008"
"150","243","100905","2","23003"
"10","244","100906","2","25001"
"40","245","100907","8","91002"
"1000000","246","100907","12","94002"
"300","247","100907","2","20004"
"1000","248","100908","2","90008"
"200","249","100908","2","23003"
"1","250","100909","2","41000"
"10","251","100909","2","25001"
"1000000","252","100910","12","94002"
"400","253","100910","2","20004"
"1500","254","100911","2","90008"
"40","255","100912","8","91002"
"9","256","100912","2","25001"
"1000000","257","100913","12","94002"
"400","258","100913","2","20004"
"1500","259","100914","2","90008"
"1","260","100915","2","41000"
"1000000","261","100916","12","94002"
"500","262","100916","2","20004"
"40","263","100917","8","91002"
"1500","264","100917","2","90008"
"2000000","265","100918","12","94002"
"2000","266","100918","2","90008"
"3000000","267","101001","12","94002"
"300","268","101001","2","20004"
"1000","269","101002","2","90008"
"150","270","101002","2","23003"
"12","271","101003","2","25001"
"1000000","272","101004","12","94002"
"300","273","101004","2","20004"
"1000","274","101005","2","90008"
"150","275","101005","2","23003"
"10","276","101006","2","25001"
"40","277","101007","8","91002"
"1000000","278","101007","12","94002"
"300","279","101007","2","20004"
"1000","280","101008","2","90008"
"200","281","101008","2","23003"
"1","282","101009","2","41000"
"10","283","101009","2","25001"
"1000000","284","101010","12","94002"
"400","285","101010","2","20004"
"1500","286","101011","2","90008"
"40","287","101012","8","91002"
"9","288","101012","2","25001"
"1000000","289","101013","12","94002"
"400","290","101013","2","20004"
"1500","291","101014","2","90008"
"1","292","101015","2","41000"
"1000000","293","101016","12","94002"
"500","294","101016","2","20004"
"40","295","101017","8","91002"
"1500","296","101017","2","90008"
"2000000","297","101018","12","94002"
"2000","298","101018","2","90008"
"3000000","299","101101","12","94002"
"300","300","101101","2","20004"
"1000","301","101102","2","90008"
"150","302","101102","2","23003"
"12","303","101103","2","25001"
"1000000","304","101104","12","94002"
"300","305","101104","2","20004"
"1000","306","101105","2","90008"
"150","307","101105","2","23003"
"10","308","101106","2","25001"
"40","309","101107","8","91002"
"1000000","310","101107","12","94002"
"300","311","101107","2","20004"
"1000","312","101108","2","90008"
"200","313","101108","2","23003"
"1","314","101109","2","41000"
"10","315","101109","2","25001"
"1000000","316","101110","12","94002"
"400","317","101110","2","20004"
"1500","318","101111","2","90008"
"40","319","101112","8","91002"
"9","320","101112","2","25001"
"1000000","321","101113","12","94002"
"400","322","101113","2","20004"
"1500","323","101114","2","90008"
"1","324","101115","2","41000"
"1000000","325","101116","12","94002"
"500","326","101116","2","20004"
"40","327","101117","8","91002"
"1500","328","101117","2","90008"
"2000000","329","101118","12","94002"
"2000","330","101118","2","90008"
"3000000","331","101201","12","94002"
"300","332","101201","2","20004"
"1000","333","101202","2","90008"
"150","334","101202","2","23003"
"12","335","101203","2","25001"
"1000000","336","101204","12","94002"
"300","337","101204","2","20004"
"1000","338","101205","2","90008"
"150","339","101205","2","23003"
"10","340","101206","2","25001"
"40","341","101207","8","91002"
"1000000","342","101207","12","94002"
"300","343","101207","2","20004"
"1000","344","101208","2","90008"
"200","345","101208","2","23003"
"1","346","101209","2","41000"
"10","347","101209","2","25001"
"1000000","348","101210","12","94002"
"400","349","101210","2","20004"
"1500","350","101211","2","90008"
"40","351","101212","8","91002"
"9","352","101212","2","25001"
"1000000","353","101213","12","94002"
"400","354","101213","2","20004"
"1500","355","101214","2","90008"
"1","356","101215","2","41000"
"1000000","357","101216","12","94002"
"500","358","101216","2","20004"
"40","359","101217","8","91002"
"1500","360","101217","2","90008"
"2000000","361","101218","12","94002"
"2000","362","101218","2","90008"
"3000000","363","101301","12","94002"
"300","364","101301","2","20004"
"1000","365","101302","2","90008"
"150","366","101302","2","23003"
"12","367","101303","2","25001"
"1000000","368","101304","12","94002"
"300","369","101304","2","20004"
"1000","370","101305","2","90008"
"150","371","101305","2","23003"
"10","372","101306","2","25001"
"40","373","101307","8","91002"
"1000000","374","101307","12","94002"
"300","375","101307","2","20004"
"1000","376","101308","2","90008"
"200","377","101308","2","23003"
"1","378","101309","2","41000"
"10","379","101309","2","25001"
"1000000","380","101310","12","94002"
"400","381","101310","2","20004"
"1500","382","101311","2","90008"
"40","383","101312","8","91002"
"9","384","101312","2","25001"
"1000000","385","101313","12","94002"
"400","386","101313","2","20004"
"1500","387","101314","2","90008"
"1","388","101315","2","41000"
"1000000","389","101316","12","94002"
"500","390","101316","2","20004"
"40","391","101317","8","91002"
"1500","392","101317","2","90008"
"2000000","393","101318","12","94002"
"2000","394","101318","2","90008"
