59c429e54a8f725d671a5a1359c9a4c3c86ff599dd132994e0a25a7aefc4a62c,7f284de4d48ba51bbf44d140053baebfd8ebcc06ef710099f88e29433f32a717,3c4194feed9dd915ba6f014b6d1a8d7211e1127b67bc7c7c7b7935baac13ae17,8bfb7ab47f8a425ba45c0f652b1c0fb9ec39fe12df71e4e9137acb385b64b8f4,6bd15376b551805904287260960f974e3f5e161d086d02436c3388863994b99b,6962b459b884b53e300fbc16dd258b7d654261fca5a119905ed1793b2bd8d1fc,92b9b67692fbf7f1a4a4d9d8fb7e473eb0af8131f93859d8473cd9e119695406
"56","3","0","2022/07/28 04:59:59","2022/07/27 05:00:00","80006","9004012"
"57","3","0","2022/07/29 04:59:59","2022/07/28 05:00:00","80006","9004013"
"58","3","0","2022/07/30 04:59:59","2022/07/29 05:00:00","80006","9004014"
"59","3","0","2022/07/31 04:59:59","2022/07/30 05:00:00","80006","9004015"
"60","3","0","2022/08/01 04:59:59","2022/07/31 05:00:00","80006","9004016"
"61","3","1","2022/08/02 04:59:59","2022/08/01 05:00:00","80006","9004017"
"62","1","0","0","0","70007","436"
"63","2","0","0","0","70007","437"
"64","3","0","0","0","70007","438"
"65","3","0","2023/01/07 04:59:59","2023/01/06 05:00:00","80007","9005001"
"66","3","0","2023/01/08 04:59:59","2023/01/07 05:00:00","80007","9005002"
"67","3","0","2023/01/09 04:59:59","2023/01/08 05:00:00","80007","9005003"
"68","3","0","2023/01/10 04:59:59","2023/01/09 05:00:00","80007","9005004"
"69","3","0","2023/01/11 04:59:59","2023/01/10 05:00:00","80007","9005005"
"70","3","0","2023/01/12 04:59:59","2023/01/11 05:00:00","80007","9005006"
"71","3","0","2023/01/13 04:59:59","2023/01/12 05:00:00","80007","9005007"
"72","3","0","2023/01/14 04:59:59","2023/01/13 05:00:00","80007","9005008"
"73","3","0","2023/01/15 04:59:59","2023/01/14 05:00:00","80007","9005009"
"74","3","0","2023/01/16 04:59:59","2023/01/15 05:00:00","80007","9005010"
"75","3","0","2023/01/17 04:59:59","2023/01/16 05:00:00","80007","9005011"
"76","3","0","2023/01/18 04:59:59","2023/01/17 05:00:00","80007","9005012"
"77","3","0","2023/01/19 04:59:59","2023/01/18 05:00:00","80007","9005013"
"78","3","0","2023/01/20 04:59:59","2023/01/19 05:00:00","80007","9005014"
"79","3","1","2023/01/21 04:59:59","2023/01/20 05:00:00","80007","9005015"
"80","0","0","2023/04/25 04:59:59","2023/04/24 05:00:00","70008","400"
"81","0","0","2023/04/26 04:59:59","2023/04/25 05:00:00","70008","401"
"82","1","0","0","0","70009","439"
"83","3","0","2023/07/18 04:59:59","2023/07/17 05:00:00","80008","9006001"
"84","3","0","2023/07/19 04:59:59","2023/07/18 05:00:00","80008","9006002"
"85","3","0","2023/07/20 04:59:59","2023/07/19 05:00:00","80008","9006003"
"86","3","0","2023/07/21 04:59:59","2023/07/20 05:00:00","80008","9006004"
"87","3","0","2023/07/22 04:59:59","2023/07/21 05:00:00","80008","9006005"
"88","3","0","2023/07/23 04:59:59","2023/07/22 05:00:00","80008","9006006"
"89","3","0","2023/07/24 04:59:59","2023/07/23 05:00:00","80008","9006007"
"90","3","0","2023/07/25 04:59:59","2023/07/24 05:00:00","80008","9006008"
"91","3","0","2023/07/26 04:59:59","2023/07/25 05:00:00","80008","9006009"
"92","3","0","2023/07/27 04:59:59","2023/07/26 05:00:00","80008","9006010"
"93","3","0","2023/07/28 04:59:59","2023/07/27 05:00:00","80008","9006011"
"94","3","0","2023/07/29 04:59:59","2023/07/28 05:00:00","80008","9006012"
"95","3","0","2023/07/30 04:59:59","2023/07/29 05:00:00","80008","9006013"
"96","3","0","2023/07/31 04:59:59","2023/07/30 05:00:00","80008","9006014"
"97","3","0","2023/08/01 04:59:59","2023/07/31 05:00:00","80008","9006015"
"98","3","1","2023/08/02 04:59:59","2023/08/01 05:00:00","80008","9006016"
"99","3","0","2024/01/25 04:59:59","2024/01/24 05:00:00","80009","9007001"
"100","3","0","2024/01/26 04:59:59","2024/01/25 05:00:00","80009","9007002"
"101","3","0","2024/01/27 04:59:59","2024/01/26 05:00:00","80009","9007003"
"102","3","0","2024/01/28 04:59:59","2024/01/27 05:00:00","80009","9007004"
"103","3","0","2024/01/29 04:59:59","2024/01/28 05:00:00","80009","9007005"
"104","3","0","2024/01/30 04:59:59","2024/01/29 05:00:00","80009","9007006"
"105","3","0","2024/01/31 04:59:59","2024/01/30 05:00:00","80009","9007007"
"106","3","0","2024/02/01 04:59:59","2024/01/31 05:00:00","80009","9007008"
"107","3","0","2024/02/02 04:59:59","2024/02/01 05:00:00","80009","9007009"
"108","3","0","2024/02/03 04:59:59","2024/02/02 05:00:00","80009","9007010"
"109","3","0","2024/02/04 04:59:59","2024/02/03 05:00:00","80009","9007011"
"110","3","0","2024/02/05 04:59:59","2024/02/04 05:00:00","80009","9007012"
"111","3","0","2024/02/06 04:59:59","2024/02/05 05:00:00","80009","9007013"
"112","3","0","2024/02/07 04:59:59","2024/02/06 05:00:00","80009","9007014"
"113","3","1","2024/02/08 04:59:59","2024/02/07 05:00:00","80009","9007015"
"114","0","0","2024/04/06 04:59:59","2024/04/04 05:00:00","70010","400"
"115","0","0","2024/04/08 04:59:59","2024/04/06 05:00:00","70012","401"
"116","1","0","0","0","70011","440"
"117","3","0","2024/07/18 04:59:59","2024/07/17 05:00:00","80010","9008001"
"118","3","0","2024/07/19 04:59:59","2024/07/18 05:00:00","80010","9008002"
"119","3","0","2024/07/20 04:59:59","2024/07/19 05:00:00","80010","9008003"
"120","3","0","2024/07/21 04:59:59","2024/07/20 05:00:00","80010","9008004"
"121","3","0","2024/07/22 04:59:59","2024/07/21 05:00:00","80010","9008005"
"122","3","0","2024/07/23 04:59:59","2024/07/22 05:00:00","80010","9008006"
"123","3","0","2024/07/24 04:59:59","2024/07/23 05:00:00","80010","9008007"
"124","3","0","2024/07/25 04:59:59","2024/07/24 05:00:00","80010","9008008"
"125","3","0","2024/07/26 04:59:59","2024/07/25 05:00:00","80010","9008009"
"126","3","0","2024/07/27 04:59:59","2024/07/26 05:00:00","80010","9008010"
"127","3","0","2024/07/28 04:59:59","2024/07/27 05:00:00","80010","9008011"
"128","3","1","2024/07/29 04:59:59","2024/07/28 05:00:00","80010","9008012"
"129","3","1","2024/07/30 04:59:59","2024/07/29 05:00:00","80010","9008013"
"130","3","1","2024/07/31 04:59:59","2024/07/30 05:00:00","80010","9008014"
"131","3","1","2024/08/01 04:59:59","2024/07/31 05:00:00","80010","9008015"
"132","3","1","2024/08/02 04:59:59","2024/08/01 05:00:00","80010","9008016"
"133","3","0","2025/01/19 04:59:59","2025/01/18 05:00:00","80011","9009001"
"134","3","0","2025/01/20 04:59:59","2025/01/19 05:00:00","80011","9009002"
"135","3","0","2025/01/21 04:59:59","2025/01/20 05:00:00","80011","9009003"
"136","3","0","2025/01/22 04:59:59","2025/01/21 05:00:00","80011","9009004"
"137","3","0","2025/01/23 04:59:59","2025/01/22 05:00:00","80011","9009005"
"138","3","0","2025/01/24 04:59:59","2025/01/23 05:00:00","80011","9009006"
"139","3","0","2025/01/25 04:59:59","2025/01/24 05:00:00","80011","9009007"
"140","3","0","2025/01/26 04:59:59","2025/01/25 05:00:00","80011","9009008"
"141","3","0","2025/01/27 04:59:59","2025/01/26 05:00:00","80011","9009009"
"142","3","0","2025/01/28 04:59:59","2025/01/27 05:00:00","80011","9009010"
"143","3","0","2025/01/29 04:59:59","2025/01/28 05:00:00","80011","9009011"
"144","3","0","2025/01/30 04:59:59","2025/01/29 05:00:00","80011","9009012"
"145","3","0","2025/01/31 04:59:59","2025/01/30 05:00:00","80011","9009013"
"146","3","0","2025/02/01 04:59:59","2025/01/31 05:00:00","80011","9009014"
"147","3","1","2025/02/02 04:59:59","2025/02/01 05:00:00","80011","9009015"
"148","0","0","2025/04/04 04:59:59","2025/04/03 05:00:00","70014","400"
"149","0","0","2025/04/05 04:59:59","2025/04/04 05:00:00","70015","401"
"150","1","0","0","0","70013","441"
"151","3","0","2025/07/25 04:59:59","2025/07/24 05:00:00","80012","9010001"
"152","3","0","2025/07/26 04:59:59","2025/07/25 05:00:00","80012","9010002"
"153","3","0","2025/07/27 04:59:59","2025/07/26 05:00:00","80012","9010003"
"154","3","0","2025/07/28 04:59:59","2025/07/27 05:00:00","80012","9010004"
"155","3","0","2025/07/29 04:59:59","2025/07/28 05:00:00","80012","9010005"
"156","3","0","2025/07/30 04:59:59","2025/07/29 05:00:00","80012","9010006"
"157","3","0","2025/07/31 04:59:59","2025/07/30 05:00:00","80012","9010007"
"158","3","0","2025/08/01 04:59:59","2025/07/31 05:00:00","80012","9010008"
"159","0","0","2025/08/24 04:59:59","2025/08/01 16:00:00","70016","442"
"160","3","0","2026/01/31 04:59:59","2026/01/30 05:00:00","80014","9012001"
"161","3","0","2026/02/01 04:59:59","2026/01/31 05:00:00","80014","9012002"
"162","3","0","2026/02/02 04:59:59","2026/02/01 05:00:00","80014","9012003"
"163","0","0","2026/04/04 04:59:59","2026/04/03 05:00:00","70017","400"
"164","0","0","2026/04/05 04:59:59","2026/04/04 05:00:00","70018","401"
"165","1","0","0","0","70019","443"
