c47e24e874e668c8312ff4486b583ab6b337f3c978bc2cd6d603e04669ff2090,25677b0702a6b916b3fb966a35a9a518c2ea157426d897537aa68085d2e90416,e0a3993fcbe6e809e7fd61a2c3cc3fb26d5b9ee25b2c82c2220286d2df273788,19f8405fac7324ece8169d6a0317430b6dbb58980648462f1db08ef2a2d11364,b17c57d03524349eb6da5e49406460f8bd05dbbb7b8e9da3c775fb21cfd88901,5d3b610222839d26a5199d3289cb08fb3a47814647b976f2c5efa743caae5ee6,dbafe27afe3f47dc24fad96a8711839bc21e6d476892a9fac90f5026b7fc3db2,b17b3e25afa4dee06038b127bb2a9c34be493da30e78b3afe766a9e576dc3048,60dd340d6085ad5e4dec5fe3b890665b52414921aec9997f6c665f4c40661d14,35dc64e760f51d3e6e2091a0eeb33f165e8b438ae33c69a32d1db6fd09886bf0,9d7e852906793b4d2c764744a529f10c604cd871a605d6ef14c8bda6905d73ba
"O","S","","","T","","M","","2302","",""
"","","","","","","A","","2305","",""
"","I","","","L","A","P","","2309","",""
"","","","","","","二","","3003","",""
"","","","","","","一三","","3005","",""
"","","","參","","","一二","","3006","",""
"","","","","","三十","","","3008","",""
"","","衣","","","","得","","3012","",""
"","","","","","冬","夜","","3093","",""
"","","","","","亞","","","3106","",""
"i","","","","","","h","","3180","",""
"多","婆","","妻","","","公","","3187","夫",""
"","","","","","b","","","3195","",""
"","","","","","座","再","","3274","",""
"","","","","","二三","","","3302","",""
"鋰鉀銣","鋰鈉銣","","","鋰鈉鉀","氧氰","鈉鉀","","4003","",""
"鋇鐳","鍶鐳","","","鍶鋇","鍶鋇","鍶鐳","","4004","",""
"","","","","","","","","4010","","愛衣"
"","","","","","","","","4013","","愛衣"
"氦氖","氖氬氙","","","氦氖氬氪","氧氬氪","氬氪氙","","4034","",""
"","","","","","裴","","","4035","","加"
"","","","","","熱寒","","","4040","",""
"","","","","","熱溫","","","4041","",""
"N","E","","","","","","","4042","",""
"","","","","","","O","","4062","",""
"","乙","","","","乙四","銷","","4069","",""
"","","","","","網","版","","4072","",""
"","大","","","西","大","西","","4110","",""
"二","","","","","","","","4143","",""
"一三","","","","","","","","4144","",""
"一二","","","","","","","","4145","",""
"","","","","","氫","氧","","4153","",""
"","","","","","","","帶","4154","",""
"異","","","","","","","","4157","",""
"","","","昇","","","","","4158","",""
"","","","","二三","","","","4159","",""
"","","","","一三","","","","4161","",""
"同","","","","","","","","4167","",""
"","倍","","","","","小","","4194","",""
"","約","","","","","大","","4195","",""
"","","底","","","","","","4196","","高"
"","","","","","半","","","4197","",""
"","a","","","","","o","","5010","",""
"","","","","","伊","比","","5013","",""
"","鹽","","","","印","","","5027","司","愛"
"","e","","","","","e","","5031","",""
"","e","","","","","a","","5056","",""
"s","e","","","","","","","5070","",""
"","","","","餅","","餅","","5076","",""
"","","","","","上前","","","5079","",""
"","","","","","肩","","","5082","",""
"","","","","","微","","","5098","",""
"AB","BC","","","AC","大喊","","","5102","",""
"","","","","","","布","","5103","",""
"","","醜","","","西","","","5162","",""
"","","","","","固","定","","5164","",""
"","","","","","","左","","5183","",""
"","","","","","","右","","5185","",""
"戌卯辰","戌酉子","虎","牛","卯戌子","卯辰戌","戌酉卯","","5193","",""
"","藍","","底","雀","","","","6008","",""
"u","","e","e","","","u","","6010","",""
"","線","","","","","","","6012","",""
"","","","","","","面","","6013","",""
"m","k","","","","G","o","","6015","",""
"m","","","","","","o","","6022","",""
"","","","","","單二","","","6049","",""
"","","","","火","","","","6073","",""
"巨","","","","","","","","6075","",""
"","a","","","","","","","6076","",""
"","e","","","","","","","6082","",""
"a","","","","","C","","","6084","",""
"u","n","","","w","","","","6097","",""
"出","","","","","","","","6098","","湖"
"","","與或","","莉","","莉","","6135","依","茜"
"","","","","喵","","","","6136","",""
"呼","霖","","","","鈴","嚕","","6139","",""
"","","得","","","","","","6179","",""
