f0df05e3eca7979d79b19368c63d9d66c947ef739c106c3dbf69b7fcd97bca2d,37d96aa3b6b02f8e3486eff1043380f89dd40f00acb7d70d475e76bbc55fa708,0012aedc2d6ec125331969349f7ae60272d58225cb127e594602a47fefec3c87,e1f20ee0a2793ad425e7fc29c7e8195891e50d3b765981720bad12246d8848d3,bf1656918f4f2249f3286c2738dc1e03f735f7d2295b81426af459d22bd4cc3b,237522c881fb41b8664a4c0e5dea4bf4391856b593cb5829d7137c6814c2834e,3ae416bdeed6c4b6a6f70291ddcf53266c6ad8bf0b292883dc45b0527d9ea864,daba1eda0d12160b456b65354c8fff451944b72c88f0060da59905f9750c9a75,077c00bb5e2d43149b5303e353d8ecd435da27cc741e57d73674b6a6417a7044,a3e5031e56a1d4ad9fa9eed4b51ba61ef0ed5e6539c1774f4170bbd1a98e27af,51f6dc4471ea89fdd3cdeeb3288047bc5b39c61a1ff55a6b7713cbf2559b0d73,3d2e9da6a09370ca9f4c4dabde7cab70b0f8a581012eac083fad8b9545b206ff,bb956f8e42b653482278f8d58c062bd2a9bde2099c741ffdf8f2fc5d10e388e5,4ee74521e684babf967a6838f30ffccf37b1e3a5b1dcd7049728a15a5e23680f,826ec1532b0ab61e58de868aa6d6ff7b9c129b611891037cc0bddefcbc537ed8,a2a028dfa1171eefdccab494fc3f65f289360213dd939fd365196a79380cc44f,da89c2619862b624e233c5723970a355196f04461cfd95f12e5336772648c29a,6f3b3abe82e26a5e87c0de3a87c9a704be7a4d15ea4a7c78b75c6e8f54a5e69f,45c990e983ef9a367b1eb74d4d0d90aacd4682740a43f0479759ffc32cd674f5
"0","0","301","1","5","610142009","10142","0","0","0","1","0","","0","3","1.5","-33","0","1.45"
"0","0","304","1","5","610144007","10144","0","3","65","1","0","","0","1","5.5","-33","0","1"
"610144502","600","304","2","5","610144008","10144","0","3","0","1","0","","0","2","1.5","-40","0","0.85"
"0","0","304","1","5","610144009","10144","0","0","0","1","0","","0","3","1.5","-33","0","1"
"610146501","600","307","2","5","610146007","10146","0","3","0","1","0","","0","1","5.5","-45","0","0.87"
"0","0","307","1","5","610146008","10146","0","0","58","1","0","","0","2","1.5","-45","0","1.18"
"0","0","307","1","5","610146009","10146","0","0","0","1","0","","0","3","1.5","-45","0","1.18"
"610148501","600","310","2","5","610148007","10148","0","3","0","1","0","","0","1","5.5","-50","0","1.4"
"0","0","310","1","5","610148008","10148","0","0","68","1","0","","0","2","1.5","-50","0","1.7"
"0","0","310","1","5","610148009","10148","0","0","0","1","0","","0","3","1.5","-50","0","1.7"
"0","0","313","1","5","610150007","10150","0","3","71","1","0","","0","1","5.5","-33","0","1.35"
"0","0","313","1","5","610150008","10150","0","3","50","1","0","","0","2","1.5","-33","0","1.35"
"0","0","313","1","5","610150009","10150","0","0","0","1","0","","0","3","1.5","-33","0","1.35"
"610152501","600","316","2","5","610152007","10152","0","4.8","0","1","0","","0","1","5.5","20","0","0.7"
"0","0","316","1","5","610152008","10152","0","0","81","1","0","","0","2","1.5","30","0","0.96"
"0","0","316","1","5","610152009","10152","0","0","0","1","0","","0","3","1.5","30","0","0.96"
"0","0","319","1","5","610154007","10154","0","3","68","1","0","","0","1","5.5","-33","0","1.25"
"610154502","600","319","2","5","610154008","10154","0","3","0","1","0","","0","2","1.5","-10","0","1"
"0","0","319","1","5","610154009","10154","0","0","0","1","0","","0","3","1.5","-33","0","1.25"
"610156501","600","322","2","5","610156007","10156","0","3","0","1","0","","0","1","5.5","5","0","0.85"
"0","600","322","1","5","610156008","10156","0","3","75","1","0","","0","2","1.5","-10","0","1.11"
"0","0","322","1","5","610156009","10156","0","0","0","1","0","","0","3","1.5","-10","0","1.11"
"610158501","600","325","2","5","610158007","10158","0","3","0","1","0","","0","1","5.5","-40","0","1.5"
"0","0","325","1","5","610158008","10158","0","0","65","1","0","","0","2","1.5","-33","0","1.75"
"0","0","325","1","5","610158009","10158","0","0","0","1","0","","0","3","1.5","-33","0","1.75"
"610160501","600","328","3","5","610160007","10160","0","4.8","0","1","0","","20","1","5.5","-35","0","1.4"
"0","0","328","1","5","610160008","10160","0","0","70","1","0","","0","2","1.5","-35","0","1.4"
"0","0","328","1","5","610160009","10160","0","0","0","1","0","","0","3","1.5","-35","0","1.4"
