f40467f8b2ef9a52ba27d76458ea7e52f8585b73a63d7425222b41f61ef5553b,fe987dd36636e27ba57fd9522e500d1d294640b4f6dbf034ba96d32bc190247a,30f5f9186b127ed4f4a62acd260c451a470a75ace45e3fd6d9e95810b8356c12,80ac1ab6a40f0c24ce8a237e248dbb022641b8e6c2c21c4f49ef1cab051de7c1,61475ba110b581e9373c6c8e49caf498094755ac06c5d906155061824fc19d43,76c4d7d4375c01e679a7fc495142e1e40227621d5ae7001c7b6621e2c1a35d58
"83","10101","3","5074001","2","501383"
"84","10102","3","5102002","2","501873"
"85","10103101","1","10103112","1","0"
"86","10103","3","5076005","2","505036"
"88","10108","3","5108002","2","501911"
"89","10104","3","5104003","2","500133"
"90","10105","3","5078004","2","501451"
"93","10110","3","5110005","2","501931"
"94","10111","3","5111005","2","500013"
"95","10107","3","5080005","2","501463"
"96","10109101","1","10109105","1","0"
"97","10109102","1","10109108","1","0"
"98","10109103","1","10109111","1","0"
"99","10109","3","5082002","2","501160"
"100","10109","3","5082004","2","501031"
"101","10109","3","5082005","2","501483"
"103","10112","3","5084001","2","500368"
"104","10112","3","5084002","2","510306"
"105","10112","3","5084003","2","500039"
"106","10113","3","5085002","2","500368"
"107","10113","3","5085003","2","510203"
"108","10113","3","5085004","2","500272"
"109","10113","3","5085005","2","501501"
"110","10110101","2","1011001","1","0"
"111","20037101","1","20037112","1","0"
"112","20037","3","5066005","2","501291"
"113","10115","3","5088005","2","501810"
"114","10114","3","5114000","2","500016"
"115","10114","3","5114003","2","501952"
"116","20038","3","5068001","2","501341"
"117","10117","3","5090002","2","501541"
"121","20039","3","5070004","2","501353"
"122","20039","3","5070005","2","500016"
"123","10116","3","5116004","2","500837"
"124","10119","3","5092001","2","501031"
"125","10119","3","5092004","2","501551"
"126","10118","3","5118002","2","500133"
"127","10118","3","5118003","2","500810"
"128","10118","3","5118007","2","500133"
"129","20040","3","5072004","2","501364"
"130","20040","3","5072006","2","501365"
"132","10124","3","5124003","2","501614"
"133","20041","3","5074001","2","501383"
"135","10121","3","5094001","2","501593"
"136","10122","3","5122000","2","502003"
"137","10122","3","5122002","2","502015"
"138","10123","3","5096002","2","501613"
"139","20042","3","5076005","2","505036"
"140","20043","3","5078004","2","501451"
"141","10125","3","5098000","2","501031"
"143","10127","3","5100003","2","500837"
"144","20044","3","5080005","2","501463"
"145","10128","3","5128001","2","502063"
"146","10129","3","5102002","2","501873"
"147","20045101","1","20045105","1","0"
"148","20045102","1","20045108","1","0"
"149","20045103","1","20045111","1","0"
"150","20045","3","5082002","2","501160"
"151","20045","3","5082004","2","501031"
"152","20045","3","5082005","2","501483"
"153","20046","3","5084001","2","500368"
"154","20046","3","5084002","2","510306"
"155","20046","3","5084003","2","500039"
"156","20047","3","5085002","2","500368"
"157","20047","3","5085003","2","510203"
"158","20047","3","5085004","2","500272"
"159","20047","3","5085005","2","501501"
"160","10130","3","5130001","2","500016"
"161","10130","3","5130007","2","500133"
"162","10131","3","5104003","2","500133"
"163","10136","3","5136002","2","500143"
"164","10136","3","5136004","2","500175"
"165","10137","3","5137002","2","501622"
"166","10137","3","5137005","2","500133"
"167","20048","3","5088005","2","501810"
"168","10134","3","5134007","2","500553"
"169","10135","3","5108002","2","501911"
"170","10138","3","5110005","2","501931"
"171","10139","3","5111005","2","500013"
"172","20049","3","5090002","2","501541"
"173","10138101","2","1013801","1","0"
"174","10141","3","5114000","2","500016"
"175","10141","3","5114003","2","501952"
"180","10140","3","5140002","2","502224"
"181","20050","3","5092001","2","501031"
"182","20050","3","5092004","2","501551"
"183","10142","3","5142001","2","501683"
"184","10143","3","5116004","2","500837"
"185","10145","3","5118002","2","500133"
"186","10145","3","5118003","2","500810"
"187","10145","3","5118007","2","500133"
"188","20051","3","5094001","2","501593"
