55de7eb9064bce90003b0e854714675ff03e6f8e508060b259abb91aa1622ea5,4efe1ffba8c9d119467e6f56e7fe83222999a0e873b259d8603609bbc45d5c58,309877e2727fe263a33066ef26ca4078f24f50b7daea6d6ed9bf475dc594afca,55560699ccb9e710aa55f1582d8b725a91daee14a21c820e8b6133b807f836f7,76ca9e1d003608adc288cdd2539d0a829f7095ee08491dfa6a60dd6698ed3706,a3aa34de3a0ba978fd7ac8cde7601b258c18b1e28ab6c3229ec8a1b2f53b866b,fd6a0b0ba7d264f5db50739653531ace7771ae1aeef8ffbf4cd5b24f4ce82013,bbd6743bc2c7f374a4132e416d868bc6bad134da58db2b934c02c9be3641aee9,09ba29f17621ef69b80f3dc09aaf659290e8af9c087b5b21d3d58f143f60a693,515491dbd1bf3128946e297d85d93b3a6f11e3d7c0598105ee6e11575cce2335,4bd8fd6d3cfbafe502ba2fd22d54b9fde594cf0be5c208de891127fea09efea5,df2c8e77dca5466036ffa19ff1ee1f5a3cebbd31fca7a0ee2d231f3369e6300f
"46","720","0","9","0","0","0","400","1.32987012987013","1150046","15","1"
"1","0","0","0","vo_10011600","vo_10011600_1601","0","0","0","1160001","16","2"
"2","150","0","1","0","0","0","0","0.623376623376623","1160002","16","1"
"3","0","1","1","0","0","2.12337662337662","0","0","1160003","16","4"
"4","0","0","0","vo_10011600","vo_10011600_1602","0","0","0","1160004","16","2"
"5","716","0","2","0","0","0","0","3.63636363636364","1160005","16","1"
"6","0","1","2","0","0","5.13636363636364","0","0","1160006","16","4"
"7","0","0","0","vo_10011600","vo_10011600_1603","0","0","0","1160007","16","2"
"8","396","0","3","0","0","0","0","1.18441558441558","1160008","16","1"
"9","0","1","3","0","0","2.18441558441558","0","0","1160009","16","4"
"10","0","0","0","vo_10011600","vo_10011600_1604","0","0","0","1160010","16","2"
"11","460","0","3","0","0","0","396","0.353246753246753","1160011","16","1"
"12","0","1","3","0","0","0.553246753246753","0","0","1160012","16","4"
"13","0","0","0","vo_10011600","vo_10011600_1605","0","0","0","1160013","16","2"
"14","704","0","3","0","0","0","460","1.1012987012987","1160014","16","1"
"15","0","1","3","0","0","1.1012987012987","0","0","1160015","16","4"
"16","458","0","4","0","0","0","0","1.95324675324675","1160016","16","1"
"17","0","1","4","0","0","2.45324675324675","0","0","1160017","16","4"
"18","0","0","0","vo_10011600","vo_10011600_1606","0","0","0","1160018","16","2"
"19","758","0","4","0","0","0","458","0.78961038961039","1160019","16","1"
"20","0","1","4","0","0","1.78961038961039","0","0","1160020","16","4"
"21","0","0","0","vo_10011600","vo_10011600_1607","0","0","0","1160021","16","2"
"22","492","0","5","0","0","0","0","1.99480519480519","1160022","16","1"
"23","0","1","5","0","0","2.99480519480519","0","0","1160023","16","4"
"24","0","0","0","vo_10011600","vo_10011600_1608","0","0","0","1160024","16","2"
"25","712","0","5","0","0","0","492","0.748051948051948","1160025","16","1"
"26","0","1","5","0","0","1.99805194805195","0","0","1160026","16","4"
"27","0","0","0","vo_10011600","vo_10011600_1609","0","0","0","1160027","16","2"
"28","260","0","6","0","0","0","0","1.53766233766234","1160028","16","1"
"29","0","1","6","0","0","2.13766233766234","0","0","1160029","16","4"
"30","0","0","0","vo_10011600","vo_10011600_1610","0","0","0","1160030","16","2"
"31","728","0","6","0","0","0","260","1.41298701298701","1160031","16","1"
"32","0","1","6","0","0","1.41298701298701","0","0","1160032","16","4"
"33","165","0","7","0","0","0","0","0.78961038961039","1160033","16","1"
"34","0","1","7","0","0","2.33961038961039","0","0","1160034","16","4"
"35","0","0","0","vo_10011600","vo_10011600_1611","0","0","0","1160035","16","2"
"36","341","0","7","0","0","0","165","0.706493506493507","1160036","16","1"
"37","0","1","7","0","0","1.00649350649351","0","0","1160037","16","4"
"38","0","0","0","vo_10011600","vo_10011600_1612","0","0","0","1160038","16","2"
"39","710","0","7","0","0","0","341","1.45454545454545","1160039","16","1"
"40","0","1","7","0","0","2.95454545454545","0","0","1160040","16","4"
"41","0","0","0","vo_10011600","vo_10011600_1613","0","0","0","1160041","16","2"
"42","770","0","7","0","0","0","710","0.249350649350649","1160042","16","1"
"43","0","1","7","0","0","0.749350649350649","0","0","1160043","16","4"
"44","0","0","0","vo_10011600","vo_10011600_1614","0","0","0","1160044","16","2"
"45","522","0","8","0","0","0","0","2.31896103896104","1160045","16","1"
"46","0","1","8","0","0","3.71896103896104","0","0","1160046","16","4"
"47","0","0","0","vo_10011600","vo_10011600_1615","0","0","0","1160047","16","2"
"48","730","0","8","0","0","0","522","0.714805194805195","1160048","16","1"
"49","0","1","8","0","0","2.71480519480519","0","0","1160049","16","4"
"50","560","0","9","0","0","0","0","0.01","1160050","16","1"
"51","0","1","9","0","0","0","0","0","1160051","16","4"
"52","0","0","0","vo_10011600","vo_10011600_1616","0","0","0","1160052","16","2"
"53","710","0","9","0","0","0","560","0.623376623376623","1160053","16","1"
"1","0","0","0","vo_10011600","vo_10011600_1701","0","0","0","1170001","17","2"
"2","160","0","1","0","0","0","0","0.664935064935065","1170002","17","1"
"3","0","1","1","0","0","2.16493506493507","0","0","1170003","17","4"
"4","0","0","0","vo_10011600","vo_10011600_1702","0","0","0","1170004","17","2"
"5","125","0","2","0","0","0","0","0.730519480519481","1170005","17","1"
"6","0","1","2","0","0","1.53051948051948","0","0","1170006","17","4"
"7","0","0","0","vo_10011600","vo_10011600_1703","0","0","0","1170007","17","2"
"8","770","0","2","0","0","0","125","3.35064935064935","1170008","17","1"
"9","0","1","2","0","0","4.85064935064935","0","0","1170009","17","4"
"10","0","0","0","vo_10011600","vo_10011600_1704","0","0","0","1170010","17","2"
"11","205","0","3","0","0","0","0","0.851948051948052","1170011","17","1"
"12","0","1","3","0","0","2.10194805194805","0","0","1170012","17","4"
"13","0","0","0","vo_10011600","vo_10011600_1705","0","0","0","1170013","17","2"
"14","730","0","3","0","0","0","205","2.72727272727273","1170014","17","1"
"15","0","1","3","0","0","4.47727272727273","0","0","1170015","17","4"
"16","0","0","0","vo_10011600","vo_10011600_1706","0","0","0","1170016","17","2"
"17","432","0","4","0","0","0","0","1.66233766233766","1170017","17","1"
"18","0","1","4","0","0","2.86233766233766","0","0","1170018","17","4"
"19","0","0","0","vo_10011600","vo_10011600_1707","0","0","0","1170019","17","2"
"20","710","0","4","0","0","0","432","1.28831168831169","1170020","17","1"
"21","0","1","4","0","0","3.03831168831169","0","0","1170021","17","4"
"22","0","0","0","vo_10011600","vo_10011600_1708","0","0","0","1170022","17","2"
"23","718","0","5","0","0","0","0","2.36883116883117","1170023","17","1"
"24","0","1","5","0","0","3.76883116883117","0","0","1170024","17","4"
"25","0","0","0","vo_10011600","vo_10011600_1709","0","0","0","1170025","17","2"
"26","333","0","6","0","0","0","0","1.4961038961039","1170026","17","1"
"27","0","1","6","0","0","2.2461038961039","0","0","1170027","17","4"
"28","0","0","0","vo_10011600","vo_10011600_1710","0","0","0","1170028","17","2"
"29","595","0","6","0","0","0","333","0.976623376623377","1170029","17","1"
"30","0","1","6","0","0","1.97662337662338","0","0","1170030","17","4"
"31","0","0","0","vo_10011600","vo_10011600_1711","0","0","0","1170031","17","2"
"32","316","0","7","0","0","0","0","1.3838961038961","1170032","17","1"
"33","0","1","7","0","0","2.7838961038961","0","0","1170033","17","4"
"34","0","0","0","vo_10011600","vo_10011600_1712","0","0","0","1170034","17","2"
"35","527","0","7","0","0","0","316","0.818701298701299","1170035","17","1"
"36","0","1","7","0","0","1.8187012987013","0","0","1170036","17","4"
"37","0","0","0","vo_10011600","vo_10011600_1713","0","0","0","1170037","17","2"
"38","740","0","7","0","0","0","527","0.872727272727273","1170038","17","1"
"39","0","1","7","0","0","2.67272727272727","0","0","1170039","17","4"
"40","0","0","0","vo_10011600","vo_10011600_1714","0","0","0","1170040","17","2"
"41","180","0","8","0","0","0","0","0.581818181818182","1170041","17","1"
"42","0","1","8","0","0","1.38181818181818","0","0","1170042","17","4"
"43","0","0","0","vo_10011600","vo_10011600_1715","0","0","0","1170043","17","2"
"44","723","0","8","0","0","0","180","1.35064935064935","1170044","17","1"
"45","0","1","8","0","0","2.60064935064935","0","0","1170045","17","4"
"46","0","0","0","vo_10011600","vo_10011600_1716","0","0","0","1170046","17","2"
"47","723","0","8","0","0","0","723","0.976623376623377","1170047","17","1"
"48","0","1","8","0","0","2.97662337662338","0","0","1170048","17","4"
"49","470","0","9","0","0","0","0","0.01","1170049","17","1"
"50","0","1","9","0","0","0","0","0","1170050","17","4"
"51","0","0","0","vo_10011600","vo_10011600_1717","0","0","0","1170051","17","2"
"52","700","0","9","0","0","0","470","1.19480519480519","1170052","17","1"
