37d1c781aad28ac76ecd7572c0078dbc5b9602b9179091d966a7a4cec76e4754,426ffede45e50178b0eacec88724746aac3398cb25f1a005036bc0e3310383c3,70eeca24347f18ae11dce0ddd45118d07da898fcf6b218e4bbafac8f3d9b4f14,09cf18b5ad297934e98735770de405af2b55f69057cfa9536792b11bd5e6de86,466483bc25731ddf1e26787dbf7ac92e393a48054c3075691fbdb0c666a29ee2,7de2abe44820dc81c91bcb0cf551a5cb383da10caec1af81cfa02fead3aa5ccf,7c215eca80a57fa55e9df2527955787acfa4fcfbe23ff668f67c6564336bd604,eb0e6a06a366badd2fb6e652ab8b5950db151b4fedbd30eaa73d7ee217032acc,f8ba0a51e6a9d29cb8d0b30a709df451050327d1f156db28dc657de1d984b9ea,5f160f637a58459d249cc35f6cb44dd3d4ae9bdbc79987f78cba343ee5b3ca34,1c84f058c8fa3fc0e533e313fe03b20132bf54f4ad6517b03946db6185d2cb90
"0.68","-15","1","1001004","102110013","211","31","-310","","10012","0"
"0.68","-90","1","1001005","102110014","211","31","-380","","10012","0"
"-240","-500","0.68","1002001","102110015","211","1","52","<weapon>_idle","2","0"
"-165","-570","0.68","1002002","102110016","211","1","51","<weapon>_idle","2","0"
"-255","-640","0.68","1002003","102110017","211","1","53","<weapon>_idle","2","0"
"-165","-710","0.68","1002004","102110018","211","1","51","<weapon>_idle","2","0"
"-240","-780","0.68","1002005","102110019","211","1","52","<weapon>_idle","2","0"
"0.68","-240","1","1002001","102110020","211","31","-500","","10012","0"
"0.68","-165","1","1002002","102110021","211","31","-570","","10012","0"
"0.68","-255","1","1002003","102110022","211","31","-640","","10012","0"
"0.68","-165","1","1002004","102110023","211","31","-710","","10012","0"
"0.68","-240","1","1002005","102110024","211","31","-780","","10012","0"
"1","0","0","10030","102110025","211","31","0","","10030",""
"1","0","0","10031","102110026","211","31","0","","10031",""
"","","","0","102110027","211","91","","","",""
"","","","1","102110028","211","32","","","10030",""
"","","","0","102110029","211","91","","","0",""
"0","","0","<weapon>_run","102110030","211","3","1","","1001001",""
"0","","0","<weapon>_run","102110031","211","3","1","","1001002",""
"0","","0","<weapon>_run","102110032","211","3","1","","1001003",""
"0","","0","<weapon>_run","102110033","211","3","1","","1001004",""
"0","","0","<weapon>_run","102110034","211","3","1","","1001005",""
"0","3","","850","102110035","211","2","-90","","1001001",""
"0","3","","780","102110036","211","2","-15","","1001002",""
"0","3","","710","102110037","211","2","-105","","1001003",""
"0","3","","640","102110038","211","2","-15","","1001004",""
"0","3","","570","102110039","211","2","-90","","1001005",""
"0","3","","850","102110040","211","33","-90","","1001001",""
"0","3","","780","102110041","211","33","-15","","1001002",""
"0","3","","710","102110042","211","33","-105","","1001003",""
"0","3","","640","102110043","211","33","-15","","1001004",""
"0","3","","570","102110044","211","33","-90","","1001005",""
"0","","0","<weapon>_run","102110045","211","3","1","","1002001",""
"0","","0","<weapon>_run","102110046","211","3","1","","1002002",""
"0","","0","<weapon>_run","102110047","211","3","1","","1002003",""
"0","","0","<weapon>_run","102110048","211","3","1","","1002004",""
"0","","0","<weapon>_run","102110049","211","3","1","","1002005",""
"0","3","","450","102110050","211","2","-240","","1002001",""
"0","3","","380","102110051","211","2","-165","","1002002",""
"0","3","","310","102110052","211","2","-255","","1002003",""
"0","3","","240","102110053","211","2","-165","","1002004",""
"0","3","","170","102110054","211","2","-240","","1002005",""
"0","3","","450","102110055","211","33","-240","","1002001",""
"0","3","","380","102110056","211","33","-165","","1002002",""
"0","3","","310","102110057","211","33","-255","","1002003",""
"0","3","","240","102110058","211","33","-165","","1002004",""
"0","3","","170","102110059","211","33","-240","","1002005",""
"","","","1","102110060","211","32","","","10020",""
"","","","0","102110061","211","93","","","2.5",""
"","","","1","102110062","211","32","","","10031",""
"","","","0","102110063","211","93","","","0.4",""
"","","","0","102110064","211","91","","","0",""
"","","","se_travel_start_3pt","103110001","311","23","0","","se_travel",""
"1","0","1","10010","103110002","311","31","0","","10010",""
"1","0","1","10011","103110003","311","31","0","","10011",""
"1","0","0","10020","103110004","311","31","0","","10020",""
"-240","0","0.68","1001001","103110005","311","1","62","<weapon>_idle","2","0"
"-165","-70","0.68","1001002","103110006","311","1","61","<weapon>_idle","2","0"
"-255","-140","0.68","1001003","103110007","311","1","63","<weapon>_idle","2","0"
"-165","-210","0.68","1001004","103110008","311","1","61","<weapon>_idle","2","0"
"-240","-280","0.68","1001005","103110009","311","1","62","<weapon>_idle","2","0"
"0.68","-240","1","1001001","103110010","311","31","0","","10012","0"
"0.68","-165","1","1001002","103110011","311","31","-70","","10012","0"
"0.68","-255","1","1001003","103110012","311","31","-140","","10012","0"
"0.68","-165","1","1001004","103110013","311","31","-210","","10012","0"
"0.68","-240","1","1001005","103110014","311","31","-280","","10012","0"
"-60","-250","0.68","1002001","103110015","311","1","52","<weapon>_idle","2","0"
"15","-320","0.68","1002002","103110016","311","1","51","<weapon>_idle","2","0"
"-75","-390","0.68","1002003","103110017","311","1","53","<weapon>_idle","2","0"
"15","-460","0.68","1002004","103110018","311","1","51","<weapon>_idle","2","0"
"-60","-530","0.68","1002005","103110019","311","1","52","<weapon>_idle","2","0"
"0.68","-60","1","1002001","103110020","311","31","-250","","10012","0"
"0.68","15","1","1002002","103110021","311","31","-320","","10012","0"
"0.68","-75","1","1002003","103110022","311","31","-390","","10012","0"
"0.68","15","1","1002004","103110023","311","31","-460","","10012","0"
"0.68","-60","1","1002005","103110024","311","31","-530","","10012","0"
"-250","-500","0.68","1003001","103110025","311","1","62","<weapon>_idle","2","0"
"-175","-570","0.68","1003002","103110026","311","1","61","<weapon>_idle","2","0"
"-265","-640","0.68","1003003","103110027","311","1","63","<weapon>_idle","2","0"
"-175","-710","0.68","1003004","103110028","311","1","61","<weapon>_idle","2","0"
"-250","-780","0.68","1003005","103110029","311","1","62","<weapon>_idle","2","0"
"0.68","-250","1","1003001","103110030","311","31","-500","","10012","0"
"0.68","-175","1","1003002","103110031","311","31","-570","","10012","0"
"0.68","-265","1","1003003","103110032","311","31","-640","","10012","0"
"0.68","-175","1","1003004","103110033","311","31","-710","","10012","0"
"0.68","-250","1","1003005","103110034","311","31","-780","","10012","0"
"1","0","0","10030","103110035","311","31","0","","10030",""
"1","0","0","10031","103110036","311","31","0","","10031",""
"","","","0","103110037","311","91","","","",""
"","","","1","103110038","311","32","","","10030",""
"","","","0","103110039","311","91","","","0",""
"0","","0","<weapon>_run","103110040","311","3","1","","1001001",""
"0","","0","<weapon>_run","103110041","311","3","1","","1001002",""
"0","","0","<weapon>_run","103110042","311","3","1","","1001003",""
"0","","0","<weapon>_run","103110043","311","3","1","","1001004",""
"0","","0","<weapon>_run","103110044","311","3","1","","1001005",""
"0","3","","950","103110045","311","2","-240","","1001001",""
"0","3","","880","103110046","311","2","-165","","1001002",""
"0","3","","810","103110047","311","2","-255","","1001003",""
"0","3","","740","103110048","311","2","-165","","1001004",""
"0","3","","670","103110049","311","2","-240","","1001005",""
"0","3","","950","103110050","311","33","-240","","1001001",""
"0","3","","880","103110051","311","33","-165","","1001002",""
"0","3","","810","103110052","311","33","-255","","1001003",""
"0","3","","740","103110053","311","33","-165","","1001004",""
"0","3","","670","103110054","311","33","-240","","1001005",""
"0","","0","<weapon>_run","103110055","311","3","1","","1002001",""
"0","","0","<weapon>_run","103110056","311","3","1","","1002002",""
"0","","0","<weapon>_run","103110057","311","3","1","","1002003",""
"0","","0","<weapon>_run","103110058","311","3","1","","1002004",""
"0","","0","<weapon>_run","103110059","311","3","1","","1002005",""
"0","3","","700","103110060","311","2","-60","","1002001",""
"0","3","","630","103110061","311","2","15","","1002002",""
"0","3","","560","103110062","311","2","-75","","1002003",""
"0","3","","490","103110063","311","2","15","","1002004",""
"0","3","","420","103110064","311","2","-60","","1002005",""
"0","3","","700","103110065","311","33","-60","","1002001",""
"0","3","","630","103110066","311","33","15","","1002002",""
"0","3","","560","103110067","311","33","-75","","1002003",""
"0","3","","490","103110068","311","33","15","","1002004",""
"0","3","","420","103110069","311","33","-60","","1002005",""
"0","","0","<weapon>_run","103110070","311","3","1","","1003001",""
"0","","0","<weapon>_run","103110071","311","3","1","","1003002",""
"0","","0","<weapon>_run","103110072","311","3","1","","1003003",""
"0","","0","<weapon>_run","103110073","311","3","1","","1003004",""
"0","","0","<weapon>_run","103110074","311","3","1","","1003005",""
"0","3","","450","103110075","311","2","-250","","1003001",""
"0","3","","380","103110076","311","2","-175","","1003002",""
"0","3","","310","103110077","311","2","-265","","1003003",""
"0","3","","240","103110078","311","2","-175","","1003004",""
"0","3","","170","103110079","311","2","-250","","1003005",""
"0","3","","450","103110080","311","33","-250","","1003001",""
"0","3","","380","103110081","311","33","-175","","1003002",""
"0","3","","310","103110082","311","33","-265","","1003003",""
"0","3","","240","103110083","311","33","-175","","1003004",""
"0","3","","170","103110084","311","33","-250","","1003005",""
"","","","1","103110085","311","32","","","10020",""
"","","","0","103110086","311","93","","","2.5",""
"","","","1","103110087","311","32","","","10031",""
"","","","0","103110088","311","93","","","0.4",""
"","","","0","103110089","311","91","","","0",""
