a710e77a806dead75a21578eea48c275781e5c4d8447deecc7b0c33eed23cf20,7bb299adf2b4c320cbe73fc0aea1db83d2d4d5c1a31b8a0fef69ec6d7bcd4c22,4796148cc84eff4ef76df58e8061d0481a249be5135eaa403b3ed3930e9856c1,82d887b00db5de7288f1bacc0db1ce9fb212641b297319b5e71dc4f5f077b30b,bafd76fffbf982fa7c156b80c100c938adab091962aba3a316b79071d4bbdfb4,1672ba93ccb92ff1d7ebf89b363ad6b32934f90791918615898af2f7d9c0f593,56e4f9eb0ab2ec012473bf35114830dfe7bdef50b70978fe08ec81738eab67ba,a84af8750b419ec6ca3137797fbe3c6834d98f9ba54eb041bf5597f915814f89,f57275aebcf9686efad0e3a2df7210c669d4636e600dc4524c3af3d2144c384a,06aa0e4325ec93134be8bdebed727b8f3d4a1a1c5ffd0aaa254b05e9ec8197bc,7f82a7ca27b21213a79913da324055c2420a012769a6e23390874d0e978a1b59,051ac454a2aba8698c4ebaa1ae239857a003562f795cb0afbc1a43b6bc5c9fa0,1c7fe2d6c0f424c48ff8411309ed99a3bace90b9f04b7c1cf72a22dc30671b6d,13f958fc6ab863f6ad20ff6ab883851fa7e2dfa38afe4697ba86cc3337cd1e17,563ee1b539d43d6b23f7d44cc2f743fe613b456011329bb0e0562935cbfe76a9,0a2abab45b86e39e0cfa0b16dd45462939fae61a42f8015d36660fdd60c2f114,149a62fe5e9c444a05c5cb401ba60b5135a4b09618481c224b7a774fae5defe8,06f23edd1b05f4c51fb2d69b36c9e4a2ec38cd0e8b94ef1ac988873f7e2161cf,a54eecbc68eeb3b81543b1518d20bec2cdea807cadf52af7faba8a6de1777c48,4cef5da47431247437c5d9f2621e48b06835d82824c34da7a5193112c0270b13,4d044e5c6b86eb155147e569f45bdac4cd3912ae3fb47542cfa29a15f7f5e2d2,547aac7e877f2df8c4decf1e667fb945fbb2261aaf8d0cd6c0393993fd6448d0
"0.6","101161","250","1","10","0","-30","10040101","0","1","0.8","-480","1004","210","1","1","-120","0.7","bgm_M64","101161","-30","1"
"0.75","101161","0","1","10","0","-30","10040102","0","1","1.2","-260","1004","200","1","2","-120","1","bgm_M64","101161","0","2"
"0.9","101161","100","1","0","-30","-30","10040103","-15","1","1.4","-20","1004","200","1","3","55","1","bgm_M64","101161","-10","3"
"0.9","101161","0","1","0","-30","-30","10040104","0","1","1.3","180","1004","200","1","4","-30","1","bgm_M64","101161","0","4"
"0.9","101162","200","1","0","-50","-30","10040105","-40","1","1.2","470","1004","250","1","5","-60","0.9","bgm_M55","101162","-30","5"
"0.6","101171","250","1","10","0","-30","10050101","0","1","0.8","-480","1005","210","1","1","-120","0.7","bgm_M64","101161","-30","1"
"0.75","101171","0","1","10","0","-30","10050102","0","1","1.2","-260","1005","200","1","2","-120","1","bgm_M64","101161","0","2"
"0.9","101171","100","1","0","-30","-30","10050103","-15","1","1.4","-20","1005","200","1","3","45","1","bgm_M64","101161","-10","3"
"0.7","101171","0","1","0","0","-30","10050104","0","1","1","190","1005","200","1","4","-70","1","bgm_M64","101161","0","4"
"1","101172","200","1","0","-30","-30","10050105","-40","1","1.3","445","1005","240","1","5","-25","1","bgm_M55","101162","0","5"
"0.6","101191","250","1","10","0","-30","10060101","0","1","0.8","-480","1006","210","1","1","-120","0.7","bgm_M64","101161","-30","1"
"0.75","101191","0","1","10","0","-30","10060102","0","1","1.2","-260","1006","200","1","2","-100","1","bgm_M64","101161","0","2"
"0.8","101191","100","1","0","0","-30","10060103","-15","1","1.1","-10","1006","200","1","3","65","1","bgm_M64","101161","-10","3"
"0.8","101191","0","1","0","0","-30","10060104","0","1","1.2","190","1006","200","1","4","-110","1","bgm_M64","101161","0","4"
"0.9","101192","270","1","-10","-50","-30","10060105","0","1","1.15","485","1006","280","1","5","-70","1","bgm_M55","101162","-45","5"
"0.6","101201","250","1","10","0","-30","10070101","0","1","0.8","-480","1007","210","1","1","-120","0.7","bgm_M64","101161","-30","1"
"0.9","101201","120","1","10","0","-30","10070102","0","1","1.2","-260","1007","240","1","2","-120","1","bgm_M64","101161","0","2"
"0.8","101201","100","1","0","0","-30","10070103","-15","1","1.1","-10","1007","200","1","3","65","1","bgm_M64","101161","-10","3"
"0.9","101201","100","1","0","0","-30","10070104","0","1","1.2","190","1007","200","1","4","-110","1","bgm_M64","101161","0","4"
"1","101202","270","1","10","-50","-30","10070105","-20","1","1.45","475","1007","250","1","5","-30","1","bgm_M55","101162","-45","5"
"0.6","101291","250","1","10","0","-30","10080101","0","1","0.8","-480","1008","210","1","1","-120","0.7","bgm_M64","101161","-30","1"
"0.9","101291","120","1","10","0","-30","10080102","0","1","1.2","-260","1008","240","1","2","-120","1","bgm_M64","101161","0","2"
"0.8","101291","100","1","0","0","-30","10080103","-15","1","1.1","-40","1008","200","1","3","65","1","bgm_M64","101161","-10","3"
"0.9","101291","100","1","0","0","-30","10080104","0","1","1.3","150","1008","200","1","4","-110","1.3","bgm_M64","101161","0","4"
"1.1","101292","45","1","30","15","-30","10080105","-20","1","1.45","490","1008","230","1","5","-15","1.3","bgm_M55","101162","30","5"
"0.6","101301","250","1","10","0","-30","10090101","0","1","0.8","-480","1009","210","1","1","-120","0.7","bgm_M64","101161","-30","1"
"0.75","101301","120","1","10","0","-30","10090102","0","1","1.2","-260","1009","200","1","2","-120","1","bgm_M64","101161","0","2"
"1.55","101301","100","1","0","0","-30","10090103","-15","1","2.3","-50","1009","200","1","3","100","2.2","bgm_M64","101161","-10","3"
"1","101301","100","1","0","15","-30","10090104","0","1","1.3","180","1009","200","1","4","-100","1.3","bgm_M64","101161","0","4"
"1","101302","200","1","10","-15","-30","10090105","-20","1","1.2","470","1009","270","1","5","-55","1.1","bgm_M55","101162","-30","5"
"0.575","101441","170","1","10","-25","-30","10100101","0","1","1","-450","1010","210","1","1","-130","0.9","bgm_M64","101161","-30","1"
"0.75","101441","120","1","10","0","-30","10100102","0","1","1.2","-250","1010","200","1","2","-120","1","bgm_M64","101161","0","2"
"0.8","101441","100","1","0","0","-30","10100103","-15","1","1.1","-10","1010","200","1","3","50","1","bgm_M64","101161","-10","3"
"0.9","101441","0","1","0","-30","-30","10100104","0","1","1.3","180","1010","200","1","4","-100","1","bgm_M64","101161","0","4"
"0.95","101442","200","1","10","-35","-30","10100105","-20","1","1.2","470","1010","270","1","5","-70","1.1","bgm_M55","101162","-30","5"
"0.575","101451","170","1","10","-25","-30","10110101","0","1","1","-450","1011","210","1","1","-130","0.9","bgm_M64","101451","-30","1"
"0.75","101451","120","1","10","0","-30","10110102","0","1","1.2","-250","1011","200","1","2","-120","1","bgm_M64","101451","0","2"
"0.9","101451","100","1","0","-30","-30","10110103","-15","1","1.4","-20","1011","200","1","3","50","1","bgm_M64","101451","-10","3"
"0.65","101451","100","1","0","20","-30","10110104","0","1","0.9","200","1011","220","1","4","-100","0.8","bgm_M64","101451","0","4"
"1.25","101452","200","1","0","-35","-30","10110105","0","1","1.55","510","1011","290","1","5","-70","1.4","bgm_M55","101452","-50","5"
"0.575","101561","170","1","10","-25","-30","10120101","0","1","1","-450","1012","210","1","1","-130","0.9","bgm_M64","101451","-30","1"
"0.9","101561","120","1","0","0","-30","10120102","0","1","1.2","-240","1012","240","1","2","-120","1","bgm_M64","101451","0","2"
"0.6","101561","100","1","5","0","-30","10120103","-5","1","0.9","-30","1012","200","1","3","60","0.8","bgm_M64","101451","-10","3"
"0.9","101561","100","1","0","-30","-30","10120104","0","1","1.5","180","1012","200","1","4","-100","1.2","bgm_M64","101451","0","4"
"1.25","101562","400","1","0","-60","-30","10120105","0","1","1.55","460","1012","290","1","5","-70","1.35","bgm_M55","101452","-50","5"
"0.6","101001","250","1","10","0","-30","10130101","0","1","0.8","-480","1013","210","1","1","-120","0.7","bgm_M64","101001","-30","1"
"0.75","101001","0","1","10","0","-30","10130102","0","1","1.2","-260","1013","200","1","2","-120","1","bgm_M64","101001","0","2"
"0.7","101001","100","1","0","0","-30","10130103","-13","1","1.1","-40","1013","200","1","3","0","1","bgm_M64","101001","-10","3"
"0.7","101001","0","1","0","0","-30","10130104","0","1","1.2","240","1013","200","1","4","-50","1","bgm_M64","101001","0","4"
"1.2","101011","200","1","0","0","-30","10130105","0","1","1.3","480","1013","250","1","5","-40","1","bgm_M55","101011","0","5"
"0.575","101041","170","1","10","-25","-30","10140101","0","1","1","-450","1014","210","1","1","-130","0.9","bgm_M64","101041","-30","1"
"0.75","101041","120","1","10","0","-30","10140102","0","1","1.2","-250","1014","200","1","2","-120","1","bgm_M64","101041","0","2"
"1.55","101041","100","1","0","0","-30","10140103","-15","1","2.3","-50","1014","200","1","3","100","2.2","bgm_M64","101041","-10","3"
"0.7","101041","0","1","0","0","-30","10140104","0","1","1","190","1014","200","1","4","-70","1","bgm_M64","101041","0","4"
"1.4","101042","200","1","0","0","-30","10140105","0","1","1.8","440","1014","250","1","5","0","1.6","bgm_M55","101042","0","5"
"0.6","101041","250","1","10","0","-30","10150101","0","1","0.8","-470","1015","210","1","1","-125","0.7","bgm_M64","101161","-30","1"
"0.75","101041","120","1","10","0","-30","10150102","0","1","1.2","-210","1015","200","1","2","-95","1","bgm_M64","101161","0","2"
"0.9","101041","100","1","0","-30","-30","10150103","-15","1","1.4","50","1015","200","1","3","-120","1","bgm_M64","101161","-10","3"
"0.7","101041","150","1","0","43","-30","10150104","0","1","1","195","1015","200","1","4","35","1","bgm_M64","101162","0","4"
"1.1","101042","150","1","0","-50","-30","10150105","0","1","1.8","450","1015","210","1","5","-55","1.35","bgm_M55","101161","0","5"
"0.6","101161","250","1","10","0","-30","10160101","0","1","0.8","-480","1016","210","1","1","-120","0.85","bgm_M64","101451","0","1"
"0.75","101161","0","1","10","0","-30","10160102","0","1","1.2","-260","1016","200","1","2","-100","1.1","bgm_M64","101451","0","2"
"0.8","101161","100","1","0","0","-30","10160103","-15","1","1.1","-10","1016","200","1","3","65","1","bgm_M64","101451","-10","3"
"0.8","101161","0","1","0","0","-30","10160104","0","1","1","190","1016","200","1","4","-110","0.85","bgm_M64","101451","0","4"
"0.9","101162","270","1","-10","-50","-30","10160105","0","1","1.15","485","1016","280","1","5","-70","1","bgm_M55","101452","-45","5"
"0.6","101171","200","1","10","0","-30","10170101","0","1","0.8","-480","1017","210","1","1","-120","0.7","bgm_M64","101171","-30","1"
"0.6","101171","200","1","10","0","-30","10170102","0","1","1","-260","1017","240","1","2","-120","0.7","bgm_M64","101171","0","2"
"0.9","101171","200","1","0","-30","-30","10170103","-15","1","1.4","-10","1017","200","1","3","65","1","bgm_M64","101171","-10","3"
"0.9","101171","200","1","0","-30","-30","10170104","0","1","1.3","190","1017","200","1","4","-110","1","bgm_M64","101171","0","4"
"1","101172","200","1","10","-50","-30","10170105","-20","1","1.45","475","1017","250","1","5","-30","1","bgm_M55","101172","0","5"
"0.6","101191","100","1","10","0","-30","10180101","0","1","0.8","-480","1018","210","1","1","-120","0.7","bgm_M64","101171","-30","1"
"0.8","101191","100","1","10","0","-30","10180102","0","1","1.2","-260","1018","200","1","2","-100","1","bgm_M64","101171","0","2"
"0.6","101191","100","1","5","0","-30","10180103","-5","1","0.9","-10","1018","200","1","3","65","0.8","bgm_M64","101171","-10","3"
"0.9","101191","100","1","0","0","-30","10180104","-30","1","1.2","190","1018","200","1","4","-110","1","bgm_M64","101171","0","4"
"1.1","101192","100","1","-10","-50","-30","10180105","0","1","1.3","485","1018","280","1","5","-70","1","bgm_M55","101172","-45","5"
"0.6","101201","100","1","10","0","-30","10190101","0","1","0.8","-480","1019","210","1","1","-120","0.85","bgm_M64","101161","0","1"
"0.75","101201","100","1","10","0","-30","10190102","0","1","1.2","-260","1019","240","1","2","-120","1.1","bgm_M64","101161","0","2"
"0.8","101201","100","1","0","0","-30","10190103","-15","1","1.1","-10","1019","200","1","3","65","1","bgm_M64","101161","-10","3"
"0.7","101201","100","1","0","43","-30","10190104","0","1","1","190","1019","200","1","4","-110","1","bgm_M64","101161","0","4"
"1","101202","100","1","10","-50","-30","10190105","-20","1","1.45","475","1019","250","1","5","-30","1","bgm_M55","101162","-45","5"
"0.6","101291","100","1","10","0","-30","10200101","0","1","0.8","-480","1020","210","1","1","-120","0.85","bgm_M64","101161","0","1"
"0.75","101291","100","1","10","0","-30","10200102","0","1","1.2","-260","1020","240","1","2","-120","1.1","bgm_M64","101161","0","2"
"0.8","101291","100","1","0","0","-30","10200103","-15","1","1.1","-40","1020","200","1","3","65","1","bgm_M64","101161","-10","3"
"0.8","101291","100","1","0","-30","-30","10200104","0","1","1.5","150","1020","200","1","4","-110","1","bgm_M64","101161","0","4"
"1.1","101292","100","1","30","15","-30","10200105","-20","1","1.45","490","1020","230","1","5","-15","1","bgm_M55","101162","30","5"
"0.58","101301","100","1","10","0","-30","10210101","0","1","0.8","-480","1021","210","1","1","-120","0.7","bgm_M64","101161","-30","1"
"0.9","101301","100","1","10","0","-30","10210102","0","1","1.2","-260","1021","200","1","2","-120","1","bgm_M64","101161","0","2"
"0.93","101301","200","1","-10","-30","-30","10210103","0","1","1.4","-50","1021","200","1","3","100","1","bgm_M64","101161","-10","3"
"0.9","101301","100","1","0","15","-30","10210104","0","1","1.3","180","1021","200","1","4","-100","1.3","bgm_M64","101161","0","4"
"1","101302","100","1","10","-15","-30","10210105","-20","1","1.2","470","1021","270","1","5","-55","1.1","bgm_M55","101162","-30","5"
"0.575","101441","100","1","10","0","-30","10220101","0","1","0.8","-450","1022","210","1","1","-130","0.85","bgm_M64","101161","0","1"
"0.75","101441","100","1","10","0","-30","10220102","0","1","1.2","-250","1022","200","1","2","-120","1.1","bgm_M64","101161","0","2"
"0.8","101441","100","1","0","0","-30","10220103","-15","1","1.2","-10","1022","200","1","3","50","1.1","bgm_M64","101161","-10","3"
"0.9","101441","100","1","0","15","-30","10220104","0","1","1.3","180","1022","200","1","4","-100","1.3","bgm_M64","101161","0","4"
"0.95","101442","100","1","10","-35","-30","10220105","-20","1","1.2","470","1022","230","1","5","-70","1.1","bgm_M55","101162","-30","5"
"0.58","101451","100","1","10","0","-30","10230101","0","1","0.8","-450","1023","210","1","1","-130","0.7","bgm_M64","101451","-30","1"
"0.9","101451","100","1","10","0","-30","10230102","0","1","1.2","-250","1023","200","1","2","-120","1","bgm_M64","101451","0","2"
"0.9","101451","100","1","0","-30","-30","10230103","-15","1","1.4","-20","1023","200","1","3","50","1","bgm_M64","101451","-10","3"
"0.8","101451","100","1","0","0","-30","10230104","0","1","1","200","1023","200","1","4","-100","0.85","bgm_M64","101451","0","4"
"1.25","101452","100","1","0","-35","-30","10230105","0","1","1.55","510","1023","290","1","5","-70","1.4","bgm_M55","101452","-50","5"
"0.58","101561","100","1","10","0","-30","10240101","0","1","0.8","-450","1024","210","1","1","-130","0.7","bgm_M64","101451","-30","1"
"0.75","101561","100","1","0","0","-30","10240102","0","1","1.2","-240","1024","240","1","2","-120","1.1","bgm_M64","101451","0","2"
"0.65","101561","100","1","5","0","-30","10240103","-5","1","1.1","-30","1024","200","1","3","60","1","bgm_M64","101451","-10","3"
"0.7","101561","100","1","0","0","-30","10240104","0","1","1.2","180","1024","200","1","4","-100","1","bgm_M64","101451","0","4"
"1.25","101562","400","1","0","-60","-30","10240105","0","1","1.55","460","1024","290","1","5","-70","1.35","bgm_M55","101452","-50","5"
"0.58","101001","100","1","10","0","-30","10250101","0","1","0.8","-480","1025","210","1","1","-120","0.7","bgm_M64","101451","-30","1"
"0.75","101001","100","1","10","0","-30","10250102","0","1","1.2","-260","1025","200","1","2","-120","1.1","bgm_M64","101451","0","2"
"0.6","101001","100","1","0","0","-30","10250103","-13","1","0.9","-40","1025","200","1","3","0","0.8","bgm_M64","101451","-10","3"
"0.8","101001","100","1","0","-30","-30","10250104","0","1","1.5","240","1025","200","1","4","-50","1","bgm_M64","101451","0","4"
"1.2","101011","100","1","0","0","-30","10250105","0","1","1.3","480","1025","250","1","5","-40","1","bgm_M55","101452","0","5"
"0.575","101021","170","1","10","-25","-30","10260101","0","1","1","-450","1026","210","1","1","-130","0.9","bgm_M64","101021","-30","1"
"0.75","101021","120","1","10","0","-30","10260102","0","1","1.2","-250","1026","200","1","2","-120","1","bgm_M64","101021","0","2"
"1.55","101021","100","1","0","0","-30","10260103","-15","1","2.3","-50","1026","200","1","3","100","2.2","bgm_M64","101021","-10","3"
"0.7","101021","150","1","0","43","-30","10260104","0","1","1","190","1026","200","1","4","-70","1","bgm_M64","101021","0","4"
"1.4","101031","200","1","0","0","-30","10260105","0","1","1.8","440","1026","220","1","5","0","1.6","bgm_M55","101031","0","5"
"0.6","101041","250","1","10","0","-30","10270101","0","1","0.8","-470","1027","210","1","1","-125","0.7","bgm_M64","101161","-30","1"
"0.75","101041","120","1","10","0","-30","10270102","0","1","1.2","-210","1027","200","1","2","-95","1","bgm_M64","101161","0","2"
"0.75","101041","100","1","10","-10","-30","10270103","-15","1","1.2","50","1027","200","1","3","-120","1","bgm_M64","101161","-10","3"
"0.7","101041","100","1","0","20","-30","10270104","0","1","1.1","195","1027","200","1","4","35","1","bgm_M64","101162","0","4"
"1.1","101042","150","1.3","0","-50","-30","10270105","0","1","1.8","450","1027","210","1","5","-55","1.35","bgm_M55","101161","0","5"
"0.6","101161","250","1","10","0","-30","10280101","0","1","0.8","-480","1028","210","1","1","-120","0.85","bgm_M64","101161","0","1"
"0.75","101161","0","1","10","0","-30","10280102","0","1","1.2","-260","1028","200","1","2","-100","1.1","bgm_M64","101161","0","2"
"0.65","101161","100","1","5","0","-30","10280103","-5","1","1.1","-10","1028","200","1","3","65","1","bgm_M64","101161","-10","3"
"0.9","101161","100","1","0","0","-30","10280104","0","1","1.35","190","1028","200","1","4","-110","1.3","bgm_M64","101161","0","4"
"0.9","101162","270","1.3","-10","-50","-30","10280105","-40","1","1.15","485","1028","280","1","5","-70","1","bgm_M55","101162","-45","5"
"0.6","101171","200","1","10","0","-30","10290101","0","1","0.8","-480","1029","210","1","1","-120","0.7","bgm_M64","101171","-30","1"
"0.6","101171","200","1","10","0","-30","10290102","0","1","1","-260","1029","240","1","2","-120","0.7","bgm_M64","101171","0","2"
"0.9","101171","200","1","0","-30","-30","10290103","-15","1","1.4","-10","1029","200","1","3","65","1","bgm_M64","101171","-10","3"
"0.9","101171","200","1","0","-30","-30","10290104","0","1","1.3","190","1029","200","1","4","-110","1","bgm_M64","101171","0","4"
"1","101172","200","1","10","-50","-30","10290105","-20","1","1.45","475","1029","250","1","5","-30","1","bgm_M55","101172","0","5"
"0.6","101191","100","1","10","0","-30","10300101","0","1","0.8","-480","1030","210","1","1","-120","0.7","bgm_M64","101171","-30","1"
"0.8","101191","100","1","10","0","-30","10300102","0","1","1.2","-260","1030","200","1","2","-100","1","bgm_M64","101171","0","2"
"0.6","101191","100","1","5","0","-30","10300103","-5","1","0.9","-10","1030","200","1","3","65","0.8","bgm_M64","101171","-10","3"
"0.9","101191","100","1","0","0","-30","10300104","0","1","1.2","190","1030","200","1","4","-110","1","bgm_M64","101171","0","4"
"1.1","101192","200","1","-10","-50","-30","10300105","0","1.2","1.3","485","1030","280","1","5","-70","1","bgm_M55","101172","-45","5"
"0.6","101201","100","1","10","0","-30","10310101","0","1","0.8","-480","1031","210","1","1","-120","0.85","bgm_M64","101161","0","1"
"0.75","101201","100","1","10","0","-30","10310102","0","1","1.2","-260","1031","240","1","2","-120","1.1","bgm_M64","101161","0","2"
"0.8","101201","100","1","0","0","-30","10310103","-15","1","1.1","-10","1031","200","1","3","65","1","bgm_M64","101161","-10","3"
"0.7","101201","100","1","0","43","-30","10310104","0","1","1","190","1031","200","1","4","-110","1","bgm_M64","101161","0","4"
"1","101202","100","1","10","-50","-30","10310105","-20","1","1.45","475","1031","250","1","5","-30","1","bgm_M55","101162","-45","5"
"0.6","101291","100","1","10","0","-30","10320101","0","1","0.8","-480","1032","210","1","1","-120","0.85","bgm_M64","101291","0","1"
"0.75","101291","100","1","10","0","-30","10320102","0","1","1.2","-260","1032","240","1","2","-120","1.1","bgm_M64","101291","0","2"
"0.9","101291","100","1","0","0","-30","10320103","-15","1","1.3","-40","1032","200","1","3","65","1","bgm_M64","101291","-10","3"
"0.8","101291","100","1","0","-30","-30","10320104","0","1","1.3","150","1032","200","1","4","-110","1","bgm_M64","101291","0","4"
"1.1","101292","100","1","30","15","-30","10320105","-20","1","1.45","490","1032","230","1","5","-15","1","bgm_M55","101292","30","5"
"0.58","101301","100","1","10","0","-30","10330101","0","1","0.8","-480","1033","210","1","1","-120","0.7","bgm_M64","101301","-30","1"
"0.9","101301","100","1","10","0","-30","10330102","0","1","1.2","-260","1033","200","1","2","-120","1","bgm_M64","101301","0","2"
"0.93","101301","200","1","-10","-30","-30","10330103","0","1","1.4","-50","1033","200","1","3","100","1","bgm_M64","101301","-10","3"
"0.9","101301","100","1","0","15","-30","10330104","0","1","1.3","100","1033","200","1","4","-100","1","bgm_M64","101301","0","4"
"1","101302","100","1","10","-15","-30","10330105","-20","1","1.2","470","1033","270","1","5","-55","1.1","bgm_M55","101302","-30","5"
"0.575","101441","100","1","10","0","-30","10340101","0","1","0.8","-450","1034","210","1","1","-130","0.85","bgm_M64","101161","0","1"
"0.75","101441","200","1","10","0","-30","10340102","0","1","1","-250","1034","200","1","2","-120","0.7","bgm_M64","101161","0","2"
"0.8","101441","100","1","0","0","-30","10340103","-15","1","1.2","-10","1034","200","1","3","50","1.1","bgm_M64","101161","-10","3"
"0.9","101441","150","1","0","43","-30","10340104","0","1","1","180","1034","200","1","4","-100","1","bgm_M64","101161","0","4"
"0.95","101442","100","1","10","-35","-30","10340105","-20","1","1.2","470","1034","230","1","5","-70","1.1","bgm_M55","101162","-30","5"
"0.58","101451","100","1","10","0","-30","10350101","0","1","0.8","-450","1035","210","1","1","-130","0.7","bgm_M64","101451","-30","1"
"0.9","101451","100","1","10","0","-30","10350102","0","1","1.2","-250","1035","200","1","2","-120","1","bgm_M64","101451","0","2"
"0.9","101451","100","1","0","-30","-30","10350103","-15","1","1.4","-20","1035","200","1","3","50","1","bgm_M64","101451","-10","3"
"0.8","101451","100","1","0","0","-30","10350104","0","1","1","200","1035","200","1","4","-100","0.85","bgm_M64","101451","0","4"
"1.25","101452","100","1","0","-35","-30","10350105","0","1.2","1.55","510","1035","290","1","5","-70","1.4","bgm_M55","101452","-50","5"
"0.58","101561","100","1","10","0","-30","10360101","0","1","0.8","-450","1036","210","1","1","-130","0.7","bgm_M64","101451","-30","1"
"0.75","101561","100","1","0","0","-30","10360102","0","1","1.2","-240","1036","240","1","2","-120","1.1","bgm_M64","101451","0","2"
"0.65","101561","100","1","5","0","-30","10360103","-5","1","1.1","-30","1036","200","1","3","60","1","bgm_M64","101451","-10","3"
"1.1","101561","100","1","0","0","-30","10360104","0","1","1.2","180","1036","200","1","4","-100","1","bgm_M64","101451","0","4"
"1.25","101562","400","1","0","-60","-30","10360105","0","1.4","1.55","460","1036","290","1","5","-70","1.35","bgm_M55","101452","-50","5"
"0.58","101001","100","1","10","0","-30","10370101","0","1","0.8","-480","1037","210","1","1","-120","0.7","bgm_M64","101451","-30","1"
"0.75","101001","100","1","10","0","-30","10370102","0","1","1.2","-260","1037","200","1","2","-120","1.1","bgm_M64","101451","0","2"
"0.6","101001","150","1","0","-50","-30","10370103","-13","1.4","0.9","-40","1037","200","1","3","0","0.55","bgm_M64","101451","-60","3"
"0.8","101001","100","1","0","-30","-30","10370104","0","1","1.3","240","1037","200","1","4","-50","1","bgm_M64","101451","0","4"
"1.2","101011","100","1","0","0","-30","10370105","0","1.2","1.3","480","1037","250","1","5","-40","1","bgm_M55","101452","0","5"
"0.575","101021","170","1","10","-25","-30","10380101","0","1","1","-450","1038","210","1","1","-110","0.9","bgm_M64","101021","-30","1"
"0.75","101021","120","1","10","0","-30","10380102","0","1","1.2","-250","1038","200","1","2","-120","1","bgm_M64","101021","0","2"
