d5f57c47bf6079adf5c336f6f2ba78b9d954fb4df1689f411f0191724235965f,ffa9ecfa530c98900d94ac80549e70cdf37b4fed1be63a25866c19b2564c26ea,f3497450cb0cef57e6b42063f128957d4f3c6a6d72afab78faa1f17a572640ac,eccdce2a180c949e8e06799d55cd411eb948d14ea74f8913e7244ce5573c1bc8,de229946ff930f6c1ee695e62963dd9aaaeb32838d69aaf3463c076ff39882f3,f20789560a48c4e7473fe646dfb91682e6aa97dd7fcdf9357127de478446180d,96f8ba67a2b169060bbcf8af38897e70b40977d522ee8ac768b2d4fc919bc21f,a964c09a46e061cba3a94341add862f561206dd0e83c20e756b4c5d65a0a94d9,ee5ba73def85bd2fdb59ef252e9e486045db574147fe07b6217163cf439dcc0c,e649433465b2a60b123ce1e314102213f6dd4a4e8799755196670c1d0cada883,2facf1f706b9aa27217781551c567f3f0917381abe84acb060b40eb4f4a295f6,037341a07c35d518483c5dfb231798c4fbd8e7020df9a60309db8ed82e5727f5
"0","vo_abd_0307","515406426","0","0","2","26","5154064","0","0","vo_abd","0"
"1.5","0","515406427","48","7","1","27","5154064","360","0","0","0"
"0","0","515406428","0","0","4","28","5154064","0","1","0","1.7"
"0.8","0","515406429","360","7","1","29","5154064","360","0","0","0"
"0","0","515406430","0","0","4","30","5154064","0","1","0","2"
"0","vo_abd_0308","515406431","0","0","2","31","5154064","0","0","vo_abd","0"
"1","0","515406432","0","8","1","32","5154064","254","0","0","0"
"0","0","515406433","0","0","4","33","5154064","0","1","0","2"
"0.3","0","515406434","254","8","1","34","5154064","254","0","0","0"
"0","0","515406435","0","0","4","35","5154064","0","1","0","1.5"
"0.8","0","515406436","254","8","1","36","5154064","400","0","0","0"
"0","0","515406437","0","0","4","37","5154064","0","1","0","2"
"0","vo_abd_0309","515406438","0","0","2","38","5154064","0","0","vo_abd","0"
"2","0","515406439","0","9","1","39","5154064","96","0","0","0"
"0","0","515406440","0","0","4","40","5154064","0","1","0","2.65"
"1","0","515406441","96","9","1","41","5154064","425","0","0","0"
"0","0","515406442","0","0","4","42","5154064","0","1","0","2"
"0","vo_abd_0310","515406443","0","0","2","43","5154064","0","0","vo_abd","0"
"2.5","0","515406444","0","10","1","44","5154064","400","0","0","0"
"0","0","515406445","0","0","4","45","5154064","0","1","0","4"
"0","vo_abd_0311","515406446","0","0","2","46","5154064","0","0","vo_abd","0"
"1.2","0","515406447","0","11","1","47","5154064","115","0","0","0"
"0","0","515406448","0","0","4","48","5154064","0","1","0","2"
"1","0","515406449","115","11","1","49","5154064","295","0","0","0"
"0","0","515406450","0","0","4","50","5154064","0","1","0","2.5"
"0.5","0","515406451","295","11","1","51","5154064","430","0","0","0"
"0","0","515406501","0","0","4","1","5154065","0","1","0","0.8"
"0","vo_abd_0401","515406502","0","0","2","2","5154065","0","0","vo_abd","0"
"2","0","515406503","0","1","1","3","5154065","400","0","0","0"
"0","0","515406504","0","0","4","4","5154065","0","1","0","3.2"
"0","vo_abd_0402","515406505","0","0","2","5","5154065","0","0","vo_abd","0"
"2","0","515406506","0","2","1","6","5154065","420","0","0","0"
"0","0","515406507","0","0","4","7","5154065","0","1","0","3.7"
"0","vo_abd_0403","515406508","0","0","2","8","5154065","0","0","vo_abd","0"
"2","0","515406509","0","3","1","9","5154065","400","0","0","0"
"0","0","515406510","0","0","4","10","5154065","0","1","0","3"
"0","vo_abd_0404","515406511","0","0","2","11","5154065","0","0","vo_abd","0"
"1","0","515406512","0","4","1","12","5154065","188","0","0","0"
"0","0","515406513","0","0","4","13","5154065","0","1","0","1.15"
"1","0","515406514","188","4","1","14","5154065","425","0","0","0"
"0","0","515406515","0","0","4","15","5154065","0","1","0","2.5"
"0","vo_abd_0405","515406516","0","0","2","16","5154065","0","0","vo_abd","0"
"2.4","0","515406517","0","5","1","17","5154065","450","0","0","0"
"0","0","515406518","0","0","4","18","5154065","0","1","0","2.9"
"0","vo_abd_0407","515406519","0","0","2","19","5154065","0","0","vo_abd","0"
"1","0","515406520","0","6","1","20","5154065","300","0","0","0"
"0","0","515406521","0","0","4","21","5154065","0","1","0","1.5"
"0","vo_abd_0408","515406522","0","0","2","22","5154065","0","0","vo_abd","0"
"1","0","515406523","0","7","1","23","5154065","320","0","0","0"
"0","0","515406524","0","0","4","24","5154065","0","1","0","1"
"0","vo_abd_0409","515406525","0","0","2","25","5154065","0","0","vo_abd","0"
"1","0","515406526","320","7","1","26","5154065","320","0","0","0"
"0","0","515406527","0","0","4","27","5154065","0","1","0","2"
"0","vo_abd_0410","515406528","0","0","2","28","5154065","0","0","vo_abd","0"
"0.2","0","515406529","0","8","1","29","5154065","70","0","0","0"
"0","0","515406530","0","0","4","30","5154065","0","1","0","0.7"
"1.5","0","515406531","70","8","1","31","5154065","350","0","0","0"
"0","0","515406532","0","0","4","32","5154065","0","1","0","2.5"
"0","vo_abd_0411","515406533","0","0","2","33","5154065","0","0","vo_abd","0"
"0.2","0","515406534","0","9","1","34","5154065","75","0","0","0"
"0","0","515406535","0","0","4","35","5154065","0","1","0","1.08"
"0.3","0","515406536","75","9","1","36","5154065","340","0","0","0"
"0","0","515406537","0","0","4","37","5154065","0","1","0","0.9"
"1.5","0","515406538","0","10","1","38","5154065","200","0","0","0"
