198c4cb16d17d2fd098e989303bd721b720c47a7010ed231b28d731e973dbc91,bc9700466f42a1383abaf5a15e4b51c46b5ae656ab96ecb66e48e0d23dc859a6,559ef679784a32819236ed5354cf18ccd65d1bf4d526545b02cadb38b2f1c5ac,663e3ca65f33c6ee201f8e3362355c9268245f9185872267529293c4ac6f1d70,92481dcab6d21ca4724d6ef4b0b808ca53f95a66c2b3da63e204c0003ad16c3b,7fbba9e24212e36ec83cfc89c8e80775114b551dbe8babba8684b01384f9f9ec,7c722d3b64ef0e20edf4123224ceb6ae5e842326b97e375fbe56e5ab7ae1f420,d307ffc7050155af90949cdbb03704a1a4221d99eae57153d4a9702b3861c041
"是「{0}」呢！","","2","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058"
"是「{0}」喔！","","2","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT3","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058"
"「{0}」怎麼樣啊！","","2","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT_GREAT1","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058"
"嘿嘿～！是「{0}」！","","2","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT_GREAT2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058"
"","","-1","","","","ENEMY_SELECT_WAIT",""
"嘉夜夜，最後那是「鼻音」啊……","","1","","","srt_kaya_shock","ENEMY_SELECT_N","out_071"
"「{0}」嗎？\n接著是由「{1}」韻所開頭的詞呢。","","1","srt_inori_thinking","srt_dragon_thinking","srt_kaya_waiting","PLAYER_TURN1",""
"「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞有……","","1","srt_inori_thinking","srt_dragon_thinking","srt_kaya_waiting","PLAYER_TURN2",""
"原來如此，是「{0}」呢。\n唔呣，由「{1}」韻作為開頭的詞有……","","1","srt_inori_thinking","srt_dragon_thinking","srt_kaya_waiting","PLAYER_TURN3",""
"哎呀，是「{0}」嗎？\n「{1}」這個韻有點特別，只要是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n都可以用來接「{1}」韻所開頭的詞呢。","","1","srt_inori_thinking","srt_dragon_thinking","srt_kaya_waiting","PLAYER_TURN_TW1",""
"哇啊，是「{0}」嗎？\n如果是「{1}」這個韻的話，像是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n跟「{1}」這個韻也是可以接上的喔！所以……","","1","srt_inori_thinking","srt_dragon_thinking","srt_kaya_waiting","PLAYER_TURN_TW2",""
"原來是「{0}」嗎？\n「{1}」這個韻可以接其他的注音，例如\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個發音，\n唔呣，所以我要選的詞應該是……","","1","srt_inori_thinking","srt_dragon_thinking","srt_kaya_waiting","PLAYER_TURN_TW3",""
"","","1","","","","PLAYER_CUTIN_GREAT","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053"
"","","1","","","","PLAYER_CUTIN_PRICONNE","sugoyomi_cutin_050,sugoyomi_cutin_052"
"「{0}」！","","1","srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle","srt_kaya_react_1,srt_kaya_waiting","PLAYER_SELECT1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038"
"是「{0}」呀！","","1","srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle","srt_kaya_react_2,srt_kaya_waiting","PLAYER_SELECT2","correct_030-correct_031,correct_035-correct_036"
"「{0}」這個詞如何！","","1","srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle","srt_kaya_react_1,srt_kaya_waiting","PLAYER_SELECT_GREAT1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038"
"哼哼～♪「{0}」！","","1","srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle","srt_kaya_react_2,srt_kaya_waiting","PLAYER_SELECT_GREAT2","correct_030-correct_031,correct_035-correct_036"
"呵呵呵，那就是\n「{0}」了！","","1","srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle","srt_kaya_react_1,srt_kaya_waiting","PLAYER_SELECT_PRECONNE1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038"
"腦中靈光一閃！\n是「{0}」呀！","","1","srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle","srt_kaya_react_2,srt_kaya_waiting","PLAYER_SELECT_PRECONNE2","correct_030-correct_031,correct_035-correct_036"
"","","-1","","","","PLAYER_SELECT_WAIT",""
"哇嗚！我、我搞錯了……","","1","srt_inori_miss,srt_inori_thinking","srt_dragon_miss,srt_dragon_thinking","srt_kaya_react_3,srt_kaya_waiting","PLAYER_MISS","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046"
"喂喂，尾音是「鼻音」耶……","","2","srt_inori_shock","","srt_kaya_react_4","PLAYER_SELECT_N","out_070"
"我要積極進攻囉！","","1","srt_inori_thinking","srt_dragon_thinking","srt_kaya_infever","INFEVER","rush"
"「{0}」！","","1","srt_inori_select_1","srt_dragon_select_1","","FEVER_SELECT1","correct_028-correct_029,correct_037-correct_038"
"是「{0}」呀！","","1","srt_inori_select_2","srt_dragon_select_2","","FEVER_SELECT2","correct_030-correct_031,correct_035-correct_036"
"哇嗚！我、我搞錯了……","","1","srt_inori_miss","srt_dragon_miss","","FEVER_MISS","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048"
"給我覺悟吧！","","1","srt_inori_fever_attack","srt_dragon_fever_attack","srt_kaya_fever_damage","FEVER_DAMAGE","rush_attack"
"是我贏了！！","","1","srt_inori_win_1","srt_dragon_win","srt_kaya_lose","WIN_HP","win_005-win_006,win_012-win_013"
"是我贏了！！","","1","srt_inori_win_1","srt_dragon_win","","WIN_N","win_005-win_006,win_012-win_013"
"嗚嗚……是我輸了……","","1","srt_inori_lose","srt_dragon_lose","srt_kaya_win","LOSE_MISS","lose_017,lose_019,lose_023"
"嗚嗚……是我輸了……","","1","","srt_dragon_miss","","LOSE_N","lose_017,lose_019,lose_023"
"時、時間到了嗎！？我太大意了…… ","","1","srt_inori_lose","srt_dragon_lose","srt_kaya_win","TIMEUP","lose_025/lose_026-boss_emote_068,lose_021"
"嗚嗚……是我輸了……\n沒想到還有「{0}」可以接……","","1","srt_inori_lose","srt_dragon_lose","srt_kaya_win","LOSE_MISS2","lose_017,lose_019,lose_023"
"嗚嗚……是我輸了……\n應該還有「{0}」這個詞可以用……","","1","","srt_dragon_miss","","LOSE_N2","lose_017,lose_019,lose_023"
"時、時間到了嗎！？我太大意了…… \n應該要選「{0}」這個詞才對……","","1","srt_inori_lose","srt_dragon_lose","srt_kaya_win","TIMEUP2","lose_025/lose_026-boss_emote_068,lose_021"
