408bb494b7ac3d31ee5a83d7e4c5eb8325b1df2a2ff633dcdfdcae4866bf700e,94047b108e9726e449e0ac7bf97854553342b45c73147d6f2eca780e4b44ac74,b14791210f49f8fb16e8d362ef5ba6c253eafde4461cfdaef84c8040d068a403,8af6c61050c55be0c6a3fbfe7325e2d90ad8f378acc59bf4dadd9633209bedba,2de750c420d2aa2ca711d34b491e70e46f05d6a8e17ec0164bfb7073431118ea,ba1e2a5742964e68176a1fe323754bc562c6a8172d03459a43b3276d8637b26b
"20012531","0","3","211","2001204","20012"
"20014531","0","3","211","2001404","20014"
"20016001","101931","501","101921","20016112","20016"
"20016002","101932","501","101922","20016112","20016"
"20016003","101933","501","101923","20016112","20016"
"20016004","100351","501","100011","20016112","20016"
"20016005","100352","501","100012","20016112","20016"
"20016006","100353","501","100013","20016112","20016"
"20016007","100354","501","100014","20016112","20016"
"20016008","100355","501","100015","20016112","20016"
"20016009","100356","501","100016","20016112","20016"
"20016010","100357","501","100017","20016112","20016"
"20016011","100358","501","100018","20016112","20016"
"20016012","100359","501","100019","20016112","20016"
"20046001","0","1","1","20046102","20046"
"20046002","0","1","2","20046112","20046"
"20046003","0","1","3","20046115","20046"
"20047001","0","1","1","20047102","20047"
"20047002","0","1","2","20047108","20047"
"20047003","0","1","3","20047115","20047"
