9cee254fb2cddc66ea6bc9e94a216a93e6380b2b487f6df0c36539259f53d1f2,eea734a9fc6c8bdf1c4fad318b5993f3bda6541d8dc26c80e07994d6db39a064,00c053691222749e286454e6b12a2b5a04f4f2983b6f8c5520dd71fb0173a448,655066d2d6eb8b7ad87cbe7cebb1d960090fb571e8904228e2231e50aa4ac05f,301f31c44d2d546a32ef717d41462d4b5ef12152e246dda81a2ef7796962271d,eb5941e634b03a3d3fb5c47103b92b985eefd4ab2ccb6d094153193a3e7562c9,7ed88781951f8702f9a3b6ddc122eacb67339f3c22a63354a419972f75c87961,c828f525e0de702ec87be297a07f08ac6d39bad273c0e05d39e714ee8506763f,ae7fdf20d90fe49990441a802b95bfffc8b18f6de8ff7d1423c4b83d34d068e4,3a01a59f9c8d22d106f851131c0ea22b86a49fee76c70c0d23bc064fba75c35b
"118201","美空","4","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","1","3","0","1034","重新擲{0}次骰子\n（還剩{1}次）"
"106101","矛依未","6","追加投擲骰子\n直到數字合計為{0}以上","","7","1","0","1035","追加投擲骰子\n直到數字合計為{0}以上"
"103101","忍","5","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","4","2","0","1036","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"103301","真陽","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","10001","1","0","1037",""
"103601","鏡華","2","取得最大2000里程","","10002","1","0","1038",""
"133001","格蕾斯","12","取得{0}張抽獎券","","1","1","0","1039",""
"133101","薇歐莉特","3","取得{0}個料理","","1","1","0","1040",""
"106801","拉比林斯達","8","可以選擇使用骰子的\n正面或背面","","0","2","0","1041","可以選擇使用骰子的\n正面或背面"
"107101","克莉絲提娜","4","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","1","3","0","1042","重新擲{0}次骰子\n（還剩{1}次）"
"107001","似似花","6","追加投擲骰子\n直到數字合計為{0}以上","","7","1","0","1043","追加投擲骰子\n直到數字合計為{0}以上"
"106501","嘉夜","5","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","4","2","0","1044","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"111001","優妮","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","10001","1","0","1045",""
"134901","華音","2","取得最大2000里程","","10002","1","0","1046",""
"105401","紡希","12","取得{0}張抽獎券","","1","1","0","1047",""
"134701","鳳凰","3","取得{0}個料理","","1","1","0","1048",""
"100101","日和","8","可以選擇使用骰子的\n正面或背面","","0","2","0","1049","可以選擇使用骰子的\n正面或背面"
"100701","宮子","4","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","1","3","0","1050","重新擲{0}次骰子\n（還剩{1}次）"
"103001","妮諾","6","追加投擲骰子\n直到數字合計為{0}以上","","7","1","0","1051","追加投擲骰子\n直到數字合計為{0}以上"
"101401","霞","13","骰子擲出{0}時，\n前進+{1}","","2","3","1","1052","骰子擲出{0}時，\n前進+{1}"
"135901","剎鬼","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","10001","1","0","1053",""
"102601","鈴","2","取得最大2000里程","","10002","1","0","1054",""
"132401","彩羽","12","取得{0}張抽獎券","","1","1","0","1055",""
"135801","雪野","3","取得{0}個料理","","1","1","0","1056",""
