18209273301219bef52757fec717bb44dcd3130407472496826e482cb62e04ae,5fcd34234cfd468d5677282a50bce2e320ae7c2b8ba68df2f64460175f30a56b,9ec8f4409248d0e0442f36047bb35f62f633d2c866281c80ce5bebbd7ba5d0c4,0517ea13b89ecf7b2f2bf9c220cae206c7e43c1525ee2ef81078fb64fa2ab8ad,297a7b4890d60d9510dc084f97a6395c3dd67f58e9eb47e353bd83dc2efe3208,7c2a0d29e5a413e8f0797c39239ccebb9f17d3030737a8f0d45a04760a862326,b13fa6839099d6ad44a9e4ddde80872efd7d435c482086cd6e6eb9405d430159
"bgm_M102_juke","11","阿爾瑪","bgm_M102","故事劇情頭目戰\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智","00:00","02:31"
"bgm_M145","12","小小冒險","bgm_M145","角色歌曲\n\n時間 / 01:22\n演唱　 / 鏡華（小倉唯）\n　　　禊（諸星すみれ）\n　　　美美（日高里菜）\n作詞 / Mitsu\n作曲 / 池田健仁\n編曲 / 池田健仁","00:45","01:22"
"bgm_M139_juke","13","大胃王","bgm_M139","戰隊競賽\n\n時間 / 01:07\n作曲 / 江原大介\n編曲 / 江原大介","00:00","01:07"
"bgm_M135_juke","14","不給布丁就搗蛋！約定的萬聖節派對","bgm_M135","故事劇情主題曲\n-「還要！兩人的派～對～夜～」編曲-\n\n時間 / 01:01\n作曲 / TAKT\n編曲 / 西村真吾","00:00","01:01"
"bgm_M138_juke","15","傑克南瓜布丁","bgm_M138","故事劇情頭目戰\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","02:26"
"bgm_M161","16","還要！兩人的派～對～夜～","bgm_M161","角色歌曲\n\n時間 / 01:21\n演唱　 / 忍（大坪由佳）\n　　　宮子（雨宮天）\n作詞 / 亀井博之（Cygames）\n作曲 / TAKT\n編曲 / TAKT","00:46","01:21"
"bgm_M140_juke","17","閃耀的冰晶","bgm_M140","主線冒險\n\n時間 / 01:31\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","01:31"
"bgm_M150","18","Shining Future","bgm_M150","角色歌曲\n\n時間 / 02:01\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戸衣吹）\n作詞 / 莊野ジュリ\n作曲 / 武田城以\n編曲 / TAKT","01:00","02:01"
"bgm_M143","19","向風起誓","bgm_M143","角色歌曲\n\n時間 / 01:31\n演唱　 / 千歌（福原綾香）\n作詞 / 野村イクミ\n作曲 / 內海孝彰\n編曲 / 內海孝彰","00:37","01:31"
"bgm_M144","20","因為想看到你的笑容","bgm_M144","角色歌曲\n\n時間 / 01:47\n演唱　 / 望（日笠陽子）\n作詞 / Manami\n作曲 / 內海孝彰\n編曲 / 岡野裕次郎","00:54","01:47"
"bgm_M148","21","無法坦率的心！","bgm_M148","角色歌曲\n\n時間 / 01:34\n演唱　 / 紡希（木戸衣吹）\n作詞 / 磯谷佳江\n作曲 / 磯谷佳江\n編曲 / 內海孝彰","00:48","01:34"
"bgm_M42_juke","22","向詭譎氣氛挺身而出的鬥志","bgm_M42","主線冒險\n\n時間 / 01:46\n作曲 / 本田晃弘（Cygames）\n編曲 / 岡出莉菜","00:00","01:46"
"bgm_M104_juke","23","野豬雙胞胎","bgm_M104","戰隊競賽\n\n時間 / 01:07\n作曲 / 西木康智\n編曲 / 西木康智","00:00","01:07"
"bgm_M106_juke","24","吸血鬼獵人with伊莉亞","bgm_M106","故事劇情主題曲\n-「Peaceful*沖繩雜炒」編曲-\n\n時間 / 00:54\n作曲 / 小野貴光\n編曲 / 東大路憲太","00:00","00:54"
"bgm_M109_juke","25","加爾格","bgm_M109","故事劇情頭目戰\n\n時間 / 03:18\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","03:18"
"bgm_M151","26","Peaceful*沖繩雜炒","bgm_M151","角色歌曲\n\n時間 / 01:30\n演唱　 / 真步（内田真礼）\n　　　香織（高森奈津美）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","00:44","01:30"
"bgm_M166_juke","27","天蠍毒者","bgm_M166","戰隊競賽\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","01:12"
"bgm_M162_juke","28","暮光破壞者","bgm_M162","故事劇情主題曲\n-「最強對吧，對吧？」編曲-\n\n時間 / 01:30\n作曲 / Heart's Cry\n編曲 / 多田彰文","00:00","01:30"
"bgm_M165_juke","29","奧拉姆","bgm_M165","故事劇情頭目戰\n\n時間 / 02:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","02:02"
"bgm_M176","30","最強對吧，對吧？","bgm_M176","角色歌曲\n\n時間 / 01:22\n演唱　 / 杏奈（髙野麻美）\n　　　七七香（佳村はるか）\n作詞 / Heart's Cry\n作曲 / Heart's Cry\n編曲 / Heart's Cry","00:42","01:22"
"bgm_M141_juke","31","冰海之地","bgm_M141","主線冒險\n\n時間 / 02:05\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","02:05"
"bgm_M58_juke","32","冰天雪地","bgm_M58","主線冒險\n\n時間 / 01:08\n作曲 / 西村真吾\n編曲 / 西村真吾","00:00","01:08"
"bgm_M101_juke","33","涼爽的風","bgm_M101","主線冒險\n\n時間 / 01:05\n作曲 / 加藤慶\n編曲 / 加藤慶","00:00","01:05"
"bgm_M115_juke","34","加爾基諾司","bgm_M115","戰隊競賽\n\n時間 / 01:02\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","00:00","01:02"
"bgm_M112_juke","35","危險的假期海岸邊的美食家公主","bgm_M112","故事劇情主題曲\n-「充滿笑容的家」編曲-\n\n時間 / 01:05\n作曲 / Lucas\n編曲 / 西村真吾","00:00","01:05"
"bgm_M116_juke","36","天塔帕斯","bgm_M116","故事劇情頭目戰\n\n時間 / 02:10\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","02:10"
"bgm_M147","37","充滿笑容的家","bgm_M147","角色歌曲\n\n時間 / 01:40\n演唱　 / 咲戀（堀江由衣）\n　　　鈴莓（悠木碧）\n作詞 / Mitsu\n作曲 / Lucas\n編曲 / Lucas","01:00","01:40"
"bgm_M175_juke","38","人馬座","bgm_M175","戰隊競賽\n\n時間 / 00:45\n作曲 / 庄司真吾（Cygames）\n編曲 / 庄司真吾（Cygames）","00:00","00:45"
"bgm_M171_juke","39","忘却的頌歌","bgm_M171","故事劇情主題曲\n-「Ding Dong Holy Night♪」編曲-\n\n時間 / 00:55\n作曲 / 馬淵直純\n編曲 / 中村早織（Cygames）","00:00","00:55"
"bgm_M172_juke","40","霧奇","bgm_M172","故事劇情頭目戰\n\n時間 / 02:57\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","02:57"
"bgm_M187","41","Ding Dong Holy Night♪","bgm_M187","角色歌曲\n\n時間 / 01:28\n演唱　 / 綾音（芹澤優）\n　　　胡桃（植田佳奈）\n作詞 / 磯谷佳江\n作曲 / 馬淵直純\n編曲 / 馬淵直純","00:42","01:28"
"bgm_M93_juke","42","險峻枯原","bgm_M93","主線冒險\n\n時間 / 00:57\n作曲 / 多田彰文\n編曲 / 多田彰文","00:00","00:57"
"bgm_M119_juke","43","奧爾獅","bgm_M119","戰隊競賽\n\n時間 / 01:06\n作曲 / 庄司真吾（Cygames）\n編曲 / 西村真吾","00:00","01:06"
"bgm_M121_juke","44","珠希和美冬的無人島0盧幣生活","bgm_M121","故事劇情主題曲\n-「閃亮亮☆Happiness！」編曲-\n\n時間 / 01:10\n作曲 / 齊藤裕也\n編曲 / 西村真吾","00:00","01:10"
"bgm_M124_juke","45","島鯨","bgm_M124","故事劇情頭目戰\n\n時間 / 02:35\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","02:35"
"bgm_M146","46","閃亮亮☆Happiness！","bgm_M146","角色歌曲\n\n時間 / 01:20\n演唱　 / 珠希（沼倉愛美）\n　　　美冬（田所あずさ）\n　　　秋乃（松嵜麗）\n　　　優花梨（今井麻美）\n作詞 / joru\n作曲 / 齊藤裕也\n編曲 / 齊藤裕也","00:42","01:20"
"bgm_M179_juke","47","新的出航","bgm_M179","主線冒險\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","01:20"
"bgm_M181_juke","48","阿爾珈提","bgm_M181","戰隊競賽\n\n時間 / 00:58\n作曲 / 加藤慶\n編曲 / 加藤慶","00:00","00:58"
"bgm_M182_juke","49","新春破曉之星大危機！","bgm_M182","故事劇情主題曲\n-「TwinkleStars」編曲-\n\n時間 / 00:58\n作曲 / 石濱翔（MONACA）\n編曲 / 東大路憲太","00:00","00:58"
"bgm_M183_juke","50","邪餅神鏡餅","bgm_M183","故事劇情頭目戰\n\n時間 / 02:32\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","02:32"
"bgm_M202","51","TwinkleStars","bgm_M202","角色歌曲\n\n時間 / 01:24\n演唱　 / 優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n作詞 / 野村イクミ（Cygames）\n作曲 / 石濱翔（MONACA）\n編曲 / 石濱翔（MONACA）","00:45","01:24"
"bgm_M94_juke","52","酷熱沙漠","bgm_M94","主線冒險\n\n時間 / 01:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","01:26"
"bgm_M132_juke","53","美杜莎","bgm_M132","戰隊競賽\n\n時間 / 01:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","01:25"
"bgm_M128_juke","54","黑鐵的亡靈（Nightmare）","bgm_M128","故事劇情主題曲\n-｢Aloofness Code｣編曲-\n\n時間 / 01:29\n作曲 / 小野貴光\n編曲 / 多田彰文","00:00","01:29"
"bgm_M131_juke","55","亡靈鎧甲","bgm_M131","故事劇情頭目戰\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","02:28"
"bgm_M154","56","Aloofness Code","bgm_M154","角色歌曲\n\n時間 / 01:20\n歌　 / 純（川澄綾子）\n　　　克莉絲提娜（たかはし智秋）\n　　　智（茅原実里）\n　　　茉莉（下田麻美）\n作詞 / a*mu\n作曲 / 小野貴光\n編曲 / 玉木千尋","00:46","01:20"
"bgm_M214","57","Absolute Secret","bgm_M214","角色歌曲\n\n時間 / 01:13\n歌　 / 凱留（立花理香）\n作詞 / corochi（Cygames）\n作曲 / 馬淵直純\n編曲 / 馬淵直純","00:44","01:13"
"bgm_M186_juke","58","水之里歐斯","bgm_M186","戰隊競賽\n\n時間 / 01:00\n作曲 / 加藤慶\n編曲 / 加藤慶","00:00","01:00"
"bgm_M189_juke","59","情人節之戰！正中紅心的甜蜜戰鬥","bgm_M189","故事劇情主題曲\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 01:02\n作曲 / 山崎真吾\n編曲 / 藤原宏惠","00:00","01:02"
"bgm_M192_juke","60","醜陋可愛","bgm_M192","故事劇情頭目戰\n\n時間 / 02:24\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","02:24"
"bgm_M200","61","SUPER CHOCOLATE","bgm_M200","角色歌曲\n\n時間 / 01:15\n歌　 / 靜流（生天目仁美）\n　　　璃乃（阿澄佳奈）\n作詞 / 坂井龍二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","00:40","01:15"
"bgm_M118_juke","62","砂海綠洲","bgm_M118","主線冒險\n\n時間 / 01:07\n作曲 / 石塚玲衣\n編曲 / 石塚玲衣","00:00","01:07"
"bgm_M180_juke","63","不可思議的森林","bgm_M180","主線冒險\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","01:20"
"bgm_M205_juke","64","托爾披頓","bgm_M205","戰隊競賽\n\n時間 / 01:00\n作曲 / 中村早織（Cygames）\n編曲 / 中村早織（Cygames）","00:00","01:00"
"bgm_M206_juke","65","王都的名偵探　嘆息的追緝者","bgm_M206","故事劇情主題曲\n-｢未解明的心意｣編曲-\n\n時間 / 00:39\n作曲 / 出口遼\n編曲 / 庄司真吾（Cygames）","00:00","00:39"
"bgm_M209_juke","66","哀嘆之女神","bgm_M209","故事劇情頭目戰\n\n時間 / 02:09\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","00:00","02:09"
"bgm_M222","67","未解明的心意","bgm_M222","角色歌曲\n\n時間 / 01:22\n歌　 / 真琴（小松未可子）\n　　　霞（水瀨いのり）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太","00:38","01:22"
"bgm_M219_juke","68","機械莉瑪來襲！王都毀滅前的倒數","bgm_M219","愚人節活動\n\n時間 / 01:27\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","01:27"
"bgm_M220_juke","69","機械莉瑪","bgm_M220","愚人節活動\n\n時間 / 01:38\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","01:38"
"bgm_M221_juke","70","機械莉瑪~終焉~","bgm_M221","愚人節活動\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","01:12"
"bgm_M215_juke","71","在阿斯特朗盛開的雙輪之花","bgm_M215","故事劇情主題曲\n-｢Crossing Destiny｣編曲-\n\n時間 / 00:55\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","00:00","00:55"
"bgm_M218_juke","72","元核‧巨靈","bgm_M218","故事劇情頭目戰\n\n時間 / 01:45\n作曲 / 中村博\n編曲 / 中村博","00:00","01:45"
"bgm_M235","73","Crossing Destiny","bgm_M235","角色歌曲\n\n時間 / 01:30\n歌　 / 安（日笠陽子）\n　　　古蕾婭（福原綾香）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","00:54","01:30"
"bgm_M232_juke","74","潛入岩峰","bgm_M232","主線冒險\n\n\n\n時間 / 00:55\n作曲 / 西村真吾\n編曲 / 西村真吾","00:00","00:55"
"bgm_M223_juke","75","將軍道中記　白翼的武士","bgm_M223","故事劇情主題曲\n-「白翼的榮耀」編曲-\n\n\n\n時間 / 00:59\n作曲 / 渡部チェル\n編曲 / 中村博","00:00","00:59"
"bgm_M226_juke","76","惡代官","bgm_M226","故事劇情頭目戰\n\n時間 / 01:58\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","01:58"
"bgm_M236","77","白翼的榮耀","bgm_M236","角色歌曲\n\n時間 / 01:13\n歌　 / 莫妮卡（辻あゆみ）\n　　　雪（大空直美）\n　　　妮諾（佐藤聡美）\n　　　空花（長妻樹里）\n　　　步未（大関英里）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","00:42","01:13"
"bgm_M95_juke","78","火山山麓","bgm_M95","主線冒險\n\n時間 / 01:20\n作曲 / 伊藤翼\n編曲 / 伊藤翼","00:00","1:20"
"bgm_M96_juke","79","險惡荒地","bgm_M96","主線冒險\n\n時間 / 01:02\n作曲 / 伊藤翼\n編曲 / 伊藤翼","00:00","1:02"
"bgm_M231_juke","80","怠惰的狂人","bgm_M231","故事劇情頭目戰\n\n時間 / 02:33\n作曲 / 松尾早人\n編曲 / 松尾早人","00:00","2:33"
"bgm_M233_juke","81","鼓聲響動的森林","bgm_M233","主線冒險\n\n時間 / 01:08\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","1:08"
"bgm_M237_juke","82","鈴奈的彩虹舞臺！","bgm_M237","故事劇情主題曲\n-｢踮腳尖的First Kiss｣編曲-\n\n時間 / 00:52\n作曲 / 設樂哲也\n\n編曲 / 庄司真吾（Cygames）","00:00","0:52"
"bgm_M240_juke","83","雨神大人","bgm_M240","故事劇情頭目戰\n\n時間 / 02:47\n作曲 / 澤下葵\n編曲 / 東大路憲太","00:00","2:47"
"bgm_M252","84","踮腳尖的First Kiss","bgm_M252","角色歌曲\n\n時間 / 01:19\n演唱　 / 伊緒（伊藤静）\n　　　鈴奈（上坂すみれ）\n　　　美咲（久野美咲）\n作詞 / 野村イクミ&瀧沢和也（Cygames）\n作曲 / 設樂哲也\n\n編曲 / 設樂哲也\n","00:45","1:19"
"bgm_M199_juke","85","哥哥爭奪戰！　幫忙靜流","bgm_M199","小遊戲\n-｢SUPER CHOCOLATE｣編曲-\n\n時間 / 00:31\n作曲 / 山崎真吾\n編曲 / 中村早織（Cygames）","00:00","00:31"
"bgm_M198_juke","86","哥哥爭奪戰！　幫忙惠理子","bgm_M198","小遊戲\n-｢SUPER CHOCOLATE｣編曲-\n\n時間 / 00:34\n作曲 / 山崎真吾\n編曲 / 庄司真吾（Cygames）","00:00","00:34"
"bgm_M245_juke","87","盛夏的真步真步王國　浪花拍岸的靈魂之夏！","bgm_M245","故事劇情主題曲\n-｢We Are Golden｣編曲-\n\n時間 / 00:57\n作曲 / TAKU INOUE\n編曲 / 伊禮完（Cygames）","00:00","00:57"
"bgm_M248_juke","88","奄美魔物","bgm_M248","故事劇情頭目戰\n\n時間 / 02:03\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","02:03"
"bgm_M263","89","We Are Golden","bgm_M263","角色歌曲\n\n時間 / 01:18\n演唱　 / 真步（内田真礼）\n　　　真琴（小松未可子）\n　　　香織（高森奈津美）\n作詞 / MCTC\n作曲 / TAKU INOUE\n編曲 / TAKU INOUE","00:44","01:18"
"bgm_M227_juke","90","空花大迴轉","bgm_M227","小遊戲\n-｢白翼的榮耀｣編曲-\n\n時間 / 00:30\n作曲 / 渡部チェル\n編曲 / 中村早織（Cygames）","0:00","0:30"
"bgm_M254_juke","91","森林的膽小鬼與神聖學院的問題兒童","bgm_M254","故事劇情主題曲\n-｢好朋友新感覺｣編曲-\n\n時間 / 00:57\n作曲 / 大久保薰\n編曲 / 中村早織（Cygames）","0:00","0:57"
"bgm_M257_juke","92","劇毒曼德拉草","bgm_M257","故事劇情頭目戰\n\n時間 / 02:45\n作曲 / 澤下葵\n編曲 / 東大路憲太","0:00","2:45"
"bgm_M272","93","好朋友新感覺","bgm_M272","角色歌曲\n\n時間 / 01:20\n歌　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / 磯谷佳江\n作曲 / 大久保薰\n編曲 / 大久保薰","00:47","01:20"
"bgm_M260_juke","94","跨越危險之根","bgm_M260","主線冒險\n\n時間 / 01:00\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","0:00","1:00"
"bgm_M249_juke","95","香織的靈魂式空手道場","bgm_M249","小遊戲\n-｢We Are Golden｣編曲-\n\n時間 / 00:34\n作曲 / TAKU INOUE\n編曲 / 中村早織（Cygames）","0:00","0:34"
"bgm_M265_juke","96","小小勇敢的萬聖節之夜！","bgm_M265","故事劇情主題曲\n-｢惡作劇狂熱｣編曲-\n\n時間 / 00:52\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","0:00","0:52"
"bgm_M268_juke","97","幻影男爵","bgm_M268","故事劇情頭目戰\n\n時間 / 02:50\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","0:00","2:50"
"bgm_M280","98","惡作劇狂熱","bgm_M280","角色歌曲\n\n時間 / 01:24\n演唱　 / 鏡華（小倉唯）\n　　　禊（諸星すみれ）\n　　　美美（日高里菜）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","0:46","1:24"
"bgm_M278_juke","99","泥濘森林的前方","bgm_M278","主線冒險\n\n時間 / 01:14\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","1:14"
"bgm_M277_juke","100","大激戰！龍人們的接龍競賽","bgm_M277","小遊戲\n-｢in flames｣編曲-\n\n時間 / 00:48\n作曲 / R・O・N\n編曲 / 東大路憲太","0:00","0:48"
"bgm_M273_juke","101","龍的探索者們","bgm_M273","故事劇情主題曲\n-｢in flames｣編曲-\n\n時間 / 01:07\n作曲 / R・O・N\n編曲 / 東大路憲太","0:00","1:07"
"bgm_M276_juke","102","似龍生物","bgm_M276","故事劇情頭目戰\n\n時間 / 02:29\n作曲 / 澤下葵\n編曲 / 東大路憲太","0:00","2:29"
"bgm_M291","103","in flames","bgm_M291","角色歌曲\n\n時間 / 01:28\n歌　 / 祈梨（藤田茜）\n　　　嘉夜（小市眞琴）\n　　　帆稀（大西沙織）\n作詞 / eNu\n作曲 / R・O・N\n編曲 / R・O・N","0:56","1:28"
"bgm_M259_juke","104","獲得全新力量的試煉","bgm_M259","解放冒險\n\n時間 / 01:13\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","0:00","1:13"
"bgm_M281_juke","105","禮物大恐慌！　蘭德索爾的聖誕老人們","bgm_M281","故事劇情主題曲\n-｢Call Me Darling！｣編曲\n\n時間 / 00:58\n作曲 / 池田健仁(Cygames)\n編曲 / 中村早織(Cygames)","0:00","0:58"
"bgm_M284_juke","106","復仇者馴鹿","bgm_M284","故事劇情頭目戰\n\n時間 / 01:48\n作曲 / 伊禮完(Cygames)\n編曲 / 伊禮完(Cygames)","0:00","1:48"
"bgm_M285","107","Call Me Darling！","bgm_M285","角色歌曲\n\n時間 / 01:30\n歌　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戸衣吹）\n作詞 / 野村イクミ(Cygames)\n作曲 / 池田健仁(Cygames)\n編曲 / 池田健仁(Cygames)","0:54","1:30"
"bgm_M300_juke","108","王都終末決戰","bgm_M300","王都終末決戰\n\n時間 / 01:45\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","0:00","1:45"
"bgm_M301_juke","109","與侍奉皇帝之徒的戰鬥","bgm_M301","王都終末決戰Boss戰\n\n時間 / 02:15\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","0:00","2:15"
"bgm_M299_juke","110","與神的決戰","bgm_M299","王都終末決戰Boss戰\n-｢Lost Princess｣「真正的皇帝」編曲-\n\n時間 / 02:45\n作曲 / 田中公平、西木康智\n編曲 / 東大路憲太","0:00","2:45"
"bgm_M294_juke","111","狂奔！　蘭德索爾的公會競速賽","bgm_M294","故事劇情主題曲\n-｢SAI＊KOU起跑衝刺｣編曲-\n\n時間 / 01:08\n作曲 / 奧井康介\n編曲 / 伊禮完（Cygames）","0:00","1:08"
"bgm_M297_juke","112","山神大人","bgm_M297","故事劇情Boss戰\n\n時間 / 02:00\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","0:00","2:00"
"bgm_M327","113","SAI＊KOU起跑衝刺","bgm_M327","角色歌曲\n\n時間 / 01:25\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　凱留（立花理香）\n　　　可可蘿（伊藤美来）\n　　　鈴莓（悠木碧）\n作詞 / KOCHO\n作曲 / 奧井康介\n編曲 / 奧井康介","1:00","1:25"
"bgm_M293_juke","114","遙望著大海","bgm_M293","主線冒險\n\n時間 / 01:25\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","0:00","1:25"
"bgm_M316_juke","115","魔法少女　兩人是Misty&Purely","bgm_M316","故事劇情主題曲\n-｢枝葉流光下的蒙太奇｣編曲-\n\n時間 / 01:06\n作曲 / 渡部チェル\n編曲 / 加藤慶久(Cygames)","0:00","1:06"
"bgm_M319_juke","116","反逆獸","bgm_M319","故事劇情Boss戰\n\n時間 / 01:28\n作曲 / 中村博\n編曲 / 中村博","0:00","1:28"
"bgm_M340","117","枝葉流光下的蒙太奇","bgm_M340","角色歌曲\n\n時間 / 01:32\n演唱　 / 霞（水瀨いのり）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","0:50","1:32"
"bgm_M330_juke","118","目標成為偶像！","bgm_M330","故事劇情主題曲\n\n時間 / 00:51\n作曲 / 中村早織(Cygames)\n編曲 / 中村早織(Cygames)","0:00","0:51"
"bgm_M333_juke","119","回憶的足跡","bgm_M333","回憶地圖\n\n時間 / 01:34\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","1:34"
"bgm_M57_juke","120","公主騎士","bgm_M57","主線劇情\n\n時間 / 02:24\n作曲 / 西木康智\n編曲 / 西木康智","0:00","2:24"
"bgm_M343_juke","121","恩賜的財團與神聖學院的問題兒童","bgm_M343","故事劇情主題曲\n-｢青春翻轉家｣アレンジ-\n\n時間 / 01:07\n作曲 / 睦月周平\n編曲 / 澤下葵","0:00","1:07"
"bgm_M346_juke","122","好朋友X","bgm_M346","故事劇情BOSS戰\n\n時間 / 02:43\n作曲 / 加藤慶久（Cygames）\n編曲 / 加藤慶久（Cygames）","0:00","2:43"
"bgm_M359","123","青春翻轉家","bgm_M359","角色歌曲\n\n時間 / 01:20\n演唱　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / ミズノゲンキ\n作曲 / 睦月周平\n編曲 / 睦月周平","0:51","1:20"
"bgm_M339_juke","124","密林暗處潛伏者","bgm_M339","主線冒險\n\n時間 / 02:00\n作曲 / 加藤慶久（Cygames）\n編曲 / 加藤慶久（Cygames）","0:00","2:00"
